alpha,T0.0100,T0.0112,T0.0125,T0.0140,T0.0157,T0.0176,T0.0197,T0.0220,T0.0246,T0.0276,T0.0309,T0.0345,T0.0387,T0.0433,T0.0484,T0.0542,T0.0607,T0.0679,T0.0760,T0.0851,T0.0952,T0.1066,T0.1193,T0.1335,T0.1495,T0.1673,T0.1872,T0.2096,T0.2346,T0.2625,T0.2939,T0.3289,T0.3681,T0.4120,T0.4612,T0.5162,T0.5778,T0.6467,T0.7238,T0.8101,T0.9068,T1.0149,T1.1360,T1.2715,T1.4232,T1.5929,T1.7829,T1.9956,T2.2336,T2.5000
0.27,0.9552,0.9529,0.9573,0.9576,0.9535,0.9438,0.9529,0.9552,0.9637,0.9560,0.9517,0.9539,0.9559,0.9579,0.9586,0.9549,0.9555,0.9531,0.9594,0.9592,0.9495,0.9476,0.9445,0.9487,0.9440,0.9212,0.9229,0.9025,0.8901,0.8783,0.8342,0.7872,0.6118,0.1874,0.0000,0.0038,-0.0133,-0.0109,-0.0299,-0.0027,0.0107,0.0079,-0.0022,0.0063,0.0046,0.0057,-0.0052,-0.0112,-0.0045,0.0008
0.28,0.9557,0.9533,0.9573,0.9550,0.9583,0.9570,0.9558,0.9536,0.9578,0.9575,0.9535,0.9518,0.9532,0.9543,0.9552,0.9512,0.9563,0.9538,0.9579,0.9548,0.9526,0.9459,0.9490,0.9383,0.9435,0.9316,0.9150,0.8983,0.8789,0.8845,0.8093,0.7234,0.5050,0.1159,0.0026,0.0067,0.0163,-0.0092,0.0066,-0.0081,0.0014,-0.0078,-0.0090,0.0003,0.0035,-0.0031,0.0078,0.0008,-0.0047,-0.0024
0.29,0.9565,0.9598,0.9541,0.9547,0.9558,0.9560,0.9370,0.9576,0.9550,0.9382,0.9566,0.9541,0.9473,0.9576,0.9573,0.9531,0.9559,0.9521,0.9601,0.9498,0.9489,0.9480,0.9447,0.9438,0.9370,0.9297,0.9271,0.8872,0.8958,0.8270,0.8114,0.6606,0.2852,0.1146,-0.0168,-0.0135,0.0090,-0.0056,-0.0030,-0.0043,-0.0044,0.0015,0.0051,-0.0070,0.0084,-0.0072,-0.0051,-0.0116,0.0062,0.0086
0.30,0.9550,0.9545,0.9598,0.9574,0.9584,0.9564,0.9579,0.9606,0.9596,0.9578,0.9576,0.9412,0.9575,0.9534,0.9561,0.9599,0.9573,0.9528,0.9545,0.9553,0.9293,0.9455,0.9368,0.9241,0.9326,0.9254,0.9174,0.9120,0.8965,0.8731,0.7059,0.5592,0.1891,-0.0124,-0.0211,0.0172,-0.0206,-0.0006,0.0064,0.0058,-0.0069,0.0082,0.0015,0.0090,-0.0002,-0.0053,0.0006,0.0041,-0.0102,0.0025
0.31,0.9430,0.9582,0.9584,0.9562,0.9437,0.9570,0.9571,0.9525,0.9529,0.9395,0.9601,0.9557,0.9579,0.9587,0.9402,0.9524,0.9299,0.9542,0.9377,0.9575,0.9551,0.9507,0.9454,0.9439,0.9425,0.9149,0.9078,0.8985,0.8720,0.7622,0.6723,0.3669,-0.0088,-0.0191,0.0181,-0.0070,0.0131,-0.0000,-0.0029,-0.0038,-0.0082,-0.0048,-0.0019,0.0015,-0.0049,-0.0031,-0.0013,-0.0022,0.0085,-0.0006
0.32,0.9635,0.9568,0.9600,0.9611,0.9409,0.9602,0.9546,0.9614,0.9561,0.9547,0.9611,0.9078,0.9563,0.9591,0.9593,0.9565,0.9366,0.9301,0.9536,0.9599,0.9546,0.9528,0.9533,0.9436,0.9418,0.8951,0.8852,0.9080,0.8190,0.8562,0.5916,0.3314,0.0230,0.0080,-0.0217,-0.0022,-0.0061,-0.0036,0.0168,-0.0080,-0.0015,-0.0052,-0.0119,0.0012,-0.0052,0.0051,-0.0010,0.0001,-0.0031,-0.0039
0.33,0.9460,0.9415,0.9542,0.9613,0.9588,0.9208,0.9433,0.9602,0.9375,0.9644,0.9617,0.9602,0.9550,0.9613,0.9579,0.9580,0.9537,0.9546,0.9562,0.9590,0.9503,0.9469,0.9492,0.9409,0.8868,0.9347,0.9062,0.8881,0.8662,0.6631,0.4262,0.1307,-0.0047,-0.0005,0.0022,0.0023,-0.0114,0.0098,0.0059,-0.0109,-0.0093,-0.0141,0.0069,0.0011,0.0053,0.0059,-0.0140,-0.0016,0.0081,0.0042
0.34,0.9543,0.9606,0.9561,0.9382,0.9573,0.9636,0.9605,0.9599,0.9589,0.9569,0.9430,0.9409,0.9551,0.9552,0.9641,0.9442,0.9372,0.9529,0.9542,0.9453,0.9525,0.9302,0.9434,0.9442,0.9349,0.9325,0.8517,0.8280,0.7809,0.6531,0.2262,-0.0189,-0.0222,0.0093,-0.0080,0.0017,0.0030,-0.0030,0.0037,0.0001,-0.0113,-0.0038,0.0015,-0.0106,-0.0031,-0.0125,-0.0072,0.0064,0.0048,-0.0134
0.35,0.9585,0.9409,0.9595,0.9623,0.9576,0.9282,0.9558,0.9424,0.9595,0.9576,0.9237,0.9607,0.9632,0.9515,0.9376,0.9595,0.9578,0.9599,0.9562,0.9328,0.9386,0.9297,0.9272,0.8935,0.9112,0.8811,0.8902,0.8507,0.5648,0.3616,0.1790,-0.0184,-0.0087,-0.0090,0.0050,0.0104,-0.0004,-0.0091,-0.0027,-0.0132,-0.0010,-0.0083,-0.0044,0.0082,-0.0052,0.0067,0.0008,-0.0025,0.0023,0.0008
0.36,0.9628,0.9423,0.9484,0.9468,0.9603,0.9232,0.9606,0.9371,0.9629,0.9267,0.9610,0.8820,0.9619,0.9006,0.9332,0.9373,0.9574,0.9577,0.9590,0.9363,0.9347,0.9179,0.8843,0.8927,0.9071,0.8547,0.8023,0.7202,0.5158,0.0642,-0.0256,0.0191,0.0177,0.0002,0.0076,0.0054,-0.0005,-0.0085,-0.0042,0.0028,0.0071,0.0037,0.0004,-0.0011,0.0058,0.0076,0.0061,0.0059,-0.0060,0.0008
