alpha,T0.0100,T0.0112,T0.0125,T0.0140,T0.0157,T0.0176,T0.0197,T0.0220,T0.0246,T0.0276,T0.0309,T0.0345,T0.0387,T0.0433,T0.0484,T0.0542,T0.0607,T0.0679,T0.0760,T0.0851,T0.0952,T0.1066,T0.1193,T0.1335,T0.1495,T0.1673,T0.1872,T0.2096,T0.2346,T0.2625,T0.2939,T0.3289,T0.3681,T0.4120,T0.4612,T0.5162,T0.5778,T0.6467,T0.7238,T0.8101,T0.9068,T1.0149,T1.1360,T1.2715,T1.4232,T1.5929,T1.7829,T1.9956,T2.2336,T2.5000
0.28,0.9488,0.9466,0.9452,0.9434,0.9437,0.9442,0.9438,0.9419,0.9389,0.9402,0.9375,0.9364,0.9360,0.9364,0.9339,0.9334,0.9310,0.9329,0.9327,0.9307,0.9307,0.9243,0.9164,0.9089,0.8860,0.8651,0.8410,0.8086,0.7729,0.7158,0.6548,0.5631,0.4817,0.3362,0.2958,0.1470,0.0443,0.0389,0.0194,-0.0183,-0.0052,0.0081,0.0445,0.0236,0.0083,0.0099,0.0010,0.0106,0.0043,0.0020
0.29,0.9165,0.9116,0.9085,0.9085,0.9075,0.9078,0.9070,0.9036,0.9038,0.9055,0.9016,0.9003,0.9018,0.9022,0.8986,0.8985,0.8947,0.8947,0.8956,0.8940,0.8896,0.8873,0.8831,0.8781,0.8577,0.8329,0.8123,0.7884,0.7796,0.7431,0.7041,0.6164,0.4784,0.3307,0.1841,0.1094,0.0501,0.0234,0.0128,0.0052,-0.0063,-0.0461,-0.0079,0.0150,-0.0105,-0.0215,-0.0051,-0.0150,-0.0145,0.0078
0.30,0.8987,0.9003,0.9016,0.8981,0.8929,0.8914,0.8918,0.8915,0.8906,0.8919,0.8914,0.8876,0.8874,0.8868,0.8864,0.8869,0.8881,0.8881,0.8905,0.8823,0.8837,0.8816,0.8751,0.8630,0.8629,0.8290,0.7843,0.7643,0.7562,0.7130,0.6434,0.5697,0.4630,0.3570,0.2550,0.1352,0.0393,0.0219,0.0439,0.0297,-0.0199,-0.0006,0.0297,0.0227,0.0147,-0.0104,0.0158,0.0145,-0.0048,-0.0010
0.31,0.8842,0.8801,0.8793,0.8783,0.8718,0.8668,0.8677,0.8669,0.8640,0.8631,0.8626,0.8623,0.8617,0.8610,0.8594,0.8600,0.8580,0.8504,0.8525,0.8513,0.8533,0.8479,0.8434,0.8373,0.8315,0.8043,0.7665,0.7662,0.7601,0.7135,0.6061,0.5339,0.4050,0.2783,0.1909,0.0530,-0.0201,-0.0060,-0.0056,0.0024,-0.0306,0.0274,-0.0232,-0.0133,0.0171,0.0080,0.0228,-0.0084,0.0120,0.0096
0.32,0.8701,0.8697,0.8700,0.8712,0.8702,0.8689,0.8713,0.8717,0.8724,0.8724,0.8723,0.8700,0.8665,0.8656,0.8660,0.8654,0.8663,0.8608,0.8584,0.8556,0.8549,0.8404,0.8350,0.8252,0.8179,0.7986,0.7721,0.7459,0.7023,0.6623,0.5901,0.5070,0.3338,0.2607,0.1256,0.0767,0.0224,-0.0066,-0.0240,0.0012,-0.0105,0.0051,0.0106,-0.0278,0.0103,0.0144,0.0121,0.0415,-0.0302,0.0411
0.33,0.8416,0.8393,0.8412,0.8410,0.8402,0.8397,0.8384,0.8385,0.8371,0.8365,0.8362,0.8369,0.8367,0.8371,0.8372,0.8361,0.8348,0.8316,0.8320,0.8257,0.8239,0.8205,0.8201,0.8130,0.8033,0.7886,0.7584,0.7142,0.6674,0.6029,0.5151,0.4179,0.2960,0.1996,0.0995,0.0437,-0.0013,-0.0042,-0.0146,0.0243,-0.0395,0.0289,0.0027,0.0174,-0.0164,0.0181,-0.0059,-0.0251,-0.0335,-0.0062
0.34,0.8266,0.8242,0.8220,0.8214,0.8197,0.8201,0.8189,0.8194,0.8216,0.8229,0.8229,0.8232,0.8220,0.8194,0.8165,0.8163,0.8159,0.8165,0.8180,0.8200,0.8185,0.8139,0.8096,0.8048,0.7951,0.7805,0.7650,0.7003,0.6294,0.5910,0.5091,0.4153,0.3056,0.2178,0.1198,0.0294,0.0025,-0.0213,-0.0221,-0.0046,0.0195,0.0153,-0.0397,-0.0041,-0.0175,0.0160,-0.0020,0.0098,-0.0118,-0.0084
0.35,0.7924,0.7950,0.7963,0.7949,0.7945,0.7950,0.7959,0.7975,0.7988,0.7982,0.7991,0.7991,0.7999,0.8001,0.7996,0.7990,0.7992,0.8023,0.8019,0.8008,0.8033,0.7988,0.7980,0.7945,0.7830,0.7705,0.7320,0.7027,0.6739,0.5645,0.4767,0.3584,0.2459,0.1095,0.0943,0.0107,0.0223,0.0087,0.0039,0.0113,0.0126,0.0167,-0.0175,-0.0378,0.0038,-0.0133,-0.0049,-0.0376,0.0163,-0.0061
0.36,0.8016,0.8001,0.8016,0.8029,0.8017,0.8017,0.8003,0.7983,0.8009,0.8004,0.8010,0.8003,0.8009,0.7998,0.8004,0.8009,0.7994,0.7977,0.7969,0.7950,0.7983,0.7922,0.7868,0.7802,0.7749,0.7375,0.7135,0.6649,0.6279,0.5021,0.4249,0.3395,0.2323,0.1236,0.0604,-0.0079,0.0361,-0.0071,0.0050,0.0164,0.0101,-0.0302,0.0265,-0.0196,-0.0003,0.0215,0.0027,0.0065,0.0083,0.0004
0.37,0.7873,0.7842,0.7828,0.7806,0.7807,0.7790,0.7793,0.7788,0.7792,0.7779,0.7777,0.7779,0.7775,0.7782,0.7741,0.7743,0.7746,0.7738,0.7743,0.7730,0.7715,0.7769,0.7703,0.7649,0.7606,0.7513,0.7213,0.7009,0.6365,0.5288,0.4359,0.3178,0.1987,0.0654,0.0278,-0.0117,0.0617,0.0313,-0.0201,0.0060,-0.0071,0.0094,-0.0104,-0.0022,0.0141,-0.0104,0.0023,0.0217,0.0056,0.0030
