alpha,T0.0100,T0.0112,T0.0125,T0.0140,T0.0157,T0.0176,T0.0197,T0.0220,T0.0246,T0.0276,T0.0309,T0.0345,T0.0387,T0.0433,T0.0484,T0.0542,T0.0607,T0.0679,T0.0760,T0.0851,T0.0952,T0.1066,T0.1193,T0.1335,T0.1495,T0.1673,T0.1872,T0.2096,T0.2346,T0.2625,T0.2939,T0.3289,T0.3681,T0.4120,T0.4612,T0.5162,T0.5778,T0.6467,T0.7238,T0.8101,T0.9068,T1.0149,T1.1360,T1.2715,T1.4232,T1.5929,T1.7829,T1.9956,T2.2336,T2.5000
0.12,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9986,0.9978,0.9941,0.9742,0.9359,0.8943,0.8786,0.8650,0.8506,0.8343,0.8166,0.7976,0.7768,0.7479,0.6570,0.3051,0.0057,-0.0003,-0.0016,0.0001,-0.0032,0.0011,0.0009,0.0001,0.0007,0.0012,-0.0013
0.13,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9987,0.9978,0.9950,0.9885,0.9696,0.9231,0.8950,0.8794,0.8648,0.8508,0.8345,0.8163,0.7974,0.7736,0.7183,0.4930,0.0824,0.0016,-0.0015,0.0013,-0.0008,-0.0007,0.0012,0.0007,0.0001,0.0012,-0.0010,-0.0009
0.14,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9986,0.9982,0.9962,0.9859,0.9591,0.9155,0.8932,0.8784,0.8659,0.8513,0.8347,0.8176,0.7980,0.7520,0.6266,0.2396,0.0012,0.0022,-0.0002,0.0012,0.0019,-0.0002,0.0004,0.0003,-0.0010,0.0003,-0.0001,0.0006
0.15,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9985,0.9980,0.9956,0.9855,0.9549,0.9182,0.8918,0.8800,0.8656,0.8511,0.8347,0.8170,0.7905,0.6823,0.4226,0.0281,0.0010,-0.0016,-0.0076,0.0015,-0.0005,0.0004,0.0008,-0.0006,0.0006,-0.0001,-0.0010,-0.0002
0.16,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9978,0.9978,0.9938,0.9801,0.9510,0.9155,0.8921,0.8788,0.8661,0.8512,0.8357,0.8113,0.7699,0.6134,0.1591,0.0142,-0.0060,-0.0031,0.0010,-0.0008,0.0019,0.0018,0.0009,-0.0003,-0.0017,-0.0014,0.0007,-0.0003
0.17,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9986,0.9985,0.9967,0.9941,0.9785,0.9451,0.9116,0.8914,0.8790,0.8657,0.8515,0.8305,0.8034,0.6906,0.4025,0.0177,-0.0058,0.0040,-0.0021,-0.0001,0.0007,0.0013,0.0012,0.0005,-0.0007,-0.0009,-0.0007,-0.0003,-0.0002
0.18,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9985,0.9985,0.9967,0.9926,0.9760,0.9469,0.9110,0.8918,0.8789,0.8658,0.8512,0.8289,0.7888,0.6134,0.1726,0.0140,-0.0041,0.0013,0.0018,0.0006,0.0022,0.0020,0.0002,-0.0001,0.0010,-0.0032,0.0007,-0.0007,-0.0001
0.19,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9980,0.9965,0.9889,0.9731,0.9389,0.9088,0.8916,0.8795,0.8656,0.8479,0.8170,0.7187,0.4081,0.0830,0.0055,0.0050,0.0015,0.0018,0.0039,-0.0002,-0.0009,0.0012,-0.0003,0.0001,-0.0013,0.0016,-0.0012,0.0020
0.20,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9968,0.9955,0.9880,0.9672,0.9300,0.9045,0.8921,0.8794,0.8654,0.8434,0.7918,0.6145,0.2181,0.0051,0.0064,0.0024,0.0003,-0.0007,0.0010,0.0022,-0.0000,0.0012,-0.0018,0.0001,-0.0001,0.0015,-0.0011,0.0006
0.21,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9986,0.9962,0.9933,0.9868,0.9635,0.9299,0.9041,0.8926,0.8786,0.8625,0.8297,0.7372,0.4676,0.0470,-0.0059,-0.0020,0.0028,0.0008,0.0021,-0.0005,0.0010,-0.0006,0.0004,-0.0011,-0.0000,-0.0000,-0.0023,-0.0020,0.0008
