T,phi_observed,phi_theory,phi_analytical,difference
0.025,0.9379,0.9875778127447159,0.9875781219484807,-0.04967781274471594
0.075,0.9363,0.9632001669534364,0.9632028779812717,-0.026900166953436333
0.125,0.9346,0.9394438940173498,0.9394512213675874,-0.004843894017349859
0.175,0.9276,0.9163068684635739,0.9163208256456926,0.011293131536426082
0.225,0.9078,0.8937858319979655,0.8938082281289366,0.014014168002034588
0.275,0.8852,0.8718764228172393,0.871908861661121,0.01332357718276067
0.325,0.8554,0.8505732145273988,0.8506170958976066,0.0048267854726012915
0.375,0.8304,0.8298697638672645,0.8299262872562316,0.0005302361327355065
0.425,0.8101,0.8097586662760811,0.8098288365296168,0.00034133372391897954
0.475,0.7905,0.7902316182184987,0.7903162530335857,0.0002683817815012368
0.525,0.7721,0.7712794850915705,0.7713792240876107,0.0008205149084294927
0.575,0.7537,0.7528923734878316,0.753007688582838,0.00080762651216848
0.625,0.7356,0.7350597065752258,0.7351909133900132,0.0005402934247742408
0.675,0.7188,0.7177703013761926,0.7179175713905847,0.001029698623807418
0.725,0.7017,0.7010124467808218,0.7011758199752403,0.0006875532191782385
0.775,0.6851,0.6847739812079153,0.6849533789400823,0.0003260187920847146
0.825,0.6696,0.66904236892756,0.6692376068159968,0.0005576310724400013
0.875,0.6541,0.6538047741738839,0.6540155747858112,0.0002952258261160745
0.925,0.6401,0.6390481323013366,0.6392741374710155,0.001051867698663389
0.975,0.6253,0.6247592173669207,0.625,0.0005407826330792176
1.025,0.6107,0.610924705649627,0.6111797808984551,-0.00022470564962695505
1.075,0.5977,0.5975312347427932,0.597800070465954,0.00016876525720677105
1.125,0.5858,0.5845654579722062,0.5848474844178637,0.001234542027793828
1.175,0.5726,0.5720140939998359,0.5723087126763621,0.0005859060001640604
1.225,0.5602,0.5598639715686843,0.5601705632870639,0.0003360284313157491
1.275,0.5482,0.5481020694273057,0.5484200015178089,9.793057269436023e-5
1.325,0.5376,0.5367155515427728,0.5370441842633392,0.0008844484572271272
1.375,0.5263,0.5256917977684381,0.526030489934225,0.0006082022315618829
1.425,0.5149,0.5150184301783249,0.5153665440511034,-0.0001184301783249131
1.475,0.5061,0.5046833353142202,0.5050402407970536,0.0014166646857798337
1.525,0.4951,0.49467468261567726,0.49503976080281453,0.0004253173843227209
1.575,0.4857,0.4849809393182453,0.48535358545278096,0.0007190606817547018
1.625,0.4768,0.4755908821126746,0.475970508005519,0.0012091178873254171
1.675,0.4668,0.46649360585872485,0.46687964182211916,0.00030639414127514586
1.725,0.4578,0.4576785296427669,0.4580704259902233,0.00012147035723308885
1.775,0.4507,0.4491354004596394,0.44953262862205423,0.0015645995403605895
1.825,0.4409,0.4408542947872733,0.4412563480922259,4.5705212726732114e-5
1.875,0.4333,0.432825618308177,0.4332320124663318,0.0004743816918230115
1.925,0.4255,0.4250401040158665,0.42545037735504077,0.00045989598413348487
1.975,0.418,0.4174888089272798,0.417902522411284,0.0005111910727201852
