alpha,T0.0100,T0.0112,T0.0125,T0.0140,T0.0157,T0.0176,T0.0197,T0.0220,T0.0246,T0.0276,T0.0309,T0.0345,T0.0387,T0.0433,T0.0484,T0.0542,T0.0607,T0.0679,T0.0760,T0.0851,T0.0952,T0.1066,T0.1193,T0.1335,T0.1495,T0.1673,T0.1872,T0.2096,T0.2346,T0.2625,T0.2939,T0.3289,T0.3681,T0.4120,T0.4612,T0.5162,T0.5778,T0.6467,T0.7238,T0.8101,T0.9068,T1.0149,T1.1360
0.37,0.7998,0.7961,0.7959,0.7966,0.7969,0.7973,0.7940,0.7941,0.7934,0.7921,0.7900,0.7905,0.7879,0.7881,0.7900,0.7900,0.7922,0.7897,0.7915,0.7912,0.7924,0.7904,0.7806,0.7848,0.7715,0.7650,0.7433,0.7110,0.6122,0.5568,0.4532,0.3607,0.2104,0.1122,-0.0517,-0.0371,-0.0179,0.0096,0.0146,0.0272,0.0043,0.0021,0.0223
0.38,0.7621,0.7596,0.7587,0.7605,0.7595,0.7582,0.7574,0.7568,0.7580,0.7560,0.7555,0.7482,0.7439,0.7419,0.7414,0.7391,0.7404,0.7408,0.7371,0.7403,0.7381,0.7375,0.7320,0.7237,0.7074,0.6833,0.6677,0.6033,0.5153,0.4235,0.3083,0.2625,0.1932,0.0751,-0.0502,0.0025,0.0007,0.0240,-0.0099,-0.0268,-0.0239,-0.0439,-0.0152
0.39,0.7816,0.7819,0.7790,0.7810,0.7807,0.7772,0.7742,0.7736,0.7743,0.7677,0.7672,0.7665,0.7659,0.7622,0.7634,0.7616,0.7623,0.7598,0.7653,0.7660,0.7655,0.7551,0.7462,0.7414,0.7368,0.7165,0.6872,0.6499,0.5462,0.4543,0.3345,0.2545,0.1728,0.1244,0.0069,0.0179,0.0014,0.0151,-0.0403,-0.0317,-0.0185,0.0083,0.0208
0.40,0.7051,0.6989,0.6998,0.6955,0.6953,0.6983,0.6946,0.6960,0.6953,0.6955,0.6953,0.6944,0.6953,0.6974,0.6966,0.6950,0.6953,0.6953,0.6941,0.6940,0.6931,0.6863,0.6922,0.6927,0.6853,0.6696,0.6435,0.6080,0.5135,0.4240,0.3357,0.2461,0.1139,0.0163,-0.0218,0.0305,-0.0308,-0.0153,0.0287,0.0078,-0.0039,0.0252,-0.0039
0.41,0.6879,0.6877,0.6851,0.6826,0.6807,0.6831,0.6828,0.6827,0.6820,0.6823,0.6807,0.6835,0.6818,0.6811,0.6825,0.6814,0.6797,0.6778,0.6773,0.6784,0.6712,0.6715,0.6646,0.6656,0.6569,0.6239,0.6186,0.5875,0.5263,0.4534,0.2677,0.1318,0.0215,0.0342,0.0184,-0.0312,0.0111,-0.0171,0.0209,0.0137,-0.0092,0.0069,-0.0142
0.42,0.6944,0.6939,0.6940,0.6929,0.6917,0.6942,0.6964,0.6972,0.6953,0.6957,0.6977,0.6984,0.6977,0.6974,0.6964,0.6990,0.6989,0.6984,0.6985,0.7008,0.7017,0.6953,0.6870,0.6847,0.6687,0.6528,0.6144,0.5774,0.5125,0.3723,0.2305,0.1225,0.0290,-0.0027,-0.0019,-0.0195,-0.0049,0.0087,0.0147,-0.0417,0.0082,0.0179,-0.0064
0.43,0.6481,0.6435,0.6436,0.6440,0.6392,0.6372,0.6380,0.6377,0.6338,0.6318,0.6375,0.6365,0.6374,0.6359,0.6380,0.6379,0.6426,0.6440,0.6414,0.6380,0.6302,0.6355,0.6267,0.6152,0.5911,0.5860,0.5232,0.4636,0.4076,0.2673,0.1349,0.0684,0.0280,-0.0312,0.0111,-0.0240,-0.0305,0.0130,0.0302,-0.0003,-0.0013,-0.0137,0.0103
0.44,0.6692,0.6673,0.6696,0.6682,0.6664,0.6672,0.6609,0.6587,0.6589,0.6583,0.6597,0.6597,0.6559,0.6566,0.6487,0.6503,0.6520,0.6515,0.6531,0.6513,0.6479,0.6491,0.6508,0.6407,0.6212,0.5927,0.5636,0.5022,0.3997,0.3045,0.2047,0.0349,-0.0238,-0.0073,0.0292,0.0242,-0.0018,-0.0284,-0.0022,-0.0154,0.0502,0.0263,-0.0048
0.45,0.6570,0.6533,0.6496,0.6488,0.6507,0.6512,0.6530,0.6517,0.6511,0.6494,0.6508,0.6542,0.6530,0.6491,0.6491,0.6456,0.6446,0.6448,0.6368,0.6358,0.6387,0.6335,0.6205,0.6251,0.6220,0.5888,0.5691,0.5189,0.3646,0.2722,0.1685,0.0737,0.0042,-0.0262,-0.0028,0.0068,-0.0066,0.0015,0.0247,0.0067,0.0399,-0.0009,0.0173
0.46,0.6352,0.6334,0.6322,0.6337,0.6373,0.6365,0.6320,0.6344,0.6301,0.6291,0.6284,0.6288,0.6260,0.6253,0.6230,0.6213,0.6156,0.6210,0.6219,0.6212,0.6158,0.6217,0.6142,0.6169,0.5739,0.5384,0.4680,0.3899,0.2904,0.2064,0.0991,-0.0107,0.0226,0.0265,0.0062,-0.0188,-0.0198,0.0413,-0.0091,0.0288,0.0042,-0.0080,0.0051
0.47,0.6372,0.6365,0.6348,0.6353,0.6335,0.6335,0.6354,0.6339,0.6350,0.6359,0.6378,0.6363,0.6355,0.6338,0.6332,0.6297,0.6306,0.6285,0.6241,0.6243,0.6241,0.6154,0.6117,0.5905,0.5745,0.5504,0.5003,0.4403,0.3423,0.2181,0.1015,0.0815,0.0136,-0.0269,0.0373,-0.0034,0.0225,-0.0150,-0.0360,0.0081,-0.0242,0.0098,0.0034
0.48,0.5882,0.5891,0.5851,0.5890,0.5890,0.5864,0.5837,0.5820,0.5841,0.5859,0.5891,0.5890,0.5880,0.5882,0.5875,0.5878,0.5884,0.5845,0.5804,0.5803,0.5722,0.5762,0.5648,0.5686,0.5518,0.5150,0.4326,0.3409,0.1877,0.0571,0.0422,0.0007,0.0243,0.0109,0.0130,0.0070,-0.0046,-0.0246,-0.0036,-0.0022,-0.0175,-0.0066,-0.0268
0.49,0.5823,0.5821,0.5805,0.5768,0.5777,0.5759,0.5787,0.5776,0.5755,0.5752,0.5783,0.5805,0.5776,0.5747,0.5766,0.5766,0.5801,0.5763,0.5740,0.5764,0.5699,0.5627,0.5652,0.5705,0.5376,0.4654,0.4334,0.3079,0.1844,0.0810,0.0298,-0.0247,-0.0370,0.0335,0.0196,0.0070,0.0122,0.0193,-0.0171,0.0019,0.0331,0.0018,0.0133
0.50,0.6067,0.6032,0.6042,0.6029,0.6021,0.5992,0.5972,0.6002,0.6000,0.6000,0.6022,0.6055,0.6037,0.6047,0.6041,0.6026,0.6006,0.6022,0.6024,0.6059,0.6027,0.5943,0.5837,0.5333,0.5125,0.4515,0.3621,0.3269,0.1741,0.1539,0.0188,-0.0026,-0.0143,-0.0136,0.0088,-0.0085,0.0144,-0.0189,-0.0052,-0.0088,0.0146,-0.0166,-0.0021
0.51,0.5409,0.5378,0.5389,0.5384,0.5401,0.5430,0.5410,0.5423,0.5406,0.5398,0.5383,0.5392,0.5340,0.5361,0.5357,0.5326,0.5334,0.5340,0.5315,0.5322,0.5257,0.5161,0.5182,0.5202,0.4407,0.3456,0.2622,0.1785,0.0544,0.0114,0.0363,-0.0345,-0.0568,0.0140,0.0094,-0.0127,-0.0090,0.0149,0.0233,-0.0059,0.0188,-0.0051,0.0075
0.52,0.5125,0.5141,0.5127,0.5108,0.5073,0.5049,0.5055,0.5030,0.5018,0.5038,0.4997,0.4990,0.4993,0.4941,0.4897,0.4915,0.4912,0.4885,0.4876,0.4845,0.4892,0.4853,0.4717,0.4457,0.4467,0.3756,0.3093,0.2053,0.0592,-0.0367,0.0280,0.0380,-0.0108,-0.0288,0.0197,-0.0133,-0.0008,0.0229,-0.0029,0.0169,-0.0022,-0.0030,0.0090
0.53,0.5611,0.5623,0.5608,0.5606,0.5581,0.5571,0.5620,0.5647,0.5627,0.5617,0.5604,0.5628,0.5607,0.5600,0.5616,0.5589,0.5560,0.5540,0.5500,0.5620,0.5525,0.5506,0.5325,0.5206,0.4581,0.3961,0.2966,0.1900,0.1495,0.0356,-0.0080,-0.0057,0.0081,0.0017,-0.0452,0.0244,-0.0180,-0.0202,0.0130,0.0123,0.0022,0.0005,0.0154
0.54,0.4763,0.4758,0.4775,0.4757,0.4704,0.4726,0.4683,0.4715,0.4681,0.4656,0.4632,0.4659,0.4678,0.4704,0.4667,0.4654,0.4668,0.4620,0.4647,0.4636,0.4623,0.4450,0.4324,0.3865,0.3455,0.2787,0.1441,0.0423,0.0390,0.0035,0.0751,-0.0092,0.0294,-0.0109,0.0364,-0.0116,-0.0127,0.0000,-0.0036,-0.0081,0.0062,0.0004,-0.0042
0.55,0.4693,0.4665,0.4666,0.4667,0.4642,0.4647,0.4669,0.4653,0.4624,0.4583,0.4615,0.4622,0.4643,0.4681,0.4669,0.4588,0.4539,0.4570,0.4587,0.4576,0.4494,0.4518,0.4327,0.3718,0.3105,0.2096,0.1399,0.0315,0.0380,-0.0151,-0.0412,0.0361,0.0084,0.0016,-0.0231,-0.0004,0.0183,0.0035,0.0088,0.0009,-0.0040,-0.0064,-0.0027
