alpha,T0.0250,T0.0750,T0.1250,T0.1750,T0.2250,T0.2750,T0.3250,T0.3750,T0.4250,T0.4750,T0.5250,T0.5750,T0.6250,T0.6750,T0.7250,T0.7750,T0.8250,T0.8750,T0.9250,T0.9750,T1.0250,T1.0750,T1.1250,T1.1750,T1.2250,T1.2750,T1.3250,T1.3750,T1.4250,T1.4750,T1.5250,T1.5750,T1.6250,T1.6750,T1.7250,T1.7750,T1.8250,T1.8750,T1.9250,T1.9750
0.15,0.9878,0.9637,0.9403,0.9175,0.8952,0.8732,0.8518,0.8318,0.8119,0.7919,0.7730,0.7499,0.7022,0.5743,0.3032,0.0637,0.0040,-0.0005,0.0045,-0.0041,0.0012,0.0014,-0.0005,0.0008,0.0014,0.0002,0.0003,-0.0012,0.0004,-0.0022,-0.0005,-0.0007,-0.0010,-0.0007,-0.0005,-0.0012,0.0007,0.0007,0.0013,-0.0004
0.16,0.9878,0.9638,0.9403,0.9174,0.8951,0.8729,0.8521,0.8325,0.8111,0.7919,0.7704,0.7442,0.6155,0.3361,0.0948,0.0046,0.0001,-0.0007,0.0010,0.0003,0.0011,-0.0010,0.0013,-0.0016,-0.0007,0.0020,-0.0003,-0.0003,0.0004,-0.0002,0.0013,0.0005,-0.0003,0.0004,0.0005,0.0005,0.0010,-0.0007,-0.0011,0.0014
0.17,0.9878,0.9638,0.9403,0.9173,0.8947,0.8735,0.8522,0.8315,0.8122,0.7926,0.7567,0.6977,0.4838,0.1828,0.0208,0.0028,0.0002,-0.0001,-0.0022,-0.0007,-0.0013,-0.0011,0.0010,-0.0015,0.0004,-0.0005,0.0006,0.0008,0.0007,-0.0005,-0.0002,0.0004,-0.0001,-0.0008,-0.0001,-0.0006,-0.0003,-0.0002,-0.0003,0.0000
0.18,0.9878,0.9638,0.9403,0.9173,0.8953,0.8736,0.8527,0.8315,0.8122,0.7902,0.7081,0.5883,0.2281,0.0229,-0.0027,0.0044,0.0014,-0.0017,0.0007,0.0019,-0.0005,0.0011,-0.0005,-0.0010,0.0011,-0.0006,0.0001,-0.0006,0.0002,0.0002,-0.0001,-0.0004,-0.0002,-0.0013,0.0004,-0.0001,0.0002,0.0002,0.0002,-0.0009
0.19,0.9878,0.9638,0.9402,0.9175,0.8951,0.8737,0.8525,0.8323,0.8103,0.7688,0.6729,0.3924,0.0752,-0.0029,0.0017,0.0005,0.0019,-0.0018,-0.0014,0.0015,-0.0012,0.0000,-0.0013,0.0007,0.0002,-0.0004,0.0014,-0.0009,0.0002,-0.0011,0.0002,-0.0017,-0.0003,0.0008,0.0006,0.0003,-0.0008,-0.0004,0.0003,-0.0001
0.20,0.9878,0.9641,0.9407,0.9178,0.8953,0.8739,0.8529,0.8313,0.8070,0.7513,0.5996,0.2119,0.0123,0.0019,-0.0005,-0.0003,-0.0020,0.0011,0.0009,-0.0002,-0.0004,0.0013,0.0010,-0.0008,-0.0012,-0.0014,0.0001,-0.0005,0.0003,-0.0002,0.0012,0.0004,-0.0001,0.0007,-0.0003,0.0007,-0.0007,0.0000,0.0007,0.0006
0.21,0.9878,0.9639,0.9404,0.9175,0.8949,0.8742,0.8528,0.8300,0.7944,0.6823,0.3533,0.0386,0.0049,-0.0006,0.0038,0.0019,-0.0011,-0.0017,0.0013,0.0013,0.0004,-0.0012,-0.0005,0.0002,0.0006,-0.0014,0.0003,-0.0005,0.0021,0.0005,0.0002,0.0002,0.0000,0.0011,0.0005,-0.0013,0.0003,0.0001,-0.0003,-0.0001
0.22,0.9879,0.9637,0.9409,0.9180,0.8953,0.8742,0.8527,0.8252,0.7658,0.5528,0.1537,0.0096,0.0053,-0.0001,-0.0013,-0.0041,-0.0015,0.0006,0.0028,0.0007,0.0014,0.0001,-0.0019,0.0009,0.0012,0.0007,0.0010,-0.0018,0.0010,0.0004,0.0001,0.0007,0.0005,0.0015,0.0013,0.0001,0.0007,0.0001,-0.0000,-0.0000
0.23,0.9878,0.9641,0.9404,0.9176,0.8957,0.8743,0.8516,0.8163,0.7039,0.3395,0.0407,0.0048,0.0008,0.0044,0.0009,0.0001,-0.0017,-0.0023,-0.0021,0.0004,-0.0001,0.0003,-0.0013,-0.0006,-0.0000,0.0000,-0.0007,-0.0015,-0.0006,-0.0005,-0.0005,-0.0001,-0.0005,0.0005,-0.0011,0.0003,0.0001,0.0004,0.0003,0.0006
0.24,0.9879,0.9641,0.9407,0.9180,0.8955,0.8739,0.8501,0.8109,0.6240,0.2390,0.0069,0.0009,-0.0024,-0.0051,-0.0027,0.0000,-0.0007,0.0002,0.0013,-0.0001,0.0015,0.0012,-0.0010,0.0010,0.0015,0.0001,0.0010,-0.0004,-0.0003,-0.0014,0.0012,0.0005,0.0007,-0.0002,0.0002,-0.0009,-0.0001,-0.0003,0.0007,0.0011
0.25,0.9878,0.9641,0.9407,0.9181,0.8957,0.8743,0.8462,0.7613,0.5241,0.0764,0.0069,-0.0017,0.0024,0.0001,0.0002,0.0015,0.0018,-0.0013,0.0009,-0.0005,-0.0007,0.0003,0.0003,-0.0009,-0.0028,-0.0002,-0.0008,0.0013,-0.0003,-0.0001,-0.0012,0.0006,0.0001,0.0021,-0.0001,0.0005,0.0001,0.0002,-0.0000,0.0006
0.26,0.9880,0.9641,0.9409,0.9178,0.8956,0.8744,0.8347,0.6717,0.2533,0.0084,-0.0042,-0.0064,0.0010,-0.0010,0.0004,0.0001,0.0008,-0.0014,0.0004,-0.0022,0.0020,0.0007,0.0014,-0.0002,0.0002,0.0009,0.0010,0.0006,-0.0004,-0.0004,0.0001,0.0003,0.0001,-0.0006,-0.0006,0.0005,-0.0003,0.0004,0.0002,-0.0005
