alpha,T0.0250,T0.0750,T0.1250,T0.1750,T0.2250,T0.2750,T0.3250,T0.3750,T0.4250,T0.4750,T0.5250,T0.5750,T0.6250,T0.6750,T0.7250,T0.7750,T0.8250,T0.8750,T0.9250,T0.9750,T1.0250,T1.0750,T1.1250,T1.1750,T1.2250,T1.2750,T1.3250,T1.3750,T1.4250,T1.4750,T1.5250,T1.5750,T1.6250,T1.6750,T1.7250,T1.7750,T1.8250,T1.8750,T1.9250,T1.9750
0.31,0.9755,0.9264,0.8854,0.8435,0.7995,0.6959,0.1986,0.0056,0.0044,-0.0024,-0.0020,0.0003,0.0011,0.0012,-0.0004,0.0005,0.0010,0.0002,-0.0013,0.0007,0.0005,-0.0008,-0.0003,-0.0004,0.0007,-0.0010,0.0009,-0.0001,0.0003,0.0005,-0.0001,-0.0003,0.0005,0.0009,0.0002,-0.0003,0.0003,-0.0000,0.0006,0.0001
0.32,0.9762,0.9298,0.8856,0.8396,0.7890,0.6171,0.0470,0.0049,0.0058,0.0044,0.0010,0.0013,0.0012,-0.0007,-0.0007,0.0023,-0.0009,-0.0000,0.0000,0.0002,0.0005,0.0014,-0.0002,-0.0001,0.0016,0.0001,0.0005,-0.0012,0.0005,-0.0001,-0.0005,-0.0010,-0.0008,-0.0001,-0.0009,-0.0005,-0.0007,-0.0006,-0.0000,-0.0002
0.33,0.9761,0.9302,0.8852,0.8434,0.7780,0.4658,0.0036,0.0092,-0.0051,-0.0009,0.0015,0.0016,0.0048,-0.0012,0.0006,0.0001,0.0008,-0.0008,-0.0025,-0.0008,0.0008,-0.0007,0.0009,0.0012,-0.0002,0.0017,0.0006,-0.0017,-0.0008,0.0005,-0.0006,-0.0009,0.0004,0.0003,-0.0012,0.0002,-0.0000,0.0001,-0.0006,-0.0005
0.34,0.9764,0.9298,0.8851,0.8436,0.7517,0.2217,-0.0159,0.0008,0.0002,0.0040,-0.0017,-0.0017,-0.0034,-0.0016,0.0019,-0.0016,0.0008,0.0008,0.0011,-0.0000,0.0004,0.0003,0.0004,0.0001,-0.0002,-0.0009,0.0003,0.0005,0.0005,0.0024,-0.0000,0.0006,0.0002,0.0009,0.0003,0.0014,-0.0006,-0.0006,0.0000,0.0001
0.35,0.9758,0.9216,0.8853,0.8381,0.6559,0.0781,0.0063,0.0031,0.0018,-0.0026,-0.0010,0.0020,-0.0022,-0.0025,-0.0001,-0.0001,0.0009,0.0012,-0.0004,-0.0020,-0.0023,0.0011,0.0001,0.0014,-0.0013,0.0016,0.0002,-0.0005,0.0003,0.0009,-0.0007,0.0003,0.0000,0.0015,-0.0007,0.0000,-0.0006,0.0003,0.0001,-0.0002
0.36,0.9758,0.9295,0.8809,0.8354,0.6805,0.0534,-0.0013,0.0039,0.0002,-0.0022,0.0020,0.0004,0.0001,0.0026,-0.0005,0.0005,0.0001,0.0001,-0.0002,0.0011,0.0001,0.0018,-0.0004,-0.0013,0.0002,0.0004,-0.0010,0.0013,0.0004,-0.0004,-0.0002,-0.0012,-0.0003,0.0008,-0.0001,-0.0000,0.0001,-0.0008,0.0008,0.0002
0.37,0.9760,0.9225,0.8776,0.8091,0.5270,-0.0138,-0.0046,0.0022,0.0024,0.0008,-0.0016,-0.0035,0.0002,0.0001,-0.0028,-0.0000,0.0011,-0.0015,-0.0001,-0.0015,-0.0015,0.0009,0.0011,0.0016,0.0016,-0.0013,-0.0003,0.0001,0.0012,0.0002,0.0008,-0.0001,-0.0001,0.0010,0.0002,0.0000,0.0001,-0.0004,-0.0000,0.0003
0.38,0.9686,0.9222,0.8557,0.7739,0.2413,-0.0184,-0.0001,-0.0009,0.0018,0.0001,0.0008,0.0006,-0.0009,0.0003,0.0017,-0.0003,-0.0013,0.0009,-0.0007,0.0011,-0.0004,0.0009,0.0013,0.0010,0.0006,0.0004,-0.0025,0.0010,0.0001,-0.0004,-0.0004,0.0006,-0.0004,0.0007,0.0004,-0.0005,-0.0005,-0.0001,0.0007,-0.0002
0.39,0.9760,0.9208,0.8757,0.6854,0.0103,0.0063,0.0004,0.0037,0.0002,0.0036,0.0005,-0.0025,0.0015,-0.0015,0.0006,-0.0021,0.0016,-0.0006,0.0004,0.0000,-0.0002,0.0003,0.0008,0.0000,0.0005,-0.0006,0.0003,-0.0006,-0.0005,0.0000,-0.0004,-0.0005,0.0012,0.0001,0.0005,0.0004,-0.0005,-0.0003,-0.0005,-0.0004
0.40,0.9677,0.9107,0.8612,0.7178,0.0307,0.0008,0.0066,-0.0010,0.0018,-0.0019,-0.0016,0.0004,-0.0007,-0.0028,0.0019,-0.0002,-0.0009,-0.0003,-0.0002,-0.0010,0.0004,-0.0010,0.0009,0.0004,-0.0002,-0.0001,0.0010,-0.0017,0.0017,0.0005,0.0001,-0.0002,-0.0006,0.0006,0.0007,0.0002,0.0004,0.0002,0.0001,-0.0004
0.41,0.9679,0.8993,0.8154,0.4510,0.0072,0.0030,0.0033,-0.0019,-0.0021,-0.0020,0.0013,-0.0010,-0.0015,-0.0040,0.0029,-0.0006,-0.0020,-0.0019,-0.0010,-0.0013,-0.0006,0.0004,0.0007,-0.0011,-0.0002,-0.0000,0.0014,-0.0005,0.0005,-0.0003,0.0000,0.0001,-0.0013,0.0005,-0.0007,0.0003,0.0012,0.0003,-0.0010,-0.0006
0.42,0.9680,0.8869,0.8146,0.4658,-0.0135,0.0062,-0.0010,-0.0004,-0.0034,-0.0006,-0.0034,-0.0011,0.0008,0.0018,-0.0023,-0.0021,0.0014,-0.0020,0.0007,0.0016,0.0024,-0.0005,0.0007,-0.0001,-0.0002,-0.0014,-0.0001,0.0001,-0.0002,0.0007,-0.0005,-0.0004,0.0002,0.0000,0.0001,0.0008,0.0015,0.0010,0.0005,0.0015
0.43,0.9704,0.8413,0.7353,0.0827,-0.0025,0.0028,0.0024,0.0087,0.0026,0.0030,-0.0012,-0.0005,0.0006,0.0008,-0.0014,0.0022,0.0012,0.0020,0.0012,-0.0001,0.0001,0.0006,0.0003,-0.0006,-0.0009,-0.0019,0.0001,-0.0009,-0.0001,0.0004,0.0000,-0.0012,0.0009,-0.0011,0.0003,-0.0004,0.0005,0.0002,-0.0001,0.0002
0.44,0.9527,0.8896,0.7202,0.0316,-0.0084,0.0061,-0.0018,0.0044,-0.0014,-0.0004,0.0030,0.0001,0.0022,-0.0023,-0.0005,-0.0019,0.0013,0.0007,0.0001,-0.0011,-0.0005,0.0001,-0.0013,0.0005,0.0008,0.0023,0.0009,-0.0014,-0.0005,-0.0001,-0.0005,-0.0008,0.0010,-0.0005,0.0000,-0.0000,-0.0005,-0.0012,0.0003,-0.0003
0.45,0.9643,0.8045,0.6958,-0.0004,-0.0107,0.0053,-0.0050,0.0067,-0.0001,-0.0017,-0.0006,-0.0038,0.0016,-0.0002,-0.0003,0.0007,-0.0002,-0.0008,-0.0004,-0.0010,0.0000,-0.0005,0.0007,-0.0007,0.0002,0.0002,0.0004,0.0003,-0.0006,0.0015,-0.0001,0.0002,0.0002,-0.0008,-0.0004,0.0001,0.0011,-0.0004,-0.0011,0.0001
0.46,0.9465,0.8595,0.6152,-0.0174,0.0066,-0.0079,0.0002,0.0022,0.0016,-0.0011,-0.0023,0.0040,0.0022,-0.0003,-0.0024,0.0003,0.0008,-0.0022,-0.0008,-0.0016,-0.0031,0.0003,0.0001,0.0019,-0.0005,-0.0010,0.0007,-0.0009,-0.0011,-0.0018,-0.0000,0.0006,0.0001,0.0001,0.0006,0.0003,-0.0007,0.0006,-0.0001,0.0001
0.47,0.8908,0.7588,0.2101,0.0084,0.0094,0.0026,-0.0065,0.0098,0.0029,0.0002,0.0008,-0.0003,-0.0018,0.0006,-0.0004,-0.0012,0.0015,0.0006,-0.0004,0.0020,-0.0016,0.0005,-0.0012,-0.0006,-0.0020,-0.0001,0.0006,0.0019,-0.0003,-0.0006,-0.0010,0.0008,0.0005,-0.0009,0.0019,0.0009,-0.0001,0.0007,0.0003,-0.0003
0.48,0.9258,0.7325,0.1614,-0.0155,0.0005,-0.0040,0.0012,-0.0007,-0.0024,0.0017,-0.0016,0.0029,0.0019,0.0031,0.0010,-0.0010,0.0002,0.0003,0.0031,0.0035,-0.0039,0.0003,-0.0004,-0.0005,0.0009,0.0001,0.0004,0.0015,0.0011,-0.0007,0.0005,-0.0004,-0.0005,0.0005,-0.0023,-0.0001,0.0002,0.0012,-0.0002,0.0008
