alpha,T0.05,T0.10,T0.15,T0.20,T0.25,T0.30,T0.35,T0.40,T0.45,T0.50,T0.55,T0.60,T0.65,T0.70,T0.75,T0.80,T0.85,T0.90,T0.95,T1.00,T1.05,T1.10,T1.15,T1.20,T1.25,T1.30,T1.35,T1.40,T1.45,T1.50,T1.55,T1.60,T1.65,T1.70,T1.75,T1.80,T1.85,T1.90,T1.95,T2.00,T2.05,T2.10,T2.15,T2.20,T2.25,T2.30,T2.35,T2.40,T2.45,T2.50
0.28,0.9988,0.9955,0.9454,0.8676,0.4544,-0.0109,-0.0095,-0.0013,0.0012,0.0073,-0.0001,-0.0016,0.0013,0.0007,0.0010,-0.0002,0.0006,0.0011,0.0017,0.0011,0.0017,-0.0012,0.0001,-0.0018,0.0002,0.0022,0.0003,-0.0005,0.0002,-0.0008,-0.0012,-0.0000,0.0001,0.0009,-0.0013,0.0035,-0.0003,0.0011,0.0004,-0.0002,0.0002,-0.0005,0.0006,0.0004,0.0015,0.0015,0.0017,0.0008,0.0001,0.0003
0.29,0.9988,0.9960,0.9384,0.8204,0.2432,-0.0107,0.0145,0.0020,-0.0059,0.0058,-0.0015,-0.0008,-0.0005,-0.0010,-0.0001,0.0014,-0.0006,-0.0007,-0.0018,-0.0004,0.0010,-0.0003,0.0010,0.0012,0.0001,0.0014,-0.0005,0.0004,-0.0016,0.0012,0.0012,0.0008,-0.0004,0.0000,-0.0001,-0.0006,-0.0004,0.0011,0.0001,0.0016,-0.0011,0.0017,0.0005,0.0005,0.0006,0.0005,0.0003,-0.0004,0.0007,-0.0005
0.30,0.9988,0.9931,0.9330,0.7098,0.0676,-0.0057,0.0079,0.0066,0.0053,0.0037,-0.0028,0.0028,-0.0015,0.0012,-0.0006,-0.0003,-0.0006,-0.0020,0.0008,-0.0003,0.0006,-0.0002,-0.0015,-0.0024,-0.0008,0.0001,-0.0005,-0.0003,0.0007,0.0001,0.0015,-0.0015,-0.0001,0.0031,0.0001,-0.0004,0.0015,-0.0002,0.0010,0.0004,0.0002,0.0004,-0.0008,0.0005,0.0002,0.0002,-0.0005,0.0011,0.0011,-0.0000
0.31,0.9988,0.9931,0.9318,0.7169,0.0354,-0.0005,-0.0091,0.0026,0.0017,-0.0037,-0.0001,0.0028,0.0004,0.0005,0.0000,-0.0011,0.0009,-0.0013,0.0015,0.0013,0.0006,0.0000,0.0013,-0.0009,-0.0008,0.0005,0.0005,0.0009,-0.0016,-0.0016,-0.0024,-0.0002,0.0006,-0.0009,0.0007,-0.0007,0.0010,0.0004,0.0013,-0.0012,0.0001,0.0003,0.0012,0.0001,-0.0013,-0.0005,0.0005,0.0011,-0.0007,0.0010
0.32,0.9988,0.9917,0.9218,0.5260,0.0039,0.0026,-0.0063,0.0015,0.0006,-0.0019,0.0048,0.0011,-0.0023,0.0000,0.0012,-0.0000,0.0015,0.0000,0.0005,0.0000,0.0015,-0.0013,-0.0003,0.0002,-0.0001,-0.0004,-0.0009,0.0008,0.0008,-0.0012,-0.0009,0.0000,0.0003,0.0006,0.0013,0.0012,0.0012,-0.0001,-0.0002,0.0006,-0.0006,-0.0001,-0.0001,0.0001,0.0008,0.0009,-0.0010,-0.0007,-0.0001,0.0007
0.33,0.9988,0.9922,0.8809,0.2345,0.0066,0.0058,0.0081,-0.0032,0.0020,-0.0021,0.0001,0.0015,-0.0008,-0.0016,0.0013,0.0003,-0.0002,0.0004,0.0004,-0.0007,0.0006,0.0004,0.0014,0.0015,0.0011,0.0006,0.0013,-0.0015,-0.0007,-0.0007,-0.0021,0.0004,-0.0003,0.0016,0.0006,-0.0010,0.0007,0.0004,-0.0001,0.0000,-0.0000,0.0011,-0.0014,-0.0015,0.0014,0.0000,-0.0001,0.0004,0.0015,0.0019
0.34,0.9988,0.9920,0.8987,0.2812,0.0007,-0.0030,0.0096,0.0013,0.0013,-0.0029,0.0022,0.0019,-0.0002,0.0001,-0.0008,0.0000,0.0008,-0.0013,-0.0008,0.0010,-0.0001,-0.0004,0.0005,-0.0013,-0.0010,-0.0011,0.0014,-0.0001,0.0021,-0.0020,0.0011,0.0007,-0.0015,-0.0000,-0.0011,-0.0008,0.0003,0.0021,-0.0009,-0.0011,-0.0003,-0.0013,0.0008,0.0014,0.0004,0.0003,-0.0019,0.0002,-0.0008,-0.0003
0.35,0.9988,0.9893,0.7890,0.0409,0.0155,0.0082,-0.0023,-0.0001,0.0008,-0.0036,0.0007,0.0030,0.0001,0.0007,0.0000,-0.0002,0.0005,0.0010,0.0010,0.0011,-0.0002,0.0014,-0.0005,0.0016,0.0014,0.0004,0.0015,0.0002,0.0025,0.0002,-0.0000,-0.0005,-0.0010,0.0011,0.0001,-0.0002,-0.0006,-0.0007,-0.0014,-0.0005,0.0004,0.0002,-0.0008,0.0005,0.0009,-0.0000,-0.0010,-0.0005,-0.0000,-0.0014
0.36,0.9988,0.9898,0.8013,0.0088,-0.0090,0.0036,-0.0024,0.0041,0.0026,0.0037,-0.0002,-0.0011,0.0008,-0.0008,0.0018,0.0002,0.0011,0.0008,-0.0005,0.0006,-0.0005,0.0007,0.0004,-0.0016,0.0013,-0.0005,0.0003,0.0006,0.0006,0.0019,-0.0004,-0.0003,0.0003,-0.0002,-0.0003,-0.0001,-0.0010,-0.0001,0.0016,0.0002,0.0004,-0.0011,-0.0003,-0.0003,0.0004,0.0006,-0.0006,0.0012,0.0012,0.0017
0.37,0.9988,0.9848,0.5730,-0.0088,0.0065,0.0040,0.0009,-0.0019,-0.0001,0.0020,0.0008,-0.0001,0.0011,0.0011,0.0011,-0.0002,0.0014,0.0007,0.0002,0.0003,0.0002,-0.0002,0.0012,-0.0003,0.0003,0.0007,0.0006,0.0010,-0.0008,0.0002,0.0008,-0.0007,0.0013,0.0009,0.0020,0.0007,0.0008,-0.0003,0.0007,-0.0011,-0.0008,0.0013,0.0010,0.0010,-0.0005,0.0006,-0.0004,0.0005,0.0015,-0.0007
