T,phi_observed,phi_theory,phi_analytical,difference
0.025,0.9876,0.9875773655572,0.9875781219484807,2.2634442800040233e-5
0.075,0.9635,0.9631962451693938,0.9632028779812717,0.00030375483060618436
0.125,0.9397,0.9394332917402812,0.9394512213675874,0.0002667082597187509
0.175,0.9168,0.9162866685512928,0.9163208256456926,0.0005133314487071328
0.225,0.8944,0.8937534114247856,0.8938082281289366,0.0006465885752143796
0.275,0.8727,0.8718294545174184,0.871908861661121,0.0008705454825815861
0.325,0.8514,0.8505096658182028,0.8506170958976066,0.0008903341817972921
0.375,0.8305,0.8297878916304627,0.8299262872562316,0.0007121083695372787
0.425,0.8106,0.809657009147411,0.8098288365296168,0.0009429908525889763
0.475,0.7907,0.7901089860931948,0.7903162530335857,0.0005910139068051601
0.525,0.7722,0.7711349462987738,0.7713792240876107,0.0010650537012262262
0.575,0.7536,0.7527252400167928,0.753007688582838,0.0008747599832072961
0.625,0.7359,0.7348695177516761,0.7351909133900132,0.0010304822483239162
0.675,0.7196,0.7175568063888275,0.7179175713905847,0.0020431936111725557
0.725,0.7028,0.7007755864469334,0.7011758199752403,0.002024413553066595
0.775,0.6854,0.6845138693455407,0.6849533789400823,0.0008861306544593051
0.825,0.67,0.6687592736713144,0.6692376068159968,0.0012407263286856596
0.875,0.6543,0.6534990995350687,0.6540155747858112,0.000800900464931309
0.925,0.6393,0.6387204002322106,0.6392741374710155,0.0005795997677894293
0.975,0.6266,0.6244100505462893,0.625,0.00218994945371076
1.025,0.6117,0.6105548111639298,0.6111797808984551,0.0011451888360701767
1.075,0.5982,0.5971413887953114,0.597800070465954,0.001058611204688531
1.125,0.5842,0.5841564917139546,0.5848474844178637,4.350828604549051e-5
1.175,0.572,0.5715868805402018,0.5723087126763621,0.00041311945979816134
1.225,0.561,0.5594194141924114,0.5601705632870639,0.0015805858075886858
1.275,0.5497,0.5476410910173685,0.5484200015178089,0.002058908982631502
1.325,0.5309,0.5362390851861083,0.5370441842633392,-0.005339085186108261
1.375,0.5196,0.5252007785032865,0.526030489934225,-0.005600778503286552
1.425,0.4866,0.514513787827822,0.5153665440511034,-0.027913787827822
1.475,0.4403,0.5041659883405446,0.5050402407970536,-0.06386598834054458
1.525,0.3698,0.4941455329220196,0.49503976080281453,-0.12434553292201961
1.575,0.2685,0.48444086792174706,0.48535358545278096,-0.21594086792174705
1.625,0.1895,0.4750407456097687,0.475970508005519,-0.2855407456097687
1.675,0.0803,0.4659342336045953,0.46687964182211916,-0.3856342336045953
1.725,0.0225,0.45711072156850285,0.4580704259902233,-0.43461072156850283
1.775,0.002,0.44855992545375006,0.44953262862205423,-0.44655992545375006
1.825,-0.0002,0.4402718895721611,0.4412563480922259,-0.4404718895721611
1.875,-0.0001,0.43223698674675287,0.4332320124663318,-0.43233698674675286
1.925,0.0003,0.4244459167884062,0.42545037735504077,-0.4241459167884062
1.975,-0.0008,0.4168897035237273,0.417902522411284,-0.4176897035237273
