alpha,T0.0250,T0.0750,T0.1250,T0.1750,T0.2250,T0.2750,T0.3250,T0.3750,T0.4250,T0.4750,T0.5250,T0.5750,T0.6250,T0.6750,T0.7250,T0.7750,T0.8250,T0.8750,T0.9250,T0.9750,T1.0250,T1.0750,T1.1250,T1.1750,T1.2250,T1.2750,T1.3250,T1.3750,T1.4250,T1.4750,T1.5250,T1.5750,T1.6250,T1.6750,T1.7250,T1.7750,T1.8250,T1.8750,T1.9250,T1.9750
0.01,0.9562,0.9617,0.9394,0.9163,0.8939,0.8721,0.8508,0.8300,0.8103,0.7903,0.7710,0.7534,0.7351,0.7184,0.7017,0.6851,0.6697,0.6541,0.6393,0.6257,0.6112,0.5989,0.5845,0.5736,0.5606,0.5486,0.5369,0.5259,0.5161,0.5047,0.4952,0.4858,0.4749,0.4672,0.4585,0.4499,0.4409,0.4326,0.4260,0.4184
0.02,0.9815,0.9633,0.9394,0.9166,0.8938,0.8722,0.8507,0.8304,0.8103,0.7911,0.7714,0.7533,0.7362,0.7187,0.7018,0.6852,0.6700,0.6547,0.6395,0.6251,0.6116,0.5985,0.5854,0.5726,0.5598,0.5492,0.5368,0.5259,0.5149,0.5050,0.4951,0.4860,0.4760,0.4654,0.4578,0.4499,0.4420,0.4334,0.4261,0.4177
0.03,0.9866,0.9634,0.9396,0.9168,0.8941,0.8721,0.8507,0.8306,0.8101,0.7907,0.7716,0.7532,0.7353,0.7178,0.7020,0.6858,0.6696,0.6535,0.6397,0.6253,0.6112,0.5989,0.5854,0.5733,0.5607,0.5500,0.5377,0.5264,0.5162,0.5048,0.4952,0.4853,0.4751,0.4666,0.4587,0.4474,0.4423,0.4224,0.4131,0.3804
0.04,0.9874,0.9634,0.9395,0.9167,0.8945,0.8720,0.8509,0.8305,0.8103,0.7916,0.7723,0.7539,0.7358,0.7183,0.7017,0.6853,0.6696,0.6554,0.6407,0.6255,0.6118,0.5985,0.5851,0.5720,0.5608,0.5491,0.5369,0.5271,0.5164,0.5058,0.4933,0.4763,0.4585,0.4144,0.3789,0.3080,0.2172,0.1450,0.0585,0.0205
0.05,0.9876,0.9634,0.9398,0.9169,0.8944,0.8729,0.8515,0.8305,0.8105,0.7909,0.7722,0.7537,0.7357,0.7184,0.7026,0.6859,0.6698,0.6548,0.6386,0.6256,0.6122,0.5985,0.5857,0.5733,0.5608,0.5478,0.5354,0.5146,0.4885,0.4543,0.3625,0.2866,0.1746,0.0880,0.0281,0.0049,-0.0001,-0.0015,-0.0007,0.0013
0.06,0.9876,0.9634,0.9398,0.9167,0.8943,0.8725,0.8514,0.8304,0.8107,0.7914,0.7720,0.7544,0.7360,0.7181,0.7019,0.6865,0.6707,0.6540,0.6402,0.6267,0.6124,0.5990,0.5843,0.5701,0.5476,0.5114,0.4472,0.3453,0.2458,0.1343,0.0314,0.0048,0.0015,-0.0011,-0.0000,-0.0004,-0.0031,-0.0001,0.0004,-0.0011
0.07,0.9877,0.9634,0.9398,0.9169,0.8944,0.8726,0.8516,0.8306,0.8107,0.7915,0.7723,0.7543,0.7364,0.7194,0.7018,0.6857,0.6704,0.6543,0.6409,0.6255,0.6099,0.5902,0.5557,0.5003,0.4121,0.2891,0.1319,0.0369,0.0061,0.0020,0.0003,-0.0001,-0.0007,-0.0004,0.0004,-0.0018,0.0006,0.0007,0.0003,0.0005
0.08,0.9877,0.9634,0.9399,0.9169,0.8945,0.8727,0.8517,0.8311,0.8107,0.7914,0.7724,0.7540,0.7375,0.7190,0.7020,0.6864,0.6703,0.6551,0.6392,0.6207,0.5886,0.5201,0.4297,0.2741,0.0951,0.0218,0.0045,0.0000,0.0012,0.0011,0.0031,-0.0012,-0.0002,0.0003,-0.0007,-0.0007,-0.0011,-0.0010,0.0003,-0.0003
0.09,0.9877,0.9636,0.9398,0.9169,0.8947,0.8731,0.8518,0.8315,0.8107,0.7912,0.7724,0.7542,0.7364,0.7188,0.7031,0.6860,0.6716,0.6518,0.6208,0.5627,0.4598,0.2608,0.1076,0.0231,0.0050,0.0030,0.0016,-0.0025,0.0006,0.0016,0.0005,0.0002,-0.0006,0.0000,0.0002,0.0005,0.0009,0.0005,-0.0007,0.0001
0.10,0.9877,0.9634,0.9399,0.9172,0.8949,0.8728,0.8514,0.8311,0.8111,0.7916,0.7728,0.7545,0.7357,0.7196,0.7023,0.6861,0.6608,0.6248,0.5154,0.3733,0.1662,0.0415,0.0041,-0.0026,-0.0039,-0.0011,0.0024,0.0001,0.0008,-0.0011,-0.0001,0.0019,0.0015,-0.0011,0.0001,-0.0007,0.0012,0.0007,0.0002,-0.0013
0.11,0.9878,0.9634,0.9401,0.9169,0.8947,0.8729,0.8518,0.8316,0.8114,0.7923,0.7732,0.7549,0.7375,0.7180,0.7017,0.6747,0.6272,0.4983,0.3333,0.0842,0.0157,0.0050,0.0014,0.0021,-0.0003,0.0000,0.0019,-0.0014,-0.0010,-0.0005,-0.0011,-0.0003,0.0012,0.0006,0.0001,-0.0008,-0.0000,-0.0005,-0.0006,-0.0001
0.12,0.9876,0.9634,0.9398,0.9173,0.8946,0.8733,0.8523,0.8311,0.8116,0.7918,0.7731,0.7548,0.7374,0.7127,0.6861,0.6230,0.4784,0.2772,0.0880,0.0088,0.0018,-0.0017,0.0006,0.0011,-0.0008,0.0007,-0.0005,-0.0001,-0.0007,-0.0003,-0.0000,0.0003,0.0005,-0.0005,-0.0006,0.0006,-0.0006,-0.0015,-0.0001,0.0004
0.13,0.9878,0.9637,0.9401,0.9173,0.8951,0.8733,0.8522,0.8315,0.8113,0.7918,0.7734,0.7552,0.7345,0.6989,0.6440,0.4728,0.2362,0.0580,0.0014,-0.0012,0.0030,-0.0017,-0.0005,0.0007,-0.0005,0.0003,-0.0007,-0.0011,0.0003,-0.0006,0.0003,0.0004,0.0003,0.0002,-0.0002,-0.0008,0.0004,0.0017,0.0004,-0.0005
0.14,0.9877,0.9636,0.9402,0.9171,0.8949,0.8730,0.8519,0.8314,0.8122,0.7921,0.7742,0.7529,0.7256,0.6654,0.5079,0.2813,0.0686,0.0030,-0.0008,-0.0037,-0.0012,-0.0008,0.0023,-0.0024,-0.0010,-0.0001,0.0001,-0.0011,0.0002,-0.0010,-0.0010,-0.0002,-0.0002,-0.0012,-0.0001,0.0002,-0.0008,-0.0009,-0.0001,-0.0002
0.15,0.9877,0.9638,0.9402,0.9171,0.8948,0.8735,0.8516,0.8317,0.8116,0.7918,0.7704,0.7487,0.6927,0.5657,0.2935,0.0576,0.0056,-0.0050,0.0009,-0.0021,0.0018,0.0032,0.0010,-0.0035,-0.0020,-0.0013,0.0018,-0.0002,-0.0013,-0.0001,0.0002,-0.0000,0.0001,0.0005,-0.0002,0.0005,-0.0002,-0.0007,-0.0010,0.0010
0.16,0.9879,0.9636,0.9404,0.9179,0.8953,0.8734,0.8521,0.8312,0.8122,0.7925,0.7698,0.7225,0.6116,0.3671,0.0985,0.0059,0.0060,0.0008,-0.0014,-0.0006,-0.0008,0.0017,-0.0009,0.0005,0.0005,-0.0005,0.0010,0.0003,0.0005,0.0007,-0.0009,-0.0005,-0.0005,-0.0007,0.0006,-0.0002,0.0000,0.0001,-0.0002,0.0004
0.17,0.9877,0.9636,0.9403,0.9178,0.8951,0.8739,0.8529,0.8319,0.8119,0.7923,0.7553,0.6980,0.5163,0.1782,0.0195,0.0060,0.0041,-0.0046,-0.0040,-0.0047,0.0011,-0.0007,-0.0021,0.0005,-0.0003,-0.0022,0.0003,-0.0001,-0.0010,0.0004,-0.0004,-0.0007,0.0004,0.0006,0.0002,-0.0001,0.0001,-0.0002,-0.0004,0.0013
0.18,0.9878,0.9639,0.9402,0.9176,0.8955,0.8735,0.8526,0.8322,0.8122,0.7910,0.7227,0.5685,0.2357,0.0272,0.0021,0.0053,-0.0000,0.0042,-0.0010,0.0005,-0.0020,0.0023,-0.0010,-0.0000,-0.0019,-0.0001,-0.0000,0.0002,0.0007,0.0003,0.0004,0.0002,-0.0002,-0.0001,-0.0001,-0.0004,-0.0001,-0.0007,-0.0003,0.0007
0.19,0.9877,0.9637,0.9405,0.9175,0.8955,0.8736,0.8532,0.8322,0.8122,0.7681,0.6682,0.3649,0.0796,0.0061,0.0020,-0.0006,-0.0001,-0.0033,-0.0007,0.0029,-0.0008,0.0011,-0.0024,-0.0004,0.0011,-0.0002,0.0010,0.0009,-0.0008,0.0002,0.0009,0.0003,0.0003,-0.0001,-0.0006,0.0002,0.0002,0.0004,-0.0004,-0.0006
0.20,0.9877,0.9639,0.9402,0.9174,0.8955,0.8736,0.8526,0.8320,0.8043,0.7528,0.5692,0.2160,0.0201,0.0040,0.0001,0.0003,-0.0007,-0.0006,-0.0001,0.0011,-0.0016,0.0006,-0.0001,0.0004,-0.0008,0.0012,0.0013,0.0003,0.0009,0.0001,0.0008,-0.0003,0.0003,0.0001,-0.0004,-0.0001,-0.0002,-0.0008,0.0000,-0.0003
0.21,0.9877,0.9639,0.9406,0.9178,0.8952,0.8737,0.8530,0.8322,0.7984,0.6585,0.3294,0.0319,0.0001,-0.0003,0.0005,0.0029,-0.0005,0.0001,-0.0002,-0.0004,-0.0016,-0.0009,-0.0001,-0.0009,-0.0000,-0.0002,0.0004,0.0014,0.0003,0.0012,-0.0010,0.0005,0.0001,0.0004,-0.0006,0.0003,-0.0008,-0.0008,0.0007,-0.0011
0.22,0.9878,0.9640,0.9406,0.9176,0.8954,0.8736,0.8529,0.8268,0.7443,0.5819,0.1354,0.0013,-0.0027,-0.0053,-0.0042,0.0025,0.0012,0.0016,0.0021,0.0006,0.0003,-0.0005,-0.0010,0.0008,0.0008,0.0001,0.0015,0.0004,-0.0007,-0.0003,-0.0006,-0.0012,-0.0005,0.0010,-0.0001,-0.0003,-0.0011,0.0003,0.0002,-0.0004
0.23,0.9879,0.9639,0.9408,0.9181,0.8956,0.8737,0.8534,0.8240,0.7063,0.3734,0.0287,-0.0101,0.0048,-0.0004,-0.0014,-0.0029,-0.0010,-0.0026,-0.0009,0.0001,0.0005,-0.0011,-0.0003,0.0007,-0.0004,-0.0002,0.0007,-0.0006,-0.0008,0.0009,0.0010,-0.0008,-0.0005,-0.0016,0.0003,-0.0001,-0.0010,-0.0004,0.0002,-0.0005
0.24,0.9878,0.9638,0.9405,0.9178,0.8959,0.8738,0.8515,0.8112,0.6502,0.2717,0.0038,0.0019,-0.0017,0.0008,0.0001,0.0010,0.0005,0.0019,0.0014,-0.0003,0.0011,0.0009,-0.0017,0.0001,-0.0005,0.0009,0.0007,-0.0002,-0.0005,-0.0022,-0.0009,0.0001,-0.0006,-0.0002,-0.0003,0.0004,-0.0004,0.0003,0.0001,-0.0006
0.25,0.9879,0.9639,0.9407,0.9179,0.8958,0.8735,0.8410,0.7881,0.4966,0.0584,0.0053,0.0063,0.0032,0.0010,0.0058,-0.0002,-0.0026,-0.0008,0.0009,-0.0004,0.0010,0.0004,0.0000,-0.0004,0.0000,-0.0002,0.0014,0.0009,-0.0000,0.0011,0.0004,-0.0017,-0.0000,0.0010,0.0003,0.0003,-0.0004,0.0011,-0.0006,0.0003
0.26,0.9879,0.9640,0.9408,0.9181,0.8960,0.8726,0.8379,0.6722,0.2754,0.0105,-0.0025,-0.0004,0.0021,0.0020,-0.0027,-0.0012,0.0003,0.0017,0.0013,0.0001,0.0007,-0.0000,-0.0007,-0.0001,0.0011,0.0007,0.0006,0.0007,0.0002,0.0004,0.0009,0.0003,0.0010,0.0001,-0.0004,0.0003,-0.0004,-0.0001,0.0001,0.0003
0.27,0.9878,0.9640,0.9404,0.9180,0.8954,0.8718,0.8325,0.5879,0.1021,0.0078,-0.0005,0.0017,0.0002,-0.0013,-0.0004,-0.0001,0.0032,-0.0006,-0.0028,0.0011,-0.0003,-0.0011,-0.0015,0.0003,0.0011,-0.0003,0.0001,-0.0008,-0.0005,-0.0006,0.0001,0.0001,0.0007,0.0008,0.0005,-0.0001,-0.0012,0.0003,-0.0001,0.0005
