alpha,T0.0250,T0.0750,T0.1250,T0.1750,T0.2250,T0.2750,T0.3250,T0.3750,T0.4250,T0.4750,T0.5250,T0.5750,T0.6250,T0.6750,T0.7250,T0.7750,T0.8250,T0.8750,T0.9250,T0.9750,T1.0250,T1.0750,T1.1250,T1.1750,T1.2250,T1.2750,T1.3250,T1.3750,T1.4250,T1.4750,T1.5250,T1.5750,T1.6250,T1.6750,T1.7250,T1.7750,T1.8250,T1.8750,T1.9250,T1.9750
0.01,0.9057,0.9036,0.9034,0.8993,0.8984,0.9006,0.8912,0.8776,0.8543,0.8339,0.8074,0.7794,0.7461,0.7211,0.7016,0.6849,0.6696,0.6542,0.6394,0.6251,0.6121,0.5982,0.5847,0.5726,0.5605,0.5479,0.5382,0.5251,0.5150,0.5040,0.4947,0.4851,0.4756,0.4663,0.4583,0.4502,0.4408,0.4333,0.4257,0.4183
0.02,0.9379,0.9363,0.9346,0.9276,0.9078,0.8852,0.8554,0.8304,0.8101,0.7905,0.7721,0.7537,0.7356,0.7188,0.7017,0.6851,0.6696,0.6541,0.6401,0.6253,0.6107,0.5977,0.5858,0.5726,0.5602,0.5482,0.5376,0.5263,0.5149,0.5061,0.4951,0.4857,0.4768,0.4668,0.4578,0.4507,0.4409,0.4333,0.4255,0.4180
0.03,0.9422,0.9415,0.9397,0.9304,0.9054,0.8809,0.8521,0.8303,0.8104,0.7906,0.7721,0.7531,0.7356,0.7184,0.7014,0.6854,0.6691,0.6548,0.6403,0.6253,0.6119,0.5985,0.5853,0.5727,0.5603,0.5496,0.5375,0.5274,0.5163,0.5062,0.4966,0.4854,0.4754,0.4672,0.4577,0.4503,0.4419,0.4290,0.4184,0.4067
0.04,0.9452,0.9452,0.9396,0.9265,0.9063,0.8772,0.8515,0.8306,0.8104,0.7908,0.7718,0.7536,0.7357,0.7187,0.7026,0.6857,0.6697,0.6546,0.6409,0.6255,0.6118,0.5986,0.5855,0.5723,0.5604,0.5490,0.5376,0.5273,0.5151,0.5056,0.4941,0.4809,0.4720,0.4506,0.4253,0.3892,0.3206,0.2623,0.1905,0.1332
0.05,0.9477,0.9462,0.9393,0.9251,0.9034,0.8756,0.8510,0.8306,0.8100,0.7911,0.7723,0.7534,0.7366,0.7186,0.7024,0.6861,0.6706,0.6553,0.6404,0.6254,0.6117,0.5986,0.5861,0.5730,0.5597,0.5487,0.5357,0.5216,0.4986,0.4734,0.4230,0.3706,0.2743,0.1867,0.0902,0.0443,0.0123,0.0047,0.0008,0.0006
0.06,0.9491,0.9480,0.9412,0.9267,0.9020,0.8762,0.8520,0.8309,0.8104,0.7907,0.7725,0.7537,0.7355,0.7186,0.7024,0.6859,0.6695,0.6557,0.6404,0.6257,0.6117,0.5982,0.5845,0.5682,0.5448,0.5301,0.4791,0.4094,0.3078,0.2098,0.1040,0.0408,0.0111,0.0044,-0.0006,-0.0004,-0.0002,-0.0004,0.0007,0.0010
0.07,0.9511,0.9491,0.9436,0.9265,0.9014,0.8755,0.8516,0.8307,0.8107,0.7908,0.7722,0.7536,0.7362,0.7185,0.7017,0.6862,0.6700,0.6553,0.6401,0.6264,0.6110,0.5911,0.5623,0.5183,0.4450,0.3249,0.1863,0.0666,0.0174,0.0043,0.0001,0.0000,0.0008,-0.0006,-0.0018,0.0004,-0.0007,-0.0022,0.0009,-0.0005
0.08,0.9518,0.9501,0.9422,0.9257,0.9022,0.8738,0.8519,0.8310,0.8101,0.7911,0.7724,0.7544,0.7362,0.7184,0.7033,0.6856,0.6705,0.6547,0.6396,0.6198,0.5943,0.5419,0.4502,0.3162,0.1463,0.0540,0.0084,0.0021,0.0002,-0.0002,-0.0018,-0.0017,0.0017,0.0002,-0.0010,-0.0006,0.0008,0.0014,-0.0018,-0.0000
0.09,0.9539,0.9508,0.9429,0.9237,0.8990,0.8729,0.8518,0.8305,0.8111,0.7918,0.7720,0.7547,0.7359,0.7194,0.7022,0.6860,0.6709,0.6527,0.6221,0.5681,0.4628,0.3051,0.1445,0.0402,0.0035,-0.0007,-0.0009,0.0017,0.0031,0.0015,-0.0014,-0.0020,-0.0018,-0.0019,-0.0007,0.0016,0.0012,-0.0006,0.0003,0.0008
0.10,0.9521,0.9522,0.9436,0.9254,0.8986,0.8731,0.8521,0.8315,0.8110,0.7917,0.7732,0.7548,0.7370,0.7208,0.7026,0.6863,0.6547,0.6189,0.5241,0.3632,0.1926,0.0406,-0.0006,-0.0011,0.0030,-0.0005,0.0008,0.0013,0.0023,0.0001,0.0022,-0.0002,0.0017,0.0003,0.0020,0.0010,-0.0002,-0.0007,0.0006,-0.0011
0.11,0.9552,0.9536,0.9435,0.9252,0.8978,0.8728,0.8527,0.8321,0.8126,0.7917,0.7729,0.7547,0.7375,0.7161,0.6968,0.6666,0.6060,0.4789,0.2945,0.0966,0.0174,0.0008,-0.0009,0.0018,-0.0032,-0.0015,0.0013,0.0002,-0.0001,-0.0001,-0.0003,-0.0002,0.0007,0.0006,-0.0017,-0.0003,0.0010,0.0019,0.0005,0.0014
0.12,0.9555,0.9535,0.9451,0.9230,0.8996,0.8736,0.8518,0.8311,0.8113,0.7920,0.7734,0.7550,0.7374,0.7174,0.6905,0.6194,0.4573,0.2233,0.0606,0.0045,-0.0051,-0.0019,-0.0010,0.0010,0.0005,-0.0003,-0.0001,-0.0004,-0.0014,-0.0012,0.0005,-0.0014,0.0007,-0.0014,-0.0014,-0.0007,0.0010,-0.0007,-0.0027,0.0006
0.13,0.9549,0.9539,0.9434,0.9234,0.8987,0.8734,0.8524,0.8311,0.8120,0.7924,0.7724,0.7541,0.7319,0.6869,0.6103,0.4158,0.1842,0.0322,-0.0026,-0.0006,-0.0026,-0.0001,-0.0023,-0.0004,0.0012,0.0003,-0.0011,-0.0000,0.0000,0.0014,-0.0014,0.0004,-0.0007,-0.0003,-0.0016,-0.0008,-0.0000,-0.0011,-0.0000,0.0003
0.14,0.9575,0.9548,0.9457,0.9242,0.8983,0.8732,0.8525,0.8316,0.8112,0.7912,0.7735,0.7514,0.7262,0.6362,0.4556,0.1978,0.0277,0.0005,-0.0029,-0.0030,-0.0003,-0.0015,-0.0015,-0.0007,0.0014,0.0002,0.0007,-0.0007,-0.0009,0.0001,0.0004,-0.0000,0.0005,-0.0002,0.0020,0.0021,-0.0017,0.0005,0.0001,0.0005
0.15,0.9575,0.9557,0.9443,0.9226,0.8970,0.8737,0.8517,0.8319,0.8112,0.7913,0.7695,0.7421,0.6577,0.4761,0.2053,0.0348,-0.0003,0.0015,0.0043,-0.0009,0.0013,-0.0005,-0.0022,-0.0005,0.0021,0.0013,0.0001,0.0015,0.0010,0.0009,-0.0001,-0.0004,0.0010,0.0007,0.0001,-0.0002,0.0014,0.0008,-0.0006,0.0001
0.16,0.9580,0.9574,0.9453,0.9234,0.8963,0.8738,0.8526,0.8315,0.8117,0.7919,0.7661,0.7100,0.5240,0.2429,0.0399,-0.0019,-0.0030,-0.0015,-0.0000,-0.0042,0.0006,0.0015,0.0005,0.0003,-0.0003,-0.0011,0.0005,0.0009,-0.0003,0.0018,0.0006,-0.0004,0.0009,-0.0002,-0.0000,-0.0008,-0.0004,-0.0009,-0.0004,0.0009
0.17,0.9593,0.9559,0.9472,0.9214,0.8977,0.8738,0.8522,0.8319,0.8128,0.7898,0.7420,0.6236,0.4028,0.0914,0.0004,-0.0044,-0.0023,-0.0011,0.0011,-0.0037,-0.0011,0.0002,-0.0002,0.0016,0.0013,-0.0012,0.0014,0.0011,0.0002,0.0007,0.0016,0.0003,0.0008,0.0006,0.0003,-0.0001,-0.0001,0.0004,-0.0006,-0.0015
0.18,0.9591,0.9572,0.9443,0.9244,0.8972,0.8734,0.8534,0.8317,0.8112,0.7819,0.6827,0.4595,0.1239,-0.0024,0.0010,-0.0011,-0.0019,-0.0045,0.0040,-0.0003,-0.0013,0.0007,0.0007,0.0004,0.0009,-0.0008,-0.0001,-0.0002,0.0013,-0.0005,-0.0009,-0.0006,-0.0005,-0.0002,-0.0002,0.0004,-0.0014,0.0008,-0.0015,0.0001
0.19,0.9599,0.9568,0.9458,0.9212,0.8969,0.8734,0.8520,0.8312,0.8077,0.7539,0.5544,0.2035,0.0134,0.0059,-0.0030,0.0016,0.0010,-0.0011,-0.0025,0.0027,0.0016,0.0001,0.0001,-0.0011,0.0009,-0.0022,-0.0002,-0.0008,-0.0007,0.0003,-0.0010,0.0004,-0.0002,-0.0005,-0.0001,0.0012,-0.0003,-0.0004,0.0012,-0.0001
0.20,0.9596,0.9560,0.9438,0.9210,0.8972,0.8737,0.8533,0.8329,0.7982,0.6994,0.4186,0.0998,0.0080,0.0031,0.0018,0.0004,0.0034,-0.0020,-0.0010,-0.0000,0.0002,0.0003,-0.0006,-0.0008,-0.0004,-0.0016,-0.0009,0.0001,-0.0020,0.0001,0.0015,0.0011,0.0011,-0.0009,-0.0010,-0.0002,-0.0002,-0.0003,-0.0012,-0.0014
0.21,0.9619,0.9579,0.9450,0.9212,0.8956,0.8734,0.8533,0.8266,0.7656,0.5208,0.1825,0.0155,-0.0002,0.0012,-0.0021,-0.0018,-0.0009,0.0013,-0.0009,-0.0002,0.0003,0.0013,-0.0012,0.0011,-0.0008,0.0004,0.0007,-0.0005,-0.0008,-0.0007,0.0007,-0.0002,0.0009,-0.0003,-0.0007,0.0001,0.0011,0.0006,-0.0000,0.0001
0.22,0.9615,0.9570,0.9463,0.9186,0.8961,0.8747,0.8532,0.8226,0.7013,0.3583,0.0502,0.0007,-0.0010,-0.0042,0.0041,0.0003,0.0020,-0.0010,-0.0005,-0.0021,0.0029,-0.0009,-0.0002,-0.0004,-0.0009,0.0001,-0.0013,0.0000,-0.0011,-0.0006,-0.0007,0.0001,0.0005,0.0005,-0.0007,-0.0013,-0.0000,-0.0000,-0.0003,0.0008
0.23,0.9614,0.9570,0.9438,0.9208,0.8964,0.8745,0.8503,0.7908,0.5843,0.1610,0.0019,-0.0045,0.0018,0.0017,0.0021,0.0011,-0.0000,0.0022,0.0003,-0.0002,0.0006,-0.0011,0.0002,-0.0003,-0.0002,0.0005,-0.0004,0.0003,0.0000,-0.0017,-0.0008,0.0006,-0.0001,-0.0015,0.0015,-0.0007,-0.0012,0.0001,0.0016,-0.0002
0.24,0.9623,0.9586,0.9459,0.9206,0.8958,0.8739,0.8486,0.7847,0.4878,0.0882,-0.0027,-0.0040,-0.0027,0.0019,-0.0006,-0.0005,-0.0009,-0.0002,-0.0001,-0.0013,-0.0010,0.0014,0.0001,-0.0007,-0.0011,-0.0012,0.0011,-0.0004,0.0013,0.0002,-0.0001,-0.0016,-0.0003,0.0002,0.0004,0.0004,-0.0006,0.0008,-0.0002,-0.0002
0.25,0.9614,0.9589,0.9470,0.9238,0.8962,0.8740,0.8405,0.7073,0.2690,0.0076,0.0032,-0.0035,-0.0052,-0.0001,0.0021,-0.0004,0.0000,-0.0014,-0.0011,0.0004,0.0000,0.0002,0.0008,0.0009,0.0002,-0.0010,0.0004,0.0002,0.0005,0.0009,-0.0003,-0.0006,-0.0007,-0.0002,-0.0000,-0.0009,0.0002,0.0009,-0.0001,-0.0000
0.26,0.9632,0.9596,0.9449,0.9220,0.8963,0.8699,0.8150,0.5089,0.0678,0.0007,0.0026,0.0001,-0.0020,-0.0033,-0.0011,0.0003,0.0002,0.0000,0.0012,-0.0003,-0.0003,-0.0003,-0.0007,0.0008,-0.0017,0.0011,-0.0005,0.0005,-0.0003,-0.0005,0.0002,0.0001,0.0019,-0.0018,0.0003,-0.0001,0.0004,0.0005,-0.0005,-0.0006
0.27,0.9610,0.9602,0.9438,0.9204,0.8968,0.8632,0.7786,0.4064,0.0334,0.0014,-0.0013,0.0097,-0.0013,-0.0004,-0.0007,-0.0007,0.0020,0.0017,-0.0012,0.0013,-0.0012,-0.0011,-0.0010,-0.0000,-0.0001,0.0016,0.0006,0.0001,-0.0016,0.0000,0.0008,0.0010,0.0004,-0.0001,-0.0013,0.0004,-0.0015,-0.0005,0.0003,0.0014
0.28,0.9633,0.9577,0.9451,0.9200,0.8965,0.8659,0.7226,0.2332,0.0011,0.0065,0.0027,0.0013,-0.0013,0.0000,-0.0009,0.0009,-0.0020,0.0019,0.0011,0.0002,0.0010,-0.0002,0.0001,-0.0007,0.0003,0.0007,-0.0000,-0.0007,-0.0002,0.0014,-0.0014,0.0006,0.0001,0.0001,-0.0013,-0.0002,-0.0003,0.0002,-0.0005,0.0003
0.29,0.9630,0.9596,0.9460,0.9158,0.8916,0.8465,0.5076,0.0409,-0.0082,-0.0022,-0.0005,0.0015,0.0012,-0.0000,0.0006,-0.0012,-0.0013,-0.0020,0.0012,0.0005,0.0000,-0.0005,-0.0001,-0.0014,0.0004,0.0004,0.0005,-0.0006,-0.0014,-0.0019,-0.0003,0.0013,-0.0006,0.0017,-0.0003,0.0001,0.0008,0.0004,-0.0003,0.0002
0.30,0.9599,0.9592,0.9458,0.9194,0.8936,0.7942,0.3007,0.0096,-0.0039,0.0049,-0.0017,0.0019,0.0010,0.0014,0.0000,0.0004,0.0018,0.0010,0.0006,0.0005,-0.0005,-0.0004,-0.0015,-0.0001,0.0001,0.0002,-0.0012,0.0010,0.0023,0.0013,0.0006,-0.0001,-0.0006,-0.0002,-0.0013,-0.0009,-0.0010,-0.0000,-0.0010,-0.0019
0.31,0.9630,0.9579,0.9383,0.9173,0.8829,0.7563,0.1653,-0.0024,-0.0044,-0.0044,0.0009,0.0009,0.0019,0.0006,-0.0001,-0.0019,-0.0000,-0.0009,-0.0008,0.0004,0.0003,0.0004,0.0008,-0.0014,0.0001,-0.0011,-0.0002,0.0005,-0.0007,-0.0005,-0.0008,0.0006,-0.0007,0.0001,-0.0009,0.0000,0.0002,-0.0005,0.0007,0.0001
0.32,0.9654,0.9606,0.9384,0.9125,0.8717,0.5941,0.0467,0.0014,0.0045,-0.0002,0.0013,-0.0013,0.0016,0.0002,0.0001,-0.0004,0.0019,0.0007,0.0014,0.0006,0.0013,-0.0005,-0.0006,0.0003,-0.0001,-0.0002,0.0004,-0.0006,0.0012,0.0019,0.0019,-0.0001,0.0006,0.0004,0.0009,-0.0001,-0.0001,-0.0009,0.0008,-0.0004
0.33,0.9614,0.9614,0.9407,0.9107,0.8428,0.4109,0.0162,-0.0023,-0.0053,-0.0016,-0.0005,-0.0010,0.0009,-0.0009,-0.0017,0.0000,0.0007,-0.0005,-0.0010,0.0011,-0.0010,0.0002,-0.0002,0.0023,-0.0004,-0.0005,0.0005,-0.0013,-0.0007,0.0007,-0.0002,0.0007,0.0013,-0.0011,-0.0011,0.0001,-0.0007,-0.0016,-0.0007,-0.0018
0.34,0.9581,0.9486,0.9295,0.9047,0.7931,0.1916,0.0037,-0.0045,0.0014,0.0004,0.0009,0.0007,0.0010,-0.0003,0.0003,-0.0022,-0.0003,-0.0004,0.0008,-0.0007,0.0003,0.0003,-0.0018,0.0008,-0.0005,0.0017,0.0011,-0.0007,0.0009,0.0010,-0.0008,-0.0005,-0.0001,-0.0001,-0.0003,-0.0027,0.0013,0.0010,-0.0002,-0.0011
0.35,0.9466,0.9526,0.9281,0.8899,0.6895,0.0393,-0.0108,0.0069,-0.0018,0.0001,0.0007,-0.0001,-0.0003,0.0002,-0.0014,0.0001,-0.0011,-0.0007,-0.0008,-0.0002,-0.0005,-0.0011,-0.0013,0.0015,0.0012,0.0011,0.0012,0.0009,0.0007,-0.0005,0.0006,-0.0002,0.0010,-0.0000,-0.0004,0.0009,-0.0010,0.0005,-0.0014,-0.0001
0.36,0.9577,0.9387,0.9158,0.8814,0.6768,0.0298,0.0037,0.0026,-0.0004,-0.0002,-0.0001,0.0000,0.0010,-0.0008,0.0003,0.0003,0.0008,0.0007,0.0005,-0.0012,-0.0002,0.0007,-0.0004,-0.0013,-0.0005,0.0020,-0.0005,-0.0008,-0.0003,0.0007,-0.0004,-0.0010,-0.0012,0.0001,-0.0004,0.0020,0.0006,-0.0013,0.0011,0.0016
0.37,0.9516,0.9390,0.9176,0.8599,0.4871,-0.0082,-0.0089,0.0032,-0.0013,0.0002,0.0003,0.0022,0.0006,-0.0010,-0.0008,0.0014,-0.0015,-0.0010,-0.0021,-0.0007,0.0001,0.0000,-0.0010,0.0004,0.0004,-0.0009,0.0009,-0.0008,-0.0003,-0.0011,-0.0014,0.0002,-0.0013,0.0005,-0.0011,0.0025,-0.0020,0.0010,0.0018,0.0012
0.38,0.9465,0.9212,0.8944,0.8111,0.1248,-0.0004,-0.0003,0.0037,-0.0003,-0.0025,0.0005,-0.0011,0.0006,-0.0013,-0.0029,0.0015,-0.0015,0.0012,-0.0001,-0.0006,-0.0000,0.0006,-0.0000,-0.0006,0.0002,0.0003,0.0007,-0.0016,-0.0008,0.0010,0.0007,0.0014,0.0009,-0.0007,-0.0005,0.0003,-0.0020,-0.0005,0.0007,0.0003
