alpha,T0.0250,T0.0750,T0.1250,T0.1750,T0.2250,T0.2750,T0.3250,T0.3750,T0.4250,T0.4750,T0.5250,T0.5750,T0.6250,T0.6750,T0.7250,T0.7750,T0.8250,T0.8750,T0.9250,T0.9750,T1.0250,T1.0750,T1.1250,T1.1750,T1.2250,T1.2750,T1.3250,T1.3750,T1.4250,T1.4750,T1.5250,T1.5750,T1.6250,T1.6750,T1.7250,T1.7750,T1.8250,T1.8750,T1.9250,T1.9750
0.42,0.9043,0.8273,0.7657,0.1987,-0.0146,0.0038,0.0156,-0.0102,0.0054,-0.0036,-0.0002,0.0019,-0.0029,0.0108,0.0001,0.0054,0.0036,-0.0154,0.0151,0.0044,-0.0029,-0.0007,-0.0005,-0.0059,-0.0096,-0.0058,-0.0004,0.0002,0.0032,-0.0046,-0.0050,-0.0027,-0.0013,0.0072,0.0057,0.0033,0.0016,0.0016,0.0001,-0.0049
0.43,0.8551,0.7708,0.6800,0.1414,-0.0114,0.0359,-0.0065,-0.0075,-0.0012,0.0105,-0.0039,-0.0003,-0.0017,0.0111,0.0126,-0.0019,-0.0007,0.0115,-0.0135,-0.0003,0.0051,0.0108,0.0028,0.0045,-0.0066,0.0034,-0.0012,-0.0174,0.0029,0.0068,0.0070,0.0038,0.0032,0.0128,-0.0049,-0.0108,0.0078,0.0013,0.0012,-0.0145
0.44,0.7893,0.8202,0.5464,0.0618,-0.0064,0.0240,0.0047,0.0025,-0.0060,0.0195,-0.0022,0.0059,0.0065,-0.0152,-0.0067,-0.0029,0.0143,0.0062,-0.0064,0.0021,0.0060,0.0025,-0.0061,0.0068,-0.0047,-0.0072,-0.0008,-0.0013,0.0089,0.0077,-0.0008,0.0020,0.0076,0.0009,0.0034,0.0033,-0.0077,-0.0002,-0.0030,-0.0118
0.45,0.8749,0.7084,0.7155,0.0106,0.0180,0.0060,0.0065,-0.0178,-0.0111,0.0033,-0.0037,-0.0014,-0.0010,0.0069,0.0072,0.0009,-0.0067,-0.0012,-0.0017,0.0098,-0.0003,0.0075,-0.0032,0.0107,0.0033,-0.0037,-0.0062,0.0042,0.0003,0.0063,-0.0004,0.0089,-0.0041,-0.0007,-0.0053,-0.0077,0.0054,0.0024,-0.0008,0.0140
0.46,0.8486,0.8044,0.2937,-0.0187,-0.0055,0.0091,0.0041,-0.0031,-0.0009,-0.0004,-0.0056,-0.0029,0.0042,-0.0049,-0.0061,-0.0064,0.0040,0.0058,-0.0048,-0.0016,0.0033,0.0036,-0.0060,-0.0089,0.0066,-0.0055,-0.0033,0.0099,0.0134,-0.0021,0.0138,-0.0160,0.0127,0.0058,-0.0120,-0.0005,-0.0079,0.0037,0.0109,0.0117
0.47,0.8077,0.6135,0.4603,0.0579,0.0139,0.0064,-0.0060,0.0028,-0.0081,0.0035,-0.0080,0.0009,0.0009,-0.0049,-0.0085,0.0020,-0.0061,0.0049,-0.0057,0.0007,0.0110,-0.0108,0.0025,0.0015,-0.0010,-0.0018,0.0045,0.0109,0.0018,0.0011,-0.0041,-0.0097,-0.0004,0.0037,-0.0023,0.0032,-0.0081,0.0007,0.0031,0.0051
0.48,0.7255,0.5952,-0.0379,0.0645,0.0026,-0.0023,0.0054,-0.0025,0.0030,-0.0054,0.0036,-0.0024,0.0101,0.0052,0.0096,-0.0034,-0.0012,-0.0005,0.0092,0.0067,0.0033,0.0037,-0.0083,-0.0062,-0.0065,-0.0062,-0.0030,-0.0151,0.0052,-0.0028,0.0034,0.0086,0.0015,0.0028,-0.0065,0.0028,-0.0098,-0.0017,-0.0014,-0.0028
0.49,0.6926,0.5094,0.1305,0.0043,0.0068,0.0003,0.0010,-0.0191,-0.0139,0.0008,0.0105,0.0095,0.0094,-0.0023,0.0098,0.0110,-0.0053,-0.0006,-0.0021,-0.0061,0.0023,-0.0000,-0.0038,-0.0124,-0.0033,-0.0003,-0.0044,0.0042,0.0051,0.0047,-0.0024,0.0055,0.0015,0.0051,-0.0033,0.0033,-0.0085,0.0034,0.0044,-0.0071
0.50,0.7440,0.1848,0.0733,0.0005,0.0114,-0.0215,0.0071,-0.0063,-0.0015,-0.0066,0.0042,-0.0078,0.0077,-0.0145,-0.0078,0.0054,0.0078,0.0038,0.0037,0.0049,-0.0072,-0.0004,0.0008,0.0021,-0.0007,-0.0088,0.0073,-0.0106,0.0033,0.0024,0.0065,-0.0105,0.0079,0.0031,0.0055,0.0007,0.0009,-0.0030,0.0025,-0.0014
0.51,0.7668,0.4767,0.1051,0.0062,-0.0041,-0.0069,0.0012,-0.0118,0.0097,-0.0058,0.0020,0.0058,-0.0071,-0.0114,-0.0021,0.0102,0.0055,0.0071,0.0097,-0.0054,-0.0102,-0.0125,-0.0012,-0.0068,-0.0102,0.0094,-0.0013,-0.0009,-0.0016,-0.0002,-0.0079,0.0007,0.0009,0.0005,-0.0064,-0.0037,0.0041,-0.0195,0.0105,0.0017
0.52,0.6927,0.3427,0.0162,0.0053,0.0094,-0.0049,-0.0019,0.0058,-0.0109,-0.0008,-0.0085,-0.0062,-0.0139,0.0036,0.0099,0.0040,-0.0066,0.0006,-0.0047,-0.0070,-0.0007,0.0051,-0.0130,0.0014,0.0047,0.0038,-0.0020,0.0049,0.0002,-0.0018,0.0048,0.0016,0.0051,-0.0084,0.0164,-0.0050,0.0019,0.0078,-0.0116,-0.0020
0.53,0.6193,0.1406,-0.0282,0.0021,-0.0094,-0.0035,-0.0090,0.0031,-0.0012,0.0042,0.0029,-0.0055,-0.0058,0.0018,0.0023,-0.0054,-0.0202,-0.0013,-0.0077,0.0098,0.0073,-0.0127,-0.0069,0.0027,-0.0059,-0.0030,-0.0005,0.0086,-0.0211,0.0039,0.0053,-0.0115,-0.0047,-0.0039,0.0012,-0.0106,0.0091,-0.0111,-0.0118,-0.0070
0.54,0.7805,0.0536,0.0027,-0.0075,0.0000,-0.0140,-0.0014,-0.0001,-0.0076,0.0023,-0.0122,0.0081,0.0049,0.0082,0.0071,0.0001,-0.0027,0.0074,-0.0070,-0.0093,0.0014,0.0054,0.0139,0.0041,-0.0077,0.0091,0.0088,-0.0003,-0.0001,-0.0047,0.0012,0.0040,-0.0035,0.0010,-0.0052,0.0134,0.0059,0.0025,0.0054,0.0056
0.55,0.6312,0.1577,0.0094,-0.0100,-0.0093,0.0046,0.0041,-0.0033,0.0014,0.0028,-0.0053,-0.0005,-0.0033,0.0083,0.0048,0.0061,-0.0108,0.0056,0.0042,0.0082,-0.0027,0.0003,0.0025,-0.0007,0.0027,0.0083,-0.0133,-0.0063,-0.0046,0.0085,-0.0061,0.0005,0.0014,-0.0041,-0.0160,-0.0002,0.0000,0.0018,-0.0029,-0.0086
