alpha,N,M,T,disorder,phi_a,phi_b,q_ea,phi_max_other,phi_1max
0.20,20,55,0.001962,1,0.998966,0.998323,0.997502,0.487590,0.487140
0.20,20,55,0.001962,2,0.999150,0.998979,0.997776,0.440056,0.444110
0.20,20,55,0.001962,3,0.999205,0.998556,0.997937,0.590931,0.594030
0.20,20,55,0.001962,4,0.998993,0.998964,0.997808,0.495844,0.490900
0.20,20,55,0.001962,5,0.999160,0.998820,0.998308,0.416009,0.428478
0.20,20,55,0.001962,6,0.998372,0.999280,0.997846,0.380928,0.382558
0.20,20,55,0.001962,7,0.999236,0.998360,0.998194,0.355758,0.365089
0.20,20,55,0.001962,8,0.999445,0.998824,0.998214,0.618319,0.621638
0.20,20,55,0.001962,9,0.998671,0.999015,0.997355,0.656146,0.658361
0.20,20,55,0.001962,10,0.998455,0.998978,0.997199,0.417279,0.429940
0.20,20,55,0.001962,11,0.998993,0.999007,0.997461,0.528972,0.537885
0.20,20,55,0.001962,12,0.999006,0.999415,0.998599,0.447779,0.462874
0.20,20,55,0.001962,13,0.999137,0.998787,0.998081,0.382133,0.381412
0.20,20,55,0.001962,14,0.999083,0.998080,0.996962,0.477267,0.469936
0.20,20,55,0.001962,15,0.998872,0.999375,0.998269,0.322570,0.310651
0.20,20,55,0.001962,16,0.998797,0.998908,0.997622,0.543873,0.534628
0.20,20,55,0.001962,17,0.998974,0.998876,0.997644,0.406914,0.398624
0.20,20,55,0.001962,18,0.999072,0.998188,0.997129,0.435479,0.431935
0.20,20,55,0.001962,19,0.999371,0.999293,0.998846,0.479416,0.480668
0.20,20,55,0.001962,20,0.999197,0.998931,0.998038,0.408587,0.399440
0.20,20,55,0.001962,21,0.747638,0.998598,0.754755,0.997624,0.712825
0.20,20,55,0.001962,22,0.998925,0.998911,0.997701,0.614002,0.598744
0.20,20,55,0.001962,23,0.999186,0.999150,0.998022,0.529709,0.530530
0.20,20,55,0.001962,24,0.998947,0.998981,0.997251,0.580499,0.576181
0.20,20,55,0.001962,25,0.998729,0.998755,0.997830,0.505693,0.520842
0.20,20,55,0.001962,26,0.999260,0.998648,0.997540,0.377395,0.383061
0.20,20,55,0.001962,27,0.999216,0.998694,0.997632,0.557242,0.552399
0.20,20,55,0.001962,28,0.998908,0.998796,0.997650,0.478686,0.479389
0.20,20,55,0.001962,29,0.998975,0.998826,0.997583,0.367409,0.357951
0.20,20,55,0.001962,30,0.998405,0.998774,0.997288,0.416750,0.413051
0.20,20,55,0.001962,31,0.999181,0.999188,0.998680,0.543886,0.544205
0.20,20,55,0.001962,32,0.998985,0.998891,0.997610,0.497755,0.500585
0.20,20,55,0.001962,33,0.998930,0.998783,0.998253,0.453147,0.450504
0.20,20,55,0.001962,34,0.998313,0.998091,0.995483,0.458213,0.454915
0.20,20,55,0.001962,35,0.998887,0.999149,0.998301,0.609857,0.603515
0.20,20,55,0.001962,36,0.999214,0.998906,0.998118,0.560517,0.560780
0.20,20,55,0.001962,37,0.999077,0.998815,0.998362,0.384081,0.372222
0.20,20,55,0.001962,38,0.999035,0.999295,0.998329,0.626383,0.627655
0.20,20,55,0.001962,39,0.998946,0.998762,0.997875,0.453199,0.452726
0.20,20,55,0.001962,40,0.999061,0.998710,0.998080,0.495032,0.488926
0.20,20,55,0.001962,41,0.999040,0.998882,0.997405,0.457996,0.461453
0.20,20,55,0.001962,42,0.999331,0.999003,0.998152,0.403612,0.407247
0.20,20,55,0.001962,43,0.999203,0.999112,0.998305,0.478272,0.474414
0.20,20,55,0.001962,44,0.998975,0.998626,0.997493,0.509977,0.500912
0.20,20,55,0.001962,45,0.998815,0.999137,0.997487,0.531094,0.529584
0.20,20,55,0.001962,46,0.998905,0.998774,0.997592,0.436894,0.449815
0.20,20,55,0.001962,47,0.999375,0.998841,0.998580,0.622422,0.616185
0.20,20,55,0.001962,48,0.999233,0.999399,0.998784,0.347602,0.356195
0.20,20,55,0.001962,49,0.999009,0.999340,0.997973,0.611659,0.605448
0.20,20,55,0.001962,50,0.999284,0.998873,0.998538,0.707137,0.710875
0.20,20,55,0.001962,51,0.998453,0.998948,0.998138,0.678433,0.680177
0.20,20,55,0.001962,52,0.999083,0.998682,0.998368,0.367212,0.352465
0.20,20,55,0.001962,53,0.999230,0.998826,0.997930,0.364991,0.370708
0.20,20,55,0.001962,54,0.998628,0.998824,0.997944,0.493257,0.491435
0.20,20,55,0.001962,55,0.999053,0.999198,0.997994,0.408062,0.409527
0.20,20,55,0.001962,56,0.998966,0.998750,0.998092,0.565267,0.563876
0.20,20,55,0.001962,57,0.999222,0.998904,0.998456,0.548790,0.542178
0.20,20,55,0.001962,58,0.999166,0.998964,0.998260,0.417219,0.420246
0.20,20,55,0.001962,59,0.999089,0.999074,0.998159,0.546061,0.548298
0.20,20,55,0.001962,60,0.999156,0.999118,0.998644,0.497980,0.492752
0.20,20,55,0.001962,61,0.998818,0.998642,0.997990,0.513266,0.510504
0.20,20,55,0.001962,62,0.999186,0.998943,0.998484,0.407568,0.409802
0.20,20,55,0.001962,63,0.999165,0.998610,0.997197,0.499685,0.502135
0.20,20,55,0.001962,64,0.999348,0.998825,0.998024,0.524253,0.522592
0.20,20,55,0.001962,65,0.998827,0.999148,0.998221,0.492954,0.499160
0.20,20,55,0.001962,66,0.999218,0.999329,0.998318,0.477453,0.463414
0.20,20,55,0.001962,67,0.999188,0.999188,0.998286,0.487652,0.493468
0.20,20,55,0.001962,68,0.999275,0.999096,0.998020,0.418788,0.412385
0.20,20,55,0.001962,69,0.998863,0.998681,0.997612,0.388916,0.388326
0.20,20,55,0.001962,70,0.998560,0.999123,0.997430,0.478340,0.477963
0.20,20,55,0.001962,71,0.998692,0.999164,0.998371,0.514722,0.511087
0.20,20,55,0.001962,72,0.999330,0.998392,0.997852,0.473516,0.472832
0.20,20,55,0.001962,73,0.998125,0.998743,0.997023,0.500202,0.487491
0.20,20,55,0.001962,74,0.998862,0.998922,0.997566,0.541680,0.541590
0.20,20,55,0.001962,75,0.999110,0.999022,0.998424,0.468467,0.462961
0.20,20,55,0.001962,76,0.999162,0.998709,0.997312,0.478867,0.463119
0.20,20,55,0.001962,77,0.999082,0.998953,0.998013,0.475977,0.471697
0.20,20,55,0.001962,78,0.998497,0.999187,0.997559,0.472198,0.470745
0.20,20,55,0.001962,79,0.998536,0.999120,0.996558,0.484682,0.483044
0.20,20,55,0.001962,80,0.998903,0.999121,0.998112,0.443444,0.436963
0.20,20,55,0.001962,81,0.999215,0.999378,0.998966,0.608053,0.603746
0.20,20,55,0.001962,82,0.999071,0.998991,0.997450,0.394104,0.404156
0.20,20,55,0.001962,83,0.999044,0.999247,0.998031,0.538722,0.540563
0.20,20,55,0.001962,84,0.998908,0.998905,0.998283,0.466763,0.467261
0.20,20,55,0.001962,85,0.998723,0.999201,0.997752,0.424352,0.423457
0.20,20,55,0.001962,86,0.999055,0.999190,0.998470,0.615561,0.622598
0.20,20,55,0.001962,87,0.999396,0.999204,0.998520,0.451634,0.448520
0.20,20,55,0.001962,88,0.998798,0.998346,0.996782,0.517681,0.520600
0.20,20,55,0.001962,89,0.998791,0.998912,0.997205,0.555264,0.549680
0.20,20,55,0.001962,90,0.999023,0.998843,0.997606,0.458931,0.448862
0.20,20,55,0.001962,91,0.998846,0.998807,0.997255,0.442851,0.437066
0.20,20,55,0.001962,92,0.998984,0.998229,0.997960,0.380896,0.370925
0.20,20,55,0.001962,93,0.998806,0.998884,0.997240,0.452521,0.449911
0.20,20,55,0.001962,94,0.999594,0.998917,0.998471,0.463312,0.459811
0.20,20,55,0.001962,95,0.999313,0.999159,0.997969,0.489246,0.494494
0.20,20,55,0.001962,96,0.999476,0.999159,0.998328,0.424871,0.427957
0.20,20,55,0.001962,97,0.998894,0.999036,0.998194,0.468685,0.455074
0.20,20,55,0.001962,98,0.998728,0.998985,0.997218,0.477772,0.480336
0.20,20,55,0.001962,99,0.998938,0.998488,0.997640,0.461581,0.467047
0.20,20,55,0.001962,100,0.998891,0.998698,0.997244,0.589764,0.607584
0.20,20,55,0.001962,101,0.999169,0.999158,0.998415,0.333873,0.331475
0.20,20,55,0.001962,102,0.998952,0.999015,0.997671,0.517905,0.521391
0.20,20,55,0.001962,103,0.998940,0.999114,0.997541,0.533328,0.537140
0.20,20,55,0.001962,104,0.999612,0.998826,0.998350,0.416429,0.422002
0.20,20,55,0.001962,105,0.999124,0.998875,0.996863,0.410604,0.412292
0.20,20,55,0.001962,106,0.998470,0.998927,0.997500,0.437043,0.418812
0.20,20,55,0.001962,107,0.998952,0.999211,0.997825,0.582590,0.591575
0.20,20,55,0.001962,108,0.999016,0.999079,0.998398,0.516502,0.509603
0.20,20,55,0.001962,109,0.999048,0.998945,0.997886,0.513680,0.508612
0.20,20,55,0.001962,110,0.999049,0.999220,0.998325,0.254349,0.256727
0.20,20,55,0.001962,111,0.999180,0.998468,0.997951,0.444866,0.450120
0.20,20,55,0.001962,112,0.998924,0.998032,0.997699,0.829357,0.824900
0.20,20,55,0.001962,113,0.999346,0.998907,0.998154,0.501519,0.501808
0.20,20,55,0.001962,114,0.999150,0.999019,0.997650,0.559066,0.570470
0.20,20,55,0.001962,115,0.998961,0.999265,0.998177,0.646718,0.652656
0.20,20,55,0.001962,116,0.998653,0.998719,0.997280,0.586403,0.590105
0.20,20,55,0.001962,117,0.999081,0.998970,0.998109,0.549560,0.546173
0.20,20,55,0.001962,118,0.998598,0.998866,0.996991,0.512760,0.508428
0.20,20,55,0.001962,119,0.999170,0.999205,0.998457,0.431779,0.424215
0.20,20,55,0.001962,120,0.998857,0.999050,0.998360,0.513000,0.511506
0.20,20,55,0.001962,121,0.999217,0.998794,0.997623,0.431998,0.436651
0.20,20,55,0.001962,122,0.999011,0.998736,0.997714,0.458952,0.445696
0.20,20,55,0.001962,123,0.999310,0.999066,0.998437,0.425103,0.420176
0.20,20,55,0.001962,124,0.999041,0.999041,0.997983,0.465370,0.471128
0.20,20,55,0.001962,125,0.999371,0.998775,0.998574,0.372580,0.371199
0.20,20,55,0.001962,126,0.999253,0.999105,0.998462,0.364583,0.361044
0.20,20,55,0.001962,127,0.999111,0.998122,0.997133,0.360468,0.357595
0.20,20,55,0.001962,128,0.998916,0.999422,0.998304,0.619651,0.622688
0.20,20,55,0.001962,129,0.999425,0.999049,0.998529,0.374379,0.382063
0.20,20,55,0.001962,130,0.998922,0.998585,0.997040,0.464055,0.470936
0.20,20,55,0.001962,131,0.998834,0.999102,0.998301,0.526041,0.527783
0.20,20,55,0.001962,132,0.999187,0.999132,0.998143,0.404395,0.401371
0.20,20,55,0.001962,133,0.999092,0.998934,0.998217,0.565399,0.573966
0.20,20,55,0.001962,134,0.999048,0.999139,0.998597,0.638728,0.639851
0.20,20,55,0.001962,135,0.998996,0.999213,0.998446,0.468188,0.471284
0.20,20,55,0.001962,136,0.999311,0.998902,0.997579,0.310395,0.318040
0.20,20,55,0.001962,137,0.999270,0.999305,0.998773,0.547424,0.554542
0.20,20,55,0.001962,138,0.998944,0.999048,0.997848,0.472275,0.477664
0.20,20,55,0.001962,139,0.999416,0.999201,0.998770,0.476069,0.476605
0.20,20,55,0.001962,140,0.999146,0.999449,0.998812,0.547632,0.553651
0.20,20,55,0.001962,141,0.998641,0.999072,0.997808,0.426724,0.421279
0.20,20,55,0.001962,142,0.998910,0.998966,0.997270,0.540049,0.541741
0.20,20,55,0.001962,143,0.999239,0.999225,0.998731,0.411183,0.406994
0.20,20,55,0.001962,144,0.999124,0.999034,0.998260,0.452970,0.460207
0.20,20,55,0.001962,145,0.999006,0.999066,0.998562,0.488859,0.506076
0.20,20,55,0.001962,146,0.998991,0.998530,0.997534,0.415949,0.406252
0.20,20,55,0.001962,147,0.998900,0.999070,0.998436,0.491417,0.498815
0.20,20,55,0.001962,148,0.998761,0.998695,0.997941,0.386634,0.393739
0.20,20,55,0.001962,149,0.999395,0.998792,0.997780,0.455034,0.460853
0.20,20,55,0.001962,150,0.998763,0.999324,0.998038,0.563811,0.571125
0.20,20,55,0.001962,151,0.999135,0.998906,0.997914,0.440077,0.431723
0.20,20,55,0.001962,152,0.998692,0.998220,0.997331,0.546895,0.543660
0.20,20,55,0.001962,153,0.999101,0.999261,0.998000,0.631623,0.624811
0.20,20,55,0.001962,154,0.999296,0.998253,0.996972,0.690880,0.690782
0.20,20,55,0.001962,155,0.998626,0.998865,0.996953,0.352931,0.335865
0.20,20,55,0.001962,156,0.999287,0.999123,0.998352,0.518856,0.519779
0.20,20,55,0.001962,157,0.998850,0.999089,0.997874,0.479065,0.492453
0.20,20,55,0.001962,158,0.999526,0.998534,0.998046,0.457991,0.459669
0.20,20,55,0.001962,159,0.998620,0.998346,0.996720,0.514604,0.506991
0.20,20,55,0.001962,160,0.999114,0.999168,0.998442,0.412323,0.416628
0.20,20,55,0.001962,161,0.999156,0.998898,0.998554,0.463152,0.467439
0.20,20,55,0.001962,162,0.999161,0.998829,0.998152,0.491915,0.492653
0.20,20,55,0.001962,163,0.999057,0.999140,0.998426,0.380887,0.375940
0.20,20,55,0.001962,164,0.999501,0.999237,0.998526,0.718048,0.722459
0.20,20,55,0.001962,165,0.999250,0.999049,0.998793,0.573380,0.581697
0.20,20,55,0.001962,166,0.999134,0.999309,0.998578,0.565959,0.563799
0.20,20,55,0.001962,167,0.999069,0.998511,0.996994,0.442421,0.439365
0.20,20,55,0.001962,168,0.999083,0.999191,0.998287,0.775074,0.764644
0.20,20,55,0.001962,169,0.998976,0.998744,0.997367,0.535396,0.528842
0.20,20,55,0.001962,170,0.999015,0.999169,0.998348,0.438317,0.438925
0.20,20,55,0.001962,171,0.999225,0.999165,0.998151,0.516514,0.508139
0.20,20,55,0.001962,172,0.999064,0.998978,0.998360,0.514739,0.507535
0.20,20,55,0.001962,173,0.999111,0.999247,0.998467,0.328248,0.328923
0.20,20,55,0.001962,174,0.998964,0.999047,0.998340,0.547698,0.543547
0.20,20,55,0.001962,175,0.999010,0.999080,0.997975,0.534151,0.538993
0.20,20,55,0.001962,176,0.999245,0.998678,0.998061,0.365971,0.351094
0.20,20,55,0.001962,177,0.999073,0.998986,0.998215,0.429878,0.431745
0.20,20,55,0.001962,178,0.998929,0.998754,0.997695,0.603251,0.607705
0.20,20,55,0.001962,179,0.999027,0.999317,0.998516,0.496162,0.491528
0.20,20,55,0.001962,180,0.999195,0.999385,0.998817,0.519908,0.516343
0.20,20,55,0.001962,181,0.999136,0.999027,0.998572,0.468343,0.476464
0.20,20,55,0.001962,182,0.998418,0.999165,0.998008,0.463653,0.451892
0.20,20,55,0.001962,183,0.998375,0.999248,0.997262,0.454447,0.453698
0.20,20,55,0.001962,184,0.998993,0.998351,0.997608,0.486724,0.495633
0.20,20,55,0.001962,185,0.999167,0.999170,0.998394,0.462990,0.457664
0.20,20,55,0.001962,186,0.999012,0.999056,0.998150,0.343171,0.339881
0.20,20,55,0.001962,187,0.999052,0.998544,0.997140,0.674624,0.678863
0.20,20,55,0.001962,188,0.998862,0.999245,0.998240,0.541202,0.544504
0.20,20,55,0.001962,189,0.998892,0.999039,0.998274,0.505628,0.508078
0.20,20,55,0.001962,190,0.998536,0.999092,0.997421,0.533225,0.537046
0.20,20,55,0.001962,191,0.999016,0.998692,0.997673,0.488141,0.483711
0.20,20,55,0.001962,192,0.998969,0.999358,0.998283,0.547377,0.549272
0.20,20,55,0.001962,193,0.998950,0.998896,0.997514,0.458034,0.466175
0.20,20,55,0.001962,194,0.998837,0.999265,0.998296,0.738600,0.740830
0.20,20,55,0.001962,195,0.998988,0.998380,0.997749,0.470080,0.480726
0.20,20,55,0.001962,196,0.998533,0.998440,0.995561,0.590732,0.585901
0.20,20,55,0.001962,197,0.999195,0.998775,0.998406,0.525151,0.525641
0.20,20,55,0.001962,198,0.999054,0.999056,0.998174,0.403306,0.398717
0.20,20,55,0.001962,199,0.999231,0.999000,0.998185,0.542860,0.549673
0.20,20,55,0.001962,200,0.999080,0.999031,0.998367,0.421405,0.432860
0.20,20,55,0.004131,1,0.997337,0.998204,0.995197,0.409815,0.413347
0.20,20,55,0.004131,2,0.997893,0.998382,0.996694,0.580696,0.584842
0.20,20,55,0.004131,3,0.998427,0.997740,0.996201,0.641651,0.643119
0.20,20,55,0.004131,4,0.997898,0.997457,0.994932,0.504664,0.493044
0.20,20,55,0.004131,5,0.998329,0.998850,0.997596,0.590893,0.604889
0.20,20,55,0.004131,6,0.998233,0.998232,0.995796,0.400869,0.396574
0.20,20,55,0.004131,7,0.998532,0.997294,0.995999,0.400189,0.398285
0.20,20,55,0.004131,8,0.998020,0.998781,0.996992,0.431128,0.436331
0.20,20,55,0.004131,9,0.998336,0.998022,0.996491,0.472895,0.475682
0.20,20,55,0.004131,10,0.997848,0.998596,0.996637,0.586768,0.592334
0.20,20,55,0.004131,11,0.997989,0.998147,0.996742,0.544635,0.532510
0.20,20,55,0.004131,12,0.997887,0.998076,0.996219,0.375663,0.368247
0.20,20,55,0.004131,13,0.998321,0.996841,0.995163,0.430740,0.436292
0.20,20,55,0.004131,14,0.998477,0.998383,0.997473,0.341405,0.346188
0.20,20,55,0.004131,15,0.997864,0.997277,0.993839,0.533016,0.524730
0.20,20,55,0.004131,16,0.998017,0.998295,0.996451,0.527464,0.525761
0.20,20,55,0.004131,17,0.997829,0.997897,0.996299,0.629284,0.627372
0.20,20,55,0.004131,18,0.998355,0.998213,0.996631,0.503971,0.498482
0.20,20,55,0.004131,19,0.998056,0.998299,0.996864,0.641821,0.632051
0.20,20,55,0.004131,20,0.998183,0.998418,0.996284,0.420611,0.430336
0.20,20,55,0.004131,21,0.997926,0.998344,0.996816,0.656205,0.648251
0.20,20,55,0.004131,22,0.997910,0.998931,0.996709,0.365987,0.372879
0.20,20,55,0.004131,23,0.998046,0.998164,0.995367,0.466066,0.456426
0.20,20,55,0.004131,24,0.998322,0.998194,0.996497,0.461011,0.460447
0.20,20,55,0.004131,25,0.998135,0.998033,0.995494,0.449202,0.441321
0.20,20,55,0.004131,26,0.997845,0.998392,0.996891,0.362735,0.373514
0.20,20,55,0.004131,27,0.998058,0.997779,0.995616,0.410388,0.423978
0.20,20,55,0.004131,28,0.997831,0.998122,0.996037,0.455687,0.446358
0.20,20,55,0.004131,29,0.997814,0.997578,0.995616,0.640300,0.636006
0.20,20,55,0.004131,30,0.997266,0.998011,0.995408,0.499797,0.482390
0.20,20,55,0.004131,31,0.998749,0.998189,0.996550,0.698850,0.693924
0.20,20,55,0.004131,32,0.997969,0.997928,0.995491,0.617686,0.624631
0.20,20,55,0.004131,33,0.998857,0.997922,0.997209,0.795741,0.794123
0.20,20,55,0.004131,34,0.997994,0.998138,0.995578,0.399255,0.405433
0.20,20,55,0.004131,35,0.998814,0.997932,0.997141,0.413873,0.415080
0.20,20,55,0.004131,36,0.997472,0.997790,0.996219,0.586949,0.567839
0.20,20,55,0.004131,37,0.997851,0.998437,0.996866,0.514977,0.518942
0.20,20,55,0.004131,38,0.998199,0.998119,0.996185,0.367353,0.366324
0.20,20,55,0.004131,39,0.997698,0.998350,0.996625,0.399527,0.386168
0.20,20,55,0.004131,40,0.998191,0.997183,0.996511,0.370084,0.376130
0.20,20,55,0.004131,41,0.997448,0.998058,0.995632,0.647517,0.643373
0.20,20,55,0.004131,42,0.998215,0.998205,0.995641,0.558786,0.568148
0.20,20,55,0.004131,43,0.998205,0.998167,0.996222,0.445279,0.452444
0.20,20,55,0.004131,44,0.997964,0.998116,0.996607,0.559273,0.559349
0.20,20,55,0.004131,45,0.998284,0.997871,0.995726,0.484176,0.486726
0.20,20,55,0.004131,46,0.998283,0.997965,0.996674,0.627564,0.610272
0.20,20,55,0.004131,47,0.997873,0.998398,0.996100,0.531514,0.542211
0.20,20,55,0.004131,48,0.997888,0.998288,0.996058,0.393989,0.388167
0.20,20,55,0.004131,49,0.998138,0.998195,0.995895,0.345692,0.343683
0.20,20,55,0.004131,50,0.997846,0.998680,0.996574,0.398196,0.390165
0.20,20,55,0.004131,51,0.997397,0.997721,0.995196,0.501373,0.494007
0.20,20,55,0.004131,52,0.997431,0.997966,0.994884,0.593414,0.594766
0.20,20,55,0.004131,53,0.998223,0.997620,0.996716,0.463379,0.462816
0.20,20,55,0.004131,54,0.998308,0.997711,0.995917,0.609832,0.614700
0.20,20,55,0.004131,55,0.997749,0.998566,0.996702,0.472679,0.467161
0.20,20,55,0.004131,56,0.998480,0.998035,0.996413,0.611350,0.609215
0.20,20,55,0.004131,57,0.998083,0.998214,0.995960,0.515570,0.509971
0.20,20,55,0.004131,58,0.998189,0.998590,0.996974,0.424962,0.436786
0.20,20,55,0.004131,59,0.998323,0.997824,0.996149,0.408274,0.408169
0.20,20,55,0.004131,60,0.998270,0.998241,0.997163,0.428794,0.440889
0.20,20,55,0.004131,61,0.998502,0.998231,0.997414,0.542464,0.528284
0.20,20,55,0.004131,62,0.998362,0.998284,0.996322,0.556002,0.561201
0.20,20,55,0.004131,63,0.997639,0.997984,0.995705,0.757708,0.745841
0.20,20,55,0.004131,64,0.997807,0.997874,0.994903,0.551565,0.553351
0.20,20,55,0.004131,65,0.997419,0.997449,0.995770,0.516485,0.488282
0.20,20,55,0.004131,66,0.998009,0.998254,0.996646,0.622518,0.623639
0.20,20,55,0.004131,67,0.998141,0.998372,0.996285,0.542268,0.532808
0.20,20,55,0.004131,68,0.998012,0.997967,0.995902,0.515289,0.510988
0.20,20,55,0.004131,69,0.998062,0.998568,0.996996,0.510422,0.508809
0.20,20,55,0.004131,70,0.997121,0.997998,0.995810,0.334745,0.344283
0.20,20,55,0.004131,71,0.997837,0.997634,0.996016,0.490384,0.501508
0.20,20,55,0.004131,72,0.997924,0.998498,0.995626,0.559499,0.554585
0.20,20,55,0.004131,73,0.998207,0.998061,0.996616,0.597943,0.601814
0.20,20,55,0.004131,74,0.998219,0.998175,0.996996,0.506832,0.506558
0.20,20,55,0.004131,75,0.998140,0.998464,0.996553,0.505874,0.520615
0.20,20,55,0.004131,76,0.998449,0.997712,0.995777,0.593501,0.587345
0.20,20,55,0.004131,77,0.997083,0.997849,0.994373,0.378788,0.376510
0.20,20,55,0.004131,78,0.997918,0.998324,0.997315,0.578092,0.570780
0.20,20,55,0.004131,79,0.997777,0.998147,0.994976,0.430051,0.422928
0.20,20,55,0.004131,80,0.998372,0.998300,0.997704,0.380613,0.383080
0.20,20,55,0.004131,81,0.998155,0.997751,0.997091,0.498201,0.481332
0.20,20,55,0.004131,82,0.998717,0.998013,0.997352,0.437356,0.432449
0.20,20,55,0.004131,83,0.997986,0.998050,0.996022,0.497740,0.498029
0.20,20,55,0.004131,84,0.997039,0.997271,0.994313,0.414487,0.397400
0.20,20,55,0.004131,85,0.997758,0.998005,0.996131,0.554209,0.547817
0.20,20,55,0.004131,86,0.998262,0.998334,0.996051,0.474056,0.480905
0.20,20,55,0.004131,87,0.998020,0.997636,0.995659,0.511731,0.509663
0.20,20,55,0.004131,88,0.997425,0.998551,0.996819,0.427438,0.411837
0.20,20,55,0.004131,89,0.998119,0.998178,0.995619,0.565056,0.556743
0.20,20,55,0.004131,90,0.997947,0.998496,0.996608,0.421014,0.425532
0.20,20,55,0.004131,91,0.997637,0.998171,0.995576,0.509670,0.525117
0.20,20,55,0.004131,92,0.998506,0.997843,0.996669,0.509773,0.511860
0.20,20,55,0.004131,93,0.997975,0.998239,0.996495,0.505852,0.502845
0.20,20,55,0.004131,94,0.997749,0.998071,0.996332,0.392186,0.408383
0.20,20,55,0.004131,95,0.997813,0.997517,0.995144,0.399378,0.392134
0.20,20,55,0.004131,96,0.998252,0.998212,0.996029,0.474352,0.483277
0.20,20,55,0.004131,97,0.997950,0.997934,0.995397,0.439507,0.444477
0.20,20,55,0.004131,98,0.997888,0.998007,0.995303,0.671271,0.664120
0.20,20,55,0.004131,99,0.998628,0.998209,0.996323,0.589905,0.596216
0.20,20,55,0.004131,100,0.998136,0.998286,0.996872,0.493330,0.486230
0.20,20,55,0.004131,101,0.998022,0.998351,0.996512,0.584716,0.581634
0.20,20,55,0.004131,102,0.996923,0.998435,0.996102,0.458990,0.466500
0.20,20,55,0.004131,103,0.998284,0.997839,0.996235,0.619101,0.622895
0.20,20,55,0.004131,104,0.997991,0.997148,0.994711,0.377545,0.398358
0.20,20,55,0.004131,105,0.997312,0.998577,0.995628,0.451370,0.459464
0.20,20,55,0.004131,106,0.997896,0.997876,0.995591,0.504887,0.507300
0.20,20,55,0.004131,107,0.998172,0.998503,0.995795,0.445126,0.436470
0.20,20,55,0.004131,108,0.997836,0.997794,0.994649,0.680189,0.681585
0.20,20,55,0.004131,109,0.998302,0.998618,0.997594,0.383138,0.383885
0.20,20,55,0.004131,110,0.997900,0.998419,0.996561,0.467706,0.462036
0.20,20,55,0.004131,111,0.998181,0.998265,0.996703,0.503596,0.510171
0.20,20,55,0.004131,112,0.998008,0.998139,0.995986,0.514493,0.516245
0.20,20,55,0.004131,113,0.998443,0.998053,0.995807,0.537887,0.531986
0.20,20,55,0.004131,114,0.997927,0.998434,0.997135,0.558842,0.564774
0.20,20,55,0.004131,115,0.997630,0.997845,0.996045,0.701680,0.691770
0.20,20,55,0.004131,116,0.998032,0.997162,0.995897,0.531723,0.539270
0.20,20,55,0.004131,117,0.998108,0.998238,0.996311,0.532804,0.539688
0.20,20,55,0.004131,118,0.998027,0.997799,0.995559,0.463174,0.454662
0.20,20,55,0.004131,119,0.997855,0.997467,0.995595,0.332537,0.348976
0.20,20,55,0.004131,120,0.997488,0.998220,0.996349,0.538905,0.522008
0.20,20,55,0.004131,121,0.998043,0.998566,0.996686,0.449548,0.469087
0.20,20,55,0.004131,122,0.997747,0.997772,0.995337,0.422417,0.446469
0.20,20,55,0.004131,123,0.998350,0.997819,0.996811,0.488487,0.499903
0.20,20,55,0.004131,124,0.997950,0.998536,0.996430,0.426321,0.437293
0.20,20,55,0.004131,125,0.998128,0.997739,0.995411,0.640872,0.636101
0.20,20,55,0.004131,126,0.998284,0.998372,0.996218,0.530019,0.536236
0.20,20,55,0.004131,127,0.998137,0.998239,0.997152,0.457864,0.474044
0.20,20,55,0.004131,128,0.998454,0.998405,0.996849,0.360512,0.366818
0.20,20,55,0.004131,129,0.997861,0.998011,0.994901,0.439008,0.457588
0.20,20,55,0.004131,130,0.997518,0.998199,0.995758,0.456471,0.443729
0.20,20,55,0.004131,131,0.998354,0.997913,0.996485,0.515448,0.505817
0.20,20,55,0.004131,132,0.996850,0.997986,0.995388,0.635963,0.630571
0.20,20,55,0.004131,133,0.998790,0.997684,0.997044,0.324137,0.323137
0.20,20,55,0.004131,134,0.998895,0.997747,0.996376,0.600770,0.599269
0.20,20,55,0.004131,135,0.998056,0.998631,0.996321,0.533598,0.528030
0.20,20,55,0.004131,136,0.997879,0.998725,0.997074,0.446079,0.454373
0.20,20,55,0.004131,137,0.997733,0.998024,0.995718,0.464728,0.459133
0.20,20,55,0.004131,138,0.997898,0.997316,0.995374,0.735742,0.723114
0.20,20,55,0.004131,139,0.998572,0.998047,0.996148,0.450622,0.453579
0.20,20,55,0.004131,140,0.998744,0.998118,0.996710,0.396699,0.402047
0.20,20,55,0.004131,141,0.998354,0.998043,0.996687,0.561945,0.566041
0.20,20,55,0.004131,142,0.997914,0.998242,0.997138,0.563860,0.580985
0.20,20,55,0.004131,143,0.997921,0.998289,0.996150,0.283209,0.290037
0.20,20,55,0.004131,144,0.997409,0.998203,0.995201,0.657593,0.665630
0.20,20,55,0.004131,145,0.998344,0.997626,0.996664,0.497803,0.481648
0.20,20,55,0.004131,146,0.998344,0.997605,0.996165,0.452481,0.437658
0.20,20,55,0.004131,147,0.997927,0.997881,0.995549,0.540478,0.554161
0.20,20,55,0.004131,148,0.997800,0.998586,0.996154,0.429161,0.419287
