disorder,step,phi_a,phi_b,q12
1,16400,0.885945,0.875343,0.816800
1,16416,0.912148,0.888052,0.833419
1,16432,0.913312,0.899261,0.855982
1,16448,0.865028,0.892842,0.800837
1,16464,0.882713,0.888185,0.811827
1,16480,0.884154,0.880287,0.781751
1,16496,0.886030,0.862003,0.771162
1,16512,0.874325,0.873605,0.777011
1,16528,0.868542,0.897100,0.766418
1,16544,0.882014,0.888992,0.723988
1,16560,0.886170,0.881703,0.754971
1,16576,0.864073,0.889714,0.808926
1,16592,0.860172,0.898387,0.780509
1,16608,0.884697,0.888513,0.823043
1,16624,0.891920,0.893039,0.832281
1,16640,0.884949,0.897200,0.805476
1,16656,0.899491,0.903063,0.861767
1,16672,0.908611,0.904269,0.858820
1,16688,0.898662,0.891121,0.833675
1,16704,0.893567,0.890794,0.841377
1,16720,0.895970,0.904767,0.830894
1,16736,0.908311,0.899346,0.847729
1,16752,0.891154,0.878338,0.784574
1,16768,0.886288,0.861046,0.786029
1,16784,0.896766,0.873591,0.839567
1,16800,0.865317,0.879553,0.824254
1,16816,0.875230,0.889802,0.800671
1,16832,0.862652,0.890345,0.814069
1,16848,0.892816,0.871962,0.772510
1,16864,0.902675,0.887389,0.801002
1,16880,0.903740,0.865068,0.712820
1,16896,0.898253,0.877531,0.758995
1,16912,0.907034,0.878781,0.767249
1,16928,0.900806,0.852785,0.720115
1,16944,0.882582,0.853947,0.750533
1,16960,0.856707,0.847319,0.731725
1,16976,0.865829,0.842513,0.745992
1,16992,0.861251,0.897485,0.756208
1,17008,0.882412,0.907010,0.780236
1,17024,0.848442,0.903524,0.796132
1,17040,0.852373,0.880661,0.759257
1,17056,0.870412,0.858063,0.745281
1,17072,0.886259,0.846710,0.737839
1,17088,0.889137,0.857399,0.768211
1,17104,0.891150,0.852060,0.714368
1,17120,0.897514,0.846416,0.730318
1,17136,0.900832,0.863915,0.786499
1,17152,0.870073,0.831681,0.790119
1,17168,0.864831,0.839905,0.796861
1,17184,0.872007,0.839173,0.764711
1,17200,0.885411,0.844501,0.798767
1,17216,0.883160,0.856012,0.785643
1,17232,0.871072,0.864740,0.761398
1,17248,0.878749,0.881594,0.775797
1,17264,0.848892,0.879116,0.670475
1,17280,0.855642,0.883223,0.727590
1,17296,0.837161,0.910830,0.756640
1,17312,0.860948,0.887241,0.781229
1,17328,0.869355,0.918691,0.809273
1,17344,0.851163,0.892411,0.767159
