step,P_esc
8,0.064500
16,0.087500
24,0.101000
32,0.111000
40,0.119000
48,0.128500
56,0.140000
64,0.150500
72,0.158000
80,0.168000
88,0.180000
96,0.189000
104,0.195500
112,0.204000
120,0.211000
128,0.216000
136,0.220500
144,0.226500
152,0.233000
160,0.237500
168,0.244000
176,0.249500
184,0.253500
192,0.256500
200,0.259500
208,0.266000
216,0.272000
224,0.277500
232,0.283000
240,0.287000
248,0.290500
256,0.294000
264,0.298500
272,0.301500
280,0.304500
288,0.308000
296,0.310500
304,0.315500
312,0.320000
320,0.324500
328,0.327500
336,0.331000
344,0.335500
352,0.337000
360,0.338500
368,0.340500
376,0.343000
384,0.347000
392,0.349500
400,0.351500
408,0.355500
416,0.358000
424,0.360500
432,0.364000
440,0.367000
448,0.369000
456,0.371000
464,0.374500
472,0.376500
480,0.378500
488,0.382500
496,0.384500
504,0.387000
512,0.388000
520,0.390500
528,0.394000
536,0.396000
544,0.397000
552,0.399500
560,0.402000
568,0.404500
576,0.406500
584,0.408500
592,0.410000
600,0.413000
608,0.414500
616,0.414500
624,0.416000
632,0.418500
640,0.421500
648,0.424000
656,0.425000
664,0.426500
672,0.429000
680,0.430000
688,0.434000
696,0.435500
704,0.436500
712,0.438500
720,0.439500
728,0.440000
736,0.443000
744,0.443500
752,0.445000
760,0.447500
768,0.450000
776,0.450500
784,0.452500
792,0.454000
800,0.455500
808,0.457500
816,0.459500
824,0.460500
832,0.461500
840,0.463000
848,0.465000
856,0.465500
864,0.468500
872,0.469500
880,0.471000
888,0.472500
896,0.473000
904,0.474000
912,0.475500
920,0.476500
928,0.477500
936,0.479000
944,0.480000
952,0.480500
960,0.480500
968,0.482000
976,0.483000
984,0.485500
992,0.486000
1000,0.488500
1008,0.490000
1016,0.492000
1024,0.493500
1032,0.496000
1040,0.497000
1048,0.498000
1056,0.499000
1064,0.500500
1072,0.501500
1080,0.502500
1088,0.504000
1096,0.505000
1104,0.505500
1112,0.507000
1120,0.509500
1128,0.510500
1136,0.511500
1144,0.512500
1152,0.513000
1160,0.514500
1168,0.515000
1176,0.516500
1184,0.517000
1192,0.517000
1200,0.518000
1208,0.518500
1216,0.520500
1224,0.523000
1232,0.524000
1240,0.525500
1248,0.526000
1256,0.527000
1264,0.527500
1272,0.528500
1280,0.531000
1288,0.532000
1296,0.532000
1304,0.532000
1312,0.532000
1320,0.533500
1328,0.535500
1336,0.536500
1344,0.537000
1352,0.537500
1360,0.537500
1368,0.538500
1376,0.539500
1384,0.541500
1392,0.542500
1400,0.542500
1408,0.544000
1416,0.544000
1424,0.545000
1432,0.545500
1440,0.545500
1448,0.546500
1456,0.546500
1464,0.546500
1472,0.547500
1480,0.548500
1488,0.548500
1496,0.549000
1504,0.549500
1512,0.550000
1520,0.550500
1528,0.551000
1536,0.552000
1544,0.552500
1552,0.554000
1560,0.555000
1568,0.556000
1576,0.556500
1584,0.557000
1592,0.557000
1600,0.557000
1608,0.558500
1616,0.558500
1624,0.558500
1632,0.559000
1640,0.560000
1648,0.560000
1656,0.560000
1664,0.560500
1672,0.561500
1680,0.561500
1688,0.562500
1696,0.563500
1704,0.563500
1712,0.564000
1720,0.564500
1728,0.565500
1736,0.566000
1744,0.566500
1752,0.567000
1760,0.567000
1768,0.567500
1776,0.568500
1784,0.569000
1792,0.569000
1800,0.569500
1808,0.570000
1816,0.570000
1824,0.571000
1832,0.571000
1840,0.571500
1848,0.572000
1856,0.572500
1864,0.572500
1872,0.573000
1880,0.573000
1888,0.573500
1896,0.575000
1904,0.575500
1912,0.575500
1920,0.576500
1928,0.577500
1936,0.577500
1944,0.577500
1952,0.577500
1960,0.578000
1968,0.578000
1976,0.579500
1984,0.580000
1992,0.580500
2000,0.580500
2008,0.581000
2016,0.581500
2024,0.582000
2032,0.582000
2040,0.582000
2048,0.582500
2056,0.583000
2064,0.583000
2072,0.583000
2080,0.583000
2088,0.584500
2096,0.584500
2104,0.585500
2112,0.586000
2120,0.586000
2128,0.586500
2136,0.586500
2144,0.587000
2152,0.587500
2160,0.587500
2168,0.588000
2176,0.588000
2184,0.588500
2192,0.588500
2200,0.589000
2208,0.589000
2216,0.589000
2224,0.589000
2232,0.589000
2240,0.589500
2248,0.589500
2256,0.589500
2264,0.590500
2272,0.590500
2280,0.590500
2288,0.590500
2296,0.591000
2304,0.591500
2312,0.592000
2320,0.592000
2328,0.594000
2336,0.595000
2344,0.595000
2352,0.595000
2360,0.595500
2368,0.596000
2376,0.596000
2384,0.596000
2392,0.596000
2400,0.596000
2408,0.597000
2416,0.597500
2424,0.597500
2432,0.597500
2440,0.597500
2448,0.597500
2456,0.597500
2464,0.597500
2472,0.598000
2480,0.598500
2488,0.598500
2496,0.599000
2504,0.599000
2512,0.599000
2520,0.599000
2528,0.599000
2536,0.599000
2544,0.600000
2552,0.600000
2560,0.600000
2568,0.600000
2576,0.600000
2584,0.600500
2592,0.601000
2600,0.601000
2608,0.601000
2616,0.601000
2624,0.601500
2632,0.601500
2640,0.602000
2648,0.602500
2656,0.603000
2664,0.603000
2672,0.603500
2680,0.604000
2688,0.604000
2696,0.604000
2704,0.605000
2712,0.605000
2720,0.605000
2728,0.605000
2736,0.605000
2744,0.605000
2752,0.605000
2760,0.605500
2768,0.605500
2776,0.605500
2784,0.605500
2792,0.605500
2800,0.605500
2808,0.607000
2816,0.607000
2824,0.608000
2832,0.608000
2840,0.608000
2848,0.608000
2856,0.608000
2864,0.608000
2872,0.608000
2880,0.608500
2888,0.609500
2896,0.609500
2904,0.609500
2912,0.609500
2920,0.611000
2928,0.611000
2936,0.611500
2944,0.611500
2952,0.611500
2960,0.612000
2968,0.613000
2976,0.613000
2984,0.613500
2992,0.613500
3000,0.613500
3008,0.613500
3016,0.613500
3024,0.613500
3032,0.613500
3040,0.614000
3048,0.614000
3056,0.614500
3064,0.614500
3072,0.614500
3080,0.615000
3088,0.615000
3096,0.615000
3104,0.615000
3112,0.616000
3120,0.616000
3128,0.616000
3136,0.616000
3144,0.616500
3152,0.617000
3160,0.617000
3168,0.617000
3176,0.617500
3184,0.617500
3192,0.618500
3200,0.618500
3208,0.618500
3216,0.618500
3224,0.618500
3232,0.619000
3240,0.619000
3248,0.619000
3256,0.619000
3264,0.619500
3272,0.620000
3280,0.621000
3288,0.621500
3296,0.621500
3304,0.621500
3312,0.621500
