disorder,step,phi_a,phi_b,q12
1,18944,0.516172,0.767901,0.386301
1,18960,0.443404,0.764668,0.283754
1,18976,0.480446,0.758461,0.323224
1,18992,0.500815,0.752459,0.375316
1,19008,0.492139,0.735279,0.317772
1,19024,0.510204,0.729481,0.340527
1,19040,0.497330,0.723530,0.329056
1,19056,0.480064,0.758843,0.392258
1,19072,0.523850,0.792580,0.369481
1,19088,0.488713,0.826963,0.337319
1,19104,0.508128,0.829186,0.385687
1,19120,0.507333,0.870493,0.327279
1,19136,0.563873,0.848576,0.378697
1,19152,0.510805,0.838882,0.339387
1,19168,0.485776,0.809633,0.284109
1,19184,0.477597,0.812551,0.272105
1,19200,0.451726,0.823382,0.299308
1,19216,0.424407,0.824599,0.250250
1,19232,0.404071,0.846777,0.240912
1,19248,0.372719,0.837660,0.157980
1,19264,0.381774,0.864085,0.122259
1,19280,0.379285,0.861107,0.199299
1,19296,0.346198,0.890986,0.241313
1,19312,0.360375,0.838801,0.270658
1,19328,0.359789,0.841935,0.290258
1,19344,0.326105,0.867115,0.265510
1,19360,0.390247,0.858574,0.260558
1,19376,0.407001,0.791363,0.250136
1,19392,0.420470,0.796711,0.352880
1,19408,0.464086,0.803193,0.303599
1,19424,0.470015,0.781548,0.273691
1,19440,0.438953,0.807515,0.250700
1,19456,0.428061,0.812120,0.254189
1,19472,0.444336,0.798622,0.296141
1,19488,0.495613,0.773332,0.301646
1,19504,0.456795,0.782117,0.280289
1,19520,0.439779,0.788264,0.272674
1,19536,0.358031,0.788233,0.295832
1,19552,0.374852,0.805995,0.294858
1,19568,0.337382,0.808209,0.304694
1,19584,0.358839,0.814975,0.271659
1,19600,0.419390,0.796955,0.289375
1,19616,0.384950,0.765135,0.225985
1,19632,0.384813,0.763981,0.268025
1,19648,0.393997,0.775859,0.307779
1,19664,0.384467,0.770183,0.256296
1,19680,0.387334,0.813130,0.296902
1,19696,0.364065,0.829404,0.299963
1,19712,0.374770,0.839764,0.291701
1,19728,0.360257,0.830134,0.262325
1,19744,0.399927,0.795037,0.316543
1,19760,0.426409,0.781481,0.353314
1,19776,0.413845,0.801372,0.319891
1,19792,0.368327,0.819370,0.279670
1,19808,0.359014,0.809119,0.232177
1,19824,0.339460,0.825063,0.254112
1,19840,0.337184,0.827417,0.240877
1,19856,0.284552,0.833470,0.201235
1,19872,0.315301,0.841006,0.250522
1,19888,0.305144,0.817040,0.168174
1,19904,0.318456,0.791960,0.169791
1,19920,0.308418,0.828048,0.227268
1,19936,0.295275,0.809538,0.200773
1,19952,0.279949,0.774105,0.207446
1,19968,0.329250,0.756767,0.205834
1,19984,0.337124,0.769467,0.221518
1,20000,0.414379,0.771104,0.189301
1,20016,0.395841,0.766319,0.197446
1,20032,0.381437,0.835076,0.232040
1,20048,0.332075,0.845593,0.254931
1,20064,0.357468,0.832246,0.263728
1,20080,0.410312,0.824392,0.326991
1,20096,0.484563,0.818270,0.390745
1,20112,0.498071,0.803969,0.351847
1,20128,0.511250,0.821311,0.370927
1,20144,0.477996,0.751911,0.361804
1,20160,0.434667,0.738015,0.305476
1,20176,0.470465,0.748805,0.342169
1,20192,0.435372,0.768907,0.248170
1,20208,0.402136,0.771645,0.238666
1,20224,0.391224,0.749441,0.314392
1,20240,0.400157,0.732627,0.274592
1,20256,0.395318,0.766435,0.292906
1,20272,0.439018,0.739325,0.347303
1,20288,0.516611,0.814289,0.404106
1,20304,0.503979,0.795393,0.266443
1,20320,0.431493,0.787556,0.209630
1,20336,0.436707,0.783386,0.251955
1,20352,0.448846,0.776724,0.230308
1,20368,0.407409,0.789283,0.204235
1,20384,0.442448,0.791650,0.237030
1,20400,0.462517,0.803219,0.241461
1,20416,0.336663,0.809149,0.173607
1,20432,0.351511,0.813053,0.219762
1,20448,0.327402,0.805892,0.160173
1,20464,0.412662,0.801465,0.314082
1,20480,0.409795,0.847752,0.340552
1,65552,0.154894,0.443445,-0.066002
1,65568,0.126924,0.464201,-0.009802
1,65584,0.211835,0.437649,0.048410
1,65600,0.137665,0.375122,0.032359
1,65616,0.148727,0.422771,0.035511
1,65632,0.116305,0.423354,0.058122
1,65648,0.106327,0.411072,0.000260
1,65664,0.158339,0.388996,-0.000299
1,65680,0.208239,0.402524,0.047421
1,65696,0.211410,0.394206,-0.002584
1,65712,0.211014,0.448737,0.017001
1,65728,0.184038,0.494121,-0.017519
1,65744,0.186605,0.469312,-0.000350
1,65760,0.188758,0.432768,-0.029182
1,65776,0.186325,0.394355,-0.032215
1,65792,0.180297,0.449172,-0.008348
1,65808,0.166555,0.443501,-0.019648
1,65824,0.179427,0.410791,0.043310
1,65840,0.135387,0.393759,-0.007400
1,65856,0.200639,0.408691,0.033011
1,65872,0.230039,0.361048,0.003242
1,65888,0.261656,0.332281,-0.029169
1,65904,0.246940,0.350670,-0.008096
1,65920,0.232951,0.446140,-0.048852
1,65936,0.190259,0.422645,-0.105776
1,65952,0.223831,0.382730,-0.136535
1,65968,0.234496,0.409363,-0.102190
1,65984,0.208294,0.445855,-0.022686
1,66000,0.314083,0.489643,0.027294
1,66016,0.291832,0.453994,0.078706
1,66032,0.258010,0.469942,0.083318
1,66048,0.279065,0.481738,0.071106
1,66064,0.236453,0.471397,0.021062
1,66080,0.211762,0.461507,-0.035506
1,66096,0.218123,0.473419,0.054900
1,66112,0.168339,0.516344,0.021667
1,66128,0.168339,0.454686,0.032418
1,66144,0.115670,0.431046,0.008198
1,66160,0.206552,0.412640,0.054211
1,66176,0.238782,0.422409,0.036989
1,66192,0.194057,0.407135,-0.015837
1,66208,0.203322,0.395958,0.015399
1,66224,0.241628,0.383444,-0.046271
1,66240,0.285227,0.411835,0.004256
1,66256,0.232902,0.440920,0.014630
1,66272,0.178817,0.438064,-0.077531
1,66288,0.190669,0.394292,-0.103377
1,66304,0.216406,0.423760,-0.104052
1,66320,0.192030,0.410299,-0.136026
1,66336,0.216710,0.386646,-0.140278
1,66352,0.234336,0.368365,-0.107919
1,66368,0.163007,0.374005,-0.073658
1,66384,0.186201,0.383555,-0.173303
1,66400,0.189155,0.307062,-0.157278
1,66416,0.216461,0.407722,-0.037049
1,66432,0.201040,0.416835,-0.009972
1,66448,0.203090,0.381286,-0.061006
1,66464,0.154275,0.381352,-0.079654
1,66480,0.154836,0.398595,0.023928
1,66496,0.145319,0.450788,-0.016893
1,66512,0.148729,0.458277,-0.074093
1,66528,0.095548,0.400772,-0.070106
1,66544,0.126602,0.437163,-0.078145
1,66560,0.158133,0.430388,-0.084327
1,66576,0.146298,0.396157,-0.118378
1,66592,0.133229,0.343407,-0.117556
1,66608,0.147915,0.379825,-0.165669
1,66624,0.218966,0.358995,-0.079605
1,66640,0.200813,0.294196,-0.073537
1,66656,0.199497,0.315029,-0.034318
1,66672,0.214484,0.337176,-0.061717
1,66688,0.212358,0.362425,-0.033428
1,66704,0.251877,0.414670,-0.047300
1,66720,0.262161,0.411608,0.025292
1,66736,0.220927,0.394651,0.014481
1,66752,0.247327,0.394114,-0.071849
1,66768,0.250744,0.426554,-0.028642
1,66784,0.210210,0.464795,-0.009877
1,66800,0.212567,0.385618,0.019959
1,66816,0.219594,0.413871,0.045392
1,66832,0.229409,0.430910,0.018095
1,66848,0.219442,0.388735,0.009998
1,66864,0.198860,0.373968,0.042313
1,66880,0.225108,0.407026,0.036413
1,66896,0.274235,0.403064,0.081981
1,66912,0.300994,0.424468,0.069401
1,66928,0.304596,0.410095,0.009075
1,66944,0.243901,0.402946,0.001385
1,66960,0.260072,0.403448,0.035927
1,66976,0.254327,0.450535,0.035839
1,66992,0.241225,0.471325,-0.026332
1,67008,0.290084,0.483001,-0.028066
1,67024,0.296316,0.445418,-0.027797
1,67040,0.263669,0.492356,-0.043639
1,67056,0.161236,0.526495,-0.107978
1,67072,0.178355,0.494766,-0.045421
1,67088,0.167328,0.497907,-0.036542
1,67104,0.215558,0.486955,-0.055015
1,67120,0.193009,0.507708,-0.095614
1,67136,0.269858,0.436726,-0.010004
1,67152,0.180460,0.473359,-0.034733
1,67168,0.153788,0.440774,-0.079495
1,67184,0.132911,0.434683,-0.078876
1,67200,0.124712,0.449305,-0.025551
1,67216,0.205165,0.456667,-0.012702
1,67232,0.218914,0.460465,-0.017787
1,67248,0.233386,0.438718,-0.026005
1,67264,0.247555,0.470339,-0.043559
1,67280,0.245016,0.456201,-0.048853
1,67296,0.159998,0.386220,-0.043991
1,67312,0.181383,0.390318,-0.114156
1,67328,0.169249,0.377563,-0.062624
1,67344,0.181360,0.331651,-0.007019
1,67360,0.158690,0.386417,-0.031924
1,67376,0.219390,0.428794,-0.059646
1,67392,0.156238,0.415252,-0.082470
1,67408,0.184863,0.418091,-0.066594
1,67424,0.178667,0.461371,0.024631
1,67440,0.126271,0.457113,0.027691
1,67456,0.133606,0.467302,-0.000018
1,67472,0.150419,0.458817,-0.033606
1,67488,0.132467,0.442702,-0.116074
1,67504,0.133184,0.395052,-0.070101
1,67520,0.142717,0.427400,0.037824
1,67536,0.179584,0.454107,0.059534
1,67552,0.283082,0.445704,0.106599
1,67568,0.206830,0.445145,0.066288
1,67584,0.200110,0.409195,0.054303
1,67600,0.137984,0.428195,0.015837
1,67616,0.129752,0.437647,-0.062405
1,67632,0.133875,0.415686,-0.091377
1,67648,0.155488,0.387385,-0.058118
1,67664,0.135279,0.386788,0.019238
1,67680,0.187907,0.348786,0.068682
1,67696,0.173958,0.332907,-0.024568
1,67712,0.151052,0.371131,-0.086419
1,67728,0.151119,0.351189,-0.173532
1,67744,0.162427,0.368870,-0.251833
1,67760,0.138780,0.408859,-0.201313
1,67776,0.137697,0.407940,-0.036481
1,67792,0.156818,0.438737,0.035629
1,67808,0.160610,0.432304,0.101335
1,67824,0.232931,0.505622,0.096074
1,67840,0.200537,0.473717,0.072433
1,67856,0.168597,0.485297,0.020667
1,67872,0.189251,0.477352,-0.006034
1,67888,0.213722,0.445591,-0.035993
1,67904,0.178253,0.492293,-0.004637
1,67920,0.192822,0.441235,-0.010274
1,67936,0.143934,0.421497,-0.017377
1,67952,0.149742,0.430060,-0.025512
1,67968,0.152655,0.415243,0.019195
