step,P_esc
8,0.015500
16,0.017000
24,0.020000
32,0.023000
40,0.026000
48,0.029000
56,0.032000
64,0.036000
72,0.037500
80,0.038500
88,0.042000
96,0.046000
104,0.048500
112,0.050000
120,0.056000
128,0.058000
136,0.059500
144,0.062500
152,0.066500
160,0.067000
168,0.068500
176,0.071500
184,0.074000
192,0.075500
200,0.079000
208,0.083000
216,0.083500
224,0.087500
232,0.090000
240,0.090500
248,0.092000
256,0.094000
264,0.096000
272,0.097500
280,0.098500
288,0.100000
296,0.102500
304,0.103000
312,0.104500
320,0.106000
328,0.107000
336,0.108000
344,0.109500
352,0.112000
360,0.113000
368,0.115000
376,0.118000
384,0.119500
392,0.120000
400,0.121500
408,0.122000
416,0.123000
424,0.126500
432,0.129000
440,0.130000
448,0.131000
456,0.131500
464,0.132500
472,0.133500
480,0.135000
488,0.138000
496,0.140000
504,0.140000
512,0.141000
520,0.141500
528,0.143000
536,0.146000
544,0.146500
552,0.148000
560,0.150500
568,0.151500
576,0.152500
584,0.153000
592,0.154000
600,0.155000
608,0.155000
616,0.156000
624,0.156000
632,0.158000
640,0.159000
648,0.161500
656,0.162000
664,0.163500
672,0.164000
680,0.164000
688,0.165000
696,0.166500
704,0.168000
712,0.170000
720,0.170500
728,0.171500
736,0.172500
744,0.173500
752,0.175500
760,0.177000
768,0.177500
776,0.178000
784,0.179000
792,0.179500
800,0.180500
808,0.181500
816,0.183000
824,0.185500
832,0.187500
840,0.188000
848,0.191000
856,0.191500
864,0.192500
872,0.194000
880,0.195500
888,0.197000
896,0.197500
904,0.198000
912,0.200000
920,0.201500
928,0.203000
936,0.205500
944,0.206000
952,0.208000
960,0.209000
968,0.210500
976,0.211500
984,0.213500
992,0.214500
1000,0.216500
1008,0.217500
1016,0.218500
1024,0.219000
1032,0.220000
1040,0.220500
1048,0.221500
1056,0.222000
1064,0.223000
1072,0.225500
1080,0.227500
1088,0.229500
1096,0.231000
1104,0.234000
1112,0.235500
1120,0.236500
1128,0.238000
1136,0.239000
1144,0.239500
1152,0.242000
1160,0.243000
1168,0.243000
1176,0.243500
1184,0.244500
1192,0.245500
1200,0.247000
1208,0.247500
1216,0.248000
1224,0.250000
1232,0.250500
1240,0.251500
1248,0.253000
1256,0.254000
1264,0.256500
1272,0.257000
1280,0.257500
1288,0.258000
1296,0.258500
1304,0.258500
