alpha,T,N,t_escape,t_centroid,mu_escape,phi_1mu,Dv_retrieval,Dv_prebarrier,Dv_postbarrier,Dv_centroid
0.20,0.80,50,6072,-1,7110,0.5610,4.3273e-05,NaN,2.8413e-04,NaN
0.20,0.80,50,9196,-1,11951,0.5361,2.6202e-05,NaN,1.1791e-03,NaN
0.20,0.80,50,5676,-1,9520,0.5068,2.7448e-05,NaN,4.3741e-04,NaN
0.20,0.80,50,1560,-1,4552,0.6274,1.0227e-04,NaN,2.4347e-04,NaN
0.20,0.80,50,5820,-1,12789,0.4880,3.3862e-05,NaN,2.1457e-04,NaN
0.20,0.80,50,5220,-1,15345,0.4768,2.7282e-05,NaN,8.0844e-04,NaN
0.20,0.80,50,5940,-1,9407,0.5273,3.4761e-05,NaN,2.4375e-04,NaN
0.20,0.80,50,8968,-1,166,0.5083,2.4369e-05,NaN,8.6098e-04,NaN
0.20,0.80,50,7052,7256,989,0.5674,2.8829e-05,NaN,2.6835e-02,1.6715e-04
0.20,0.80,50,3124,9536,8977,0.6167,6.5055e-05,NaN,4.4871e-04,8.3022e-03
0.20,0.80,50,528,4668,921,0.6055,3.7858e-04,NaN,2.5364e-04,3.2631e-03
0.20,0.80,50,2036,2240,15512,0.5586,9.5384e-05,NaN,1.1184e-02,1.1260e-03
0.20,0.80,50,3420,3624,7075,0.4915,3.6970e-05,NaN,2.3803e-02,7.4500e-04
0.20,0.80,50,7004,-1,9566,0.4915,2.2709e-05,NaN,3.6076e-04,NaN
0.20,0.80,50,5044,7448,15859,0.5869,2.6594e-05,NaN,2.8046e-03,1.9298e-04
0.20,0.80,50,2152,2356,4682,0.5083,7.9031e-05,NaN,1.5548e-02,9.2614e-04
0.20,0.80,50,3552,-1,2267,0.5288,4.8560e-05,NaN,1.4541e-04,NaN
0.20,0.80,50,3148,-1,6521,0.6030,5.7790e-05,NaN,1.0395e-03,NaN
0.20,0.80,50,6276,-1,19128,0.5776,3.5614e-05,NaN,2.7912e-04,NaN
0.20,0.80,50,4464,-1,17276,0.4666,3.6034e-05,NaN,1.4817e-04,NaN
0.20,0.80,50,5292,-1,17802,0.5562,4.0178e-05,NaN,7.1247e-04,NaN
0.20,0.80,50,316,-1,1447,0.5820,5.7259e-04,NaN,1.1813e-04,NaN
0.20,0.80,50,3684,-1,14583,0.5898,5.2094e-05,NaN,1.7159e-04,NaN
0.20,0.80,50,400,-1,4805,0.5376,3.3526e-04,NaN,5.5916e-05,NaN
0.20,0.80,50,5816,-1,3761,0.5073,3.2175e-05,NaN,2.1599e-04,NaN
0.20,0.80,50,2640,-1,6385,0.6167,7.7256e-05,NaN,3.8617e-04,NaN
0.20,0.80,50,3044,-1,2981,0.5205,5.5001e-05,NaN,1.3767e-04,NaN
0.20,0.80,50,292,496,2611,0.5479,4.2184e-04,NaN,4.4411e-03,2.1656e-04
0.20,0.80,50,7572,-1,15089,0.4399,2.4344e-05,NaN,3.1870e-04,NaN
0.20,0.80,50,6136,-1,4312,0.5127,2.9257e-05,NaN,4.0580e-04,NaN
0.20,0.80,50,2604,-1,15776,0.6187,9.5410e-05,NaN,1.7318e-04,NaN
0.20,0.80,50,84,292,3379,0.6045,1.5588e-03,NaN,1.6155e-02,6.7628e-03
0.20,0.80,50,1116,1320,2551,0.5879,1.2831e-04,NaN,1.4983e-02,2.5135e-04
0.20,0.80,50,736,-1,6799,0.6543,2.6965e-04,NaN,1.4023e-04,NaN
0.20,0.80,50,8328,-1,3249,0.6030,2.7818e-05,NaN,3.4675e-04,NaN
0.20,0.80,50,7236,-1,2155,0.6333,4.0791e-05,NaN,4.5083e-04,NaN
0.20,0.80,50,608,-1,17903,0.6001,2.7117e-04,NaN,1.2359e-04,NaN
0.20,0.80,50,7048,-1,6352,0.5420,3.4662e-05,NaN,3.4677e-04,NaN
0.20,0.80,50,2056,-1,995,0.6152,8.8431e-05,NaN,1.4741e-04,NaN
0.20,0.80,50,6548,-1,16047,0.5977,3.5931e-05,NaN,3.1844e-04,NaN
0.20,0.80,50,5124,5328,10416,0.6035,3.8876e-05,NaN,1.2302e-02,2.7724e-03
0.20,0.80,50,7996,-1,10792,0.5034,2.6787e-05,NaN,4.5226e-04,NaN
0.20,0.80,50,652,856,556,0.6606,2.5459e-04,NaN,1.1100e-03,3.5279e-03
0.20,0.80,50,1472,2784,12081,0.5845,1.3543e-04,NaN,5.4019e-03,6.0117e-05
0.20,0.80,50,3476,8760,6775,0.5830,6.9903e-05,NaN,2.9691e-04,8.7733e-03
0.20,0.80,50,2756,-1,8894,0.5527,5.6755e-05,NaN,1.3401e-04,NaN
0.20,0.80,50,5532,5736,8606,0.5479,3.2724e-05,NaN,1.6321e-02,1.1090e-03
0.20,0.80,50,3404,-1,17364,0.5801,6.3997e-05,NaN,1.6826e-04,NaN
0.20,0.80,50,5116,5320,8256,0.6519,5.6473e-05,NaN,1.3737e-02,5.1479e-03
0.20,0.80,50,2500,-1,13056,0.5947,8.0451e-05,NaN,2.6659e-04,NaN
0.20,0.80,50,1464,9776,16146,0.5312,8.7353e-05,NaN,1.9753e-04,4.7969e-03
