step,P_esc,tau_t
250,0.009500,26190.6
500,0.017000,29161.1
750,0.022500,32956.9
1000,0.031500,31243.4
1250,0.044500,27460.1
1500,0.055000,26515.7
1750,0.065000,26038.3
2000,0.072000,26765.3
2250,0.080000,26984.4
2500,0.087500,27302.4
2750,0.096000,27247.7
3000,0.101500,28029.9
3250,0.110500,27755.1
3500,0.115500,28517.2
3750,0.120500,29205.2
4000,0.128500,29082.6
4250,0.135500,29188.8
4500,0.142500,29271.3
4750,0.149500,29333.5
5000,0.156500,29378.0
5250,0.164000,29308.9
5500,0.171000,29327.8
5750,0.180500,28885.6
6000,0.191000,28307.7
6250,0.199000,28166.6
6500,0.206000,28178.6
6750,0.210500,28558.7
7000,0.217000,28615.5
7250,0.223000,28733.9
7500,0.230500,28624.4
7750,0.236000,28790.3
8000,0.242500,28804.8
8250,0.252000,28413.8
8500,0.255500,28809.4
8750,0.261500,28865.1
9000,0.267000,28975.3
9250,0.271500,29201.2
9500,0.275000,29541.3
9750,0.284500,29124.2
10000,0.290000,29197.9
10250,0.294500,29382.4
10500,0.299000,29556.9
10750,0.304500,29604.2
11000,0.310000,29644.5
11250,0.315000,29735.4
11500,0.318000,30047.6
11750,0.321000,30351.2
12000,0.323000,30762.6
12250,0.328000,30817.8
12500,0.332500,30924.1
12750,0.338000,30909.9
13000,0.344500,30779.7
13250,0.345000,31315.0
13500,0.348000,31563.4
13750,0.353500,31523.5
14000,0.358000,31590.8
14250,0.362000,31707.7
14500,0.366500,31763.7
14750,0.371000,31814.6
15000,0.379000,31484.5
15250,0.386500,31213.2
15500,0.391500,31202.3
15750,0.395000,31341.6
16000,0.399500,31373.0
16250,0.404000,31400.1
16500,0.407500,31524.4
16750,0.412000,31542.6
17000,0.417000,31506.7
17250,0.421000,31567.2
17500,0.426500,31475.0
17750,0.431500,31429.6
18000,0.434500,31576.5
18250,0.439500,31523.9
18500,0.442500,31662.2
18750,0.446500,31699.4
19000,0.450500,31733.0
19250,0.455500,31667.1
19500,0.461500,31504.1
19750,0.465000,31575.3
20000,0.468000,31690.1
20250,0.473000,31613.2
20500,0.476000,31720.8
20750,0.479000,31824.9
21000,0.482000,31925.6
21250,0.485500,31976.1
21500,0.487000,32210.7
21750,0.490000,32301.4
22000,0.492000,32483.2
22250,0.496500,32426.3
22500,0.499000,32554.5
22750,0.501500,32679.7
23000,0.504500,32754.8
23250,0.508500,32733.0
23500,0.510500,32896.1
23750,0.513500,32962.4
24000,0.516500,33025.8
24250,0.518500,33180.6
24500,0.523500,33050.6
24750,0.524500,33293.5
25000,0.529000,33205.1
25250,0.533500,33114.9
25500,0.538000,33022.9
25750,0.540500,33114.0
26000,0.544000,33109.9
26250,0.548500,33011.4
26500,0.552000,33002.8
26750,0.555500,32991.9
27000,0.559500,32933.1
27250,0.565000,32736.3
27500,0.570500,32539.2
27750,0.572500,32654.7
28000,0.574500,32768.1
28250,0.580000,32564.8
28500,0.581500,32718.1
28750,0.583000,32869.6
29000,0.585500,32929.0
29250,0.587500,33031.5
29500,0.591500,32951.2
29750,0.593500,33049.3
30000,0.598000,32919.9
30250,0.599500,33058.6
30500,0.601000,33195.7
30750,0.603500,33240.4
31000,0.607000,33192.5
31250,0.608500,33323.7
31500,0.609500,33499.0
31750,0.611000,33627.2
32000,0.613500,33662.1
32250,0.618000,33512.2
32500,0.620000,33588.8
32750,0.622500,33617.9
33000,0.625000,33645.0
33250,0.627000,33716.1
33500,0.630500,33647.9
33750,0.631500,33807.0
34000,0.635500,33689.1
34250,0.638000,33706.9
34500,0.641000,33677.2
34750,0.644500,33599.9
