alpha,T,N,M,n_dis,phi_mean_final,phi_std_final,frac_escaped,tau_1hop_median
0.20,0.15,50,20000,2000,0.9391,0.0210,0.0260,64.0
0.20,0.25,50,20000,2000,0.9072,0.0326,0.1000,57408.0
0.20,0.40,50,20000,2000,0.8446,0.1248,0.2100,576.0
0.20,0.80,50,20000,2000,0.7644,0.1695,0.8413,64.0
0.20,0.15,58,100000,800,0.9413,0.0148,0.0081,64.0
0.20,0.25,58,100000,800,0.9134,0.0222,0.0437,64.0
0.20,0.40,58,100000,800,0.8734,0.0687,0.1244,704.0
0.20,0.80,58,100000,800,0.8111,0.1055,0.8325,64.0
0.20,0.15,66,500000,300,0.9427,0.0110,0.0033,64.0
0.20,0.25,66,500000,300,0.9149,0.0167,0.0167,64.0
0.20,0.40,66,500000,300,0.8833,0.0344,0.0750,768.0
0.20,0.80,66,500000,300,0.8338,0.0567,0.8400,64.0
0.20,0.15,73,2000000,100,0.9429,0.0083,0.0000,64.0
0.20,0.25,73,2000000,100,0.9157,0.0140,0.0100,64.0
0.20,0.40,73,2000000,100,0.8857,0.0195,0.0350,896.0
0.20,0.15,50,20000,2000,0.9388,0.0205,0.0215,64.0
0.20,0.25,50,20000,2000,0.9062,0.0345,0.1040,61728.0
0.20,0.40,50,20000,2000,0.8407,0.1287,0.2115,576.0
0.20,0.80,50,20000,2000,0.7651,0.1680,0.8245,64.0
0.20,0.15,58,100000,800,0.9420,0.0141,0.0069,64.0
0.20,0.25,58,100000,800,0.9130,0.0237,0.0444,320.0
0.20,0.40,58,100000,800,0.8714,0.0726,0.1338,704.0
0.20,0.80,58,100000,800,0.8035,0.1191,0.8294,64.0
0.20,0.15,66,500000,300,0.9419,0.0135,0.0050,64.0
0.20,0.25,66,500000,300,0.9142,0.0193,0.0283,64.0
0.20,0.40,66,500000,300,0.8823,0.0385,0.0900,768.0
0.20,0.80,66,500000,300,0.8224,0.0791,0.8600,64.0
