step,P_esc,tau_t
500,0.014500,34232.2
1000,0.032500,30266.5
1500,0.044500,32952.2
2000,0.056500,34388.5
2500,0.066500,36329.6
3000,0.080000,35979.2
3500,0.089500,37328.8
4000,0.101500,37373.2
4500,0.107000,39763.6
5000,0.112000,42093.4
5500,0.117500,44001.2
6000,0.120000,46936.1
6500,0.126500,48060.2
7000,0.133000,49048.4
7500,0.137000,50902.5
8000,0.140000,53042.3
8500,0.144000,54667.7
9000,0.150000,55378.2
9500,0.152500,57414.1
10000,0.160000,57354.8
10500,0.166000,57844.3
11000,0.170500,58844.9
11500,0.173000,60542.1
12000,0.175500,62183.2
12500,0.183500,61658.9
13000,0.185000,63548.8
13500,0.188000,64824.4
14000,0.192500,65478.0
14500,0.196500,66277.2
15000,0.201000,66846.6
15500,0.206000,67195.0
16000,0.207000,68985.7
16500,0.209500,70186.0
17000,0.214000,70598.5
17500,0.218000,71167.0
18000,0.221500,71888.9
18500,0.224000,72948.7
19000,0.228500,73240.7
19500,0.232500,73691.5
20000,0.233500,75210.4
20500,0.234500,76714.1
21000,0.237000,77634.8
21500,0.239000,78719.4
22000,0.242000,79401.8
22500,0.244000,80439.3
23000,0.246000,81455.5
23500,0.248500,82258.7
24000,0.252000,82658.2
24500,0.254500,83418.4
25000,0.259000,83401.5
25500,0.261000,84309.4
26000,0.262500,85388.9
26500,0.263500,86644.9
27000,0.266500,87117.1
27500,0.269500,87572.4
28000,0.273000,87821.4
28500,0.277000,87869.1
29000,0.279500,88465.9
29500,0.281500,89234.5
30000,0.284500,89612.8
30500,0.285500,90727.3
31000,0.286000,92023.0
31500,0.288500,92543.7
32000,0.290500,93241.5
32500,0.293000,93734.3
33000,0.295000,94405.1
33500,0.298000,94680.4
34000,0.300000,95324.9
34500,0.302500,95766.1
35000,0.307000,95439.3
35500,0.308000,96423.0
36000,0.309000,97398.5
36500,0.311000,97982.9
37000,0.314000,98175.1
37500,0.315000,99118.1
38000,0.317500,99478.3
38500,0.318500,100401.9
39000,0.320500,100932.2
39500,0.321000,102031.8
40000,0.322500,102736.5
40500,0.324000,103431.8
41000,0.326000,103922.4
41500,0.327000,104795.3
42000,0.329500,105070.5
42500,0.332500,105141.8
43000,0.333500,105985.7
43500,0.333500,107218.1
44000,0.334500,108050.6
44500,0.336000,108676.2
45000,0.337000,109494.3
45500,0.339000,109903.0
46000,0.340500,110504.3
46500,0.341500,111299.7
47000,0.342500,112088.8
47500,0.343000,113076.1
48000,0.345500,113238.6
48500,0.346500,114006.9
49000,0.347500,114769.1
49500,0.349000,115318.6
50000,0.350500,115860.8
50500,0.352000,116395.8
51000,0.354500,116510.2
51500,0.355000,117444.5
52000,0.356500,117958.4
52500,0.359500,117843.5
53000,0.360500,118550.0
53500,0.362000,119043.1
54000,0.364000,119322.1
54500,0.366000,119594.6
55000,0.367500,120067.7
