step,P_esc
128,0.104500
256,0.151000
384,0.193500
512,0.223000
640,0.254000
768,0.277500
896,0.297500
1024,0.313500
1152,0.332500
1280,0.344500
1408,0.355500
1536,0.367500
1664,0.379000
1792,0.393500
1920,0.402000
2048,0.414000
2176,0.422000
2304,0.429000
2432,0.437000
2560,0.446000
2688,0.451500
2816,0.456000
2944,0.461000
3072,0.466500
3200,0.471500
3328,0.479000
3456,0.482500
3584,0.486500
3712,0.492500
3840,0.497000
3968,0.503000
4096,0.509500
4224,0.513500
4352,0.518000
4480,0.522000
4608,0.528000
4736,0.529000
4864,0.533000
4992,0.538000
5120,0.538000
5248,0.542000
5376,0.545000
5504,0.547500
5632,0.551000
5760,0.553000
5888,0.555000
6016,0.556500
6144,0.559000
6272,0.562000
6400,0.566000
6528,0.569000
6656,0.571500
6784,0.573000
6912,0.576000
7040,0.579000
7168,0.581500
7296,0.585500
7424,0.585500
7552,0.587000
7680,0.589000
7808,0.590000
7936,0.590000
8064,0.591000
8192,0.592500
8320,0.593000
8448,0.594000
8576,0.597000
8704,0.598000
8832,0.598000
8960,0.599500
9088,0.602000
9216,0.604500
9344,0.606000
9472,0.606500
9600,0.609000
9728,0.611500
9856,0.612500
9984,0.613500
10112,0.613500
10240,0.614500
10368,0.614500
10496,0.615000
10624,0.616500
10752,0.617000
10880,0.618000
11008,0.618500
11136,0.620500
11264,0.621000
11392,0.621500
11520,0.622500
11648,0.622500
11776,0.622500
11904,0.623000
12032,0.625000
12160,0.625500
12288,0.626000
12416,0.627000
12544,0.627500
12672,0.628500
12800,0.630000
12928,0.630500
13056,0.631000
13184,0.631000
13312,0.632500
13440,0.633500
13568,0.633500
13696,0.634000
13824,0.634500
13952,0.634500
14080,0.636500
14208,0.639000
14336,0.639000
14464,0.639500
14592,0.640500
14720,0.641000
14848,0.641500
14976,0.642000
15104,0.642000
15232,0.643000
15360,0.643500
15488,0.644500
15616,0.645500
15744,0.645500
15872,0.645500
16000,0.645500
16128,0.645500
16256,0.645500
16384,0.646000
16512,0.647000
16640,0.647500
16768,0.647500
16896,0.648000
17024,0.649000
17152,0.649000
17280,0.650000
17408,0.650000
