alpha,T0.0250,T0.0750,T0.1250,T0.1750,T0.2250,T0.2750,T0.3250,T0.3750,T0.4250,T0.4750,T0.5250,T0.5750,T0.6250,T0.6750,T0.7250,T0.7750,T0.8250,T0.8750,T0.9250,T0.9750,T1.0250,T1.0750,T1.1250,T1.1750,T1.2250,T1.2750,T1.3250,T1.3750,T1.4250,T1.4750,T1.5250,T1.5750,T1.6250,T1.6750,T1.7250,T1.7750,T1.8250,T1.8750,T1.9250,T1.9750
0.270,0.9727,0.9182,0.8759,0.8275,0.7938,0.7352,0.6919,0.6348,0.5462,0.4465,0.3443,0.3072,0.2588,0.2229,0.2119,0.1889,0.1792,0.1918,0.2120,0.1826,0.1899,0.2081,0.2326,0.2366,0.2353,0.2264,0.2231,0.2080,0.2138,0.2089,0.1983,0.2033,0.1817,0.2096,0.2072,0.1436,0.1492,0.1096,0.1256,0.1040
0.275,0.9723,0.9254,0.8617,0.8296,0.7667,0.7043,0.6677,0.5684,0.4670,0.3508,0.2719,0.2013,0.1539,0.1449,0.1573,0.1101,0.1005,0.0830,0.1137,0.1070,0.1136,0.1498,0.1228,0.1173,0.1170,0.1328,0.1441,0.1088,0.1244,0.1013,0.1258,0.0943,0.0995,0.0999,0.0815,0.0546,0.0506,0.0499,0.0348,0.0462
0.280,0.9731,0.9188,0.8735,0.8217,0.7707,0.7133,0.6381,0.5687,0.4194,0.3562,0.2683,0.1912,0.1619,0.0927,0.1316,0.0700,0.0616,0.0674,0.0991,0.0862,0.0848,0.0933,0.0785,0.0841,0.1142,0.1020,0.1231,0.1170,0.0928,0.1066,0.0926,0.0872,0.1003,0.1001,0.0764,0.0444,0.0290,0.0328,0.0351,0.0286
0.285,0.9741,0.9180,0.8701,0.8176,0.7609,0.6831,0.6134,0.5391,0.4287,0.3151,0.2679,0.1746,0.1189,0.1349,0.0897,0.0804,0.0645,0.0539,0.0763,0.0825,0.0709,0.0627,0.0988,0.0652,0.0646,0.0768,0.0624,0.0748,0.0754,0.0791,0.0611,0.0630,0.0589,0.0479,0.0338,0.0259,0.0289,0.0177,0.0231,0.0157
0.290,0.9684,0.9019,0.8372,0.7854,0.7204,0.6247,0.5678,0.4850,0.3809,0.2383,0.1761,0.1068,0.0736,0.0358,0.0312,0.0211,0.0223,0.0301,0.0191,0.0268,0.0082,0.0097,0.0218,0.0224,0.0175,0.0269,0.0246,0.0315,0.0190,-0.0033,0.0175,0.0107,0.0136,0.0082,-0.0037,0.0045,0.0120,0.0057,-0.0080,0.0066
0.295,0.9668,0.9088,0.8335,0.7770,0.7202,0.6193,0.5440,0.4714,0.3964,0.2639,0.2062,0.1060,0.0529,0.0373,0.0335,0.0216,0.0103,0.0166,0.0047,0.0139,0.0268,0.0039,0.0260,0.0394,0.0040,0.0111,0.0285,0.0211,0.0070,0.0125,0.0122,0.0014,0.0125,0.0067,0.0117,0.0164,0.0055,0.0046,0.0019,0.0003
0.300,0.9641,0.9022,0.8311,0.7580,0.6854,0.6091,0.5338,0.4587,0.3427,0.2255,0.1336,0.0938,0.0670,0.0334,0.0155,0.0112,0.0039,0.0003,0.0214,0.0313,-0.0067,0.0065,0.0234,-0.0008,0.0066,0.0021,0.0083,0.0122,-0.0012,0.0110,-0.0067,0.0093,0.0132,0.0171,-0.0060,0.0125,0.0034,0.0181,-0.0030,0.0188
0.305,0.9630,0.8829,0.7876,0.7140,0.6204,0.5366,0.4640,0.3731,0.2832,0.2034,0.0704,0.0451,0.0537,0.0139,-0.0091,-0.0098,0.0038,-0.0215,0.0151,0.0035,0.0014,-0.0073,-0.0042,-0.0069,-0.0051,0.0036,0.0013,0.0013,-0.0084,0.0057,-0.0072,0.0120,-0.0046,0.0126,-0.0129,0.0012,-0.0049,0.0158,-0.0151,0.0034
0.310,0.9553,0.8695,0.7930,0.6939,0.6572,0.5546,0.4549,0.4084,0.2986,0.1841,0.0797,0.0507,0.0358,-0.0019,0.0283,0.0107,-0.0123,0.0111,0.0005,-0.0156,-0.0139,-0.0099,0.0122,-0.0137,-0.0010,-0.0136,0.0089,0.0004,-0.0033,-0.0055,0.0108,0.0054,0.0109,-0.0022,0.0091,-0.0075,0.0046,-0.0159,0.0007,-0.0001
0.315,0.9608,0.8849,0.7749,0.6969,0.5480,0.5593,0.4150,0.3179,0.2478,0.1730,0.1327,0.0355,0.0013,0.0043,0.0129,-0.0022,0.0103,-0.0154,0.0055,-0.0036,0.0091,0.0076,0.0014,0.0005,-0.0062,0.0010,0.0006,0.0013,-0.0075,0.0045,0.0056,-0.0091,0.0047,-0.0081,0.0146,-0.0105,-0.0014,0.0195,0.0108,0.0110
0.320,0.9364,0.8434,0.7355,0.6812,0.5926,0.4662,0.4186,0.2931,0.2068,0.1256,0.0642,-0.0042,0.0005,-0.0070,-0.0091,-0.0109,0.0058,0.0039,0.0018,0.0042,-0.0153,-0.0124,-0.0145,-0.0055,-0.0060,0.0065,0.0214,-0.0011,-0.0155,-0.0036,-0.0048,-0.0056,-0.0019,-0.0027,0.0065,-0.0060,-0.0217,-0.0043,-0.0083,0.0160
0.325,0.9383,0.8493,0.7577,0.6659,0.5582,0.4943,0.3900,0.3345,0.2447,0.1676,0.0771,0.0698,0.0177,0.0224,0.0077,-0.0143,-0.0139,-0.0003,0.0059,-0.0163,-0.0040,0.0048,0.0047,-0.0020,-0.0131,0.0119,0.0152,-0.0134,-0.0223,-0.0031,-0.0022,0.0102,-0.0049,0.0101,-0.0011,-0.0053,-0.0113,0.0028,0.0096,0.0054
0.330,0.9530,0.8140,0.7470,0.6270,0.5651,0.4612,0.3305,0.2676,0.1689,0.1098,0.0376,0.0160,0.0473,-0.0016,-0.0006,0.0110,0.0082,0.0029,-0.0047,0.0044,0.0151,-0.0029,0.0027,-0.0031,0.0176,0.0045,0.0141,-0.0040,0.0043,-0.0036,0.0083,-0.0101,-0.0008,0.0055,0.0061,-0.0064,-0.0044,-0.0038,-0.0078,0.0008
0.335,0.9257,0.7785,0.6907,0.5616,0.5014,0.4138,0.3001,0.2003,0.1786,0.0807,0.0598,0.0202,0.0484,-0.0021,-0.0094,0.0009,-0.0069,0.0233,-0.0002,0.0023,-0.0002,-0.0007,0.0114,-0.0079,-0.0063,0.0169,0.0063,-0.0144,-0.0020,0.0072,0.0064,0.0032,0.0075,-0.0054,-0.0087,0.0113,-0.0031,0.0114,-0.0095,-0.0109
0.340,0.9167,0.7814,0.6675,0.5899,0.5009,0.3550,0.2878,0.1537,0.1395,0.0895,0.0442,0.0215,0.0282,0.0149,0.0293,0.0125,-0.0058,0.0003,0.0314,-0.0076,0.0014,-0.0004,-0.0051,0.0037,0.0101,-0.0081,-0.0002,0.0014,0.0151,0.0009,0.0077,-0.0237,-0.0039,-0.0164,-0.0025,-0.0015,-0.0008,0.0024,0.0050,0.0036
0.345,0.8869,0.7874,0.6642,0.5672,0.4714,0.4000,0.2832,0.1846,0.1307,0.0690,0.0112,0.0484,0.0160,0.0006,0.0138,-0.0006,-0.0118,0.0027,-0.0164,-0.0066,0.0132,0.0177,-0.0019,-0.0054,0.0012,0.0107,0.0084,-0.0135,-0.0121,0.0003,-0.0085,0.0027,0.0062,-0.0270,-0.0060,-0.0072,0.0186,0.0018,0.0052,-0.0027
0.350,0.8534,0.7108,0.5946,0.5208,0.3188,0.2255,0.2557,0.1084,0.0620,0.0369,0.0040,0.0101,0.0244,-0.0129,0.0222,-0.0062,0.0044,0.0265,-0.0079,-0.0015,-0.0154,-0.0173,0.0013,0.0051,-0.0070,-0.0039,0.0088,-0.0235,-0.0043,-0.0127,0.0165,-0.0051,0.0009,-0.0068,-0.0099,0.0001,-0.0026,0.0079,0.0054,0.0124
