step,P_esc,tau_t
16,0.000000,-1.0
32,0.000000,-1.0
48,0.000500,95976.0
64,0.005000,12768.0
80,0.013500,5885.8
96,0.038500,2445.2
112,0.058000,1874.5
128,0.077500,1586.8
144,0.098500,1388.7
160,0.129500,1153.7
176,0.155000,1045.0
192,0.179000,973.5
208,0.207000,896.8
224,0.226000,874.4
240,0.248500,840.1
256,0.275000,796.1
272,0.293000,784.5
288,0.308000,782.2
304,0.321500,783.8
320,0.345500,754.9
336,0.370500,726.0
352,0.391500,708.6
368,0.407500,703.1
384,0.427500,688.5
400,0.442000,685.6
416,0.455000,685.4
432,0.471000,678.4
448,0.485500,674.1
464,0.502000,665.6
480,0.517000,659.6
496,0.534000,649.6
512,0.541000,657.5
528,0.556000,650.3
544,0.569500,645.5
560,0.580500,644.6
576,0.591500,643.4
592,0.604000,639.1
608,0.615500,636.1
624,0.626000,634.5
640,0.634000,636.7
656,0.644500,634.3
672,0.656500,628.9
688,0.666000,627.4
704,0.675000,626.4
720,0.684000,625.0
736,0.696000,618.1
752,0.704500,616.9
768,0.712500,616.1
784,0.721000,614.2
800,0.729000,612.7
816,0.736000,612.7
832,0.743000,612.4
848,0.746000,618.8
864,0.755000,614.3
880,0.764500,608.6
896,0.769000,611.5
912,0.776000,609.6
928,0.784000,605.6
944,0.794000,597.5
960,0.800500,595.6
976,0.806500,594.2
992,0.816000,586.0
1008,0.820000,587.8
1024,0.823500,590.4
1040,0.829500,587.9
1056,0.833500,589.0
1072,0.839000,587.0
1088,0.846500,580.6
1104,0.850500,580.9
1120,0.857000,575.9
1136,0.860000,577.8
1152,0.867000,571.0
1168,0.869500,573.6
1184,0.873000,573.8
1200,0.877000,572.6
1216,0.879000,575.8
1232,0.882000,576.5
1248,0.886500,573.5
1264,0.891000,570.3
1280,0.894000,570.3
1296,0.898500,566.5
1312,0.900500,568.6
1328,0.903500,568.0
1344,0.906000,568.4
1360,0.910000,564.8
1376,0.912000,566.2
1392,0.912500,571.4
1408,0.914000,573.9
1424,0.916000,574.9
1440,0.917500,577.2
1456,0.918500,580.7
1472,0.920500,581.4
1488,0.922000,583.3
1504,0.924000,583.6
1520,0.927000,580.8
1536,0.929000,580.7
1552,0.930500,582.1
1568,0.931500,584.9
1584,0.934000,582.8
1600,0.936500,580.4
1616,0.938000,581.2
1632,0.942000,573.2
1648,0.943000,575.3
1664,0.944000,577.3
1680,0.946500,573.8
1696,0.950000,566.1
1712,0.950500,569.6
1728,0.951000,573.0
1744,0.951500,576.3
1760,0.953500,573.6
1776,0.957500,562.3
1792,0.959000,561.0
1808,0.959500,563.9
1824,0.961000,562.2
1840,0.962000,562.7
1856,0.963500,560.7
1872,0.964000,563.1
1888,0.965000,563.2
1904,0.967000,558.2
1920,0.968500,555.3
1936,0.970000,552.1
1952,0.970000,556.7
1968,0.970000,561.2
1984,0.970500,563.1
2000,0.971000,564.9
2016,0.972000,563.8
2032,0.972500,565.5
2048,0.973000,567.0
2064,0.973000,571.4
2080,0.973500,572.9
2096,0.973500,577.3
2112,0.975000,572.5
2128,0.975500,573.7
2144,0.975500,578.0
2160,0.975500,582.4
2176,0.976500,580.1
2192,0.977000,581.1
2208,0.978000,578.5
2224,0.978500,579.2
2240,0.980000,572.6
2256,0.981000,569.2
2272,0.982000,565.5
2288,0.982500,565.6
2304,0.982500,569.5
2320,0.982500,573.5
2336,0.983500,569.1
2352,0.983500,573.0
2368,0.983500,576.9
2384,0.984000,576.5
2400,0.985000,571.5
2416,0.985500,570.7
2432,0.985500,574.5
2448,0.985500,578.2
2464,0.986500,572.3
2480,0.986500,576.1
2496,0.987500,569.6
2512,0.988000,568.0
2528,0.988500,566.1
2544,0.989000,564.1
2560,0.990500,549.8
2576,0.991000,546.9
2592,0.991000,550.3
2608,0.991500,547.0
2624,0.991500,550.4
2640,0.991500,553.7
2656,0.992000,550.1
2672,0.992000,553.4
2688,0.992500,549.4
2704,0.993000,545.0
2720,0.994000,531.7
2736,0.994000,534.8
2752,0.994000,537.9
2768,0.994000,541.0
2784,0.994000,544.2
2800,0.994500,538.2
2816,0.994500,541.2
2832,0.994500,544.3
2848,0.994500,547.4
2864,0.995500,530.0
2880,0.995500,533.0
2896,0.995500,535.9
2912,0.996000,527.4
2928,0.996000,530.3
2944,0.996000,533.2
2960,0.996000,536.1
2976,0.996000,539.0
2992,0.996000,541.9
3008,0.996500,531.9
3024,0.996500,534.7
3040,0.996500,537.6
3056,0.996500,540.4
3072,0.996500,543.2
3088,0.996500,546.1
3104,0.997000,534.3
3120,0.997000,537.1
3136,0.997000,539.8
3152,0.997000,542.6
3168,0.997000,545.3
3184,0.997000,548.1
3200,0.997000,550.9
3216,0.997000,553.6
3232,0.997000,556.4
3248,0.997000,559.1
3264,0.997000,561.9
3280,0.997000,564.6
3296,0.997000,567.4
3312,0.997000,570.1
3328,0.997000,572.9
3344,0.997000,575.6
3360,0.997000,578.4
3376,0.997000,581.2
3392,0.997000,583.9
3408,0.997000,586.7
3424,0.997000,589.4
3440,0.997000,592.2
3456,0.997500,576.8
3472,0.998000,558.7
3488,0.998000,561.3
3504,0.998000,563.8
3520,0.998000,566.4
3536,0.998000,569.0
3552,0.998500,546.3
3568,0.998500,548.7
3584,0.998500,551.2
3600,0.998500,553.7
3616,0.998500,556.1
3632,0.998500,558.6
3648,0.998500,561.0
3664,0.998500,563.5
3680,0.998500,566.0
3696,0.998500,568.4
3712,0.998500,570.9
3728,0.998500,573.3
3744,0.998500,575.8
3760,0.998500,578.3
3776,0.999000,546.6
3792,0.999000,548.9
3808,0.999000,551.3
3824,0.999000,553.6
3840,0.999000,555.9
3856,0.999000,558.2
3872,0.999000,560.5
3888,0.999000,562.8
3904,0.999000,565.2
3920,0.999000,567.5
3936,0.999000,569.8
3952,0.999000,572.1
3968,0.999000,574.4
3984,0.999000,576.7
4000,0.999000,579.1
4016,0.999000,581.4
4032,0.999000,583.7
4048,0.999000,586.0
4064,0.999000,588.3
4080,0.999000,590.6
4096,0.999000,593.0
4112,0.999000,595.3
4128,0.999000,597.6
4144,0.999000,599.9
4160,0.999500,547.3
4176,0.999500,549.4
4192,0.999500,551.5
4208,0.999500,553.6
4224,0.999500,555.7
4240,0.999500,557.8
4256,0.999500,559.9
4272,0.999500,562.0
4288,0.999500,564.1
4304,0.999500,566.2
4320,0.999500,568.4
4336,0.999500,570.5
4352,0.999500,572.6
4368,0.999500,574.7
4384,0.999500,576.8
4400,0.999500,578.9
4416,0.999500,581.0
4432,0.999500,583.1
4448,0.999500,585.2
4464,0.999500,587.3
4480,0.999500,589.4
4496,0.999500,591.5
4512,0.999500,593.6
4528,0.999500,595.7
4544,0.999500,597.8
4560,0.999500,599.9
4576,0.999500,602.0
4592,0.999500,604.1
4608,0.999500,606.2
4624,0.999500,608.3
4640,0.999500,610.5
4656,0.999500,612.6
4672,0.999500,614.7
4688,0.999500,616.8
4704,0.999500,618.9
4720,0.999500,621.0
4736,0.999500,623.1
4752,0.999500,625.2
4768,0.999500,627.3
4784,0.999500,629.4
4800,0.999500,631.5
4816,0.999500,633.6
4832,0.999500,635.7
4848,0.999500,637.8
4864,0.999500,639.9
4880,0.999500,642.0
4896,0.999500,644.1
4912,0.999500,646.2
4928,0.999500,648.3
4944,0.999500,650.4
4960,0.999500,652.6
4976,0.999500,654.7
4992,0.999500,656.8
5008,0.999500,658.9
5024,0.999500,661.0
5040,0.999500,663.1
5056,0.999500,665.2
5072,0.999500,667.3
5088,0.999500,669.4
5104,0.999500,671.5
5120,0.999500,673.6
5136,0.999500,675.7
5152,0.999500,677.8
5168,0.999500,679.9
5184,0.999500,682.0
5200,0.999500,684.1
5216,0.999500,686.2
5232,0.999500,688.3
5248,0.999500,690.4
5264,0.999500,692.5
5280,0.999500,694.7
5296,0.999500,696.8
5312,0.999500,698.9
5328,0.999500,701.0
5344,0.999500,703.1
5360,0.999500,705.2
5376,0.999500,707.3
5392,0.999500,709.4
5408,0.999500,711.5
5424,0.999500,713.6
