step,P_esc,tau_t
64,0.002000,31968.0
128,0.040000,3135.6
192,0.087000,2109.4
256,0.129500,1845.9
320,0.166000,1762.9
384,0.193500,1785.6
448,0.221000,1793.8
512,0.244000,1830.4
576,0.262000,1895.9
640,0.290000,1868.7
704,0.308500,1908.4
768,0.332000,1903.5
832,0.351000,1924.5
896,0.367500,1956.0
960,0.388500,1951.9
1024,0.407000,1959.6
1088,0.424500,1969.2
1152,0.440500,1983.8
1216,0.452000,2021.7
1280,0.467000,2034.2
1344,0.483000,2037.3
1408,0.494500,2063.9
1472,0.510500,2060.6
1536,0.519500,2095.7
1600,0.530500,2116.2
1664,0.541500,2133.9
1728,0.550000,2164.0
1792,0.559500,2185.8
1856,0.568000,2211.3
1920,0.580500,2210.2
1984,0.593000,2207.0
2048,0.604500,2207.8
2112,0.613500,2221.7
2176,0.623500,2227.6
2240,0.630500,2249.9
2304,0.636000,2279.8
2368,0.643500,2295.9
2432,0.648500,2326.1
2496,0.657000,2332.7
2560,0.663500,2350.4
2624,0.671000,2360.4
2688,0.675000,2391.6
2752,0.681000,2408.6
2816,0.686500,2427.7
2880,0.696000,2418.7
2944,0.704500,2414.9
3008,0.712000,2416.5
3072,0.716500,2437.0
3136,0.723000,2442.9
3200,0.731500,2433.6
3264,0.742000,2409.2
3328,0.743000,2449.4
3392,0.747500,2464.5
3456,0.754500,2460.7
3520,0.759500,2470.1
3584,0.764500,2478.5
3648,0.768500,2493.2
3712,0.774500,2492.2
3776,0.779500,2497.6
3840,0.785500,2494.4
3904,0.787500,2520.6
3968,0.791000,2534.8
4032,0.794000,2552.1
4096,0.801000,2537.1
4160,0.803500,2556.7
4224,0.806000,2575.8
4288,0.812000,2565.6
4352,0.817000,2562.6
4416,0.819500,2579.4
4480,0.822000,2595.6
4544,0.827500,2585.7
4608,0.831500,2587.6
4672,0.834500,2597.3
4736,0.839000,2593.1
4800,0.842500,2596.9
4864,0.845000,2609.0
4928,0.846500,2629.6
4992,0.849500,2636.0
5056,0.853000,2637.0
5120,0.854500,2656.2
5184,0.859500,2641.5
5248,0.861000,2659.5
5312,0.865500,2647.8
5376,0.867500,2659.8
5440,0.870000,2666.4
5504,0.872500,2672.3
5568,0.875000,2677.6
5632,0.877500,2682.4
5696,0.880000,2686.5
5760,0.881500,2700.6
5824,0.884500,2698.2
5888,0.887000,2700.5
5952,0.889500,2702.1
6016,0.891500,2708.7
6080,0.892000,2731.8
