step,P_esc,tau_t
500,0.006000,83083.1
1000,0.011500,86455.6
1500,0.024500,60471.4
2000,0.034000,57817.8
2500,0.039000,62844.3
3000,0.047000,62317.8
3500,0.054500,62453.8
4000,0.061500,63019.5
4500,0.070000,62008.5
5000,0.077500,61982.5
5500,0.086500,60792.4
6000,0.091000,62886.4
6500,0.098000,63020.7
7000,0.101500,65403.1
7500,0.108500,65302.7
8000,0.118500,63426.5
8500,0.127000,62583.0
9000,0.132000,63575.7
9500,0.143500,61329.5
10000,0.147000,62894.8
10500,0.151500,63913.2
11000,0.159500,63306.3
11500,0.166500,63144.6
12000,0.172000,63578.8
12500,0.179000,63377.1
13000,0.187000,62794.6
13500,0.191000,63692.4
14000,0.197000,63810.2
14500,0.202500,64081.8
15000,0.208000,64324.2
15500,0.214000,64369.2
16000,0.220000,64396.3
16500,0.225000,64733.2
17000,0.232000,64402.3
17500,0.238000,64383.5
18000,0.244500,64199.6
18500,0.249500,64456.4
19000,0.255500,64397.5
19500,0.261000,64471.9
20000,0.264000,65247.5
20500,0.270500,64997.7
21000,0.275000,65301.8
21500,0.279000,65725.9
22000,0.283500,65991.3
22500,0.289000,65966.4
23000,0.293000,66335.1
23500,0.299500,66018.5
24000,0.304000,66224.1
24500,0.309500,66155.5
25000,0.315500,65951.5
25500,0.320000,66120.0
26000,0.324000,66400.7
26500,0.327500,66792.2
27000,0.330500,67294.1
27500,0.334500,67531.6
28000,0.339500,67509.2
28500,0.344000,67600.5
29000,0.348000,67802.8
29500,0.353500,67632.3
30000,0.358500,67575.8
30500,0.362500,67747.5
31000,0.366500,67908.7
31500,0.372500,67594.9
32000,0.377500,67508.9
32500,0.381500,67643.8
33000,0.387000,67430.8
33500,0.391000,67548.9
34000,0.393500,67993.1
34500,0.396000,68427.8
35000,0.401000,68293.5
35500,0.404500,68486.0
36000,0.408500,68559.2
36500,0.415500,67970.4
37000,0.418000,68355.9
37500,0.422500,68300.2
38000,0.428000,68025.2
38500,0.430000,68490.8
39000,0.435000,68309.7
39500,0.439500,68229.8
40000,0.444500,68040.3
40500,0.448500,68054.3
41000,0.454000,67753.3
41500,0.458500,67654.3
42000,0.462500,67651.7
42500,0.466000,67744.3
43000,0.470500,67629.0
43500,0.474000,67709.1
44000,0.478500,67583.5
44500,0.481000,67850.7
45000,0.484500,67912.4
45500,0.490000,67573.1
46000,0.492500,67820.7
46500,0.497500,67571.5
47000,0.501500,67514.0
47500,0.508000,66969.6
