# N=500  K=10000  N_REFRESH=100  betanet=1.0  generated=2026-06-01T11:33:01.514
alpha,T,disorder,phi_a,phi_b,q12,phi_max_other
0.400,0.15774,8,0.925923,0.921514,0.852029,0.738603
0.400,0.15774,9,0.923980,0.922176,0.856727,0.738764
0.400,0.15774,10,0.925743,0.923895,0.855253,0.738910
0.400,0.15774,11,0.927103,0.924468,0.854877,0.738595
0.400,0.15774,12,0.922618,0.926761,0.856980,0.738737
0.400,0.15774,13,0.923174,0.925714,0.852943,0.738511
0.400,0.15774,14,0.926832,0.927070,0.862050,0.738493
0.400,0.15774,15,0.923256,0.927925,0.856953,0.738736
0.400,0.15774,16,0.922454,0.928430,0.854600,0.738713
0.400,0.18829,1,0.910686,0.907053,0.825140,0.738736
0.400,0.18829,2,0.912728,0.910358,0.825748,0.738758
0.400,0.18829,3,0.912603,0.911905,0.832166,0.738597
0.400,0.18829,4,0.912177,0.907861,0.825968,0.738731
0.400,0.18829,5,0.909922,0.910929,0.828979,0.738591
0.400,0.18829,6,0.910821,0.910343,0.823365,0.738808
0.400,0.18829,7,0.909817,0.907437,0.830164,0.738624
0.400,0.18829,8,0.914091,0.911517,0.833485,0.738551
0.400,0.18829,9,0.908201,0.911151,0.826155,0.738744
0.400,0.18829,10,0.910832,0.908944,0.828281,0.738648
0.400,0.18829,11,0.911692,0.913432,0.829540,0.738638
0.400,0.18829,12,0.914583,0.912859,0.837939,0.738821
0.400,0.18829,13,0.906538,0.912197,0.824625,0.738666
0.400,0.18829,14,0.904878,0.911982,0.826386,0.738650
0.400,0.18829,15,0.913803,0.910598,0.833514,0.738784
0.400,0.18829,16,0.910056,0.909140,0.825918,0.738664
0.400,0.21884,1,0.893526,0.894462,0.804161,0.738565
0.400,0.21884,2,0.899963,0.898510,0.812508,0.738704
0.400,0.21884,3,0.896444,0.899542,0.807986,0.738498
0.400,0.21884,4,0.900041,0.899631,0.817142,0.738568
0.400,0.21884,5,0.896751,0.899538,0.807004,0.738856
0.400,0.21884,6,0.898922,0.902763,0.811850,0.738486
0.400,0.21884,7,0.900220,0.895722,0.803915,0.738422
0.400,0.21884,8,0.895045,0.895567,0.805145,0.738676
0.400,0.21884,9,0.899952,0.895463,0.803280,0.738624
0.400,0.21884,10,0.891388,0.893492,0.802927,0.738490
0.400,0.21884,11,0.897727,0.897544,0.809206,0.738722
0.400,0.21884,12,0.895946,0.899957,0.799861,0.738534
0.400,0.21884,13,0.898478,0.894337,0.803728,0.738567
0.400,0.21884,14,0.898492,0.894545,0.802488,0.738537
0.400,0.21884,15,0.894260,0.898030,0.807053,0.738603
0.400,0.21884,16,0.897654,0.896583,0.807754,0.738520
0.400,0.24939,1,0.879295,0.884679,0.776479,0.738248
0.400,0.24939,2,0.880718,0.883876,0.772214,0.738560
0.400,0.24939,3,0.882180,0.881333,0.784617,0.738216
0.400,0.24939,4,0.883078,0.883227,0.773425,0.738379
0.400,0.24939,5,0.886936,0.882578,0.781431,0.738326
0.400,0.24939,6,0.877792,0.885575,0.779981,0.738382
0.400,0.24939,7,0.885531,0.888895,0.789770,0.738292
0.400,0.24939,8,0.883042,0.885861,0.780507,0.738287
0.400,0.24939,9,0.882958,0.881174,0.775613,0.738325
0.400,0.24939,10,0.877155,0.878239,0.769354,0.738297
0.400,0.24939,11,0.879892,0.878763,0.772395,0.738271
0.400,0.24939,12,0.879770,0.885303,0.782923,0.738533
0.400,0.24939,13,0.882309,0.886728,0.781116,0.738409
0.400,0.24939,14,0.877493,0.881738,0.769409,0.738405
0.400,0.24939,15,0.888664,0.884528,0.779454,0.738382
0.400,0.24939,16,0.884228,0.881893,0.780261,0.738282
0.400,0.27993,1,0.870878,0.864532,0.750733,0.737934
0.400,0.27993,2,0.871279,0.865426,0.754287,0.738208
0.400,0.27993,3,0.868447,0.871893,0.761106,0.738122
0.400,0.27993,4,0.867986,0.873299,0.763210,0.738070
0.400,0.27993,5,0.866307,0.867290,0.752490,0.738160
0.400,0.27993,6,0.862381,0.869377,0.752390,0.738202
0.400,0.27993,7,0.877726,0.866790,0.755907,0.738097
0.400,0.27993,8,0.870535,0.872055,0.761227,0.738036
0.400,0.27993,9,0.866290,0.873749,0.754948,0.738196
0.400,0.27993,10,0.871076,0.868547,0.751654,0.738218
0.400,0.27993,11,0.870086,0.874790,0.762722,0.738089
0.400,0.27993,12,0.862098,0.864498,0.746192,0.738152
0.400,0.27993,13,0.869796,0.873460,0.757424,0.738009
0.400,0.27993,14,0.875727,0.864876,0.760603,0.737940
0.400,0.27993,15,0.861051,0.872705,0.752787,0.738106
0.400,0.27993,16,0.877768,0.873669,0.765337,0.738172
0.400,0.31048,1,0.861646,0.859954,0.736956,0.737619
0.400,0.31048,2,0.855653,0.853025,0.731042,0.737890
0.400,0.31048,3,0.858559,0.854535,0.734654,0.737607
0.400,0.31048,4,0.856215,0.851205,0.730963,0.737864
0.400,0.31048,5,0.858464,0.856420,0.739405,0.737787
0.400,0.31048,6,0.862953,0.853794,0.741469,0.737707
0.400,0.31048,7,0.860344,0.859608,0.741443,0.737730
0.400,0.31048,8,0.856786,0.854652,0.734815,0.737623
0.400,0.31048,9,0.861127,0.860288,0.738314,0.737620
0.400,0.31048,10,0.857514,0.857477,0.736004,0.737624
0.400,0.31048,11,0.855398,0.858837,0.741835,0.737592
0.400,0.31048,12,0.858760,0.855157,0.730723,0.737744
0.400,0.31048,13,0.858193,0.854890,0.730701,0.737551
0.400,0.31048,14,0.856713,0.856896,0.734207,0.737792
0.400,0.31048,15,0.862582,0.860863,0.743955,0.737852
0.400,0.31048,16,0.857682,0.851053,0.728556,0.737501
0.400,0.34103,1,0.847320,0.845124,0.709066,0.737245
0.400,0.34103,2,0.840916,0.846648,0.713062,0.737177
0.400,0.34103,3,0.845965,0.842683,0.714695,0.737437
0.400,0.34103,4,0.853790,0.844240,0.721250,0.737366
0.400,0.34103,5,0.845627,0.849194,0.723820,0.737157
0.400,0.34103,6,0.838711,0.843416,0.702539,0.737271
0.400,0.34103,7,0.845458,0.841652,0.711118,0.737225
0.400,0.34103,8,0.845687,0.851884,0.721781,0.737272
0.400,0.34103,9,0.832470,0.841696,0.701387,0.737376
0.400,0.34103,10,0.847590,0.841767,0.709524,0.737190
0.400,0.34103,11,0.840883,0.845841,0.705438,0.737106
