step,P_esc
128,0.028500
256,0.038000
384,0.056500
512,0.069000
640,0.077500
768,0.085500
896,0.096500
1024,0.103500
1152,0.114000
1280,0.124000
1408,0.134000
1536,0.141000
1664,0.147000
1792,0.153000
1920,0.160000
2048,0.165500
2176,0.173000
2304,0.180000
2432,0.188500
2560,0.192500
2688,0.195500
2816,0.199500
2944,0.203000
3072,0.209000
3200,0.217000
3328,0.219500
3456,0.224500
3584,0.228000
3712,0.231000
3840,0.231500
3968,0.233500
4096,0.239000
4224,0.242500
4352,0.245500
4480,0.247500
4608,0.250000
4736,0.252000
4864,0.254500
4992,0.256500
5120,0.262000
5248,0.263500
5376,0.266000
5504,0.267500
5632,0.273000
5760,0.276000
5888,0.282500
6016,0.284500
6144,0.285500
6272,0.289000
6400,0.290500
6528,0.293000
6656,0.293500
6784,0.297000
6912,0.299000
7040,0.301500
7168,0.304500
7296,0.308000
7424,0.309500
7552,0.312000
7680,0.315500
7808,0.316000
7936,0.317500
8064,0.319500
8192,0.322000
8320,0.325000
8448,0.325500
8576,0.325500
8704,0.328000
8832,0.330000
8960,0.332000
9088,0.333500
9216,0.336500
9344,0.337000
9472,0.340000
9600,0.342000
9728,0.343000
9856,0.347000
9984,0.347500
10112,0.347500
10240,0.350500
10368,0.353500
10496,0.354500
10624,0.358500
10752,0.361500
10880,0.364000
11008,0.365500
11136,0.367500
11264,0.369500
11392,0.371000
11520,0.372500
11648,0.374500
11776,0.376500
11904,0.379000
12032,0.381000
12160,0.383500
12288,0.386000
12416,0.386500
12544,0.388500
12672,0.391500
12800,0.392000
12928,0.394000
13056,0.395000
13184,0.398000
13312,0.401000
13440,0.403500
13568,0.404000
13696,0.405000
13824,0.405500
13952,0.405500
14080,0.406500
14208,0.408000
14336,0.410000
14464,0.411500
14592,0.413000
14720,0.414000
14848,0.415000
14976,0.418000
15104,0.418500
15232,0.419000
15360,0.420000
15488,0.421000
15616,0.421000
15744,0.421000
15872,0.421500
16000,0.422500
16128,0.424000
16256,0.424000
16384,0.424500
16512,0.425000
16640,0.425500
16768,0.427000
16896,0.430000
17024,0.430500
17152,0.431000
17280,0.432000
17408,0.432000
17536,0.434500
17664,0.435500
17792,0.435500
17920,0.436000
18048,0.436000
18176,0.437000
18304,0.437500
18432,0.438500
18560,0.439000
18688,0.440000
18816,0.441000
18944,0.441500
19072,0.442500
19200,0.443500
19328,0.444500
19456,0.445000
19584,0.447000
19712,0.447500
19840,0.449000
19968,0.451000
20096,0.453000
20224,0.453500
20352,0.454500
20480,0.456000
20608,0.456500
20736,0.456500
20864,0.457500
20992,0.458000
21120,0.459000
21248,0.459500
21376,0.460500
21504,0.461500
21632,0.461500
21760,0.461500
21888,0.463000
22016,0.463500
22144,0.464000
22272,0.464000
22400,0.464000
22528,0.465000
22656,0.465500
22784,0.466500
22912,0.467500
23040,0.468000
23168,0.469000
23296,0.470500
23424,0.471500
23552,0.473000
23680,0.473500
23808,0.474000
23936,0.474000
24064,0.475000
24192,0.476500
24320,0.476500
24448,0.477000
24576,0.477500
24704,0.478000
24832,0.479000
24960,0.479500
25088,0.480500
25216,0.482000
25344,0.483000
25472,0.483000
25600,0.483000
25728,0.484000
25856,0.485000
25984,0.486000
26112,0.487500
26240,0.488500
26368,0.490000
26496,0.490500
26624,0.490500
26752,0.490500
26880,0.490500
27008,0.491000
27136,0.492000
27264,0.493000
27392,0.493500
27520,0.494000
27648,0.495500
27776,0.495500
27904,0.496500
28032,0.496500
28160,0.497000
28288,0.497000
28416,0.498000
28544,0.499000
28672,0.499500
28800,0.499500
28928,0.499500
29056,0.500000
29184,0.500000
29312,0.500500
29440,0.500500
29568,0.501000
29696,0.502500
29824,0.504000
29952,0.505500
30080,0.506000
30208,0.506000
30336,0.507500
30464,0.508500
30592,0.509000
30720,0.511500
30848,0.512000
30976,0.512000
31104,0.512500
31232,0.513000
31360,0.513500
31488,0.513500
31616,0.514000
31744,0.514500
31872,0.514500
32000,0.516000
32128,0.516500
32256,0.516500
32384,0.517000
32512,0.517000
32640,0.517000
32768,0.518500
32896,0.518500
33024,0.519000
33152,0.520000
33280,0.520500
33408,0.520500
33536,0.520500
33664,0.521500
33792,0.522000
33920,0.523000
34048,0.523000
34176,0.524000
34304,0.524500
34432,0.524500
34560,0.524500
34688,0.525000
34816,0.525500
34944,0.525500
35072,0.525500
35200,0.526000
35328,0.527000
35456,0.528000
35584,0.528500
35712,0.528500
35840,0.529500
35968,0.529500
36096,0.530000
36224,0.531500
36352,0.531500
36480,0.533000
36608,0.533500
36736,0.533500
36864,0.534500
36992,0.535500
37120,0.536500
37248,0.538000
37376,0.538000
37504,0.538500
37632,0.538500
37760,0.539000
37888,0.540000
38016,0.540500
38144,0.540500
38272,0.541000
38400,0.541500
38528,0.542000
38656,0.543000
38784,0.544000
38912,0.544000
39040,0.544000
39168,0.544500
39296,0.544500
39424,0.545500
39552,0.546000
39680,0.546500
39808,0.547000
39936,0.548000
40064,0.548000
40192,0.548500
40320,0.549000
40448,0.549000
40576,0.549000
40704,0.550500
40832,0.550500
40960,0.551000
41088,0.551000
41216,0.551000
41344,0.551000
41472,0.552000
41600,0.552000
41728,0.552000
41856,0.552500
41984,0.553000
42112,0.553000
42240,0.553500
42368,0.554500
42496,0.555000
42624,0.555000
42752,0.555000
42880,0.555000
43008,0.556000
43136,0.557000
43264,0.557000
43392,0.558000
43520,0.558500
43648,0.558500
43776,0.558500
43904,0.559500
44032,0.559500
44160,0.559500
44288,0.559500
44416,0.559500
44544,0.560500
44672,0.561000
44800,0.561000
44928,0.561500
45056,0.561500
45184,0.561500
45312,0.561500
45440,0.562500
45568,0.562500
45696,0.563500
45824,0.563500
45952,0.563500
46080,0.564500
46208,0.565000
46336,0.565500
46464,0.566000
46592,0.566000
46720,0.566000
46848,0.566000
46976,0.566500
47104,0.567000
47232,0.567000
