alpha,T,checkpoint,disorder,phi_a,phi_b,q12,phi_max_other
0.300,0.300,262144,2,0.824256,0.828284,0.880728,0.818981
0.300,0.300,262144,3,0.400243,0.855159,0.499214,0.837587
0.300,0.300,262144,4,0.563097,0.527361,0.827740,0.854265
0.300,0.300,262144,5,0.831570,0.822516,0.855928,0.831387
0.300,0.300,262144,6,0.823881,0.827825,0.879141,0.832062
0.300,0.300,262144,7,0.808943,0.235826,0.239433,0.831850
0.300,0.300,262144,8,0.442246,0.461244,0.251080,0.846573
0.300,0.300,262144,9,0.486206,0.760548,0.390007,0.847318
0.300,0.300,262144,10,0.794597,0.827586,0.856336,0.846309
0.300,0.300,262144,11,0.495266,0.602872,0.811971,0.840032
0.300,0.300,262144,12,0.842038,0.838834,0.847235,0.840101
0.300,0.300,262144,13,-0.100360,0.303687,-0.166449,0.838366
0.300,0.300,262144,14,0.479755,0.469277,0.251292,0.832517
0.300,0.300,262144,15,0.542548,0.522609,0.855845,0.865039
0.300,0.300,262144,16,0.846555,0.839177,0.841829,0.851325
0.300,0.300,262144,17,0.104426,0.204709,0.131192,0.865046
0.300,0.300,262144,18,0.427345,0.572880,0.678973,0.850962
0.300,0.300,262144,19,0.543978,0.227497,0.288163,0.855913
0.300,0.300,262144,20,0.107102,0.539775,-0.060801,0.859377
0.300,0.300,262144,21,0.164367,0.462709,0.195227,0.836860
0.300,0.300,262144,22,0.308259,0.300940,0.626971,0.839643
0.300,0.300,262144,23,0.421884,0.376266,0.122150,0.835102
0.300,0.300,262144,24,0.226922,0.812082,0.195872,0.862322
0.300,0.300,262144,25,0.316811,0.197715,0.665211,0.864480
0.300,0.300,262144,26,0.558416,0.548752,0.893738,0.840420
0.300,0.300,262144,27,0.072182,0.499100,-0.051317,0.837017
0.300,0.300,262144,28,0.203930,0.304264,0.095545,0.840637
0.300,0.300,262144,29,0.384683,0.457198,0.093521,0.840125
0.300,0.300,262144,30,0.229908,0.424979,0.385974,0.857703
0.300,0.300,262144,31,0.850429,0.841522,0.863146,0.843844
0.300,0.300,262144,32,0.534157,0.812384,0.377451,0.839347
0.300,0.300,262144,33,0.849284,0.552645,0.458668,0.851909
0.300,0.300,262144,34,0.842922,0.847560,0.856558,0.833409
0.300,0.300,262144,35,-0.047872,0.550677,0.001209,0.849891
0.300,0.300,262144,36,0.079218,0.473776,-0.018512,0.831936
0.300,0.300,262144,37,0.016730,0.196797,-0.309765,0.871970
0.300,0.300,262144,38,0.423214,0.750540,0.236913,0.838001
0.300,0.300,262144,39,0.474538,0.787840,0.424705,0.840186
0.300,0.300,262144,40,0.503115,0.839494,0.428920,0.864474
0.300,0.300,262144,41,0.004036,0.797037,0.042740,0.847901
0.300,0.300,262144,42,0.157031,0.214937,-0.034100,0.854597
0.300,0.300,262144,43,0.155127,0.397072,0.325583,0.842988
0.300,0.300,262144,44,0.283704,0.468142,0.098377,0.849373
0.300,0.300,262144,45,0.248624,0.416394,0.022908,0.873781
0.300,0.300,262144,46,0.378830,0.498989,0.150996,0.864494
0.300,0.300,262144,47,0.112703,0.326230,-0.108583,0.848681
0.300,0.300,262144,48,0.829316,0.816017,0.826901,0.823660
0.300,0.300,262144,49,0.422251,0.543849,0.202387,0.841518
0.300,0.300,262144,50,0.482612,0.171178,0.150180,0.866951
0.300,0.300,262144,51,0.450699,0.264956,0.325312,0.843085
0.300,0.300,262144,52,0.383444,0.421203,0.166995,0.851792
0.300,0.300,262144,53,0.211112,0.092043,0.072323,0.865518
0.300,0.300,262144,54,0.832059,0.051593,-0.087485,0.826767
0.300,0.300,262144,55,0.155437,0.210589,0.232176,0.837196
0.300,0.300,262144,56,0.491804,0.322083,0.217409,0.846747
