step,P_esc,tau_t
250,0.012000,20708.1
500,0.031000,15877.7
750,0.047000,15579.4
1000,0.060000,16161.5
1250,0.069500,17353.1
1500,0.083500,17203.2
1750,0.095500,17435.0
2000,0.108500,17414.0
2250,0.115000,18417.3
2500,0.128000,18252.7
2750,0.137500,18591.1
3000,0.148500,18661.8
3250,0.153500,19502.5
3500,0.163000,19670.5
3750,0.169000,20256.5
4000,0.178000,20406.6
4250,0.182000,21155.5
4500,0.189000,21481.0
4750,0.199500,21346.5
5000,0.209500,21268.5
5250,0.217000,21461.6
5500,0.224500,21632.5
5750,0.228000,22220.4
6000,0.233500,22563.1
6250,0.242000,22557.3
6500,0.247000,22912.3
6750,0.251500,23301.2
7000,0.255000,23779.5
7250,0.261000,23970.3
7500,0.264500,24413.7
7750,0.269500,24679.5
8000,0.273000,25091.8
8250,0.277500,25381.7
8500,0.285000,25337.4
8750,0.292500,25287.7
9000,0.296000,25642.7
9250,0.301000,25830.4
9500,0.304500,26161.8
9750,0.311000,26173.5
10000,0.315500,26380.6
10250,0.318000,26781.6
10500,0.321500,27070.9
10750,0.324500,27402.3
11000,0.327000,27777.1
11250,0.328500,28249.2
11500,0.332000,28502.9
11750,0.339000,28381.5
12000,0.340000,28879.8
12250,0.344500,29003.9
12500,0.352500,28759.7
12750,0.355500,29024.7
13000,0.359000,29231.5
13250,0.364000,29278.1
13500,0.368500,29369.7
13750,0.369500,29810.8
14000,0.372500,30042.2
14250,0.376000,30216.0
14500,0.379000,30435.1
14750,0.381500,30699.9
15000,0.385000,30855.8
15250,0.391000,30749.9
15500,0.397000,30642.2
15750,0.400500,30782.2
16000,0.405500,30767.2
16250,0.410500,30748.5
16500,0.414000,30873.7
16750,0.420000,30749.3
17000,0.422500,30962.8
17250,0.428500,30831.6
17500,0.432000,30938.7
17750,0.437500,30850.0
18000,0.442500,30806.5
18250,0.445500,30948.5
18500,0.450000,30944.9
18750,0.454500,30937.9
19000,0.456000,31208.6
19250,0.459000,31334.6
19500,0.462000,31456.9
19750,0.468000,31294.0
20000,0.471000,31408.7
20250,0.474500,31473.2
20500,0.476500,31674.0
20750,0.478500,31871.8
21000,0.481500,31972.5
21250,0.483500,32163.8
21500,0.485000,32399.6
21750,0.487500,32537.7
22000,0.489500,32720.3
22250,0.494500,32614.7
