======================================================================
Finite-Size Scaling for LSE (CPU, 10 threads)
  α = 0.2
  N values: [20, 25, 30, 35]
  T values: 40 (exponential grid, T_max = 1.0)
  n_dis = 200, N_eq = 16384, N_samp = 4096
  Total trials: 32000
======================================================================

  T=0.1497: ⟨φ⟩=0.930, ⟨φ_{1,max}⟩=0.499 (4.7 s)
  T=0.1674: ⟨φ⟩=0.923, ⟨φ_{1,max}⟩=0.505 (4.7 s)
  T=0.1870: ⟨φ⟩=0.911, ⟨φ_{1,max}⟩=0.511 (4.4 s)
  T=0.2086: ⟨φ⟩=0.896, ⟨φ_{1,max}⟩=0.506 (4.8 s)
  T=0.2325: ⟨φ⟩=0.884, ⟨φ_{1,max}⟩=0.506 (4.4 s)
  T=0.2590: ⟨φ⟩=0.859, ⟨φ_{1,max}⟩=0.502 (4.8 s)
  T=0.2882: ⟨φ⟩=0.791, ⟨φ_{1,max}⟩=0.505 (4.4 s)
  T=0.3204: ⟨φ⟩=0.713, ⟨φ_{1,max}⟩=0.496 (4.8 s)
  T=0.3561: ⟨φ⟩=0.458, ⟨φ_{1,max}⟩=0.506 (4.6 s)
  T=0.3955: ⟨φ⟩=0.195, ⟨φ_{1,max}⟩=0.502 (5.1 s)
  T=0.4391: ⟨φ⟩=0.032, ⟨φ_{1,max}⟩=0.506 (4.6 s)
  T=0.4872: ⟨φ⟩=0.001, ⟨φ_{1,max}⟩=0.503 (4.8 s)
  T=0.5404: ⟨φ⟩=-0.000, ⟨φ_{1,max}⟩=0.493 (4.4 s)
  T=0.5992: ⟨φ⟩=0.010, ⟨φ_{1,max}⟩=0.505 (5.8 s)
  T=0.6642: ⟨φ⟩=0.002, ⟨φ_{1,max}⟩=0.507 (5.5 s)
  T=0.7360: ⟨φ⟩=0.009, ⟨φ_{1,max}⟩=0.512 (5.1 s)
  T=0.8153: ⟨φ⟩=0.001, ⟨φ_{1,max}⟩=0.500 (5.2 s)
  T=0.9031: ⟨φ⟩=0.004, ⟨φ_{1,max}⟩=0.515 (4.7 s)
  T=1.0000: ⟨φ⟩=0.004, ⟨φ_{1,max}⟩=0.505 (4.8 s)

N = 30, M = 403:
  T=0.0020: ⟨φ⟩=0.998, ⟨φ_{1,max}⟩=0.520 (18.5 s)
  T=0.0041: ⟨φ⟩=0.998, ⟨φ_{1,max}⟩=0.519 (18.5 s)
  T=0.0065: ⟨φ⟩=0.997, ⟨φ_{1,max}⟩=0.517 (19.2 s)
  T=0.0092: ⟨φ⟩=0.996, ⟨φ_{1,max}⟩=0.517 (18.2 s)
  T=0.0121: ⟨φ⟩=0.994, ⟨φ_{1,max}⟩=0.514 (18.2 s)
  T=0.0153: ⟨φ⟩=0.993, ⟨φ_{1,max}⟩=0.515 (17.6 s)
  T=0.0189: ⟨φ⟩=0.991, ⟨φ_{1,max}⟩=0.510 (17.6 s)
  T=0.0229: ⟨φ⟩=0.989, ⟨φ_{1,max}⟩=0.510 (15.8 s)
  T=0.0272: ⟨φ⟩=0.987, ⟨φ_{1,max}⟩=0.503 (15.8 s)
  T=0.0321: ⟨φ⟩=0.984, ⟨φ_{1,max}⟩=0.525 (15.8 s)
  T=0.0374: ⟨φ⟩=0.982, ⟨φ_{1,max}⟩=0.515 (15.8 s)
  T=0.0433: ⟨φ⟩=0.979, ⟨φ_{1,max}⟩=0.518 (17.7 s)
  T=0.0498: ⟨φ⟩=0.976, ⟨φ_{1,max}⟩=0.515 (15.7 s)
  T=0.0570: ⟨φ⟩=0.973, ⟨φ_{1,max}⟩=0.517 (15.8 s)
  T=0.0650: ⟨φ⟩=0.969, ⟨φ_{1,max}⟩=0.515 (17.3 s)
  T=0.0738: ⟨φ⟩=0.965, ⟨φ_{1,max}⟩=0.510 (15.9 s)
  T=0.0835: ⟨φ⟩=0.960, ⟨φ_{1,max}⟩=0.521 (17.3 s)
  T=0.0942: ⟨φ⟩=0.955, ⟨φ_{1,max}⟩=0.513 (16.6 s)
  T=0.1061: ⟨φ⟩=0.950, ⟨φ_{1,max}⟩=0.520 (16.5 s)
  T=0.1192: ⟨φ⟩=0.943, ⟨φ_{1,max}⟩=0.518 (17.2 s)
  T=0.1337: ⟨φ⟩=0.937, ⟨φ_{1,max}⟩=0.510 (18.9 s)
  T=0.1497: ⟨φ⟩=0.930, ⟨φ_{1,max}⟩=0.508 (17.4 s)
  T=0.1674: ⟨φ⟩=0.922, ⟨φ_{1,max}⟩=0.514 (16.2 s)
  T=0.1870: ⟨φ⟩=0.912, ⟨φ_{1,max}⟩=0.519 (16.8 s)
  T=0.2086: ⟨φ⟩=0.903, ⟨φ_{1,max}⟩=0.516 (17.1 s)
  T=0.2325: ⟨φ⟩=0.893, ⟨φ_{1,max}⟩=0.515 (17.2 s)
  T=0.2590: ⟨φ⟩=0.877, ⟨φ_{1,max}⟩=0.513 (16.5 s)
  T=0.2882: ⟨φ⟩=0.860, ⟨φ_{1,max}⟩=0.515 (16.1 s)
  T=0.3204: ⟨φ⟩=0.827, ⟨φ_{1,max}⟩=0.508 (15.8 s)
  T=0.3561: ⟨φ⟩=0.706, ⟨φ_{1,max}⟩=0.518 (16.8 s)
  T=0.3955: ⟨φ⟩=0.471, ⟨φ_{1,max}⟩=0.514 (16.2 s)
  T=0.4391: ⟨φ⟩=0.186, ⟨φ_{1,max}⟩=0.512 (15.7 s)
  T=0.4872: ⟨φ⟩=0.015, ⟨φ_{1,max}⟩=0.521 (15.9 s)
  T=0.5404: ⟨φ⟩=-0.011, ⟨φ_{1,max}⟩=0.516 (15.7 s)
  T=0.5992: ⟨φ⟩=0.008, ⟨φ_{1,max}⟩=0.518 (17.0 s)
  T=0.6642: ⟨φ⟩=-0.001, ⟨φ_{1,max}⟩=0.513 (15.9 s)
  T=0.7360: ⟨φ⟩=0.001, ⟨φ_{1,max}⟩=0.520 (15.9 s)
  T=0.8153: ⟨φ⟩=0.004, ⟨φ_{1,max}⟩=0.513 (15.7 s)
  T=0.9031: ⟨φ⟩=-0.000, ⟨φ_{1,max}⟩=0.520 (15.5 s)
  T=1.0000: ⟨φ⟩=0.001, ⟨φ_{1,max}⟩=0.510 (16.9 s)

N = 35, M = 1097:
  T=0.0020: ⟨φ⟩=0.996, ⟨φ_{1,max}⟩=0.528 (44.5 s)
  T=0.0041: ⟨φ⟩=0.998, ⟨φ_{1,max}⟩=0.519 (47.7 s)
  T=0.0065: ⟨φ⟩=0.997, ⟨φ_{1,max}⟩=0.517 (45.6 s)
  T=0.0092: ⟨φ⟩=0.996, ⟨φ_{1,max}⟩=0.520 (51.3 s)
