# N=50  K_max=10000  betanet=1.0000  generated=2026-06-05T13:37:54.565
alpha,T,disorder,phi,mode,logC
0.300,0.25000,6,0.886727,smart,-22.1263
0.300,0.27500,6,0.875335,smart,-22.1263
0.300,0.30000,6,0.863501,smart,-22.1263
0.300,0.32500,6,0.858747,smart,-22.1263
0.300,0.35000,6,0.837372,smart,-22.1263
0.300,0.37500,6,0.829260,smart,-22.1263
0.300,0.40000,6,0.823329,smart,-22.1263
0.300,0.42500,6,0.436206,smart,-22.1263
0.300,0.45000,6,0.362137,smart,-22.1263
0.300,0.47500,6,0.311043,smart,-22.1263
0.300,0.50000,6,0.276460,smart,-22.1263
0.300,0.02500,7,0.989053,smart,-22.1224
0.300,0.05000,7,0.978059,smart,-22.1224
0.300,0.07500,7,0.962123,smart,-22.1224
0.300,0.10000,7,0.953996,smart,-22.1224
0.300,0.12500,7,0.942221,smart,-22.1224
0.300,0.15000,7,0.931100,smart,-22.1224
0.300,0.17500,7,0.917344,smart,-22.1224
0.300,0.20000,7,0.905954,smart,-22.1224
0.300,0.22500,7,0.900424,smart,-22.1224
0.300,0.25000,7,0.887336,smart,-22.1224
0.300,0.27500,7,0.873757,smart,-22.1224
0.300,0.30000,7,0.870845,smart,-22.1224
0.300,0.32500,7,0.852592,smart,-22.1224
0.300,0.35000,7,0.399462,smart,-22.1224
0.300,0.37500,7,0.824719,smart,-22.1224
0.300,0.40000,7,0.305403,smart,-22.1224
0.300,0.42500,7,0.340641,smart,-22.1224
0.300,0.45000,7,0.320167,smart,-22.1224
0.300,0.47500,7,0.290911,smart,-22.1224
0.300,0.50000,7,0.302065,smart,-22.1224
0.300,0.02500,8,0.988152,smart,-22.1151
0.300,0.05000,8,0.977001,smart,-22.1151
0.300,0.07500,8,0.958200,smart,-22.1151
0.300,0.10000,8,0.951889,smart,-22.1151
0.300,0.12500,8,0.938638,smart,-22.1151
0.300,0.15000,8,0.935401,smart,-22.1151
0.300,0.17500,8,0.913297,smart,-22.1151
0.300,0.20000,8,0.909090,smart,-22.1151
0.300,0.22500,8,0.892608,smart,-22.1151
0.300,0.25000,8,0.886287,smart,-22.1151
0.300,0.27500,8,0.879730,smart,-22.1151
0.300,0.30000,8,0.863321,smart,-22.1151
0.300,0.32500,8,0.848443,smart,-22.1151
0.300,0.35000,8,0.837474,smart,-22.1151
0.300,0.37500,8,0.480323,smart,-22.1151
0.300,0.40000,8,0.330156,smart,-22.1151
0.300,0.42500,8,0.324648,smart,-22.1151
0.300,0.45000,8,0.379384,smart,-22.1151
0.300,0.47500,8,0.378477,smart,-22.1151
0.300,0.50000,8,0.296304,smart,-22.1151
0.300,0.02500,9,0.986395,smart,-22.1195
0.300,0.05000,9,0.973954,smart,-22.1195
0.300,0.07500,9,0.960992,smart,-22.1195
0.300,0.10000,9,0.953119,smart,-22.1195
0.300,0.12500,9,0.939445,smart,-22.1195
0.300,0.15000,9,0.931775,smart,-22.1195
0.300,0.17500,9,0.916626,smart,-22.1195
