alpha,T,N,t_escape,t_centroid,mu_escape,phi_1mu,Dv_retrieval,Dv_prebarrier,Dv_postbarrier,Dv_centroid
0.18,2.00,55,1100,-1,6829,0.4805,2.0919e-05,7.9183e-04,2.5902e-02,NaN
0.18,2.00,55,104,-1,10669,0.4553,8.3715e-05,3.4819e-03,3.2817e-05,NaN
0.18,2.00,55,5664,-1,19407,0.3716,6.0191e-06,6.2936e-04,2.1387e-02,NaN
0.18,2.00,55,5916,-1,17800,0.4128,2.9607e-06,3.7900e-04,7.4099e-05,NaN
0.18,2.00,55,9660,-1,16338,0.3838,1.9106e-06,5.7309e-04,9.6399e-04,NaN
0.18,2.00,55,4040,-1,19471,0.4351,5.0864e-06,5.8363e-04,5.2640e-05,NaN
0.18,2.00,55,5736,-1,19181,0.4961,2.6725e-06,2.2393e-03,8.0948e-05,NaN
0.18,2.00,55,784,-1,4988,0.3398,9.7736e-06,4.5926e-04,3.3557e-05,NaN
0.18,2.00,55,3004,-1,15041,0.4438,4.6058e-06,5.6309e-04,4.7180e-05,NaN
0.18,2.00,55,3440,-1,17113,0.4932,7.7282e-06,8.6134e-04,5.0829e-05,NaN
0.18,2.00,55,5788,-1,10119,0.5322,2.7313e-06,5.7329e-04,8.5133e-05,NaN
0.18,2.00,55,1308,-1,18223,0.4641,1.1958e-05,5.4383e-04,3.8087e-05,NaN
0.18,2.00,55,4668,-1,4430,0.4417,3.8877e-06,2.1487e-03,6.1497e-05,NaN
0.18,2.00,55,9132,-1,811,0.4814,2.1468e-06,4.5937e-04,3.7740e-04,NaN
0.18,2.00,55,8072,-1,3830,0.5117,1.3336e-06,5.1558e-04,1.7904e-04,NaN
0.18,2.00,55,3520,-1,3369,0.4202,4.0543e-06,4.6483e-04,4.9453e-05,NaN
0.18,2.00,55,5644,-1,1343,0.5132,2.8990e-06,1.1103e-03,7.9578e-05,NaN
0.18,2.00,55,2688,-1,12571,0.5039,4.7803e-06,5.4146e-04,5.6651e-05,NaN
