step,P_esc
4,0.046500
8,0.055500
12,0.065000
16,0.079000
20,0.085500
24,0.096000
28,0.101000
32,0.106500
36,0.111000
40,0.115500
44,0.121000
48,0.126500
52,0.128500
56,0.133500
60,0.135000
64,0.135500
68,0.139500
72,0.144500
76,0.145500
80,0.148500
84,0.151000
88,0.152500
92,0.158000
96,0.159000
100,0.162000
104,0.164500
108,0.168000
112,0.171500
116,0.173500
120,0.176000
124,0.178500
128,0.180500
132,0.184500
136,0.188000
140,0.190000
144,0.192500
148,0.194500
152,0.197500
156,0.198500
160,0.203000
164,0.207000
168,0.210500
172,0.212000
176,0.213500
180,0.217500
184,0.219000
188,0.220000
192,0.225000
196,0.227000
200,0.229000
204,0.232500
208,0.235000
212,0.237500
216,0.241000
220,0.242500
224,0.246000
228,0.251000
232,0.252500
236,0.255500
240,0.257000
244,0.259500
248,0.261000
252,0.264000
256,0.267000
260,0.268500
264,0.269500
268,0.274500
272,0.277500
276,0.279500
280,0.281500
284,0.284000
288,0.287000
292,0.289000
296,0.290000
300,0.291000
304,0.294000
308,0.296500
312,0.299000
316,0.301500
320,0.302500
324,0.302500
328,0.305000
332,0.308000
336,0.312500
340,0.314500
344,0.315000
348,0.316500
352,0.319000
356,0.320500
360,0.322000
364,0.323000
368,0.323500
372,0.324500
376,0.327000
380,0.328000
384,0.330000
388,0.330500
392,0.332000
396,0.333000
400,0.334000
404,0.335000
408,0.336000
412,0.337000
416,0.337500
420,0.339500
424,0.341000
428,0.343000
432,0.347000
436,0.347500
440,0.349500
444,0.351000
448,0.352000
452,0.354500
456,0.356000
460,0.357500
464,0.359500
468,0.360500
472,0.360500
476,0.361500
480,0.362000
484,0.363000
488,0.363500
492,0.365000
496,0.366500
500,0.367000
504,0.368000
508,0.368000
512,0.369500
516,0.372500
520,0.377000
524,0.377000
528,0.378000
532,0.381000
536,0.382500
540,0.383500
544,0.385000
548,0.385500
552,0.387000
556,0.388000
560,0.389000
564,0.391000
568,0.392500
572,0.393500
576,0.393500
580,0.395500
584,0.396000
588,0.396500
592,0.399500
596,0.400500
600,0.401000
604,0.402000
608,0.403000
612,0.404500
616,0.404500
620,0.405500
624,0.406000
628,0.406000
632,0.406500
636,0.407000
640,0.408000
644,0.408500
648,0.409500
652,0.411500
656,0.411500
660,0.412000
664,0.412500
668,0.414000
672,0.415000
676,0.417500
680,0.418000
684,0.418500
688,0.419000
692,0.419500
696,0.419500
700,0.421000
704,0.421000
708,0.422000
712,0.423000
716,0.423000
720,0.424500
724,0.425000
728,0.426000
732,0.427000
736,0.427000
740,0.428000
744,0.429000
748,0.431500
752,0.432500
756,0.432500
760,0.433500
764,0.435000
768,0.435500
772,0.436000
776,0.436000
780,0.436500
784,0.438500
788,0.439500
792,0.441500
796,0.441500
800,0.443000
804,0.443500
808,0.444000
812,0.444000
816,0.445500
820,0.448500
824,0.449500
828,0.450500
832,0.452000
836,0.454000
840,0.454000
844,0.455000
848,0.455000
852,0.457000
856,0.457000
860,0.458000
864,0.458500
868,0.459000
872,0.461000
876,0.462500
880,0.463000
884,0.464000
888,0.464500
892,0.466500
896,0.467000
900,0.467500
904,0.468000
908,0.468000
912,0.468000
916,0.468000
920,0.468500
924,0.470500
928,0.470500
932,0.471000
936,0.471500
940,0.471500
944,0.471500
948,0.472000
952,0.472500
956,0.474000
960,0.475500
964,0.475500
968,0.475500
972,0.475500
976,0.476000
980,0.477000
984,0.478000
988,0.478500
992,0.478500
996,0.479000
1000,0.479500
1004,0.480500
1008,0.481000
1012,0.481500
1016,0.482500
1020,0.483500
1024,0.484000
1028,0.485000
1032,0.487000
1036,0.487000
1040,0.487000
1044,0.488000
1048,0.488500
1052,0.489000
1056,0.490000
1060,0.490500
1064,0.490500
1068,0.490500
1072,0.491500
1076,0.493000
1080,0.494000
1084,0.494000
1088,0.495000
1092,0.497000
1096,0.498000
1100,0.499000
1104,0.500000
1108,0.500000
1112,0.500000
1116,0.500000
1120,0.500500
1124,0.500500
1128,0.502000
1132,0.503000
1136,0.503000
1140,0.503000
1144,0.503500
1148,0.503500
1152,0.503500
1156,0.504500
1160,0.504500
1164,0.504500
1168,0.504500
1172,0.505000
1176,0.506000
1180,0.507000
1184,0.507000
1188,0.507000
1192,0.508500
1196,0.509000
1200,0.509000
1204,0.510000
1208,0.510000
1212,0.510500
1216,0.511000
1220,0.511000
1224,0.511500
1228,0.512500
1232,0.512500
1236,0.513000
1240,0.513000
1244,0.513000
1248,0.514000
1252,0.515000
1256,0.515500
1260,0.516000
1264,0.516500
1268,0.517500
1272,0.518000
1276,0.518000
1280,0.518500
1284,0.519000
1288,0.520000
1292,0.520500
1296,0.520500
1300,0.521000
1304,0.521000
1308,0.521500
1312,0.521500
1316,0.522500
1320,0.523000
1324,0.523000
1328,0.523500
1332,0.523500
1336,0.524000
1340,0.524500
1344,0.524500
1348,0.524500
1352,0.524500
1356,0.524500
1360,0.524500
1364,0.526000
1368,0.527500
1372,0.528000
1376,0.528500
1380,0.528500
1384,0.528500
1388,0.528500
1392,0.528500
1396,0.528500
1400,0.528500
1404,0.528500
1408,0.528500
1412,0.530000
1416,0.531500
1420,0.531500
1424,0.532500
1428,0.533000
1432,0.533000
1436,0.533500
1440,0.534000
1444,0.534500
1448,0.535000
1452,0.535500
1456,0.536000
1460,0.536000
1464,0.536000
1468,0.536000
1472,0.536500
1476,0.536500
1480,0.536500
1484,0.537000
1488,0.537500
1492,0.538000
1496,0.538000
1500,0.538000
1504,0.538500
1508,0.539000
1512,0.539000
1516,0.539000
1520,0.540000
1524,0.540000
1528,0.540000
1532,0.541500
1536,0.542000
1540,0.542000
1544,0.542000
1548,0.542500
1552,0.542500
1556,0.542500
1560,0.543000
1564,0.543500
1568,0.543500
1572,0.543500
1576,0.543500
1580,0.544000
1584,0.544500
1588,0.544500
1592,0.545000
1596,0.545000
1600,0.545500
1604,0.545500
1608,0.546000
1612,0.546000
1616,0.546000
1620,0.546000
1624,0.546000
1628,0.546000
1632,0.546500
1636,0.547000
1640,0.547500
1644,0.547500
1648,0.548000
1652,0.548500
1656,0.548500
1660,0.549000
1664,0.549500
1668,0.550000
1672,0.550500
1676,0.551500
1680,0.551500
1684,0.551500
1688,0.551500
1692,0.552000
1696,0.552000
1700,0.552000
1704,0.552000
1708,0.552000
1712,0.552000
1716,0.552000
1720,0.553000
1724,0.553000
1728,0.553500
1732,0.553500
1736,0.553500
1740,0.553500
1744,0.554000
1748,0.554000
1752,0.555500
1756,0.555500
1760,0.555500
1764,0.555500
1768,0.555500
1772,0.555500
1776,0.555500
1780,0.555500
1784,0.555500
1788,0.556000
1792,0.556000
1796,0.556000
1800,0.557000
1804,0.558000
1808,0.558000
1812,0.558000
1816,0.558000
1820,0.558500
1824,0.558500
1828,0.558500
1832,0.558500
1836,0.558500
1840,0.558500
1844,0.558500
1848,0.558500
1852,0.558500
1856,0.558500
1860,0.558500
1864,0.558500
1868,0.558500
1872,0.558500
1876,0.558500
1880,0.558500
1884,0.558500
1888,0.558500
1892,0.558500
1896,0.558500
1900,0.559000
1904,0.559500
1908,0.559500
1912,0.559500
1916,0.559500
1920,0.560000
1924,0.560000
1928,0.560000
1932,0.560000
1936,0.560500
1940,0.560500
1944,0.561000
1948,0.561000
1952,0.561000
1956,0.561000
1960,0.562000
1964,0.562000
1968,0.562000
1972,0.562000
1976,0.562000
1980,0.562000
1984,0.562000
1988,0.562000
1992,0.562000
1996,0.562000
2000,0.562000
2004,0.562500
2008,0.562500
2012,0.562500
2016,0.562500
2020,0.563000
2024,0.563000
2028,0.563000
2032,0.563000
2036,0.563000
2040,0.563500
2044,0.563500
2048,0.563500
2052,0.563500
2056,0.563500
2060,0.564000
2064,0.564000
2068,0.564000
2072,0.564000
2076,0.564000
2080,0.564000
2084,0.564000
2088,0.564000
2092,0.564000
2096,0.564000
2100,0.564000
2104,0.564500
2108,0.565000
2112,0.565000
2116,0.566000
2120,0.566000
2124,0.566000
2128,0.566000
2132,0.566000
2136,0.566000
2140,0.566000
2144,0.566000
2148,0.566000
2152,0.566000
2156,0.566000
2160,0.566000
2164,0.566000
2168,0.566000
2172,0.566000
2176,0.566000
2180,0.566000
2184,0.566000
2188,0.566000
2192,0.566000
2196,0.566000
2200,0.566000
2204,0.566000
2208,0.566000
2212,0.566000
2216,0.566500
2220,0.566500
2224,0.566500
2228,0.567500
2232,0.567500
2236,0.567500
2240,0.567500
2244,0.567500
2248,0.568000
2252,0.568000
2256,0.568000
2260,0.568000
2264,0.568000
2268,0.568000
2272,0.568000
2276,0.568000
2280,0.569000
2284,0.569500
2288,0.569500
2292,0.570000
2296,0.570000
2300,0.570000
2304,0.570000
2308,0.570000
2312,0.570000
2316,0.570500
2320,0.570500
2324,0.570500
2328,0.570500
2332,0.571000
2336,0.571000
2340,0.571000
2344,0.571000
2348,0.571000
2352,0.571000
2356,0.571000
2360,0.571000
2364,0.571500
2368,0.572000
2372,0.572000
2376,0.572500
2380,0.573000
2384,0.573000
2388,0.573000
2392,0.573000
2396,0.573000
2400,0.573500
2404,0.574000
2408,0.574000
2412,0.575500
2416,0.576000
2420,0.576000
2424,0.576500
2428,0.576500
2432,0.577000
2436,0.577500
2440,0.577500
2444,0.577500
2448,0.578500
2452,0.578500
2456,0.578500
2460,0.578500
2464,0.578500
2468,0.578500
2472,0.578500
2476,0.578500
2480,0.578500
2484,0.578500
2488,0.578500
2492,0.578500
2496,0.578500
2500,0.578500
2504,0.578500
2508,0.578500
2512,0.578500
2516,0.578500
2520,0.578500
2524,0.578500
2528,0.578500
2532,0.579000
2536,0.579500
2540,0.579500
2544,0.579500
2548,0.579500
2552,0.579500
2556,0.579500
2560,0.579500
2564,0.579500
2568,0.579500
2572,0.579500
2576,0.579500
2580,0.579500
2584,0.580000
2588,0.580000
2592,0.580000
2596,0.580500
2600,0.580500
2604,0.580500
2608,0.580500
2612,0.580500
2616,0.580500
2620,0.580500
2624,0.580500
2628,0.580500
2632,0.580500
2636,0.580500
2640,0.580500
2644,0.580500
2648,0.581000
2652,0.581000
2656,0.581000
2660,0.581000
2664,0.581000
2668,0.581000
2672,0.581000
2676,0.581000
2680,0.581000
2684,0.581000
2688,0.581000
2692,0.581000
2696,0.581000
2700,0.581000
2704,0.581500
2708,0.581500
2712,0.582000
2716,0.582000
2720,0.582500
2724,0.582500
2728,0.582500
2732,0.582500
2736,0.582500
2740,0.582500
2744,0.582500
2748,0.582500
2752,0.582500
2756,0.582500
2760,0.582500
2764,0.582500
2768,0.582500
2772,0.582500
2776,0.582500
2780,0.582500
2784,0.583000
2788,0.583000
2792,0.583000
2796,0.583000
2800,0.583000
2804,0.583500
2808,0.583500
2812,0.583500
2816,0.583500
2820,0.583500
2824,0.583500
2828,0.583500
2832,0.584000
2836,0.584000
2840,0.584000
2844,0.584000
2848,0.584000
2852,0.584000
2856,0.584500
2860,0.584500
2864,0.584500
2868,0.584500
2872,0.584500
2876,0.584500
2880,0.584500
2884,0.584500
2888,0.584500
2892,0.584500
2896,0.584500
2900,0.585000
2904,0.585000
2908,0.585000
2912,0.585000
2916,0.585000
2920,0.585000
2924,0.585000
2928,0.585000
2932,0.585000
2936,0.585000
2940,0.585000
2944,0.585500
2948,0.586000
2952,0.586000
2956,0.586000
2960,0.586000
2964,0.586500
2968,0.586500
2972,0.587000
2976,0.587000
2980,0.587500
2984,0.587500
2988,0.587500
2992,0.588000
2996,0.588000
3000,0.588500
3004,0.588500
3008,0.588500
3012,0.588500
3016,0.588500
3020,0.588500
3024,0.588500
3028,0.588500
3032,0.588500
3036,0.588500
3040,0.588500
3044,0.588500
3048,0.588500
3052,0.588500
3056,0.588500
3060,0.588500
3064,0.588500
3068,0.588500
3072,0.588500
3076,0.588500
3080,0.588500
3084,0.588500
3088,0.588500
3092,0.588500
3096,0.589000
3100,0.589000
3104,0.589000
3108,0.589500
3112,0.590000
3116,0.590000
3120,0.590000
3124,0.590000
3128,0.590000
3132,0.590000
3136,0.590000
3140,0.590500
3144,0.590500
3148,0.590500
3152,0.591000
3156,0.591000
3160,0.591000
3164,0.591000
3168,0.591000
3172,0.591000
3176,0.591000
3180,0.591000
3184,0.591000
3188,0.591000
3192,0.591000
3196,0.591000
3200,0.591000
3204,0.591000
3208,0.591000
3212,0.591000
3216,0.591000
3220,0.591000
3224,0.591000
3228,0.591000
3232,0.591500
3236,0.591500
3240,0.591500
3244,0.591500
3248,0.591500
3252,0.591500
3256,0.592000
3260,0.593000
3264,0.593000
3268,0.593000
3272,0.593000
3276,0.593000
3280,0.593000
3284,0.593000
3288,0.593000
3292,0.593000
3296,0.593000
3300,0.593000
3304,0.593000
3308,0.593000
3312,0.593000
3316,0.593000
3320,0.593000
3324,0.593000
3328,0.593000
3332,0.593000
3336,0.593000
3340,0.593000
3344,0.593000
3348,0.593000
3352,0.593000
3356,0.593000
3360,0.593000
3364,0.593000
3368,0.593000
3372,0.593000
3376,0.593000
3380,0.593000
3384,0.593000
3388,0.593000
3392,0.593000
3396,0.593000
3400,0.593000
3404,0.593000
3408,0.593000
3412,0.593000
3416,0.593000
3420,0.593000
3424,0.593000
3428,0.593000
3432,0.593000
3436,0.593000
3440,0.593000
3444,0.593000
3448,0.593000
3452,0.593000
3456,0.593000
3460,0.593000
3464,0.593500
3468,0.593500
3472,0.593500
3476,0.593500
3480,0.593500
3484,0.593500
3488,0.593500
3492,0.593500
3496,0.593500
3500,0.593500
3504,0.593500
3508,0.594000
3512,0.594000
3516,0.594000
3520,0.594000
3524,0.594000
3528,0.594500
3532,0.594500
3536,0.594500
3540,0.594500
3544,0.594500
3548,0.594500
3552,0.594500
3556,0.594500
3560,0.594500
3564,0.594500
3568,0.594500
3572,0.594500
3576,0.594500
3580,0.594500
3584,0.594500
3588,0.594500
3592,0.594500
3596,0.594500
3600,0.594500
3604,0.594500
3608,0.594500
3612,0.594500
3616,0.594500
3620,0.594500
3624,0.594500
3628,0.594500
3632,0.594500
3636,0.594500
3640,0.594500
3644,0.595000
3648,0.595000
3652,0.595000
3656,0.595000
3660,0.595000
3664,0.595000
3668,0.595000
3672,0.595000
3676,0.595000
3680,0.595000
3684,0.595000
3688,0.595000
3692,0.595000
3696,0.595000
3700,0.595000
3704,0.595000
3708,0.595000
3712,0.595000
3716,0.595000
3720,0.595000
3724,0.595000
3728,0.595000
3732,0.595000
3736,0.595000
3740,0.595000
3744,0.595000
3748,0.595000
3752,0.595000
3756,0.595000
3760,0.595000
3764,0.595500
3768,0.595500
3772,0.595500
3776,0.595500
3780,0.595500
3784,0.595500
3788,0.595500
3792,0.595500
3796,0.595500
3800,0.595500
3804,0.595500
3808,0.595500
3812,0.595500
3816,0.595500
3820,0.595500
3824,0.595500
3828,0.595500
3832,0.595500
3836,0.595500
3840,0.595500
3844,0.595500
3848,0.595500
3852,0.595500
3856,0.595500
3860,0.595500
3864,0.595500
3868,0.595500
3872,0.595500
3876,0.595500
3880,0.595500
3884,0.595500
3888,0.595500
3892,0.595500
3896,0.595500
3900,0.595500
3904,0.595500
3908,0.595500
3912,0.595500
3916,0.595500
3920,0.595500
3924,0.595500
