disorder,step,phi_a,phi_b,q12
1,16400,0.907358,0.804615,0.782482
1,16416,0.900525,0.824716,0.846219
1,16432,0.882840,0.842557,0.807055
1,16448,0.866126,0.861591,0.724635
1,16464,0.875010,0.845937,0.742240
1,16480,0.872711,0.840273,0.712152
1,16496,0.885371,0.820499,0.742254
1,16512,0.892705,0.841023,0.836210
1,16528,0.905779,0.840698,0.776311
1,16544,0.890928,0.816505,0.724456
1,16560,0.903715,0.819713,0.696300
1,16576,0.885804,0.814740,0.670220
1,16592,0.893179,0.807292,0.673650
1,16608,0.885924,0.854015,0.756379
1,16624,0.888894,0.849725,0.742867
1,16640,0.885406,0.815196,0.679867
1,16656,0.888128,0.812006,0.691861
1,16672,0.900246,0.832641,0.728025
1,16688,0.918362,0.847061,0.779573
1,16704,0.934019,0.848202,0.791114
1,16720,0.924080,0.831051,0.787267
1,16736,0.895412,0.805311,0.724575
1,16752,0.893622,0.780083,0.768871
1,16768,0.890143,0.819775,0.748978
1,16784,0.871981,0.769993,0.699834
1,16800,0.889386,0.801652,0.709368
1,16816,0.884859,0.811306,0.756335
1,16832,0.887596,0.806117,0.710645
1,16848,0.880735,0.819503,0.679561
1,16864,0.875379,0.838380,0.700567
1,16880,0.888501,0.843396,0.729495
1,16896,0.896644,0.811993,0.701148
1,16912,0.910345,0.852763,0.722204
1,16928,0.896492,0.828718,0.696338
1,16944,0.901731,0.833442,0.734346
1,16960,0.909866,0.813448,0.750861
1,16976,0.910048,0.817566,0.762853
1,16992,0.922487,0.841566,0.755104
1,17008,0.904756,0.824802,0.726253
1,17024,0.888429,0.814875,0.737454
1,17040,0.884025,0.842842,0.802947
1,17056,0.918458,0.835629,0.827595
1,17072,0.929002,0.835507,0.797463
1,17088,0.902967,0.840714,0.726848
1,17104,0.896270,0.812731,0.698264
1,17120,0.915714,0.832938,0.743292
1,17136,0.901239,0.827765,0.702089
1,17152,0.897380,0.839496,0.713111
1,17168,0.880787,0.825855,0.729114
1,17184,0.885686,0.823969,0.743644
1,17200,0.858952,0.815756,0.715564
1,17216,0.889059,0.833687,0.736132
1,17232,0.901590,0.840766,0.755620
1,17248,0.900883,0.850692,0.740708
1,17264,0.901015,0.854638,0.752400
1,17280,0.898426,0.833731,0.770232
1,17296,0.907477,0.823065,0.793730
1,17312,0.890380,0.829597,0.714659
1,17328,0.891710,0.838968,0.722205
1,17344,0.850233,0.788997,0.633093
1,17360,0.838759,0.792526,0.615946
1,17376,0.829516,0.797632,0.639241
1,17392,0.852759,0.816213,0.729001
1,17408,0.856787,0.806410,0.713864
1,17424,0.864527,0.821178,0.736532
1,17440,0.881801,0.842099,0.726741
1,17456,0.896126,0.822382,0.724735
1,17472,0.911020,0.812625,0.739769
1,17488,0.902581,0.791100,0.726879
1,17504,0.896061,0.825881,0.802794
1,17520,0.896135,0.796642,0.756497
1,17536,0.885550,0.784025,0.752158
1,17552,0.880641,0.772088,0.736057
1,17568,0.878016,0.801142,0.723862
1,17584,0.866153,0.818945,0.711571
1,17600,0.877724,0.807575,0.647476
1,17616,0.870308,0.857019,0.750031
1,17632,0.876942,0.851022,0.680020
1,17648,0.878818,0.850277,0.702288
1,17664,0.873258,0.828498,0.737049
1,17680,0.872499,0.804309,0.706286
1,17696,0.890271,0.818717,0.735226
1,17712,0.890552,0.838499,0.766880
1,17728,0.875973,0.774880,0.688003
1,17744,0.891905,0.765814,0.734264
1,17760,0.879979,0.765814,0.703981
1,17776,0.882715,0.793825,0.771501
1,17792,0.884111,0.773112,0.749870
1,17808,0.895092,0.825125,0.768434
1,17824,0.900830,0.815997,0.764172
1,17840,0.854489,0.826938,0.774261
1,17856,0.852019,0.803892,0.666879
1,17872,0.856528,0.843953,0.702076
1,17888,0.874842,0.833417,0.685578
1,17904,0.881435,0.840760,0.752643
1,17920,0.909332,0.839107,0.766675
1,17936,0.872748,0.842936,0.799559
1,17952,0.906047,0.855434,0.791993
1,17968,0.903870,0.881491,0.796418
1,17984,0.890528,0.868060,0.744982
