disorder,step,phi_a,phi_b,q12
1,16400,0.455366,0.314290,0.083187
1,16416,0.501976,0.276124,0.134929
1,16432,0.454287,0.290543,0.149464
1,16448,0.507291,0.293111,0.152322
1,16464,0.486378,0.298098,0.210488
1,16480,0.502477,0.294342,0.189751
1,16496,0.541266,0.297857,0.253552
1,16512,0.583148,0.297664,0.286358
1,16528,0.451014,0.239521,0.165426
1,16544,0.323185,0.239521,0.104896
1,16560,0.348045,0.309582,0.162927
1,16576,0.397174,0.280220,0.124355
1,16592,0.414220,0.351616,0.153230
1,16608,0.424341,0.361957,0.065502
1,16624,0.343187,0.284877,-0.154179
1,16640,0.347314,0.364800,-0.037653
1,16656,0.468905,0.254293,0.017920
1,16672,0.402658,0.300738,0.002341
1,16688,0.408002,0.318078,0.039127
1,16704,0.445968,0.317935,0.048391
1,16720,0.446615,0.342649,0.113004
1,16736,0.518099,0.360419,0.163561
1,16752,0.506153,0.407452,0.192726
1,16768,0.437565,0.422545,0.110198
1,16784,0.503824,0.396326,0.136342
1,16800,0.533376,0.338720,0.048327
1,16816,0.531287,0.330608,0.032634
1,16832,0.495827,0.341333,0.006740
1,16848,0.473460,0.354270,0.017245
1,16864,0.508082,0.366996,-0.017731
1,16880,0.428748,0.311345,-0.099345
1,16896,0.378855,0.254606,-0.093588
1,16912,0.498462,0.326951,-0.052435
1,16928,0.503837,0.363028,0.081255
1,16944,0.483563,0.307141,-0.041000
1,16960,0.477267,0.303658,-0.032433
1,16976,0.480049,0.277449,-0.008645
1,16992,0.442201,0.244342,-0.077379
1,17008,0.463493,0.230480,-0.070082
1,17024,0.441732,0.149277,-0.056213
1,17040,0.486544,0.249364,-0.088949
1,17056,0.544090,0.273813,0.016611
1,17072,0.536375,0.272094,0.012305
1,17088,0.519961,0.277738,-0.022423
1,17104,0.511846,0.218935,-0.034993
1,17120,0.561939,0.270935,0.089754
1,17136,0.546886,0.239000,0.137453
1,17152,0.550507,0.239000,0.161390
1,17168,0.528830,0.184109,0.041050
1,17184,0.528409,0.245109,0.068462
1,17200,0.553977,0.228048,0.002400
1,17216,0.498705,0.285343,0.025078
1,17232,0.422428,0.256348,0.017539
1,17248,0.456786,0.224793,0.016276
1,17264,0.480742,0.238656,0.055373
1,17280,0.503031,0.241213,0.079604
1,17296,0.517238,0.220266,0.054916
1,17312,0.509847,0.275340,0.098159
1,17328,0.498730,0.279134,0.138729
1,17344,0.498730,0.279134,0.138729
1,17360,0.508680,0.298240,0.081610
1,17376,0.508275,0.242443,0.067148
1,17392,0.529917,0.242443,0.113222
1,17408,0.560823,0.197218,0.123935
1,17424,0.535750,0.294726,0.175350
1,17440,0.543612,0.294726,0.192658
1,17456,0.501859,0.319089,0.166988
1,17472,0.462086,0.304642,0.114819
1,17488,0.398082,0.328604,0.156905
1,17504,0.316118,0.373016,0.176513
