alpha,T,N,M,n_dis,phi_mean_final,phi_std_final,frac_escaped,tau_1hop_median
0.20,0.25,38,2000,2000,0.8662,0.1174,0.2660,42464.0
0.20,0.40,38,2000,2000,0.7283,0.2416,0.4263,512.0
0.20,0.25,44,6300,2000,0.8957,0.0616,0.1720,60864.0
0.20,0.40,44,6300,2000,0.8033,0.1755,0.3003,576.0
0.28,0.50,35,20000,2000,0.0192,0.1879,0.9988,128.0
0.28,0.50,44,200000,800,0.0720,0.2148,0.9956,192.0
0.28,0.50,52,2000000,100,0.1762,0.2680,0.9950,192.0
