step,P_esc
4,0.000000
8,0.000000
12,0.000000
16,0.000000
20,0.000000
24,0.000000
28,0.000000
32,0.000000
36,0.000000
40,0.000000
44,0.000000
48,0.000000
52,0.000000
56,0.000000
60,0.000000
64,0.000000
68,0.000000
72,0.000000
76,0.000000
80,0.000000
84,0.000000
88,0.000000
92,0.000000
96,0.000000
100,0.000000
104,0.000000
108,0.000000
112,0.000000
116,0.000000
120,0.000000
124,0.000000
128,0.000000
132,0.000000
136,0.000000
140,0.000000
144,0.000000
148,0.000000
152,0.000000
156,0.000000
160,0.000000
164,0.000000
168,0.000000
172,0.000000
176,0.000000
180,0.000000
184,0.000000
188,0.000000
192,0.000000
196,0.000000
200,0.000000
204,0.016000
208,0.016000
212,0.016500
216,0.018000
220,0.021000
224,0.025500
228,0.030500
232,0.034500
236,0.041500
240,0.042500
244,0.051000
248,0.056500
252,0.058000
256,0.065000
260,0.071500
264,0.079500
268,0.087500
272,0.095000
276,0.106500
280,0.116500
284,0.127500
288,0.135500
292,0.142000
296,0.149500
300,0.156000
304,0.173000
308,0.178500
312,0.186500
316,0.195000
320,0.203000
324,0.214000
328,0.223000
332,0.233000
336,0.241000
340,0.249000
344,0.256500
348,0.267000
352,0.275000
356,0.286500
360,0.293000
364,0.301500
368,0.309500
372,0.316500
376,0.327500
380,0.331000
384,0.337500
388,0.344000
392,0.356500
396,0.363000
400,0.371000
404,0.378500
408,0.384500
412,0.390000
416,0.399500
420,0.403000
424,0.410500
428,0.415500
432,0.421500
436,0.426500
440,0.434500
444,0.440500
448,0.445500
452,0.451000
456,0.457000
460,0.463500
464,0.468000
468,0.471000
472,0.476000
476,0.481500
480,0.485500
484,0.490000
488,0.493500
492,0.497000
496,0.502000
500,0.507500
504,0.514500
508,0.517000
512,0.524000
516,0.531500
520,0.537500
524,0.542000
528,0.549500
532,0.552000
536,0.557000
540,0.561500
544,0.569000
548,0.571000
552,0.574000
556,0.581000
560,0.585000
564,0.587000
568,0.590500
572,0.595500
576,0.596000
580,0.598500
584,0.601000
588,0.603000
592,0.607000
596,0.613500
600,0.616500
604,0.618000
608,0.621000
612,0.625500
616,0.629000
620,0.632500
624,0.638500
628,0.640500
632,0.645500
636,0.647500
640,0.654000
644,0.657500
648,0.661000
652,0.662000
656,0.667500
660,0.669000
664,0.673500
668,0.676500
672,0.678500
676,0.681500
680,0.686500
684,0.689500
688,0.692500
692,0.697000
696,0.699500
700,0.700500
704,0.703500
708,0.708000
712,0.712500
716,0.715500
720,0.717000
724,0.719500
728,0.721500
732,0.723000
736,0.724500
740,0.726500
744,0.730000
748,0.732500
752,0.734500
756,0.737500
760,0.739500
764,0.741000
768,0.745000
772,0.747500
776,0.749500
780,0.752500
784,0.756000
788,0.757500
792,0.759500
796,0.761000
800,0.763000
804,0.764500
808,0.767500
812,0.769500
816,0.772000
820,0.775000
824,0.776000
828,0.779000
832,0.781500
836,0.784500
840,0.786500
844,0.791000
848,0.792000
852,0.793500
856,0.795500
860,0.796000
864,0.800000
868,0.800500
872,0.803500
876,0.806000
880,0.807500
884,0.810000
888,0.812000
892,0.814500
896,0.816500
900,0.818000
904,0.818500
908,0.820000
912,0.821000
916,0.824000
920,0.826000
924,0.828000
928,0.831000
932,0.834000
936,0.834500
940,0.835500
944,0.839500
948,0.840500
952,0.842500
956,0.844000
960,0.845500
964,0.847000
968,0.847000
972,0.849500
976,0.850000
980,0.850500
984,0.851000
988,0.852500
