step,P_esc,tau_t
8,0.000000,-1.0
16,0.000000,-1.0
24,0.000000,-1.0
32,0.000500,63984.0
40,0.002000,19980.0
48,0.005000,9576.0
56,0.011000,5062.9
64,0.017000,3732.6
72,0.032000,2213.8
80,0.047000,1661.8
88,0.064500,1319.9
96,0.086500,1061.1
104,0.100000,987.1
112,0.117000,900.1
120,0.137000,814.4
128,0.154000,765.4
136,0.174000,711.4
144,0.197500,654.5
152,0.210000,644.8
160,0.230500,610.7
168,0.251500,579.9
176,0.268500,562.9
184,0.284500,549.6
192,0.306000,525.6
200,0.329000,501.3
208,0.338500,503.3
216,0.352500,497.0
224,0.367000,489.8
232,0.385500,476.4
240,0.399000,471.4
248,0.417500,458.9
256,0.431000,454.0
264,0.444000,449.8
272,0.459500,442.1
280,0.472000,438.4
288,0.483000,436.6
296,0.497500,430.1
304,0.512500,423.1
312,0.527500,416.2
320,0.541000,410.9
328,0.553500,406.8
336,0.569000,399.2
344,0.581500,394.9
352,0.595000,389.4
360,0.604500,388.1
368,0.618000,382.4
376,0.630500,377.7
384,0.636000,380.0
392,0.648500,374.9
400,0.660500,370.3
408,0.670000,368.0
416,0.675500,369.6
424,0.683500,368.6
432,0.695000,363.8
440,0.702000,363.4
448,0.710000,361.9
456,0.719500,358.7
464,0.725000,359.4
472,0.735000,355.4
480,0.745000,351.3
488,0.749000,353.0
496,0.757500,350.1
504,0.765500,347.5
512,0.775000,343.2
520,0.780000,343.4
528,0.787500,340.9
536,0.793500,339.8
544,0.798000,340.1
552,0.804000,338.7
560,0.811000,336.1
568,0.814500,337.2
576,0.820000,335.9
584,0.824500,335.6
592,0.829500,334.6
600,0.835000,333.0
608,0.841000,330.6
616,0.845000,330.4
624,0.849000,330.1
632,0.853500,329.0
640,0.856500,329.7
648,0.860500,329.0
656,0.863500,329.4
664,0.865500,331.0
672,0.869500,330.0
680,0.876500,325.1
688,0.878000,327.0
696,0.879500,328.9
704,0.883500,327.5
712,0.887000,326.6
720,0.892500,322.8
728,0.895500,322.3
736,0.899000,321.0
744,0.903500,318.2
752,0.906500,317.3
760,0.909000,317.1
768,0.913000,314.5
776,0.915500,314.0
784,0.920000,310.4
792,0.922000,310.5
800,0.924500,309.6
808,0.927000,308.7
816,0.928500,309.3
824,0.931000,308.2
832,0.933000,307.8
840,0.935500,306.4
848,0.937500,305.9
856,0.938000,307.8
864,0.940000,307.1
