# N=50  K_target=1000  betanet=1.0000  generated=2026-06-05T17:26:57.382
alpha,T,disorder,phi,n_saved_final
0.300,0.50000,7,0.031778,1492171
0.300,0.02500,8,0.532668,7789
0.300,0.05000,8,0.111458,23006
0.300,0.07500,8,-0.144091,46271
0.300,0.10000,8,-0.057632,84970
0.300,0.12500,8,0.038346,135456
0.300,0.15000,8,-0.076986,186845
0.300,0.17500,8,0.131832,249547
0.300,0.20000,8,-0.033959,318274
0.300,0.22500,8,-0.085124,395881
0.300,0.25000,8,-0.043673,488457
0.300,0.27500,8,0.043146,558283
0.300,0.30000,8,-0.003664,652860
0.300,0.32500,8,0.054890,762122
0.300,0.35000,8,0.004826,860921
0.300,0.37500,8,-0.001065,963509
0.300,0.40000,8,-0.013709,1065214
0.300,0.42500,8,0.017073,1161454
0.300,0.45000,8,-0.010282,1268927
0.300,0.47500,8,0.021070,1376663
0.300,0.50000,8,0.003752,1468778
0.300,0.02500,9,0.648347,6680
0.300,0.05000,9,-0.044560,23219
0.300,0.07500,9,0.260971,48800
0.300,0.10000,9,-0.207488,81820
0.300,0.12500,9,0.123921,128590
0.300,0.15000,9,0.056759,186135
0.300,0.17500,9,-0.019853,251082
0.300,0.20000,9,-0.051372,320071
0.300,0.22500,9,-0.006781,388494
0.300,0.25000,9,0.057276,483849
0.300,0.27500,9,0.018208,573949
0.300,0.30000,9,0.005144,656232
0.300,0.32500,9,-0.002953,747115
0.300,0.35000,9,-0.065343,841304
0.300,0.37500,9,0.017876,949811
0.300,0.40000,9,0.022067,1062681
0.300,0.42500,9,0.004137,1151779
0.300,0.45000,9,0.010421,1261494
0.300,0.47500,9,-0.006905,1384063
0.300,0.50000,9,0.015819,1477101
0.300,0.02500,10,0.416005,7795
0.300,0.05000,10,0.221209,21778
0.300,0.07500,10,-0.127079,51445
0.300,0.10000,10,0.002662,85566
0.300,0.12500,10,-0.033573,133070
0.300,0.15000,10,0.050204,189833
0.300,0.17500,10,-0.067296,256141
0.300,0.20000,10,-0.032043,317435
0.300,0.22500,10,0.010397,401115
0.300,0.25000,10,-0.031730,486988
0.300,0.27500,10,0.003636,579679
0.300,0.30000,10,0.027632,652435
0.300,0.32500,10,0.080281,757996
0.300,0.35000,10,0.026889,866067
0.300,0.37500,10,0.060520,965637
0.300,0.40000,10,0.035326,1066018
0.300,0.42500,10,-0.005424,1166221
0.300,0.45000,10,-0.003393,1268787
0.300,0.47500,10,-0.009938,1378695
0.300,0.50000,10,-0.064322,1477446
0.300,0.02500,11,0.628134,6365
0.300,0.05000,11,0.215282,22505
0.300,0.07500,11,0.044903,48656
0.300,0.10000,11,-0.076217,85543
0.300,0.12500,11,-0.033498,133526
0.300,0.15000,11,0.159494,178977
0.300,0.17500,11,-0.019671,251581
0.300,0.20000,11,0.026526,321991
0.300,0.22500,11,-0.022197,395111
0.300,0.25000,11,-0.048234,480306
0.300,0.27500,11,-0.090830,583226
0.300,0.30000,11,0.017511,659630
0.300,0.32500,11,0.010637,771631
0.300,0.35000,11,0.000974,852007
0.300,0.37500,11,-0.069154,961989
0.300,0.40000,11,-0.016748,1052448
0.300,0.42500,11,-0.023431,1161477
0.300,0.45000,11,-0.003903,1264743
0.300,0.47500,11,-0.017722,1383280
0.300,0.50000,11,0.005883,1475744
0.300,0.02500,12,0.560235,6441
0.300,0.05000,12,0.153849,23291
0.300,0.07500,12,-0.022497,50181
0.300,0.10000,12,0.005836,86561
0.300,0.12500,12,-0.151518,131022
0.300,0.15000,12,0.078566,181848
0.300,0.17500,12,0.146599,247864
0.300,0.20000,12,-0.056213,313220
0.300,0.22500,12,0.039681,406881
0.300,0.25000,12,-0.028307,480621
0.300,0.27500,12,0.043130,577191
0.300,0.30000,12,0.025434,655105
0.300,0.32500,12,0.005306,745703
0.300,0.35000,12,-0.025825,863567
0.300,0.37500,12,0.016878,963477
0.300,0.40000,12,-0.057482,1063312
0.300,0.42500,12,-0.035728,1174678
0.300,0.45000,12,-0.007965,1268924
0.300,0.47500,12,-0.071520,1367204
0.300,0.50000,12,0.036856,1462477
0.300,0.02500,13,0.608109,6425
0.300,0.05000,13,-0.015082,23135
0.300,0.07500,13,-0.152226,46387
0.300,0.10000,13,-0.106733,89105
0.300,0.12500,13,0.015274,135618
0.300,0.15000,13,-0.116801,182462
0.300,0.17500,13,-0.051622,246725
0.300,0.20000,13,0.024466,320281
0.300,0.22500,13,-0.044666,389110
0.300,0.25000,13,0.067385,472527
0.300,0.27500,13,0.078162,569600
0.300,0.30000,13,-0.008934,669232
0.300,0.32500,13,0.008636,770397
0.300,0.35000,13,0.031616,865314
0.300,0.37500,13,0.072752,950199
0.300,0.40000,13,0.000176,1069535
0.300,0.42500,13,-0.019905,1168615
0.300,0.45000,13,0.004557,1277832
0.300,0.47500,13,-0.018401,1365218
0.300,0.50000,13,-0.014440,1487711
0.300,0.02500,14,0.653640,6087
0.300,0.05000,14,-0.099961,23709
0.300,0.07500,14,-0.020312,47972
0.300,0.10000,14,-0.127505,82712
0.300,0.12500,14,-0.037770,142206
0.300,0.15000,14,-0.085008,182859
0.300,0.17500,14,0.080308,239601
0.300,0.20000,14,-0.030704,320621
0.300,0.22500,14,0.044662,397401
0.300,0.25000,14,-0.046183,484383
0.300,0.27500,14,-0.023807,578032
0.300,0.30000,14,-0.068396,668324
0.300,0.32500,14,0.003418,757783
0.300,0.35000,14,0.014190,853447
0.300,0.37500,14,-0.011611,961501
0.300,0.40000,14,-0.027514,1083779
0.300,0.42500,14,0.006850,1154119
0.300,0.45000,14,0.008142,1267460
0.300,0.47500,14,-0.042789,1372017
0.300,0.50000,14,0.011257,1477149
0.300,0.02500,15,0.541647,6780
0.300,0.05000,15,0.091584,26798
0.300,0.07500,15,0.065689,48183
0.300,0.10000,15,0.142826,87725
0.300,0.12500,15,-0.045697,126371
0.300,0.15000,15,-0.020107,192505
0.300,0.17500,15,-0.081780,246807
0.300,0.20000,15,-0.122976,327140
0.300,0.22500,15,-0.027105,398003
0.300,0.25000,15,-0.037309,487550
0.300,0.27500,15,0.016235,558966
0.300,0.30000,15,0.014952,664078
0.300,0.32500,15,0.052929,757550
0.300,0.35000,15,0.096916,859991
0.300,0.37500,15,0.045258,970963
0.300,0.40000,15,-0.001745,1067463
0.300,0.42500,15,-0.011899,1156170
0.300,0.45000,15,0.014816,1280947
0.300,0.47500,15,-0.009825,1369026
0.300,0.50000,15,-0.019267,1466260
0.300,0.02500,16,0.546262,6675
0.300,0.05000,16,0.004184,23688
0.300,0.07500,16,-0.027462,48594
0.300,0.10000,16,-0.174020,82044
0.300,0.12500,16,0.045045,124048
0.300,0.15000,16,0.055534,188009
0.300,0.17500,16,-0.030071,244961
0.300,0.20000,16,0.072792,322316
0.300,0.22500,16,-0.112876,410701
0.300,0.25000,16,-0.012361,490919
0.300,0.27500,16,0.098233,569552
0.300,0.30000,16,0.012044,664526
0.300,0.32500,16,0.020631,755321
0.300,0.35000,16,-0.027842,860924
0.300,0.37500,16,-0.046807,971484
0.300,0.40000,16,-0.005327,1046401
0.300,0.42500,16,0.045895,1170730
0.300,0.45000,16,-0.047909,1285967
0.300,0.47500,16,-0.004369,1376200
0.300,0.50000,16,-0.008391,1488466
