alpha,T,N,M,n_dis,tau_median,P_esc_final,n_confirmed
0.20,0.80,50,20000,2000,4296.0,0.097000,194
0.22,0.80,45,20000,2000,3896.0,0.427500,855
0.24,0.80,41,20000,2000,2152.0,0.867500,1735
0.26,0.80,38,20000,2000,928.0,0.994000,1988
0.28,0.80,35,20000,2000,324.0,0.976000,1952
0.30,0.80,33,20000,2000,176.0,0.925000,1850
0.20,0.50,50,20000,2000,11480.0,0.112500,225
0.22,0.50,45,20000,2000,8792.0,0.450500,901
0.24,0.50,41,20000,2000,4948.0,0.861000,1722
0.26,0.50,38,20000,2000,1992.0,0.930000,1860
0.28,0.50,35,20000,2000,776.0,0.819500,1639
0.30,0.50,33,20000,2000,384.0,0.669000,1338
0.20,0.40,50,20000,2000,30784.0,0.168500,337
0.22,0.40,45,20000,2000,25368.0,0.540000,1080
0.24,0.40,41,20000,2000,11712.0,0.842500,1685
0.26,0.30,38,20000,2000,6400.0,0.728500,1457
0.26,0.40,38,20000,2000,4056.0,0.799000,1598
0.28,0.30,35,20000,2000,2656.0,0.485500,971
0.28,0.40,35,20000,2000,1776.0,0.561500,1123
0.30,0.30,33,20000,2000,1320.0,0.316000,632
0.30,0.40,33,20000,2000,736.0,0.415000,830
0.26,0.25,38,20000,2000,12864.0,0.662500,1325
0.28,0.25,35,20000,2000,4960.0,0.387500,775
0.30,0.25,33,20000,2000,1152.0,0.225000,450
0.20,0.30,50,20000,2000,72288.0,0.175500,351
0.22,0.30,45,20000,2000,57344.0,0.547000,1094
0.24,0.30,41,20000,2000,25472.0,0.793500,1587
0.26,0.20,38,20000,2000,18608.0,0.699000,1398
0.28,0.15,35,20000,2000,11712.0,0.556500,1113
0.28,0.20,35,20000,2000,6944.0,0.448000,896
0.30,0.15,33,20000,2000,5904.0,0.385000,770
0.30,0.20,33,20000,2000,3904.0,0.263500,527
0.20,0.15,50,20000,2000,142016.0,0.046000,92
