# N=25  K_max=10000  betanet=1.0000  generated=2026-06-05T13:04:38.284
alpha,T,disorder,phi,mode,logC
0.300,0.02500,1,0.987005,honest,-30.0000
0.300,0.05000,1,0.975649,honest,-30.0000
0.300,0.07500,1,0.962642,honest,-30.0000
0.300,0.10000,1,0.952476,honest,-30.0000
0.300,0.12500,1,0.941532,honest,-30.0000
0.300,0.15000,1,0.931744,honest,-30.0000
0.300,0.17500,1,0.913802,honest,-30.0000
0.300,0.20000,1,0.911521,honest,-30.0000
0.300,0.22500,1,0.897923,honest,-30.0000
0.300,0.25000,1,0.232567,honest,-30.0000
0.300,0.27500,1,0.030501,honest,-30.0000
0.300,0.30000,1,0.001728,honest,-30.0000
0.300,0.32500,1,-0.014031,honest,-30.0000
0.300,0.35000,1,-0.186858,honest,-30.0000
0.300,0.37500,1,0.013255,honest,-30.0000
0.300,0.40000,1,0.030299,honest,-30.0000
0.300,0.42500,1,-0.127807,honest,-30.0000
0.300,0.45000,1,0.047798,honest,-30.0000
0.300,0.47500,1,0.125212,honest,-30.0000
0.300,0.50000,1,-0.097375,honest,-30.0000
0.300,0.02500,2,0.987287,honest,-30.0000
0.300,0.05000,2,0.975397,honest,-30.0000
0.300,0.07500,2,0.966005,honest,-30.0000
0.300,0.10000,2,0.951108,honest,-30.0000
0.300,0.12500,2,0.939628,honest,-30.0000
0.300,0.15000,2,0.934176,honest,-30.0000
0.300,0.17500,2,0.924815,honest,-30.0000
0.300,0.20000,2,0.907678,honest,-30.0000
0.300,0.22500,2,0.888795,honest,-30.0000
0.300,0.25000,2,0.888643,honest,-30.0000
0.300,0.27500,2,0.365438,honest,-30.0000
0.300,0.30000,2,-0.014603,honest,-30.0000
0.300,0.32500,2,-0.069931,honest,-30.0000
0.300,0.35000,2,-0.065608,honest,-30.0000
0.300,0.37500,2,0.008240,honest,-30.0000
0.300,0.40000,2,0.054750,honest,-30.0000
0.300,0.42500,2,-0.064920,honest,-30.0000
0.300,0.45000,2,0.009015,honest,-30.0000
0.300,0.47500,2,-0.004700,honest,-30.0000
0.300,0.50000,2,0.004783,honest,-30.0000
0.300,0.02500,3,0.985159,honest,-30.0000
0.300,0.05000,3,0.973032,honest,-30.0000
0.300,0.07500,3,0.963166,honest,-30.0000
0.300,0.10000,3,0.956984,honest,-30.0000
0.300,0.12500,3,0.939609,honest,-30.0000
0.300,0.15000,3,0.927717,honest,-30.0000
0.300,0.17500,3,0.924000,honest,-30.0000
0.300,0.20000,3,0.905448,honest,-30.0000
0.300,0.22500,3,0.888450,honest,-30.0000
0.300,0.25000,3,0.606965,honest,-30.0000
0.300,0.27500,3,0.437387,honest,-30.0000
0.300,0.30000,3,0.011493,honest,-30.0000
0.300,0.32500,3,-0.074372,honest,-30.0000
0.300,0.35000,3,-0.005432,honest,-30.0000
0.300,0.37500,3,0.084975,honest,-30.0000
0.300,0.40000,3,-0.013477,honest,-30.0000
0.300,0.42500,3,0.045930,honest,-30.0000
0.300,0.45000,3,0.071994,honest,-30.0000
0.300,0.47500,3,-0.049935,honest,-30.0000
0.300,0.50000,3,-0.005125,honest,-30.0000
0.300,0.02500,4,0.989066,honest,-30.0000
0.300,0.05000,4,0.975841,honest,-30.0000
0.300,0.07500,4,0.961502,honest,-30.0000
0.300,0.10000,4,0.947264,honest,-30.0000
0.300,0.12500,4,0.939520,honest,-30.0000
0.300,0.15000,4,0.927983,honest,-30.0000
0.300,0.17500,4,0.908781,honest,-30.0000
0.300,0.20000,4,0.913408,honest,-30.0000
0.300,0.22500,4,0.891575,honest,-30.0000
0.300,0.25000,4,0.884212,honest,-30.0000
0.300,0.27500,4,0.003492,honest,-30.0000
0.300,0.30000,4,0.003794,honest,-30.0000
0.300,0.32500,4,0.098928,honest,-30.0000
0.300,0.35000,4,0.065364,honest,-30.0000
0.300,0.37500,4,0.043687,honest,-30.0000
0.300,0.40000,4,0.050634,honest,-30.0000
0.300,0.42500,4,-0.022067,honest,-30.0000
0.300,0.45000,4,-0.004292,honest,-30.0000
0.300,0.47500,4,0.070705,honest,-30.0000
0.300,0.50000,4,-0.000550,honest,-30.0000
0.300,0.02500,5,0.987797,honest,-30.0000
0.300,0.05000,5,0.977390,honest,-30.0000
0.300,0.07500,5,0.963521,honest,-30.0000
0.300,0.10000,5,0.948831,honest,-30.0000
0.300,0.12500,5,0.944265,honest,-30.0000
0.300,0.15000,5,0.926726,honest,-30.0000
0.300,0.17500,5,0.917798,honest,-30.0000
0.300,0.20000,5,0.898350,honest,-30.0000
0.300,0.22500,5,0.896935,honest,-30.0000
0.300,0.25000,5,0.887245,honest,-30.0000
0.300,0.27500,5,0.442366,honest,-30.0000
0.300,0.30000,5,0.221787,honest,-30.0000
0.300,0.32500,5,0.193633,honest,-30.0000
0.300,0.35000,5,-0.092450,honest,-30.0000
0.300,0.37500,5,-0.026813,honest,-30.0000
0.300,0.40000,5,-0.096961,honest,-30.0000
0.300,0.42500,5,0.002981,honest,-30.0000
0.300,0.45000,5,0.103624,honest,-30.0000
0.300,0.47500,5,-0.037951,honest,-30.0000
0.300,0.50000,5,-0.048993,honest,-30.0000
0.300,0.02500,6,0.987243,honest,-30.0000
0.300,0.05000,6,0.977180,honest,-30.0000
0.300,0.07500,6,0.961840,honest,-30.0000
0.300,0.10000,6,0.952647,honest,-30.0000
0.300,0.12500,6,0.941324,honest,-30.0000
0.300,0.15000,6,0.929649,honest,-30.0000
0.300,0.17500,6,0.912703,honest,-30.0000
0.300,0.20000,6,0.907132,honest,-30.0000
0.300,0.22500,6,0.896964,honest,-30.0000
0.300,0.25000,6,0.524634,honest,-30.0000
0.300,0.27500,6,0.566737,honest,-30.0000
0.300,0.30000,6,0.152318,honest,-30.0000
0.300,0.32500,6,0.135958,honest,-30.0000
0.300,0.35000,6,0.000538,honest,-30.0000
0.300,0.37500,6,0.037443,honest,-30.0000
0.300,0.40000,6,0.162478,honest,-30.0000
0.300,0.42500,6,0.053941,honest,-30.0000
0.300,0.45000,6,-0.042947,honest,-30.0000
0.300,0.47500,6,-0.011306,honest,-30.0000
0.300,0.50000,6,0.014742,honest,-30.0000
0.300,0.02500,7,0.989469,honest,-30.0000
0.300,0.05000,7,0.978984,honest,-30.0000
0.300,0.07500,7,0.965696,honest,-30.0000
0.300,0.10000,7,0.952744,honest,-30.0000
0.300,0.12500,7,0.941863,honest,-30.0000
0.300,0.15000,7,0.935509,honest,-30.0000
0.300,0.17500,7,0.922689,honest,-30.0000
0.300,0.20000,7,0.523687,honest,-30.0000
0.300,0.22500,7,0.489263,honest,-30.0000
0.300,0.25000,7,0.696095,honest,-30.0000
0.300,0.27500,7,0.216052,honest,-30.0000
0.300,0.30000,7,0.019909,honest,-30.0000
0.300,0.32500,7,0.400852,honest,-30.0000
0.300,0.35000,7,-0.030921,honest,-30.0000
0.300,0.37500,7,-0.202846,honest,-30.0000
0.300,0.40000,7,0.019762,honest,-30.0000
0.300,0.42500,7,-0.010031,honest,-30.0000
0.300,0.45000,7,0.051443,honest,-30.0000
0.300,0.47500,7,-0.029666,honest,-30.0000
0.300,0.50000,7,0.041957,honest,-30.0000
0.300,0.02500,8,0.988333,honest,-30.0000
0.300,0.05000,8,0.973957,honest,-30.0000
0.300,0.07500,8,0.965615,honest,-30.0000
0.300,0.10000,8,0.953448,honest,-30.0000
0.300,0.12500,8,0.942083,honest,-30.0000
0.300,0.15000,8,0.929724,honest,-30.0000
0.300,0.17500,8,0.913515,honest,-30.0000
0.300,0.20000,8,0.901883,honest,-30.0000
0.300,0.22500,8,0.900892,honest,-30.0000
0.300,0.25000,8,0.570501,honest,-30.0000
0.300,0.27500,8,0.396944,honest,-30.0000
0.300,0.30000,8,0.094717,honest,-30.0000
0.300,0.32500,8,-0.128768,honest,-30.0000
0.300,0.35000,8,-0.085131,honest,-30.0000
0.300,0.37500,8,-0.081203,honest,-30.0000
0.300,0.40000,8,-0.001734,honest,-30.0000
0.300,0.42500,8,0.048177,honest,-30.0000
0.300,0.45000,8,0.111271,honest,-30.0000
0.300,0.47500,8,0.002358,honest,-30.0000
0.300,0.50000,8,-0.073264,honest,-30.0000
0.300,0.02500,9,0.988807,honest,-30.0000
0.300,0.05000,9,0.977778,honest,-30.0000
0.300,0.07500,9,0.965832,honest,-30.0000
0.300,0.10000,9,0.954819,honest,-30.0000
0.300,0.12500,9,0.941734,honest,-30.0000
0.300,0.15000,9,0.930918,honest,-30.0000
0.300,0.17500,9,0.918161,honest,-30.0000
0.300,0.20000,9,0.910427,honest,-30.0000
0.300,0.22500,9,0.482002,honest,-30.0000
0.300,0.25000,9,0.398198,honest,-30.0000
0.300,0.27500,9,0.167994,honest,-30.0000
0.300,0.30000,9,0.229159,honest,-30.0000
0.300,0.32500,9,0.031070,honest,-30.0000
0.300,0.35000,9,0.044123,honest,-30.0000
0.300,0.37500,9,0.089256,honest,-30.0000
0.300,0.40000,9,0.067612,honest,-30.0000
0.300,0.42500,9,0.117163,honest,-30.0000
0.300,0.45000,9,-0.060718,honest,-30.0000
0.300,0.47500,9,0.051036,honest,-30.0000
