alpha,T0.05,T0.10,T0.15,T0.20,T0.25,T0.30,T0.35,T0.40,T0.45,T0.50,T0.55,T0.60,T0.65,T0.70,T0.75,T0.80,T0.85,T0.90,T0.95,T1.00,T1.05,T1.10,T1.15,T1.20,T1.25,T1.30,T1.35,T1.40,T1.45,T1.50,T1.55,T1.60,T1.65,T1.70,T1.75,T1.80,T1.85,T1.90,T1.95,T2.00,T2.05,T2.10,T2.15,T2.20,T2.25,T2.30,T2.35,T2.40,T2.45,T2.50
0.01,0.9988,0.9987,0.9988,0.9987,0.9988,0.9987,0.9986,0.9984,0.9968,0.9931,0.9853,0.9734,0.9288,0.8692,0.7785,0.7229,0.6833,0.6571,0.6366,0.6215,0.6068,0.5923,0.5812,0.5661,0.5562,0.5445,0.5282,0.5197,0.5124,0.5016,0.4892,0.4841,0.4714,0.4604,0.4523,0.4461,0.4375,0.4298,0.4208,0.4154,0.4081,0.3998,0.3923,0.3872,0.3816,0.3743,0.3685,0.3617,0.3549,0.3498
0.02,0.9987,0.9988,0.9988,0.9987,0.9981,0.9934,0.9769,0.9049,0.8160,0.7836,0.7621,0.7464,0.7269,0.7114,0.6929,0.6768,0.6617,0.6492,0.6319,0.6199,0.6036,0.5912,0.5798,0.5667,0.5542,0.5433,0.5328,0.5220,0.5127,0.4987,0.4924,0.4772,0.4719,0.4641,0.4555,0.4436,0.4376,0.4285,0.4227,0.4127,0.4079,0.4021,0.3902,0.3887,0.3810,0.3751,0.3696,0.3657,0.3582,0.3490
0.03,0.9988,0.9988,0.9987,0.9988,0.9972,0.9901,0.9295,0.8481,0.8040,0.7798,0.7627,0.7455,0.7283,0.7079,0.6922,0.6748,0.6608,0.6444,0.6333,0.6174,0.6046,0.5926,0.5810,0.5647,0.5566,0.5433,0.5306,0.5206,0.5121,0.5024,0.4900,0.4812,0.4711,0.4639,0.4540,0.4466,0.4380,0.4200,0.4203,0.4042,0.3951,0.3882,0.3762,0.3489,0.2758,0.3120,0.2042,0.2032,0.1893,0.1163
0.04,0.9987,0.9987,0.9988,0.9988,0.9969,0.9811,0.9034,0.8262,0.8007,0.7819,0.7626,0.7448,0.7279,0.7109,0.6944,0.6788,0.6628,0.6472,0.6318,0.6184,0.6052,0.5917,0.5776,0.5648,0.5541,0.5456,0.5311,0.5224,0.5089,0.5014,0.4915,0.4751,0.4704,0.4498,0.4434,0.4365,0.3538,0.3282,0.3008,0.2322,0.1643,0.1254,0.0930,0.0361,0.0351,0.0324,0.0057,0.0062,0.0005,0.0032
0.05,0.9988,0.9988,0.9988,0.9986,0.9968,0.9676,0.8838,0.8236,0.7980,0.7814,0.7632,0.7448,0.7271,0.7093,0.6934,0.6776,0.6644,0.6482,0.6340,0.6192,0.6054,0.5900,0.5791,0.5695,0.5569,0.5431,0.5349,0.5201,0.4934,0.4889,0.4558,0.4375,0.3695,0.3087,0.2141,0.1706,0.0986,0.0526,0.0367,0.0049,0.0094,-0.0024,0.0016,-0.0016,0.0041,0.0026,-0.0027,0.0022,-0.0017,-0.0025
0.06,0.9988,0.9988,0.9987,0.9985,0.9965,0.9631,0.8621,0.8210,0.8027,0.7818,0.7613,0.7449,0.7267,0.7118,0.6955,0.6786,0.6625,0.6455,0.6325,0.6181,0.6069,0.5922,0.5802,0.5675,0.5383,0.5323,0.5117,0.4332,0.3439,0.3494,0.2456,0.1500,0.1031,0.0684,0.0261,0.0095,0.0010,-0.0004,-0.0034,-0.0006,0.0021,-0.0035,-0.0006,0.0026,0.0008,-0.0002,0.0030,0.0001,0.0008,0.0010
0.07,0.9988,0.9988,0.9988,0.9985,0.9906,0.9484,0.8540,0.8204,0.7985,0.7808,0.7632,0.7455,0.7267,0.7112,0.6924,0.6756,0.6635,0.6475,0.6338,0.6222,0.6058,0.5931,0.5743,0.5492,0.4904,0.4531,0.2968,0.2781,0.1308,0.0731,0.0242,0.0015,0.0075,0.0004,-0.0018,0.0007,0.0026,-0.0010,0.0044,-0.0022,0.0000,-0.0014,0.0009,0.0041,0.0008,-0.0016,0.0020,0.0028,0.0018,-0.0031
0.08,0.9988,0.9987,0.9988,0.9982,0.9901,0.9361,0.8519,0.8240,0.8011,0.7828,0.7643,0.7455,0.7266,0.7108,0.6946,0.6796,0.6641,0.6486,0.6334,0.6165,0.6052,0.5527,0.5321,0.4298,0.3194,0.1763,0.1050,0.0403,0.0131,0.0001,-0.0013,-0.0020,-0.0054,0.0027,0.0043,0.0002,0.0029,-0.0028,0.0044,-0.0010,-0.0006,-0.0006,-0.0010,-0.0005,0.0022,-0.0002,0.0020,-0.0045,-0.0019,-0.0004
0.09,0.9987,0.9988,0.9988,0.9976,0.9904,0.9339,0.8450,0.8201,0.8015,0.7809,0.7629,0.7451,0.7273,0.7098,0.6947,0.6789,0.6621,0.6225,0.6220,0.5923,0.5425,0.4761,0.3440,0.1653,0.0864,0.0262,0.0026,0.0117,-0.0054,0.0004,-0.0014,0.0037,0.0035,0.0002,0.0003,0.0027,0.0023,-0.0021,0.0020,-0.0047,0.0006,0.0017,0.0030,-0.0008,0.0008,0.0015,0.0002,-0.0018,0.0016,-0.0002
0.10,0.9988,0.9988,0.9988,0.9974,0.9786,0.9097,0.8452,0.8217,0.8020,0.7820,0.7653,0.7453,0.7274,0.7113,0.6944,0.6784,0.6614,0.6437,0.6176,0.4913,0.3909,0.1690,0.1094,0.0198,0.0126,-0.0026,0.0009,0.0018,0.0029,0.0014,-0.0014,-0.0027,-0.0007,0.0030,0.0046,-0.0002,0.0016,-0.0032,0.0013,-0.0020,-0.0018,0.0019,0.0004,-0.0010,-0.0020,0.0004,0.0010,0.0024,0.0013,-0.0005
