alpha,T0.05,T0.10,T0.15,T0.20,T0.25,T0.30,T0.35,T0.40,T0.45,T0.50,T0.55,T0.60,T0.65,T0.70,T0.75,T0.80,T0.85,T0.90,T0.95,T1.00,T1.05,T1.10,T1.15,T1.20,T1.25,T1.30,T1.35,T1.40,T1.45,T1.50,T1.55,T1.60,T1.65,T1.70,T1.75,T1.80,T1.85,T1.90,T1.95,T2.00,T2.05,T2.10,T2.15,T2.20,T2.25,T2.30,T2.35,T2.40,T2.45,T2.50
0.33,0.9988,0.9985,0.9895,0.9336,0.7114,0.1116,-0.0018,0.0039,0.0013,0.0004,0.0018,0.0012,0.0008,-0.0025,-0.0003,0.0015,0.0010,-0.0003,0.0026,-0.0004,0.0005,-0.0017,0.0006,-0.0010,0.0008,0.0006,0.0002,-0.0017,-0.0014,0.0001,0.0003,0.0022,-0.0002,0.0007,-0.0008,-0.0001,-0.0007,0.0001,-0.0008,-0.0008,0.0008,0.0004,0.0001,0.0010,-0.0020,0.0001,-0.0007,-0.0012,0.0001,-0.0006
0.34,0.9988,0.9987,0.9915,0.9192,0.5437,0.0249,0.0066,0.0014,-0.0015,0.0022,0.0012,0.0004,0.0003,-0.0004,0.0005,0.0016,0.0013,0.0004,-0.0002,0.0011,0.0001,0.0010,-0.0010,0.0006,-0.0006,0.0015,-0.0011,0.0015,0.0011,-0.0010,-0.0003,0.0024,0.0004,0.0011,-0.0009,-0.0023,-0.0011,0.0003,0.0005,0.0005,-0.0012,0.0000,-0.0006,0.0000,0.0014,0.0013,0.0012,0.0006,0.0001,0.0010
0.35,0.9988,0.9987,0.9901,0.9310,0.5532,0.0168,-0.0030,-0.0041,0.0006,0.0015,-0.0010,-0.0008,0.0014,0.0004,-0.0004,-0.0013,-0.0001,-0.0006,0.0003,0.0007,0.0002,-0.0001,-0.0002,-0.0007,-0.0001,0.0001,-0.0004,-0.0011,0.0008,0.0025,-0.0009,-0.0001,0.0021,0.0011,-0.0002,-0.0009,-0.0011,0.0000,-0.0004,-0.0004,0.0003,0.0001,0.0003,0.0005,-0.0005,0.0015,-0.0002,-0.0015,0.0000,0.0008
0.36,0.9988,0.9982,0.9884,0.8908,0.3019,-0.0060,-0.0019,0.0040,-0.0011,-0.0011,0.0005,-0.0005,0.0004,-0.0012,-0.0008,-0.0001,0.0004,-0.0016,0.0004,0.0008,-0.0001,0.0009,-0.0017,0.0006,-0.0004,0.0001,-0.0000,0.0003,-0.0013,-0.0005,-0.0020,0.0009,0.0006,0.0009,0.0000,0.0011,0.0007,-0.0001,-0.0007,0.0001,-0.0000,0.0003,0.0006,0.0008,-0.0013,-0.0011,0.0002,-0.0001,-0.0002,0.0000
0.37,0.9988,0.9986,0.9868,0.8482,0.1005,0.0031,-0.0014,0.0013,-0.0009,0.0018,-0.0015,0.0003,-0.0006,-0.0008,-0.0011,-0.0006,0.0001,-0.0013,0.0008,0.0009,0.0011,0.0002,0.0002,-0.0007,0.0003,0.0003,0.0020,0.0008,-0.0010,-0.0001,-0.0006,-0.0005,-0.0000,-0.0004,0.0015,-0.0017,0.0003,-0.0008,0.0001,-0.0002,0.0012,0.0005,-0.0006,-0.0005,-0.0011,-0.0005,-0.0009,0.0006,-0.0001,-0.0007
0.38,0.9988,0.9985,0.9866,0.8194,0.0959,-0.0033,0.0027,-0.0037,-0.0010,0.0003,0.0006,-0.0008,0.0002,0.0003,0.0002,-0.0009,0.0003,-0.0007,0.0003,-0.0003,0.0001,-0.0011,-0.0011,-0.0016,-0.0004,-0.0010,0.0007,-0.0009,0.0007,0.0007,0.0001,-0.0002,-0.0007,-0.0010,-0.0004,-0.0001,-0.0004,0.0001,-0.0009,0.0003,0.0004,0.0015,0.0005,-0.0009,0.0004,0.0012,0.0004,0.0001,-0.0011,0.0005
0.39,0.9988,0.9984,0.9823,0.6890,0.0174,0.0004,0.0010,-0.0011,0.0010,-0.0004,0.0008,-0.0012,-0.0001,-0.0015,-0.0006,-0.0011,0.0003,0.0001,-0.0009,-0.0000,0.0002,0.0013,0.0012,0.0002,-0.0002,0.0004,-0.0003,0.0011,0.0003,0.0006,0.0002,0.0003,-0.0006,0.0016,-0.0002,0.0008,-0.0004,0.0006,0.0014,-0.0006,-0.0004,0.0006,-0.0010,-0.0009,0.0010,0.0011,-0.0006,-0.0002,0.0017,-0.0006
0.40,0.9988,0.9984,0.9707,0.4105,0.0026,-0.0015,0.0002,0.0006,0.0004,0.0007,0.0003,0.0002,-0.0003,0.0005,-0.0000,0.0015,-0.0006,-0.0004,-0.0019,0.0016,-0.0005,0.0003,-0.0009,0.0008,0.0014,0.0001,-0.0005,-0.0005,0.0001,0.0014,-0.0009,-0.0008,0.0005,-0.0003,0.0012,0.0008,0.0000,0.0008,0.0004,-0.0010,0.0005,-0.0017,-0.0009,0.0013,-0.0005,0.0012,-0.0006,0.0004,0.0004,0.0025
0.41,0.9988,0.9984,0.9758,0.3802,0.0079,-0.0029,0.0015,-0.0002,0.0001,-0.0008,0.0004,-0.0002,-0.0006,0.0005,0.0000,0.0006,0.0001,0.0003,0.0009,0.0011,-0.0004,-0.0003,0.0008,-0.0001,0.0015,0.0009,0.0004,0.0005,-0.0003,-0.0014,-0.0010,-0.0001,-0.0002,0.0007,0.0008,0.0001,0.0006,0.0012,-0.0004,0.0002,-0.0008,-0.0005,0.0006,-0.0003,0.0005,-0.0001,-0.0010,0.0001,0.0000,-0.0015
0.42,0.9988,0.9978,0.9400,0.1791,0.0001,-0.0002,0.0001,0.0023,0.0002,0.0003,0.0001,0.0000,0.0002,-0.0011,0.0014,0.0011,0.0019,0.0007,0.0006,-0.0007,0.0003,-0.0004,-0.0001,0.0015,0.0005,0.0001,0.0000,-0.0001,-0.0010,0.0017,0.0008,-0.0004,0.0006,0.0011,0.0000,-0.0002,0.0011,-0.0007,0.0005,-0.0005,-0.0008,0.0007,0.0004,-0.0011,-0.0003,0.0002,0.0012,0.0008,0.0014,-0.0006
0.43,0.9988,0.9978,0.9394,0.1586,-0.0004,0.0006,-0.0003,0.0023,-0.0015,0.0006,0.0007,-0.0002,0.0013,-0.0005,0.0006,0.0003,-0.0000,-0.0001,0.0006,0.0005,-0.0007,0.0005,0.0003,0.0001,0.0010,-0.0013,0.0013,0.0009,-0.0004,0.0016,0.0011,0.0003,0.0008,-0.0004,-0.0014,0.0010,0.0006,0.0005,0.0025,0.0003,0.0002,0.0004,-0.0005,0.0006,0.0003,-0.0005,0.0015,-0.0005,-0.0001,-0.0000
0.44,0.9988,0.9976,0.8274,0.0828,0.0022,-0.0007,-0.0004,0.0020,-0.0014,0.0000,-0.0012,-0.0010,0.0006,-0.0002,-0.0001,-0.0008,-0.0007,-0.0000,0.0005,-0.0001,-0.0001,-0.0003,0.0002,-0.0005,0.0001,0.0006,-0.0003,-0.0002,0.0003,0.0001,-0.0012,0.0015,-0.0002,-0.0008,0.0014,0.0001,0.0017,0.0005,-0.0002,0.0002,0.0002,0.0002,-0.0001,-0.0008,-0.0017,0.0002,-0.0002,-0.0005,0.0011,-0.0006
0.45,0.9988,0.9976,0.7959,0.1057,-0.0041,-0.0000,0.0003,0.0014,0.0006,0.0016,0.0004,-0.0012,0.0010,-0.0001,0.0012,-0.0011,-0.0007,-0.0023,0.0014,-0.0013,-0.0009,-0.0008,-0.0004,-0.0011,0.0013,0.0022,0.0002,0.0006,0.0007,0.0012,-0.0003,-0.0007,0.0011,0.0001,-0.0002,-0.0012,-0.0010,-0.0004,-0.0003,0.0003,0.0005,0.0005,0.0003,0.0007,0.0005,0.0010,0.0006,-0.0008,-0.0009,0.0005
0.46,0.9988,0.9957,0.5456,0.0297,-0.0001,0.0004,0.0001,-0.0008,-0.0004,-0.0009,-0.0005,0.0005,0.0006,0.0008,0.0001,0.0000,-0.0024,-0.0011,0.0001,0.0005,0.0020,-0.0000,0.0012,0.0007,-0.0011,-0.0015,-0.0010,0.0000,0.0005,-0.0002,0.0000,-0.0006,0.0010,0.0005,0.0007,0.0011,0.0002,0.0004,0.0006,0.0010,0.0011,0.0005,-0.0007,0.0002,0.0011,-0.0004,0.0014,0.0012,-0.0002,0.0003
0.47,0.9988,0.9969,0.6254,0.0287,0.0002,-0.0002,-0.0004,-0.0003,-0.0011,-0.0004,-0.0002,0.0000,0.0002,0.0010,0.0008,0.0010,-0.0008,-0.0004,-0.0000,-0.0007,0.0006,-0.0013,-0.0007,0.0013,0.0012,-0.0003,-0.0019,0.0022,-0.0009,-0.0009,0.0006,-0.0002,0.0004,-0.0011,-0.0002,-0.0004,0.0001,-0.0001,-0.0003,0.0004,0.0002,-0.0004,-0.0009,-0.0000,0.0014,-0.0013,-0.0013,-0.0007,-0.0008,0.0000
0.48,0.9988,0.9815,0.3509,0.0036,-0.0011,0.0005,0.0004,0.0011,0.0000,0.0004,-0.0001,0.0002,-0.0005,-0.0009,-0.0014,0.0001,-0.0017,0.0003,0.0007,0.0003,-0.0001,-0.0003,-0.0009,-0.0006,-0.0004,0.0001,0.0008,0.0002,-0.0003,0.0000,0.0000,-0.0002,0.0006,0.0006,-0.0006,0.0014,-0.0002,-0.0010,0.0005,0.0007,0.0010,0.0003,0.0005,-0.0001,0.0005,-0.0006,-0.0001,-0.0003,0.0013,0.0006
0.49,0.9988,0.9780,0.3819,0.0029,0.0015,0.0007,0.0002,-0.0004,0.0005,-0.0003,-0.0012,0.0004,-0.0009,-0.0004,-0.0010,0.0001,-0.0001,-0.0009,-0.0005,0.0013,-0.0004,0.0014,0.0002,0.0010,0.0002,0.0006,-0.0004,-0.0007,0.0010,-0.0001,-0.0005,0.0002,0.0009,-0.0003,-0.0002,0.0002,0.0007,-0.0005,0.0004,-0.0008,0.0006,-0.0007,-0.0009,-0.0013,-0.0007,-0.0007,-0.0005,-0.0016,0.0011,-0.0003
0.50,0.9988,0.8829,0.1122,-0.0006,0.0003,0.0001,-0.0004,0.0008,-0.0006,0.0001,0.0000,0.0005,0.0003,-0.0005,0.0001,-0.0013,-0.0001,-0.0003,0.0006,-0.0006,0.0001,-0.0000,0.0007,0.0000,0.0005,-0.0004,-0.0002,-0.0024,0.0002,0.0005,-0.0021,0.0009,-0.0004,0.0007,-0.0007,-0.0004,0.0021,0.0014,0.0006,0.0006,0.0014,-0.0013,0.0007,0.0014,-0.0003,-0.0009,-0.0011,-0.0015,-0.0002,0.0004
0.51,0.9988,0.9005,0.1012,-0.0013,0.0008,0.0006,-0.0004,-0.0002,0.0004,0.0006,-0.0007,-0.0014,-0.0002,-0.0002,0.0004,-0.0015,0.0009,-0.0001,0.0023,-0.0009,-0.0008,-0.0009,-0.0000,0.0017,-0.0004,0.0003,-0.0005,-0.0003,-0.0005,-0.0008,0.0006,-0.0010,-0.0004,-0.0010,0.0006,0.0011,0.0002,-0.0001,0.0001,0.0012,-0.0005,-0.0003,-0.0005,-0.0007,-0.0001,-0.0011,0.0001,0.0012,-0.0022,0.0007
0.52,0.9988,0.9111,0.1194,0.0010,0.0005,0.0010,-0.0004,0.0009,-0.0004,-0.0001,-0.0004,-0.0012,-0.0022,-0.0008,-0.0003,0.0008,-0.0009,0.0018,0.0013,-0.0011,0.0016,-0.0010,-0.0007,0.0010,0.0006,-0.0009,-0.0001,0.0007,0.0002,-0.0009,-0.0015,-0.0001,0.0016,0.0007,-0.0004,-0.0015,0.0009,0.0010,0.0013,-0.0003,-0.0013,0.0017,-0.0003,-0.0007,0.0011,-0.0007,-0.0003,-0.0003,-0.0008,-0.0001
0.53,0.9987,0.5924,0.0104,-0.0008,-0.0014,0.0006,0.0015,-0.0009,0.0007,0.0018,0.0005,0.0017,0.0002,-0.0014,0.0001,0.0007,0.0011,-0.0007,-0.0012,0.0004,0.0007,0.0002,-0.0012,-0.0010,-0.0004,0.0009,-0.0005,0.0000,0.0004,-0.0024,-0.0008,0.0007,-0.0004,0.0011,-0.0000,0.0001,0.0001,0.0023,-0.0003,-0.0009,0.0021,0.0021,0.0012,-0.0016,-0.0009,0.0003,0.0012,-0.0010,-0.0001,-0.0005
0.54,0.9970,0.5745,0.0048,0.0019,-0.0016,0.0005,-0.0007,-0.0020,-0.0004,0.0014,-0.0003,-0.0015,0.0010,0.0009,0.0006,-0.0001,-0.0000,0.0001,0.0009,0.0007,-0.0005,-0.0001,-0.0003,0.0019,0.0002,0.0015,-0.0009,-0.0003,0.0011,-0.0011,0.0002,0.0004,0.0005,-0.0011,-0.0006,0.0014,0.0015,-0.0001,0.0009,0.0012,0.0007,0.0011,0.0012,-0.0008,-0.0018,0.0007,0.0007,0.0007,-0.0008,-0.0011
0.55,0.9985,0.5779,0.0023,-0.0001,-0.0005,0.0014,0.0014,0.0015,-0.0005,-0.0003,0.0011,0.0009,0.0007,-0.0004,-0.0010,-0.0001,-0.0011,-0.0010,0.0008,0.0002,-0.0007,-0.0006,0.0010,0.0011,-0.0002,-0.0005,0.0008,0.0016,-0.0012,-0.0010,0.0007,-0.0001,-0.0004,0.0017,-0.0002,0.0009,0.0002,-0.0010,0.0012,0.0000,0.0004,0.0013,0.0007,-0.0012,0.0002,-0.0004,-0.0006,-0.0000,0.0013,-0.0015
