alpha,T0.0100,T0.0112,T0.0125,T0.0140,T0.0157,T0.0176,T0.0197,T0.0220,T0.0246,T0.0276,T0.0309,T0.0345,T0.0387,T0.0433,T0.0484,T0.0542,T0.0607,T0.0679,T0.0760,T0.0851,T0.0952,T0.1066,T0.1193,T0.1335,T0.1495,T0.1673,T0.1872,T0.2096,T0.2346,T0.2625,T0.2939,T0.3289,T0.3681,T0.4120,T0.4612,T0.5162,T0.5778,T0.6467,T0.7238,T0.8101,T0.9068,T1.0149,T1.1360,T1.2715,T1.4232,T1.5929,T1.7829,T1.9956,T2.2336,T2.5000
0.12,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9986,0.9975,0.9964,0.9868,0.9638,0.9339,0.9137,0.9070,0.9006,0.8925,0.8860,0.8783,0.8707,0.8630,0.8550,0.8477,0.8401,0.8321,0.8257,0.8184,0.8111,0.8046,0.7978,0.7921,0.7863,0.7805,0.7751
0.13,0.9983,0.9983,0.9984,0.9984,0.9982,0.9983,0.9982,0.9983,0.9983,0.9983,0.9984,0.9983,0.9984,0.9983,0.9983,0.9984,0.9985,0.9984,0.9983,0.9983,0.9983,0.9984,0.9983,0.9983,0.9973,0.9924,0.9860,0.9623,0.9290,0.9154,0.9070,0.9001,0.8932,0.8857,0.8782,0.8712,0.8633,0.8556,0.8481,0.8401,0.8332,0.8249,0.8181,0.8103,0.8048,0.7980,0.7913,0.7864,0.7812,0.7753
0.14,0.9988,0.9988,0.9987,0.9988,0.9988,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9985,0.9979,0.9941,0.9815,0.9555,0.9267,0.9146,0.9071,0.9007,0.8941,0.8854,0.8786,0.8712,0.8632,0.8553,0.8481,0.8403,0.8332,0.8257,0.8189,0.8116,0.8053,0.7989,0.7922,0.7867,0.7813,0.7759
0.15,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9986,0.9985,0.9974,0.9919,0.9837,0.9512,0.9277,0.9139,0.9083,0.9005,0.8938,0.8861,0.8786,0.8712,0.8634,0.8559,0.8486,0.8392,0.8336,0.8264,0.8192,0.8124,0.8051,0.7991,0.7929,0.7858,0.7803,0.7766
0.16,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9984,0.9982,0.9973,0.9908,0.9762,0.9494,0.9250,0.9144,0.9077,0.8997,0.8934,0.8867,0.8762,0.8687,0.8641,0.8520,0.8465,0.8394,0.8329,0.8263,0.8177,0.8112,0.8024,0.7966,0.7919,0.7862,0.7808,0.7732
0.17,0.9983,0.9983,0.9983,0.9988,0.9988,0.9987,0.9985,0.9983,0.9984,0.9983,0.9983,0.9983,0.9983,0.9984,0.9988,0.9983,0.9983,0.9982,0.9988,0.9983,0.9982,0.9983,0.9986,0.9980,0.9951,0.9876,0.9742,0.9420,0.9223,0.9133,0.9058,0.8998,0.8934,0.8853,0.8776,0.8646,0.8617,0.8522,0.8444,0.8330,0.8252,0.8224,0.8092,0.8029,0.8014,0.7897,0.7926,0.7744,0.7739,0.7680
0.18,0.9983,0.9982,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9983,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9983,0.9987,0.9988,0.9988,0.9975,0.9960,0.9880,0.9716,0.9415,0.9222,0.9124,0.9070,0.8985,0.8923,0.8816,0.8727,0.8675,0.8553,0.8450,0.8403,0.8344,0.8191,0.8182,0.8123,0.8017,0.7852,0.7864,0.7747,0.7677,0.7594,0.7549
0.19,0.9988,0.9988,0.9988,0.9988,0.9981,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9983,0.9986,0.9980,0.9952,0.9852,0.9670,0.9404,0.9189,0.9115,0.9042,0.8941,0.8864,0.8823,0.8654,0.8537,0.8460,0.8403,0.8206,0.8208,0.8229,0.8002,0.8007,0.7794,0.7776,0.7665,0.7625,0.7532,0.7203,0.7188
0.20,0.9982,0.9983,0.9982,0.9978,0.9983,0.9983,0.9983,0.9980,0.9977,0.9982,0.9983,0.9978,0.9978,0.9977,0.9981,0.9988,0.9987,0.9977,0.9977,0.9983,0.9984,0.9982,0.9976,0.9952,0.9926,0.9816,0.9620,0.9339,0.9172,0.9085,0.9008,0.8953,0.8793,0.8774,0.8523,0.8546,0.8384,0.8217,0.8256,0.8132,0.7921,0.7873,0.7728,0.7693,0.7435,0.7385,0.7279,0.7077,0.6820,0.6647
0.21,0.9983,0.9982,0.9973,0.9984,0.9983,0.9982,0.9982,0.9983,0.9979,0.9988,0.9983,0.9984,0.9973,0.9983,0.9985,0.9983,0.9983,0.9983,0.9985,0.9983,0.9967,0.9979,0.9975,0.9955,0.9914,0.9816,0.9556,0.9307,0.9125,0.9042,0.8916,0.8805,0.8706,0.8606,0.8348,0.8280,0.8105,0.7937,0.7886,0.7709,0.7677,0.7358,0.7468,0.7256,0.6966,0.6799,0.6674,0.6370,0.5969,0.5529
