alpha,T0.05,T0.10,T0.15,T0.20,T0.25,T0.30,T0.35,T0.40,T0.45,T0.50,T0.55,T0.60,T0.65,T0.70,T0.75,T0.80,T0.85,T0.90,T0.95,T1.00,T1.05,T1.10,T1.15,T1.20,T1.25,T1.30,T1.35,T1.40,T1.45,T1.50,T1.55,T1.60,T1.65,T1.70,T1.75,T1.80,T1.85,T1.90,T1.95,T2.00,T2.05,T2.10,T2.15,T2.20,T2.25,T2.30,T2.35,T2.40,T2.45,T2.50
0.45,0.9789,0.0860,0.0027,-0.0000,-0.0005,-0.0004,-0.0003,-0.0005,-0.0003,-0.0003,-0.0002,-0.0001,-0.0000,0.0001,0.0000,0.0000,0.0001,0.0001,0.0000,0.0001,-0.0000,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,-0.0001,0.0000,-0.0001,0.0001,0.0001,0.0001,0.0000,0.0001,-0.0000,0.0002,0.0001,0.0001,0.0000,-0.0002,-0.0002,-0.0001,-0.0002,-0.0002
0.46,0.9854,0.0812,0.0035,0.0001,-0.0003,-0.0002,-0.0003,-0.0002,-0.0000,-0.0000,0.0001,0.0001,0.0002,0.0000,-0.0000,0.0002,0.0001,0.0001,0.0003,0.0003,0.0005,0.0005,0.0004,0.0004,0.0002,0.0002,0.0002,0.0001,-0.0000,0.0000,-0.0000,-0.0001,-0.0000,0.0000,0.0001,0.0001,-0.0001,-0.0001,-0.0001,-0.0000,-0.0001,-0.0002,-0.0002,-0.0001,-0.0001,-0.0002,-0.0001,-0.0003,-0.0002,-0.0002
0.47,0.9848,0.1249,0.0052,0.0015,0.0009,0.0002,0.0004,0.0003,0.0004,0.0004,0.0003,0.0005,0.0004,0.0003,0.0002,0.0002,0.0003,0.0002,0.0003,0.0003,0.0003,0.0002,0.0001,-0.0001,-0.0001,-0.0002,0.0001,0.0001,0.0000,-0.0000,0.0001,0.0002,0.0002,0.0002,0.0003,0.0002,0.0002,0.0002,0.0001,0.0002,0.0001,0.0003,0.0002,0.0003,0.0003,0.0004,0.0002,0.0003,0.0003,0.0003
0.48,0.9504,0.0164,0.0005,0.0008,0.0008,0.0005,0.0005,0.0008,0.0010,0.0009,0.0007,0.0006,0.0007,0.0005,0.0007,0.0007,0.0008,0.0006,0.0005,0.0004,0.0004,0.0001,0.0001,0.0002,0.0001,-0.0000,0.0000,0.0000,-0.0001,0.0001,0.0001,0.0004,0.0003,0.0003,0.0002,0.0001,0.0000,0.0001,0.0000,-0.0001,-0.0001,-0.0001,0.0000,0.0002,0.0002,0.0003,0.0003,0.0005,0.0003,0.0002
0.49,0.9200,0.0123,0.0017,0.0015,0.0014,0.0010,0.0010,0.0009,0.0008,0.0007,0.0005,0.0003,0.0003,0.0003,0.0004,0.0003,0.0003,0.0004,0.0003,0.0002,0.0003,0.0003,0.0003,0.0002,0.0003,0.0003,0.0002,0.0000,0.0001,-0.0001,-0.0001,0.0000,-0.0002,-0.0002,-0.0001,0.0000,-0.0000,-0.0001,0.0001,0.0003,0.0002,0.0001,0.0003,0.0002,0.0001,0.0001,0.0001,0.0000,0.0002,0.0002
0.50,0.9299,0.0086,-0.0003,0.0002,0.0003,0.0007,0.0005,0.0005,0.0004,0.0004,0.0004,0.0004,0.0003,0.0002,0.0003,0.0004,0.0003,0.0002,0.0001,0.0001,-0.0002,-0.0002,-0.0001,0.0001,0.0001,0.0001,0.0000,0.0001,-0.0000,-0.0002,-0.0000,0.0001,0.0001,0.0001,0.0002,0.0002,0.0000,-0.0002,0.0001,0.0003,0.0004,0.0003,0.0002,0.0001,0.0002,0.0003,0.0003,0.0002,0.0001,0.0000
0.51,0.9310,0.0039,0.0022,0.0018,0.0017,0.0013,0.0012,0.0010,0.0008,0.0006,0.0008,0.0006,0.0008,0.0006,0.0004,0.0002,0.0002,0.0004,0.0004,0.0005,0.0003,0.0003,0.0002,0.0001,-0.0000,0.0000,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,-0.0001,-0.0001,-0.0002,-0.0002,0.0000,-0.0003,-0.0002,-0.0002,-0.0002,-0.0001,-0.0001,-0.0001
0.52,0.6813,0.0063,0.0003,0.0003,0.0004,0.0005,0.0004,0.0005,0.0006,0.0005,0.0004,0.0005,0.0006,0.0007,0.0007,0.0005,0.0005,0.0004,0.0007,0.0005,0.0004,0.0003,0.0001,0.0002,0.0003,0.0002,0.0001,0.0002,0.0002,0.0003,0.0001,0.0002,0.0004,0.0002,0.0002,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0003,0.0004,0.0003,0.0004,0.0004,0.0002,0.0003,0.0004,0.0004
0.53,0.6698,0.0057,0.0014,0.0011,0.0006,0.0008,0.0004,0.0006,0.0005,0.0005,0.0004,0.0003,0.0002,0.0002,0.0002,0.0002,0.0000,0.0002,0.0003,0.0003,0.0002,0.0003,0.0003,0.0002,0.0003,0.0004,0.0005,0.0004,0.0006,0.0006,0.0007,0.0004,0.0003,0.0002,0.0000,-0.0000,-0.0001,-0.0000,0.0001,-0.0001,-0.0001,-0.0003,-0.0003,-0.0003,-0.0002,-0.0002,-0.0001,-0.0002,-0.0004,-0.0004
0.54,0.6893,0.0083,0.0012,0.0008,0.0004,0.0004,0.0001,0.0001,0.0001,0.0000,0.0001,0.0001,0.0000,-0.0002,-0.0002,-0.0001,0.0000,-0.0000,-0.0000,0.0003,0.0000,0.0000,-0.0001,-0.0001,-0.0001,-0.0001,-0.0000,-0.0001,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0001,0.0002,0.0002,0.0002,0.0003,0.0003,0.0004,0.0004,0.0002,0.0002,0.0003,0.0001,0.0001,0.0002,0.0001,0.0002,0.0002
0.55,0.0120,0.0006,-0.0002,-0.0004,-0.0005,-0.0003,-0.0005,-0.0004,-0.0005,-0.0003,-0.0002,-0.0004,-0.0004,-0.0003,-0.0002,-0.0001,0.0001,0.0001,0.0002,0.0003,0.0003,0.0004,0.0006,0.0007,0.0005,0.0005,0.0004,0.0003,-0.0001,-0.0000,0.0001,0.0000,-0.0001,-0.0001,0.0000,0.0000,-0.0001,-0.0001,-0.0001,-0.0001,-0.0002,-0.0000,0.0000,0.0000,-0.0000,-0.0003,-0.0003,-0.0001,-0.0000,-0.0000
