alpha,T0.05,T0.10,T0.15,T0.20,T0.25,T0.30,T0.35,T0.40,T0.45,T0.50,T0.55,T0.60,T0.65,T0.70,T0.75,T0.80,T0.85,T0.90,T0.95,T1.00,T1.05,T1.10,T1.15,T1.20,T1.25,T1.30,T1.35,T1.40,T1.45,T1.50,T1.55,T1.60,T1.65,T1.70,T1.75,T1.80,T1.85,T1.90,T1.95,T2.00,T2.05,T2.10,T2.15,T2.20,T2.25,T2.30,T2.35,T2.40,T2.45,T2.50
0.45,0.9988,1.0500,1.0500,0.6169,0.0049,-0.0070,-0.0047,-0.0046,0.0025,0.0060,0.0005,0.0017,0.0022,0.0028,-0.0028,0.0000,0.0005,-0.0041,0.0048,0.0007,0.0017,-0.0027,0.0014,-0.0029,0.0048,0.0004,0.0006,-0.0016,0.0025,0.0038,-0.0018,0.0013,0.0046,0.0019,0.0016,0.0002,0.0013,0.0039,0.0006,-0.0019,0.0060,-0.0006,-0.0035,0.0029,-0.0084,0.0021,-0.0027,-0.0001,0.0010,0.0020
0.46,0.9988,1.0500,1.0500,0.4461,0.0068,0.0006,-0.0022,0.0016,-0.0053,-0.0042,-0.0034,-0.0003,-0.0044,0.0018,-0.0005,-0.0014,-0.0072,-0.0096,-0.0023,-0.0080,-0.0028,0.0016,0.0011,0.0032,-0.0020,0.0042,-0.0029,-0.0000,-0.0102,-0.0036,0.0033,-0.0025,0.0018,-0.0057,-0.0027,0.0027,0.0023,-0.0005,0.0001,0.0044,-0.0098,-0.0067,0.0010,-0.0018,0.0043,-0.0004,-0.0015,0.0079,0.0013,-0.0061
0.47,0.9988,1.0500,1.0500,0.5258,-0.0081,-0.0064,-0.0022,-0.0019,-0.0102,-0.0036,-0.0046,-0.0033,-0.0025,-0.0055,0.0035,0.0013,-0.0005,-0.0026,0.0043,-0.0111,-0.0050,-0.0085,0.0060,0.0059,0.0098,-0.0010,0.0051,0.0027,-0.0054,0.0055,-0.0128,-0.0029,0.0046,-0.0045,0.0067,-0.0058,0.0089,0.0069,-0.0035,-0.0013,-0.0012,-0.0013,-0.0043,0.0016,0.0023,-0.0017,-0.0023,0.0042,-0.0014,0.0007
0.48,0.9992,1.0500,1.0500,0.2253,-0.0073,-0.0016,-0.0045,-0.0031,0.0068,0.0003,-0.0003,-0.0031,-0.0049,0.0011,-0.0028,0.0073,-0.0029,-0.0024,-0.0013,0.0033,0.0018,0.0003,-0.0007,0.0007,0.0041,0.0037,0.0032,-0.0008,0.0025,-0.0076,-0.0012,0.0048,0.0024,0.0014,-0.0000,0.0025,0.0065,-0.0028,-0.0026,-0.0008,-0.0037,0.0026,0.0003,0.0003,0.0039,0.0048,0.0014,-0.0056,-0.0019,0.0013
0.49,0.9986,1.0500,1.0500,0.3248,0.0165,0.0007,-0.0017,-0.0073,0.0053,-0.0070,0.0039,0.0068,-0.0008,0.0005,-0.0041,0.0113,0.0004,0.0051,0.0031,-0.0037,0.0003,-0.0016,0.0002,0.0060,0.0044,-0.0006,0.0054,-0.0035,0.0070,0.0002,-0.0014,-0.0050,0.0002,-0.0034,0.0019,0.0002,0.0020,-0.0066,-0.0026,0.0050,-0.0005,-0.0041,0.0060,0.0020,0.0014,0.0020,0.0050,-0.0012,0.0021,-0.0054
0.50,0.9988,1.0500,1.0500,0.0970,0.0013,-0.0004,-0.0032,-0.0100,-0.0048,0.0009,0.0033,0.0078,0.0018,0.0001,-0.0038,-0.0139,-0.0064,0.0017,-0.0023,0.0024,0.0070,-0.0029,0.0047,-0.0065,-0.0008,-0.0072,-0.0008,-0.0002,0.0008,-0.0060,0.0010,0.0012,0.0071,0.0076,0.0087,-0.0053,-0.0039,0.0027,0.0086,0.0025,-0.0010,-0.0015,0.0053,0.0031,0.0065,-0.0027,-0.0047,-0.0027,0.0047,-0.0031
0.51,1.0000,1.0500,1.0500,0.0441,-0.0054,0.0090,-0.0047,-0.0111,0.0002,0.0024,-0.0053,-0.0059,-0.0100,-0.0031,0.0031,-0.0023,-0.0006,-0.0048,0.0112,0.0022,0.0049,-0.0002,-0.0034,0.0060,-0.0025,0.0026,-0.0048,-0.0077,-0.0034,-0.0006,-0.0010,-0.0002,0.0018,0.0038,0.0004,-0.0007,0.0031,-0.0044,0.0045,0.0042,-0.0081,-0.0085,-0.0024,-0.0044,-0.0021,-0.0028,0.0050,0.0004,-0.0053,-0.0002
0.52,1.0150,1.0500,0.8286,0.0060,0.0012,0.0001,-0.0020,0.0007,0.0024,0.0042,0.0033,0.0009,0.0013,0.0022,-0.0065,-0.0031,-0.0006,0.0066,-0.0047,0.0042,0.0002,-0.0040,0.0078,0.0062,-0.0010,0.0067,0.0017,-0.0034,-0.0028,-0.0068,-0.0072,-0.0044,0.0043,0.0027,-0.0024,-0.0042,-0.0044,-0.0050,-0.0040,-0.0090,-0.0036,-0.0018,0.0024,-0.0027,-0.0019,0.0027,0.0013,0.0004,-0.0026,0.0027
0.53,1.0193,1.0500,0.8036,0.0014,0.0003,-0.0014,-0.0049,-0.0113,-0.0067,-0.0087,-0.0033,-0.0006,-0.0030,-0.0024,-0.0064,0.0041,-0.0004,0.0005,-0.0073,-0.0069,-0.0060,0.0027,-0.0007,0.0092,0.0080,-0.0069,-0.0085,0.0072,0.0112,-0.0068,-0.0029,0.0003,-0.0022,-0.0034,-0.0035,0.0015,-0.0150,0.0039,0.0040,-0.0060,0.0003,0.0003,-0.0031,-0.0049,-0.0047,-0.0045,0.0069,0.0007,0.0041,0.0013
0.54,1.0127,1.0500,0.1929,-0.0017,-0.0067,0.0039,-0.0008,-0.0002,0.0009,0.0014,0.0007,0.0007,0.0027,-0.0017,0.0080,-0.0001,0.0101,-0.0101,0.0042,0.0017,0.0004,-0.0051,-0.0055,0.0030,-0.0038,-0.0072,-0.0045,0.0059,-0.0044,0.0048,0.0025,-0.0045,0.0012,0.0019,0.0019,0.0096,0.0064,-0.0065,-0.0046,-0.0036,-0.0026,-0.0102,0.0065,-0.0010,-0.0029,-0.0003,-0.0026,0.0020,-0.0001,0.0088
0.55,1.0500,1.0500,0.0915,0.0023,0.0056,-0.0006,0.0038,0.0062,-0.0023,-0.0053,-0.0018,-0.0031,0.0043,0.0064,0.0027,0.0058,-0.0069,0.0021,-0.0090,0.0004,0.0033,-0.0025,0.0001,-0.0053,0.0028,0.0036,-0.0012,-0.0020,0.0025,0.0049,-0.0011,0.0004,-0.0052,-0.0003,0.0050,-0.0006,-0.0018,-0.0081,0.0040,-0.0013,-0.0001,0.0017,0.0083,-0.0078,-0.0009,0.0015,-0.0028,0.0022,0.0004,-0.0021
