# generator=basin_stab_LSE_semismart_AAAI_Nramp.jl  M_TARGET=4.4e+07  K_TARGET=30000  N_FLOOR=12  betanet=1.0
# N_EQ=32768  N_SAMP=8192  N_DIS_TARGET=64  MEM_BUDGET_GB=40.0  generated=2026-06-07T13:48:36.518
alpha,T,N_used,K_retained,disorder,phi_a,phi_b,q12,phi_max_retained
0.230,0.11500,77,29709,30,0.941837,0.943022,0.891608,0.574226
0.230,0.11500,77,30117,31,0.947225,0.945841,0.895255,0.579812
0.230,0.11500,77,29802,32,0.945930,0.946759,0.893001,0.573365
0.230,0.11500,77,29900,33,0.944040,0.946956,0.895443,0.592864
0.230,0.11500,77,29949,34,0.946935,0.946691,0.896175,0.578760
0.230,0.11500,77,29918,35,0.943436,0.948571,0.892182,0.581623
0.230,0.11500,77,29944,36,0.945994,0.944418,0.894606,0.595648
0.230,0.11500,77,29977,37,0.939016,0.947293,0.892631,0.585703
0.230,0.11500,77,30363,38,0.949160,0.941051,0.896673,0.573286
0.230,0.11500,77,29907,39,0.947349,0.946146,0.894886,0.577017
0.230,0.11500,77,29943,40,0.943557,0.947189,0.892165,0.578501
0.230,0.11500,77,29746,41,0.944367,0.946473,0.899446,0.574915
0.230,0.11500,77,30195,42,0.946470,0.943043,0.893406,0.576984
0.230,0.11500,77,29857,43,0.945123,0.945818,0.893567,0.578217
0.230,0.11500,77,30199,44,0.945874,0.945817,0.896668,0.572938
0.230,0.11500,77,30008,45,0.943938,0.947927,0.893657,0.586030
0.230,0.11500,77,30232,46,0.947146,0.942138,0.896717,0.592029
0.230,0.11500,77,29963,47,0.946048,0.948080,0.899221,0.586631
0.230,0.11500,77,30239,48,0.945507,0.943678,0.889832,0.574538
0.230,0.11500,77,30199,49,0.946742,0.947332,0.900676,0.577320
0.230,0.11500,77,30398,50,0.945383,0.943831,0.895514,0.575093
0.230,0.11500,77,30280,51,0.943425,0.946861,0.895492,0.582991
0.230,0.11500,77,29953,52,0.939598,0.944153,0.890441,0.570291
0.230,0.11500,77,30010,53,0.944674,0.944505,0.890939,0.577863
0.230,0.11500,77,30177,54,0.944611,0.944790,0.897155,0.585830
0.230,0.11500,77,29768,55,0.945009,0.948165,0.895330,0.571845
0.230,0.11500,77,30200,56,0.945233,0.940879,0.889304,0.584020
0.230,0.11500,77,30092,57,0.946474,0.942210,0.895444,0.575125
0.230,0.11500,77,30164,58,0.944908,0.944405,0.897660,0.581304
0.230,0.11500,77,30041,59,0.948458,0.942910,0.890537,0.571913
0.230,0.11500,77,29817,60,0.942372,0.945919,0.891022,0.581148
0.230,0.11500,77,30108,61,0.946979,0.947395,0.895872,0.581698
0.230,0.11500,77,30149,62,0.944057,0.941935,0.890735,0.579129
0.230,0.11500,77,30025,63,0.947128,0.947426,0.898422,0.580401
0.230,0.11500,77,29684,64,0.943267,0.941082,0.892793,0.597515
0.230,0.12500,77,30013,1,0.941718,0.940762,0.886055,0.584806
0.230,0.12500,77,29908,2,0.941365,0.940618,0.887794,0.588081
0.230,0.12500,77,29993,3,0.939871,0.937537,0.882274,0.577523
0.230,0.12500,77,29838,4,0.940941,0.943076,0.890371,0.590964
0.230,0.12500,77,30006,5,0.939839,0.941819,0.882542,0.577933
0.230,0.12500,77,30052,6,0.936699,0.942164,0.885692,0.575621
0.230,0.12500,77,30436,7,0.934979,0.938458,0.881315,0.582308
0.230,0.12500,77,30309,8,0.937760,0.942083,0.882263,0.595460
0.230,0.12500,77,29991,9,0.938976,0.940177,0.879703,0.582587
0.230,0.12500,77,30190,10,0.937758,0.939648,0.875428,0.584364
0.230,0.12500,77,29981,11,0.942900,0.942708,0.888580,0.570350
0.230,0.12500,77,30130,12,0.942385,0.939220,0.883300,0.571668
0.230,0.12500,77,30047,13,0.939371,0.941330,0.883320,0.584214
0.230,0.12500,77,29831,14,0.940730,0.945032,0.889716,0.586063
0.230,0.12500,77,30268,15,0.936235,0.939074,0.882176,0.578999
0.230,0.12500,77,30096,16,0.937827,0.938352,0.875067,0.578617
0.230,0.12500,77,29971,17,0.936400,0.938375,0.878996,0.580489
0.230,0.12500,77,29823,18,0.942207,0.933072,0.882013,0.585264
0.230,0.12500,77,30059,19,0.939691,0.941092,0.887899,0.595676
0.230,0.12500,77,29699,20,0.944534,0.939925,0.892170,0.598589
0.230,0.12500,77,30154,21,0.938614,0.936284,0.878059,0.593814
0.230,0.12500,77,30085,22,0.939526,0.941552,0.887174,0.588039
0.230,0.12500,77,29965,23,0.937679,0.935592,0.874749,0.576212
0.230,0.12500,77,29849,24,0.938201,0.941769,0.881606,0.573235
0.230,0.12500,77,29836,25,0.939729,0.940412,0.883986,0.600026
0.230,0.12500,77,29884,26,0.937489,0.943026,0.885422,0.583130
0.230,0.12500,77,30088,27,0.938651,0.941856,0.883369,0.578766
0.230,0.12500,77,30094,28,0.941794,0.941960,0.885520,0.584492
0.230,0.12500,77,29921,29,0.936647,0.936491,0.882262,0.579518
0.230,0.12500,77,29709,30,0.943498,0.940416,0.889849,0.574745
0.230,0.12500,77,30117,31,0.941106,0.932336,0.872164,0.576393
0.230,0.12500,77,29802,32,0.939155,0.942210,0.886328,0.577038
0.230,0.12500,77,29900,33,0.942708,0.941446,0.890269,0.594158
0.230,0.12500,77,29949,34,0.939200,0.939169,0.886585,0.578137
0.230,0.12500,77,29918,35,0.941163,0.939719,0.884696,0.583654
0.230,0.12500,77,29944,36,0.938351,0.939882,0.874969,0.600257
0.230,0.12500,77,29977,37,0.941009,0.939028,0.884510,0.582506
0.230,0.12500,77,30363,38,0.940057,0.939813,0.881182,0.573438
0.230,0.12500,77,29907,39,0.940276,0.939102,0.886226,0.572351
0.230,0.12500,77,29943,40,0.936665,0.938406,0.877558,0.574409
0.230,0.12500,77,29746,41,0.939158,0.939999,0.878622,0.578418
0.230,0.12500,77,30195,42,0.940264,0.940071,0.884012,0.575076
0.230,0.12500,77,29857,43,0.942196,0.938983,0.887568,0.572523
0.230,0.12500,77,30199,44,0.938195,0.941669,0.882321,0.577815
0.230,0.12500,77,30008,45,0.941750,0.941812,0.888017,0.590345
0.230,0.12500,77,30232,46,0.939812,0.942814,0.887156,0.596291
0.230,0.12500,77,29963,47,0.941904,0.940001,0.883280,0.580181
0.230,0.12500,77,30239,48,0.935958,0.941080,0.879567,0.577107
0.230,0.12500,77,30199,49,0.937074,0.941373,0.882075,0.578544
0.230,0.12500,77,30398,50,0.940442,0.940942,0.890001,0.575883
0.230,0.12500,77,30280,51,0.941957,0.942232,0.885516,0.581523
0.230,0.12500,77,29953,52,0.940309,0.940403,0.885143,0.574528
0.230,0.12500,77,30010,53,0.940578,0.940466,0.884333,0.580538
0.230,0.12500,77,30177,54,0.941895,0.944094,0.890512,0.589635
0.230,0.12500,77,29768,55,0.943403,0.936733,0.883098,0.571958
0.230,0.12500,77,30200,56,0.941432,0.941862,0.886358,0.577699
0.230,0.12500,77,30092,57,0.938686,0.941107,0.882092,0.572146
0.230,0.12500,77,30164,58,0.935391,0.941284,0.880322,0.575302
0.230,0.12500,77,30041,59,0.942805,0.937174,0.884098,0.576289
0.230,0.12500,77,29817,60,0.939824,0.944908,0.885778,0.581593
0.230,0.12500,77,30108,61,0.940266,0.937464,0.884917,0.576659
0.230,0.12500,77,30149,62,0.940878,0.941522,0.888439,0.581301
0.230,0.12500,77,30025,63,0.941024,0.938955,0.881671,0.575988
0.230,0.12500,77,29684,64,0.943669,0.940669,0.886328,0.595905
0.230,0.13500,77,30013,1,0.932552,0.934327,0.871088,0.581302
0.230,0.13500,77,29908,2,0.933800,0.936601,0.873531,0.577321
0.230,0.13500,77,29993,3,0.939129,0.934519,0.877837,0.580439
0.230,0.13500,77,29838,4,0.935446,0.935005,0.878226,0.589057
0.230,0.13500,77,30006,5,0.935159,0.936614,0.878835,0.573644
0.230,0.13500,77,30052,6,0.939479,0.935624,0.878586,0.584067
0.230,0.13500,77,30436,7,0.936755,0.936774,0.874978,0.583767
0.230,0.13500,77,30309,8,0.931587,0.932446,0.868000,0.603365
0.230,0.13500,77,29991,9,0.936385,0.931199,0.873381,0.586945
0.230,0.13500,77,30190,10,0.936455,0.936726,0.872034,0.591470
0.230,0.13500,77,29981,11,0.933607,0.934831,0.870401,0.574132
0.230,0.13500,77,30130,12,0.935384,0.938459,0.881771,0.571308
0.230,0.13500,77,30047,13,0.935201,0.935303,0.879135,0.573039
0.230,0.13500,77,29831,14,0.937208,0.937312,0.879393,0.576977
0.230,0.13500,77,30268,15,0.937934,0.936126,0.876845,0.580252
0.230,0.13500,77,30096,16,0.936866,0.932600,0.870160,0.581468
0.230,0.13500,77,29971,17,0.940038,0.939559,0.882050,0.577387
0.230,0.13500,77,29823,18,0.934249,0.938792,0.878810,0.585380
0.230,0.13500,77,30059,19,0.935571,0.934828,0.880258,0.589841
0.230,0.13500,77,29699,20,0.936821,0.936067,0.878469,0.589517
0.230,0.13500,77,30154,21,0.935878,0.939261,0.883341,0.597899
0.230,0.13500,77,30085,22,0.937222,0.936537,0.874465,0.586099
0.230,0.13500,77,29965,23,0.936330,0.933364,0.871170,0.576902
0.230,0.13500,77,29849,24,0.932058,0.937270,0.878560,0.569730
0.230,0.13500,77,29836,25,0.937269,0.939162,0.880964,0.598213
0.230,0.13500,77,29884,26,0.932878,0.938591,0.876589,0.580433
0.230,0.13500,77,30088,27,0.938390,0.929700,0.872148,0.577059
0.230,0.13500,77,30094,28,0.936509,0.933141,0.876690,0.574752
0.230,0.13500,77,29921,29,0.936573,0.931441,0.873038,0.576232
0.230,0.13500,77,29709,30,0.933792,0.937487,0.873847,0.575173
0.230,0.13500,77,30117,31,0.934449,0.936472,0.883347,0.581674
0.230,0.13500,77,29802,32,0.935497,0.932455,0.867460,0.574526
0.230,0.13500,77,29900,33,0.933670,0.933040,0.869479,0.593009
0.230,0.13500,77,29949,34,0.938940,0.937895,0.877493,0.578890
0.230,0.13500,77,29918,35,0.939473,0.931442,0.872953,0.581220
0.230,0.13500,77,29944,36,0.932573,0.938048,0.876244,0.583609
0.230,0.13500,77,29977,37,0.932367,0.931692,0.871781,0.580472
0.230,0.13500,77,30363,38,0.934981,0.936592,0.874350,0.573501
0.230,0.13500,77,29907,39,0.938930,0.938827,0.882937,0.571887
0.230,0.13500,77,29943,40,0.934352,0.935901,0.877849,0.582116
0.230,0.13500,77,29746,41,0.939686,0.937624,0.885118,0.578633
0.230,0.13500,77,30195,42,0.937903,0.934845,0.873468,0.578830
0.230,0.13500,77,29857,43,0.931602,0.935430,0.872826,0.580060
0.230,0.13500,77,30199,44,0.941336,0.935303,0.878915,0.574431
0.230,0.13500,77,30008,45,0.938752,0.933640,0.878444,0.591412
0.230,0.13500,77,30232,46,0.937892,0.936337,0.877223,0.595394
0.230,0.13500,77,29963,47,0.935006,0.937112,0.878510,0.578897
0.230,0.13500,77,30239,48,0.937039,0.933899,0.875215,0.577199
0.230,0.13500,77,30199,49,0.936637,0.936897,0.875666,0.576823
0.230,0.13500,77,30398,50,0.934055,0.937120,0.877400,0.579200
0.230,0.13500,77,30280,51,0.934352,0.933936,0.873755,0.586704
0.230,0.13500,77,29953,52,0.934638,0.938448,0.876168,0.573752
0.230,0.13500,77,30010,53,0.937759,0.937670,0.878508,0.583735
0.230,0.13500,77,30177,54,0.935398,0.936629,0.876834,0.575881
0.230,0.13500,77,29768,55,0.937608,0.936025,0.874068,0.570421
0.230,0.13500,77,30200,56,0.934199,0.935531,0.873272,0.577480
0.230,0.13500,77,30092,57,0.936732,0.939017,0.881199,0.573678
0.230,0.13500,77,30164,58,0.936561,0.939591,0.884029,0.575042
0.230,0.13500,77,30041,59,0.936469,0.936060,0.879321,0.573418
0.230,0.13500,77,29817,60,0.932556,0.937228,0.875948,0.585095
0.230,0.13500,77,30108,61,0.935194,0.933602,0.874672,0.582515
0.230,0.13500,77,30149,62,0.930145,0.938144,0.873023,0.578544
0.230,0.13500,77,30025,63,0.935962,0.939497,0.877232,0.573658
0.230,0.13500,77,29684,64,0.932356,0.932866,0.871491,0.587585
0.230,0.14500,77,30013,1,0.924331,0.930121,0.858384,0.581160
0.230,0.14500,77,29908,2,0.930296,0.930746,0.865578,0.587076
0.230,0.14500,77,29993,3,0.931236,0.931557,0.870835,0.578922
0.230,0.14500,77,29838,4,0.927378,0.932838,0.866768,0.581799
0.230,0.14500,77,30006,5,0.927802,0.933386,0.864816,0.579139
0.230,0.14500,77,30052,6,0.928852,0.928343,0.866979,0.580304
0.230,0.14500,77,30436,7,0.930681,0.933585,0.870188,0.579792
0.230,0.14500,77,30309,8,0.935519,0.934585,0.872582,0.584603
0.230,0.14500,77,29991,9,0.931905,0.929866,0.865600,0.581988
0.230,0.14500,77,30190,10,0.935538,0.928887,0.868854,0.583277
0.230,0.14500,77,29981,11,0.930984,0.933951,0.868171,0.575168
0.230,0.14500,77,30130,12,0.930794,0.931223,0.866535,0.572211
0.230,0.14500,77,30047,13,0.928448,0.929446,0.868634,0.576344
0.230,0.14500,77,29831,14,0.931221,0.926682,0.859392,0.575910
0.230,0.14500,77,30268,15,0.931357,0.930287,0.866680,0.577719
0.230,0.14500,77,30096,16,0.933410,0.931051,0.875162,0.580822
0.230,0.14500,77,29971,17,0.927357,0.931452,0.862506,0.578809
0.230,0.14500,77,29823,18,0.934468,0.924275,0.868188,0.576236
0.230,0.14500,77,30059,19,0.931337,0.928958,0.865816,0.593554
0.230,0.14500,77,29699,20,0.930567,0.933277,0.866302,0.595949
0.230,0.14500,77,30154,21,0.930386,0.926637,0.861575,0.598381
0.230,0.14500,77,30085,22,0.928188,0.930474,0.864429,0.591081
0.230,0.14500,77,29965,23,0.932073,0.929757,0.862653,0.578777
0.230,0.14500,77,29849,24,0.931757,0.935845,0.874282,0.573858
0.230,0.14500,77,29836,25,0.933953,0.928389,0.863000,0.598405
0.230,0.14500,77,29884,26,0.929193,0.934675,0.869748,0.580615
0.230,0.14500,77,30088,27,0.931714,0.933076,0.869009,0.579923
0.230,0.14500,77,30094,28,0.932132,0.927835,0.865358,0.584053
0.230,0.14500,77,29921,29,0.932031,0.930085,0.862892,0.572615
0.230,0.14500,77,29709,30,0.927296,0.933808,0.860952,0.576633
0.230,0.14500,77,30117,31,0.930100,0.929938,0.861123,0.581615
0.230,0.14500,77,29802,32,0.931625,0.933667,0.865359,0.575611
0.230,0.14500,77,29900,33,0.930291,0.925523,0.858212,0.594876
0.230,0.14500,77,29949,34,0.932453,0.929868,0.871144,0.581436
0.230,0.14500,77,29918,35,0.930986,0.930166,0.868796,0.588279
0.230,0.14500,77,29944,36,0.931801,0.930130,0.867329,0.600195
0.230,0.14500,77,29977,37,0.936123,0.933002,0.873084,0.581961
0.230,0.14500,77,30363,38,0.930856,0.928450,0.863069,0.583034
0.230,0.14500,77,29907,39,0.932116,0.931114,0.868000,0.574327
0.230,0.14500,77,29943,40,0.929260,0.929500,0.862009,0.577545
0.230,0.14500,77,29746,41,0.934178,0.926762,0.867083,0.572709
0.230,0.14500,77,30195,42,0.930319,0.931700,0.864857,0.578804
0.230,0.14500,77,29857,43,0.927106,0.931557,0.867940,0.575421
0.230,0.14500,77,30199,44,0.930813,0.932744,0.869697,0.579579
0.230,0.14500,77,30008,45,0.932154,0.930432,0.864566,0.588542
0.230,0.14500,77,30232,46,0.930171,0.929710,0.862262,0.596196
0.230,0.14500,77,29963,47,0.931166,0.930092,0.867473,0.588982
0.230,0.14500,77,30239,48,0.923898,0.931027,0.862650,0.580084
0.230,0.14500,77,30199,49,0.931662,0.929712,0.860145,0.580382
0.230,0.14500,77,30398,50,0.932440,0.931368,0.870394,0.579023
0.230,0.14500,77,30280,51,0.927312,0.933714,0.866373,0.580238
0.230,0.14500,77,29953,52,0.929828,0.926000,0.865045,0.574815
0.230,0.14500,77,30010,53,0.931890,0.931522,0.870042,0.582330
0.230,0.14500,77,30177,54,0.930531,0.926187,0.859946,0.583802
0.230,0.14500,77,29768,55,0.928498,0.927765,0.861102,0.571298
0.230,0.14500,77,30200,56,0.933388,0.932477,0.866843,0.574374
0.230,0.14500,77,30092,57,0.930325,0.927374,0.860876,0.578646
0.230,0.14500,77,30164,58,0.930592,0.928491,0.863876,0.579376
0.230,0.14500,77,30041,59,0.928796,0.932015,0.865638,0.579053
0.230,0.14500,77,29817,60,0.929473,0.929280,0.865289,0.585666
0.230,0.14500,77,30108,61,0.928048,0.929112,0.865317,0.575933
0.230,0.14500,77,30149,62,0.932042,0.931222,0.866484,0.576657
0.230,0.14500,77,30025,63,0.931286,0.931893,0.862379,0.576190
0.230,0.14500,77,29684,64,0.933297,0.932403,0.871478,0.598529
0.230,0.15500,77,30013,1,0.927749,0.927849,0.861270,0.582585
0.230,0.15500,77,29908,2,0.927291,0.930146,0.861900,0.585654
0.230,0.15500,77,29993,3,0.928509,0.924104,0.860362,0.578107
0.230,0.15500,77,29838,4,0.925670,0.922123,0.846886,0.582911
0.230,0.15500,77,30006,5,0.927400,0.923960,0.857336,0.574805
0.230,0.15500,77,30052,6,0.922828,0.923964,0.851149,0.577746
0.230,0.15500,77,30436,7,0.925109,0.927968,0.858762,0.578502
0.230,0.15500,77,30309,8,0.927634,0.922947,0.855627,0.592906
0.230,0.15500,77,29991,9,0.927390,0.922738,0.856784,0.584450
0.230,0.15500,77,30190,10,0.924271,0.924770,0.851178,0.588529
0.230,0.15500,77,29981,11,0.924769,0.924993,0.862823,0.571064
0.230,0.15500,77,30130,12,0.926923,0.927004,0.860443,0.575793
0.230,0.15500,77,30047,13,0.927024,0.926992,0.860147,0.579186
0.230,0.15500,77,29831,14,0.925494,0.929623,0.859741,0.574455
0.230,0.15500,77,30268,15,0.927809,0.926946,0.856592,0.574384
0.230,0.15500,77,30096,16,0.929828,0.921601,0.856147,0.580879
0.230,0.15500,77,29971,17,0.927860,0.927038,0.860369,0.583769
0.230,0.15500,77,29823,18,0.927328,0.922199,0.851534,0.576751
0.230,0.15500,77,30059,19,0.922416,0.926506,0.848877,0.590617
0.230,0.15500,77,29699,20,0.921140,0.927102,0.854425,0.589231
0.230,0.15500,77,30154,21,0.923092,0.930449,0.856478,0.591641
0.230,0.15500,77,30085,22,0.931698,0.922903,0.859515,0.587645
0.230,0.15500,77,29965,23,0.924687,0.928180,0.859085,0.579317
0.230,0.15500,77,29849,24,0.926524,0.932062,0.864368,0.573262
0.230,0.15500,77,29836,25,0.926753,0.928647,0.859512,0.592026
0.230,0.15500,77,29884,26,0.927256,0.926083,0.854497,0.582303
0.230,0.15500,77,30088,27,0.925360,0.925336,0.855971,0.581041
0.230,0.15500,77,30094,28,0.922176,0.923124,0.855006,0.581753
0.230,0.15500,77,29921,29,0.922555,0.930754,0.857159,0.575190
0.230,0.15500,77,29709,30,0.923997,0.923069,0.851208,0.578508
0.230,0.15500,77,30117,31,0.928082,0.926730,0.856866,0.581579
0.230,0.15500,77,29802,32,0.930324,0.925679,0.859312,0.575410
0.230,0.15500,77,29900,33,0.932003,0.926562,0.859959,0.587202
0.230,0.15500,77,29949,34,0.927745,0.922337,0.853267,0.584496
0.230,0.15500,77,29918,35,0.924880,0.928270,0.858340,0.585947
0.230,0.15500,77,29944,36,0.928572,0.923506,0.855117,0.593735
0.230,0.15500,77,29977,37,0.929908,0.928524,0.860651,0.581855
0.230,0.15500,77,30363,38,0.927468,0.926654,0.858995,0.579641
0.230,0.15500,77,29907,39,0.927867,0.926708,0.860453,0.579562
0.230,0.15500,77,29943,40,0.919794,0.926861,0.854099,0.577776
0.230,0.15500,77,29746,41,0.925608,0.927183,0.861286,0.583944
0.230,0.15500,77,30195,42,0.925804,0.923787,0.857511,0.576864
0.230,0.15500,77,29857,43,0.925510,0.925667,0.854108,0.576680
0.230,0.15500,77,30199,44,0.923763,0.926418,0.854915,0.576625
0.230,0.15500,77,30008,45,0.925613,0.930123,0.858298,0.587169
0.230,0.15500,77,30232,46,0.919820,0.924210,0.850294,0.592684
0.230,0.15500,77,29963,47,0.925691,0.925540,0.857345,0.580014
0.230,0.15500,77,30239,48,0.924258,0.927006,0.854871,0.574991
0.230,0.15500,77,30199,49,0.926867,0.928548,0.862655,0.574764
0.230,0.15500,77,30398,50,0.926962,0.922899,0.852847,0.577779
0.230,0.15500,77,30280,51,0.932936,0.923055,0.860757,0.581072
0.230,0.15500,77,29953,52,0.924963,0.923487,0.855279,0.576183
0.230,0.15500,77,30010,53,0.922197,0.922374,0.855131,0.581124
0.230,0.15500,77,30177,54,0.926392,0.927231,0.860713,0.589789
0.230,0.15500,77,29768,55,0.928177,0.926215,0.857110,0.572093
0.230,0.15500,77,30200,56,0.920955,0.929265,0.851069,0.577622
0.230,0.15500,77,30092,57,0.924961,0.925036,0.861197,0.576005
0.230,0.15500,77,30164,58,0.922402,0.927955,0.854784,0.580673
0.230,0.15500,77,30041,59,0.923563,0.926948,0.856954,0.575991
0.230,0.15500,77,29817,60,0.927760,0.926103,0.857900,0.577550
0.230,0.15500,77,30108,61,0.924914,0.926635,0.862493,0.579261
0.230,0.15500,77,30149,62,0.925427,0.924096,0.858117,0.579387
0.230,0.15500,77,30025,63,0.923995,0.927646,0.855508,0.581342
0.230,0.15500,77,29684,64,0.922452,0.927326,0.861456,0.593328
0.230,0.16500,77,30013,1,0.920428,0.921311,0.850976,0.581527
0.230,0.16500,77,29908,2,0.924460,0.922333,0.847141,0.582695
0.230,0.16500,77,29993,3,0.921753,0.921746,0.851573,0.578329
0.230,0.16500,77,29838,4,0.923035,0.922396,0.850712,0.582735
0.230,0.16500,77,30006,5,0.922875,0.921370,0.848985,0.576660
0.230,0.16500,77,30052,6,0.922313,0.921098,0.845405,0.571779
0.230,0.16500,77,30436,7,0.920272,0.918651,0.848711,0.582352
0.230,0.16500,77,30309,8,0.921605,0.924149,0.852022,0.588235
0.230,0.16500,77,29991,9,0.920822,0.923834,0.850770,0.581092
0.230,0.16500,77,30190,10,0.924582,0.926058,0.858066,0.586090
0.230,0.16500,77,29981,11,0.923535,0.919278,0.849356,0.576178
0.230,0.16500,77,30130,12,0.922074,0.917962,0.850054,0.575210
0.230,0.16500,77,30047,13,0.920593,0.922210,0.853062,0.581286
0.230,0.16500,77,29831,14,0.924264,0.922979,0.854789,0.576547
0.230,0.16500,77,30268,15,0.922931,0.918974,0.845286,0.574303
0.230,0.16500,77,30096,16,0.919986,0.920755,0.851987,0.583126
0.230,0.16500,77,29971,17,0.921566,0.919692,0.847577,0.578069
0.230,0.16500,77,29823,18,0.916273,0.926645,0.853931,0.579804
0.230,0.16500,77,30059,19,0.918419,0.923927,0.850202,0.589633
0.230,0.16500,77,29699,20,0.923613,0.918774,0.848614,0.587562
0.230,0.16500,77,30154,21,0.926147,0.922478,0.853741,0.593981
0.230,0.16500,77,30085,22,0.922286,0.919566,0.843041,0.590426
0.230,0.16500,77,29965,23,0.925585,0.925167,0.858599,0.577997
0.230,0.16500,77,29849,24,0.920663,0.921751,0.847935,0.572193
0.230,0.16500,77,29836,25,0.922554,0.921989,0.842148,0.595131
0.230,0.16500,77,29884,26,0.925851,0.917515,0.847065,0.580175
0.230,0.16500,77,30088,27,0.918603,0.923087,0.848344,0.572835
0.230,0.16500,77,30094,28,0.921103,0.921803,0.846605,0.579720
0.230,0.16500,77,29921,29,0.920323,0.922360,0.849882,0.574684
0.230,0.16500,77,29709,30,0.922580,0.917999,0.850384,0.573189
0.230,0.16500,77,30117,31,0.921783,0.924801,0.852255,0.586567
0.230,0.16500,77,29802,32,0.918524,0.922535,0.846695,0.577827
0.230,0.16500,77,29900,33,0.920989,0.921623,0.849082,0.592356
0.230,0.16500,77,29949,34,0.922900,0.922389,0.849008,0.577873
0.230,0.16500,77,29918,35,0.921338,0.917803,0.845342,0.589228
0.230,0.16500,77,29944,36,0.922483,0.925187,0.851734,0.592917
0.230,0.16500,77,29977,37,0.922007,0.921518,0.849754,0.580097
0.230,0.16500,77,30363,38,0.920542,0.919244,0.847378,0.579741
0.230,0.16500,77,29907,39,0.921132,0.921522,0.849630,0.571135
0.230,0.16500,77,29943,40,0.924152,0.920058,0.846906,0.575488
0.230,0.16500,77,29746,41,0.921438,0.922150,0.854215,0.580005
0.230,0.16500,77,30195,42,0.920404,0.918175,0.844806,0.575488
0.230,0.16500,77,29857,43,0.921247,0.923769,0.851893,0.576050
0.230,0.16500,77,30199,44,0.922311,0.924640,0.848294,0.581431
0.230,0.16500,77,30008,45,0.920779,0.921839,0.849782,0.589058
0.230,0.16500,77,30232,46,0.920218,0.918225,0.839395,0.592432
0.230,0.16500,77,29963,47,0.921134,0.919961,0.848779,0.589249
0.230,0.16500,77,30239,48,0.921528,0.923737,0.857448,0.576530
0.230,0.16500,77,30199,49,0.921712,0.925862,0.853606,0.576683
0.230,0.16500,77,30398,50,0.917626,0.923551,0.847736,0.571821
0.230,0.16500,77,30280,51,0.920464,0.923288,0.851437,0.590862
0.230,0.16500,77,29953,52,0.921018,0.918597,0.846871,0.574678
0.230,0.16500,77,30010,53,0.924915,0.920017,0.850969,0.581622
0.230,0.16500,77,30177,54,0.918547,0.930118,0.854228,0.586591
0.230,0.16500,77,29768,55,0.922748,0.923134,0.848293,0.575496
0.230,0.16500,77,30200,56,0.918092,0.919237,0.839122,0.580280
0.230,0.16500,77,30092,57,0.924577,0.917601,0.849475,0.580125
0.230,0.16500,77,30164,58,0.922477,0.922092,0.850261,0.576488
0.230,0.16500,77,30041,59,0.925266,0.918746,0.843829,0.578118
0.230,0.16500,77,29817,60,0.924377,0.923741,0.851844,0.576032
0.230,0.16500,77,30108,61,0.916713,0.921708,0.841965,0.582972
0.230,0.16500,77,30149,62,0.924661,0.922266,0.854442,0.579981
0.230,0.16500,77,30025,63,0.919891,0.920979,0.845205,0.574786
0.230,0.16500,77,29684,64,0.920417,0.917936,0.843913,0.583899
0.230,0.17500,77,30013,1,0.919952,0.920283,0.844766,0.580289
0.230,0.17500,77,29908,2,0.911703,0.921919,0.840563,0.580878
0.230,0.17500,77,29993,3,0.914734,0.916172,0.835436,0.582767
0.230,0.17500,77,29838,4,0.915740,0.914756,0.840521,0.582582
0.230,0.17500,77,30006,5,0.917177,0.916666,0.838252,0.577579
0.230,0.17500,77,30052,6,0.920744,0.914165,0.841512,0.581265
0.230,0.17500,77,30436,7,0.918205,0.920330,0.846271,0.584089
0.230,0.17500,77,30309,8,0.919728,0.917857,0.840889,0.585288
0.230,0.17500,77,29991,9,0.916225,0.916048,0.838346,0.580703
0.230,0.17500,77,30190,10,0.920071,0.910352,0.837963,0.586797
0.230,0.17500,77,29981,11,0.917544,0.917983,0.841870,0.571949
0.230,0.17500,77,30130,12,0.919137,0.917699,0.842471,0.581820
0.230,0.17500,77,30047,13,0.915441,0.920095,0.843332,0.582037
0.230,0.17500,77,29831,14,0.920055,0.918774,0.841411,0.585276
0.230,0.17500,77,30268,15,0.916217,0.917789,0.838202,0.578988
0.230,0.17500,77,30096,16,0.915699,0.916598,0.841975,0.580050
0.230,0.17500,77,29971,17,0.917326,0.918015,0.840948,0.581128
0.230,0.17500,77,29823,18,0.911853,0.918123,0.840345,0.580351
0.230,0.17500,77,30059,19,0.918753,0.919358,0.839561,0.591123
0.230,0.17500,77,29699,20,0.920578,0.919391,0.846146,0.587635
0.230,0.17500,77,30154,21,0.913602,0.915785,0.838891,0.596259
0.230,0.17500,77,30085,22,0.916015,0.916096,0.837856,0.585802
0.230,0.17500,77,29965,23,0.919320,0.918341,0.843634,0.577572
0.230,0.17500,77,29849,24,0.919665,0.917496,0.838587,0.571925
0.230,0.17500,77,29836,25,0.919974,0.915126,0.849615,0.591942
0.230,0.17500,77,29884,26,0.919393,0.918909,0.843326,0.584295
0.230,0.17500,77,30088,27,0.914460,0.919048,0.840789,0.578503
0.230,0.17500,77,30094,28,0.917793,0.913186,0.833827,0.582328
