# generator=basin_stab_LSE_semismart_AAAI_Nramp.jl  M_TARGET=4.4e+07  K_TARGET=30000  N_FLOOR=12  betanet=1.0
# N_EQ=32768  N_SAMP=8192  N_DIS_TARGET=64  MEM_BUDGET_GB=40.0  generated=2026-06-07T13:48:36.518
alpha,T,N_used,K_retained,disorder,phi_a,phi_b,q12,phi_max_retained
0.200,0.01500,88,29978,9,0.992838,0.992999,0.985802,0.546826
0.200,0.01500,88,29878,10,0.993087,0.992928,0.985647,0.523569
0.200,0.01500,88,29997,11,0.991735,0.992285,0.982833,0.536908
0.200,0.01500,88,29737,12,0.992213,0.993066,0.984874,0.536822
0.200,0.01500,88,29706,13,0.992302,0.992249,0.984657,0.535290
0.200,0.01500,88,29868,14,0.992190,0.991523,0.984374,0.547370
0.200,0.01500,88,29748,15,0.992787,0.992734,0.985503,0.532506
0.200,0.01500,88,29978,16,0.992923,0.991828,0.985123,0.526514
0.200,0.01500,88,30020,17,0.992463,0.992415,0.985440,0.545649
0.200,0.01500,88,30152,18,0.992481,0.992921,0.985838,0.543220
0.200,0.01500,88,29956,19,0.992819,0.992657,0.985340,0.551700
0.200,0.01500,88,29924,20,0.992076,0.993232,0.985513,0.539803
0.200,0.01500,88,29845,21,0.993256,0.991972,0.985658,0.546265
0.200,0.01500,88,29808,22,0.992906,0.993125,0.984726,0.539413
0.200,0.01500,88,30288,23,0.993176,0.992964,0.987452,0.545852
0.200,0.01500,88,30137,24,0.992687,0.993345,0.986506,0.530197
0.200,0.01500,88,29955,25,0.992557,0.992439,0.983985,0.567496
0.200,0.01500,88,30050,26,0.992815,0.992155,0.984632,0.532893
0.200,0.01500,88,29736,27,0.991457,0.992934,0.984475,0.532582
0.200,0.01500,88,30088,28,0.992902,0.991993,0.984311,0.590702
0.200,0.01500,88,30120,29,0.992740,0.992465,0.985833,0.584145
0.200,0.01500,88,30024,30,0.992262,0.992372,0.985671,0.549710
0.200,0.01500,88,29807,31,0.992664,0.993359,0.984754,0.563342
0.200,0.01500,88,29865,32,0.991979,0.991969,0.983596,0.584914
0.200,0.01500,88,30137,33,0.992767,0.992161,0.985475,0.553587
0.200,0.01500,88,29884,34,0.993101,0.993848,0.986650,0.548939
0.200,0.01500,88,30073,35,0.991499,0.992282,0.983294,0.556148
0.200,0.01500,88,29706,36,0.992407,0.993124,0.984856,0.556396
0.200,0.01500,88,30559,37,0.993522,0.992503,0.984968,0.549242
0.200,0.01500,88,29623,38,0.992840,0.992124,0.985457,0.529874
0.200,0.01500,88,30191,39,0.993504,0.992713,0.986212,0.542848
0.200,0.01500,88,29877,40,0.993168,0.991868,0.985293,0.539861
0.200,0.01500,88,30281,41,0.992586,0.991241,0.984300,0.536878
0.200,0.01500,88,30216,42,0.992564,0.992754,0.986322,0.536297
0.200,0.01500,88,29889,43,0.992844,0.993022,0.984697,0.535505
0.200,0.01500,88,29966,44,0.992414,0.992754,0.985269,0.530482
0.200,0.01500,88,29917,45,0.993653,0.992981,0.986422,0.545381
0.200,0.01500,88,29962,46,0.991929,0.992374,0.984158,0.539397
0.200,0.01500,88,30001,47,0.992542,0.991789,0.983113,0.577708
0.200,0.01500,88,30312,48,0.992614,0.992207,0.984969,0.555949
0.200,0.01500,88,29891,49,0.992644,0.991884,0.984669,0.534235
0.200,0.01500,88,30061,50,0.991792,0.992530,0.983190,0.537322
0.200,0.01500,88,30249,51,0.992928,0.993094,0.985550,0.524924
0.200,0.01500,88,29895,52,0.992395,0.993659,0.985168,0.530108
0.200,0.01500,88,29819,53,0.993126,0.992648,0.986571,0.572012
0.200,0.01500,88,29965,54,0.993037,0.991441,0.983715,0.574803
0.200,0.01500,88,30049,55,0.992890,0.992684,0.985132,0.537274
0.200,0.01500,88,29833,56,0.992271,0.992700,0.985177,0.559556
0.200,0.01500,88,29954,57,0.993006,0.992148,0.984784,0.582249
0.200,0.01500,88,29958,58,0.992839,0.993746,0.986477,0.531425
0.200,0.01500,88,30266,59,0.992766,0.991704,0.984970,0.541105
0.200,0.01500,88,30202,60,0.993293,0.992445,0.985266,0.560740
0.200,0.01500,88,30342,61,0.991748,0.992432,0.983137,0.603729
0.200,0.01500,88,29949,62,0.992739,0.991729,0.985541,0.555096
0.200,0.01500,88,29897,63,0.992541,0.992864,0.985463,0.581341
0.200,0.01500,88,30343,64,0.992309,0.992843,0.983805,0.520183
0.200,0.02500,88,29889,1,0.986938,0.988461,0.976285,0.565414
0.200,0.02500,88,30497,2,0.986673,0.987495,0.974703,0.535438
0.200,0.02500,88,29913,3,0.987347,0.988176,0.973373,0.550283
0.200,0.02500,88,29942,4,0.986694,0.987619,0.973050,0.544060
0.200,0.02500,88,30080,5,0.988729,0.988319,0.977557,0.568757
0.200,0.02500,88,29964,6,0.987525,0.988060,0.976425,0.556487
0.200,0.02500,88,30284,7,0.989302,0.987980,0.977918,0.535385
0.200,0.02500,88,29802,8,0.987501,0.987781,0.973686,0.550136
0.200,0.02500,88,29978,9,0.987777,0.986678,0.973855,0.544767
0.200,0.02500,88,29878,10,0.988600,0.986287,0.974444,0.531741
0.200,0.02500,88,29997,11,0.987378,0.987981,0.973595,0.530514
0.200,0.02500,88,29737,12,0.988222,0.988024,0.976344,0.532354
0.200,0.02500,88,29706,13,0.986739,0.988369,0.975518,0.537636
0.200,0.02500,88,29868,14,0.987838,0.987530,0.976478,0.541344
0.200,0.02500,88,29748,15,0.986595,0.987415,0.973345,0.535855
0.200,0.02500,88,29978,16,0.988186,0.987094,0.973602,0.528139
0.200,0.02500,88,30020,17,0.988466,0.988284,0.978557,0.536177
0.200,0.02500,88,30152,18,0.988337,0.988010,0.976036,0.543318
0.200,0.02500,88,29956,19,0.987924,0.987431,0.974908,0.551509
0.200,0.02500,88,29924,20,0.987506,0.987690,0.975381,0.555290
0.200,0.02500,88,29845,21,0.988006,0.988057,0.975668,0.547796
0.200,0.02500,88,29808,22,0.987881,0.987280,0.973429,0.555996
0.200,0.02500,88,30288,23,0.987973,0.987807,0.977347,0.549292
0.200,0.02500,88,30137,24,0.988427,0.988578,0.976675,0.527072
0.200,0.02500,88,29955,25,0.987447,0.986225,0.974281,0.563830
0.200,0.02500,88,30050,26,0.987135,0.987917,0.975154,0.547742
0.200,0.02500,88,29736,27,0.986879,0.987394,0.973627,0.536364
0.200,0.02500,88,30088,28,0.986799,0.987676,0.975717,0.573845
0.200,0.02500,88,30120,29,0.988301,0.987915,0.974948,0.569148
0.200,0.02500,88,30024,30,0.987056,0.987422,0.973707,0.552385
0.200,0.02500,88,29807,31,0.988168,0.988310,0.977232,0.551431
0.200,0.02500,88,29865,32,0.987662,0.988754,0.977252,0.571943
0.200,0.02500,88,30137,33,0.987525,0.987829,0.977145,0.555769
0.200,0.02500,88,29884,34,0.987017,0.987616,0.973983,0.539563
0.200,0.02500,88,30073,35,0.988515,0.988182,0.974505,0.553811
0.200,0.02500,88,29706,36,0.987795,0.987746,0.975737,0.548177
0.200,0.02500,88,30559,37,0.987888,0.987244,0.976030,0.544208
0.200,0.02500,88,29623,38,0.987486,0.987856,0.974755,0.523664
0.200,0.02500,88,30191,39,0.988036,0.987327,0.975475,0.547048
0.200,0.02500,88,29877,40,0.987563,0.987702,0.975097,0.547462
0.200,0.02500,88,30281,41,0.987069,0.988600,0.975904,0.535086
0.200,0.02500,88,30216,42,0.987775,0.987601,0.976526,0.536631
0.200,0.02500,88,29889,43,0.987356,0.987956,0.977009,0.541053
0.200,0.02500,88,29966,44,0.988552,0.987577,0.976233,0.530175
0.200,0.02500,88,29917,45,0.987794,0.987675,0.974548,0.540937
0.200,0.02500,88,29962,46,0.988105,0.987365,0.974904,0.541845
0.200,0.02500,88,30001,47,0.986845,0.988790,0.976517,0.577046
0.200,0.02500,88,30312,48,0.987540,0.988242,0.976148,0.548611
0.200,0.02500,88,29891,49,0.988799,0.986570,0.974113,0.536200
0.200,0.02500,88,30061,50,0.987929,0.987810,0.977611,0.540087
