# generator=validate_spinodal_cpu.jl  threads=6  K_TARGET=10000  N_EQ=8000  N_SAMP=2000  generated=2026-06-09T01:31:47.173
alpha,N,T,disorder,init,phi
0.200,50,0.4200,2,cold,0.803641
0.200,50,0.4200,3,cold,0.815063
0.200,50,0.4200,4,cold,0.786928
0.200,50,0.4200,5,cold,0.814971
0.200,50,0.4200,6,cold,0.821660
0.200,50,0.4200,7,cold,0.814470
0.200,50,0.4200,8,cold,0.811999
0.200,50,0.4400,1,cold,0.807715
0.200,50,0.4400,2,cold,0.519218
0.200,50,0.4400,3,cold,0.797013
0.200,50,0.4400,4,cold,0.829745
0.200,50,0.4400,5,cold,0.803260
0.200,50,0.4400,6,cold,0.809778
0.200,50,0.4400,7,cold,0.813475
0.200,50,0.4400,8,cold,0.815318
0.200,50,0.4600,1,cold,0.812612
0.200,50,0.4600,2,cold,0.814453
0.200,50,0.4600,3,cold,0.780227
0.200,50,0.4600,4,cold,0.793227
0.200,50,0.4600,5,cold,0.727679
0.200,50,0.4600,6,cold,0.804702
0.200,50,0.4600,7,cold,0.801744
0.200,50,0.4600,8,cold,0.445512
0.200,50,0.4800,1,cold,0.793276
0.200,50,0.4800,2,cold,0.783369
0.200,50,0.4800,3,cold,0.782016
0.200,50,0.4800,4,cold,0.784480
0.200,50,0.4800,5,cold,0.798643
0.200,50,0.4800,6,cold,0.789375
0.200,50,0.4800,7,cold,0.272226
0.200,50,0.4800,8,cold,0.770640
0.200,50,0.5000,1,cold,0.270047
0.200,50,0.5000,2,cold,0.791916
0.200,50,0.5000,3,cold,0.782829
0.200,50,0.5000,4,cold,0.312961
0.200,50,0.5000,5,cold,0.787278
0.200,50,0.5000,6,cold,0.333256
0.200,50,0.5000,7,cold,0.293743
0.200,50,0.5000,8,cold,0.223373
0.200,100,0.1000,1,cold,0.947145
0.200,100,0.1000,2,cold,0.953537
0.200,100,0.1000,3,cold,0.947448
0.200,100,0.1000,4,cold,0.955523
0.200,100,0.1000,5,cold,0.950249
0.200,100,0.1000,6,cold,0.951512
0.200,100,0.1000,7,cold,0.948185
0.200,100,0.1000,8,cold,0.945390
0.200,100,0.1200,1,cold,0.941068
0.200,100,0.1200,2,cold,0.945229
0.200,100,0.1200,3,cold,0.941891
0.200,100,0.1200,4,cold,0.945546
0.200,100,0.1200,5,cold,0.941950
0.200,100,0.1200,6,cold,0.941298
0.200,100,0.1200,7,cold,0.934356
0.200,100,0.1200,8,cold,0.939811
0.200,100,0.1400,1,cold,0.938258
0.200,100,0.1400,2,cold,0.928589
0.200,100,0.1400,3,cold,0.930737
0.200,100,0.1400,4,cold,0.936510
0.200,100,0.1400,5,cold,0.932543
0.200,100,0.1400,6,cold,0.937680
0.200,100,0.1400,7,cold,0.925345
0.200,100,0.1400,8,cold,0.932487
0.200,100,0.1600,1,cold,0.922604
0.200,100,0.1600,2,cold,0.923434
0.200,100,0.1600,3,cold,0.919770
0.200,100,0.1600,4,cold,0.917255
0.200,100,0.1600,5,cold,0.918021
0.200,100,0.1600,6,cold,0.922945
0.200,100,0.1600,7,cold,0.926019
0.200,100,0.1600,8,cold,0.921850
0.200,100,0.1800,1,cold,0.907921
0.200,100,0.1800,2,cold,0.909228
0.200,100,0.1800,3,cold,0.919539
0.200,100,0.1800,4,cold,0.918484
0.200,100,0.1800,5,cold,0.921243
0.200,100,0.1800,6,cold,0.915646
0.200,100,0.1800,7,cold,0.921745
0.200,100,0.1800,8,cold,0.920421
0.200,100,0.2000,1,cold,0.909780
0.200,100,0.2000,2,cold,0.901328
0.200,100,0.2000,3,cold,0.908906
0.200,100,0.2000,4,cold,0.916200
0.200,100,0.2000,5,cold,0.895569
0.200,100,0.2000,6,cold,0.904862
0.200,100,0.2000,7,cold,0.888724
0.200,100,0.2000,8,cold,0.903881
0.200,100,0.2200,1,cold,0.902232
0.200,100,0.2200,2,cold,0.899149
0.200,100,0.2200,3,cold,0.898843
0.200,100,0.2200,4,cold,0.891064
0.200,100,0.2200,5,cold,0.891887
0.200,100,0.2200,6,cold,0.882215
0.200,100,0.2200,7,cold,0.892209
0.200,100,0.2200,8,cold,0.894575
0.200,100,0.2400,1,cold,0.880310
0.200,100,0.2400,2,cold,0.884732
0.200,100,0.2400,3,cold,0.890471
0.200,100,0.2400,4,cold,0.899720
0.200,100,0.2400,5,cold,0.890689
0.200,100,0.2400,6,cold,0.870800
0.200,100,0.2400,7,cold,0.882453
0.200,100,0.2400,8,cold,0.900789
0.200,100,0.2600,1,cold,0.882343
0.200,100,0.2600,2,cold,0.874211
0.200,100,0.2600,3,cold,0.876291
0.200,100,0.2600,4,cold,0.875126
0.200,100,0.2600,5,cold,0.878402
0.200,100,0.2600,6,cold,0.877088
0.200,100,0.2600,7,cold,0.866857
0.200,100,0.2600,8,cold,0.879941
0.200,100,0.2800,1,cold,0.861971
0.200,100,0.2800,2,cold,0.862522
0.200,100,0.2800,3,cold,0.871961
0.200,100,0.2800,4,cold,0.879003
0.200,100,0.2800,5,cold,0.864360
0.200,100,0.2800,6,cold,0.873720
0.200,100,0.2800,7,cold,0.883069
0.200,100,0.2800,8,cold,0.865590
0.200,100,0.3000,1,cold,0.868625
0.200,100,0.3000,2,cold,0.863078
0.200,100,0.3000,3,cold,0.862452
0.200,100,0.3000,4,cold,0.863632
0.200,100,0.3000,5,cold,0.866349
0.200,100,0.3000,6,cold,0.859425
