# generator=validate_spinodal_cpu.jl  threads=6  K_TARGET=10000  N_EQ=8000  N_SAMP=2000  generated=2026-06-09T01:31:47.173
alpha,N,T,disorder,init,phi
0.350,50,0.3900,4,cold,0.411297
0.350,50,0.3900,5,cold,0.470966
0.350,50,0.3900,6,cold,0.110080
0.350,50,0.3900,7,cold,0.470874
0.350,50,0.3900,8,cold,0.462017
0.350,50,0.4100,1,cold,0.397266
0.350,50,0.4100,2,cold,0.420954
0.350,50,0.4100,3,cold,0.386364
0.350,50,0.4100,4,cold,0.033560
0.350,50,0.4100,5,cold,0.432781
0.350,50,0.4100,6,cold,0.419437
0.350,50,0.4100,7,cold,-0.039793
0.350,50,0.4100,8,cold,0.370442
0.350,50,0.4300,1,cold,0.375259
0.350,50,0.4300,2,cold,0.364201
0.350,50,0.4300,3,cold,0.008739
0.350,50,0.4300,4,cold,0.083553
0.350,50,0.4300,5,cold,0.398124
0.350,50,0.4300,6,cold,0.410310
0.350,50,0.4300,7,cold,0.410118
0.350,50,0.4300,8,cold,0.257124
0.350,50,0.4500,1,cold,-0.006796
0.350,50,0.4500,2,cold,0.342845
0.350,50,0.4500,3,cold,0.411630
0.350,50,0.4500,4,cold,0.434315
0.350,50,0.4500,5,cold,0.387555
0.350,50,0.4500,6,cold,0.414010
0.350,50,0.4500,7,cold,-0.001989
0.350,50,0.4500,8,cold,0.266201
0.350,50,0.4700,1,cold,-0.003567
0.350,50,0.4700,2,cold,0.022301
0.350,50,0.4700,3,cold,0.033534
0.350,50,0.4700,4,cold,0.035022
0.350,50,0.4700,5,cold,0.382059
0.350,50,0.4700,6,cold,0.032974
0.350,50,0.4700,7,cold,0.386088
0.350,50,0.4700,8,cold,0.034676
0.350,50,0.4900,1,cold,0.025524
0.350,50,0.4900,2,cold,0.334501
0.350,50,0.4900,3,cold,0.010561
0.350,50,0.4900,4,cold,-0.063600
0.350,50,0.4900,5,cold,0.026330
0.350,50,0.4900,6,cold,0.108489
0.350,50,0.4900,7,cold,-0.011893
0.350,50,0.4900,8,cold,-0.012344
0.350,100,0.0500,1,cold,0.974406
0.350,100,0.0500,2,cold,0.977043
0.350,100,0.0500,3,cold,0.978149
0.350,100,0.0500,4,cold,0.977953
0.350,100,0.0500,5,cold,0.974713
0.350,100,0.0500,6,cold,0.978489
0.350,100,0.0500,7,cold,0.977807
0.350,100,0.0500,8,cold,0.976396
0.350,100,0.0700,1,cold,0.964964
0.350,100,0.0700,2,cold,0.967219
0.350,100,0.0700,3,cold,0.962136
0.350,100,0.0700,4,cold,0.965300
0.350,100,0.0700,5,cold,0.965499
0.350,100,0.0700,6,cold,0.966620
0.350,100,0.0700,7,cold,0.964010
0.350,100,0.0700,8,cold,0.965161
0.350,100,0.0900,1,cold,0.956738
0.350,100,0.0900,2,cold,0.954835
0.350,100,0.0900,3,cold,0.963035
0.350,100,0.0900,4,cold,0.958666
0.350,100,0.0900,5,cold,0.952971
0.350,100,0.0900,6,cold,0.958073
0.350,100,0.0900,7,cold,0.958745
0.350,100,0.0900,8,cold,0.955061
0.350,100,0.1100,1,cold,0.936611
0.350,100,0.1100,2,cold,0.945040
0.350,100,0.1100,3,cold,0.948255
0.350,100,0.1100,4,cold,0.940352
0.350,100,0.1100,5,cold,0.947703
0.350,100,0.1100,6,cold,0.949991
0.350,100,0.1100,7,cold,0.954583
0.350,100,0.1100,8,cold,0.950095
0.350,100,0.1300,1,cold,0.938813
0.350,100,0.1300,2,cold,0.937842
0.350,100,0.1300,3,cold,0.938413
0.350,100,0.1300,4,cold,0.933118
0.350,100,0.1300,5,cold,0.939499
0.350,100,0.1300,6,cold,0.937209
0.350,100,0.1300,7,cold,0.937033
0.350,100,0.1300,8,cold,0.943209
0.350,100,0.1500,1,cold,0.934942
0.350,100,0.1500,2,cold,0.931003
0.350,100,0.1500,3,cold,0.931311
0.350,100,0.1500,4,cold,0.928322
0.350,100,0.1500,5,cold,0.925292
0.350,100,0.1500,6,cold,0.931681
0.350,100,0.1500,7,cold,0.923844
0.350,100,0.1500,8,cold,0.930134
0.350,100,0.1700,1,cold,0.933594
0.350,100,0.1700,2,cold,0.916195
0.350,100,0.1700,3,cold,0.914522
0.350,100,0.1700,4,cold,0.922817
0.350,100,0.1700,5,cold,0.915658
0.350,100,0.1700,6,cold,0.920976
0.350,100,0.1700,7,cold,0.919480
0.350,100,0.1700,8,cold,0.921462
0.350,100,0.1900,1,cold,0.908353
0.350,100,0.1900,2,cold,0.924048
0.350,100,0.1900,3,cold,0.909898
0.350,100,0.1900,4,cold,0.907628
0.350,100,0.1900,5,cold,0.912537
0.350,100,0.1900,6,cold,0.910316
0.350,100,0.1900,7,cold,0.908812
0.350,100,0.1900,8,cold,0.919969
0.350,100,0.2100,1,cold,0.904328
0.350,100,0.2100,2,cold,0.899081
0.350,100,0.2100,3,cold,0.894457
0.350,100,0.2100,4,cold,0.896419
0.350,100,0.2100,5,cold,0.898964
0.350,100,0.2100,6,cold,0.906882
0.350,100,0.2100,7,cold,0.907217
0.350,100,0.2100,8,cold,0.900764
0.350,100,0.2300,1,cold,0.892820
0.350,100,0.2300,2,cold,0.885130
0.350,100,0.2300,3,cold,0.888431
0.350,100,0.2300,4,cold,0.888090
0.350,100,0.2300,5,cold,0.887731
0.350,100,0.2300,6,cold,0.898119
0.350,100,0.2300,7,cold,0.895876
0.350,100,0.2300,8,cold,0.887971
0.350,100,0.2500,1,cold,0.887215
0.350,100,0.2500,2,cold,0.888720
0.350,100,0.2500,3,cold,0.889650
0.350,100,0.2500,4,cold,0.881552
0.350,100,0.2500,5,cold,0.887367
0.350,100,0.2500,6,cold,0.886854
0.350,100,0.2500,7,cold,0.886486
0.350,100,0.2500,8,cold,0.873623
0.350,100,0.2700,1,cold,0.880941
0.350,100,0.2700,2,cold,0.863779
0.350,100,0.2700,3,cold,0.884229
0.350,100,0.2700,4,cold,0.874643
0.350,100,0.2700,5,cold,0.863455
0.350,100,0.2700,6,cold,0.879205
0.350,100,0.2700,7,cold,0.873614
0.350,100,0.2700,8,cold,0.885637
0.350,100,0.2900,1,cold,0.883542
0.350,100,0.2900,2,cold,0.870976
0.350,100,0.2900,3,cold,0.860155
0.350,100,0.2900,4,cold,0.870371
0.350,100,0.2900,5,cold,0.871498
0.350,100,0.2900,6,cold,0.855452
0.350,100,0.2900,7,cold,0.879225
0.350,100,0.2900,8,cold,0.858680
0.350,100,0.3100,1,cold,0.866001
0.350,100,0.3100,2,cold,0.865276
0.350,100,0.3100,3,cold,0.852688
0.350,100,0.3100,4,cold,0.854574
0.350,100,0.3100,5,cold,0.865997
0.350,100,0.3100,6,cold,0.868343
0.350,100,0.3100,7,cold,0.851463
0.350,100,0.3100,8,cold,0.872401
0.350,100,0.3300,1,cold,0.853808
0.350,100,0.3300,2,cold,0.852906
0.350,100,0.3300,3,cold,0.861605
0.350,100,0.3300,4,cold,0.838808
0.350,100,0.3300,5,cold,0.850737
0.350,100,0.3300,6,cold,0.860432
0.350,100,0.3300,7,cold,0.846847
0.350,100,0.3300,8,cold,0.854036
0.350,100,0.3500,1,cold,0.837727
0.350,100,0.3500,2,cold,0.837432
0.350,100,0.3500,3,cold,0.845668
0.350,100,0.3500,4,cold,0.830369
0.350,100,0.3500,5,cold,0.826935
0.350,100,0.3500,6,cold,0.851889
0.350,100,0.3500,7,cold,0.829991
0.350,100,0.3500,8,cold,0.842269
0.350,100,0.3700,1,cold,-0.053871
0.350,100,0.3700,2,cold,0.823905
0.350,100,0.3700,3,cold,0.832955
0.350,100,0.3700,4,cold,0.818890
0.350,100,0.3700,5,cold,0.838650
0.350,100,0.3700,6,cold,0.832995
0.350,100,0.3700,7,cold,0.843469
0.350,100,0.3700,8,cold,0.830479
0.350,100,0.3900,1,cold,0.840301
0.350,100,0.3900,2,cold,-0.042431
0.350,100,0.3900,3,cold,0.843958
0.350,100,0.3900,4,cold,0.827141
0.350,100,0.3900,5,cold,0.820780
0.350,100,0.3900,6,cold,0.837731
0.350,100,0.3900,7,cold,0.810661
0.350,100,0.3900,8,cold,0.829530
0.350,100,0.4100,1,cold,0.050632
0.350,100,0.4100,2,cold,0.811388
0.350,100,0.4100,3,cold,-0.109319
0.350,100,0.4100,4,cold,0.829664
0.350,100,0.4100,5,cold,0.823448
0.350,100,0.4100,6,cold,-0.079057
0.350,100,0.4100,7,cold,0.804136
0.350,100,0.4100,8,cold,0.817598
0.350,100,0.4300,1,cold,-0.040237
0.350,100,0.4300,2,cold,-0.057013
0.350,100,0.4300,3,cold,-0.091622
0.350,100,0.4300,4,cold,0.002633
0.350,100,0.4300,5,cold,0.837220
0.350,100,0.4300,6,cold,0.803882
0.350,100,0.4300,7,cold,0.810185
0.350,100,0.4300,8,cold,0.809356
0.350,100,0.4500,1,cold,-0.000413
0.350,100,0.4500,2,cold,-0.005809
0.350,100,0.4500,3,cold,-0.006843
0.350,100,0.4500,4,cold,0.023157
0.350,100,0.4500,5,cold,0.049200
0.350,100,0.4500,6,cold,-0.010784
0.350,100,0.4500,7,cold,-0.006771
0.350,100,0.4500,8,cold,-0.006502
0.350,100,0.4700,1,cold,0.071977
0.350,100,0.4700,2,cold,-0.047742
0.350,100,0.4700,3,cold,0.043315
0.350,100,0.4700,4,cold,0.080586
0.350,100,0.4700,5,cold,-0.007573
0.350,100,0.4700,6,cold,-0.069009
0.350,100,0.4700,7,cold,0.027545
0.350,100,0.4700,8,cold,-0.073970
0.350,100,0.4900,1,cold,-0.001252
0.350,100,0.4900,2,cold,-0.080413
0.350,100,0.4900,3,cold,-0.054015
0.350,100,0.4900,4,cold,-0.016164
0.350,100,0.4900,5,cold,0.013794
0.350,100,0.4900,6,cold,-0.078712
0.350,100,0.4900,7,cold,-0.040092
0.350,100,0.4900,8,cold,0.013032
0.350,1000,0.0500,1,cold,0.979490
0.350,1000,0.0500,2,cold,0.978217
0.350,1000,0.0500,3,cold,0.978750
0.350,1000,0.0500,4,cold,0.978231
0.350,1000,0.0500,5,cold,0.978384
0.350,1000,0.0500,6,cold,0.980238
0.350,1000,0.0500,7,cold,0.979662
0.350,1000,0.0500,8,cold,0.978427
0.350,1000,0.0700,1,cold,0.967996
0.350,1000,0.0700,2,cold,0.969843
0.350,1000,0.0700,3,cold,0.971577
0.350,1000,0.0700,4,cold,0.970277
0.350,1000,0.0700,5,cold,0.969599
0.350,1000,0.0700,6,cold,0.969302
0.350,1000,0.0700,7,cold,0.967256
0.350,1000,0.0700,8,cold,0.969010
0.350,1000,0.0900,1,cold,0.960120
0.350,1000,0.0900,2,cold,0.957728
0.350,1000,0.0900,3,cold,0.956272
0.350,1000,0.0900,4,cold,0.958429
0.350,1000,0.0900,5,cold,0.956654
0.350,1000,0.0900,6,cold,0.959124
0.350,1000,0.0900,7,cold,0.959500
0.350,1000,0.0900,8,cold,0.959222
0.350,1000,0.1100,1,cold,0.948694
0.350,1000,0.1100,2,cold,0.947891
0.350,1000,0.1100,3,cold,0.948209
0.350,1000,0.1100,4,cold,0.950947
0.350,1000,0.1100,5,cold,0.948165
0.350,1000,0.1100,6,cold,0.950697
0.350,1000,0.1100,7,cold,0.945873
0.350,1000,0.1100,8,cold,0.949112
0.350,1000,0.1300,1,cold,0.939817
0.350,1000,0.1300,2,cold,0.938648
0.350,1000,0.1300,3,cold,0.938582
0.350,1000,0.1300,4,cold,0.938914
0.350,1000,0.1300,5,cold,0.939921
0.350,1000,0.1300,6,cold,0.935812
0.350,1000,0.1300,7,cold,0.940544
0.350,1000,0.1300,8,cold,0.939308
0.350,1000,0.1500,1,cold,0.925770
0.350,1000,0.1500,2,cold,0.931198
0.350,1000,0.1500,3,cold,0.925051
0.350,1000,0.1500,4,cold,0.923511
0.350,1000,0.1500,5,cold,0.932228
0.350,1000,0.1500,6,cold,0.930303
0.350,1000,0.1500,7,cold,0.927695
0.350,1000,0.1500,8,cold,0.933328
0.350,1000,0.1700,1,cold,0.925340
0.350,1000,0.1700,2,cold,0.926630
0.350,1000,0.1700,3,cold,0.921477
0.350,1000,0.1700,4,cold,0.922322
0.350,1000,0.1700,5,cold,0.920627
0.350,1000,0.1700,6,cold,0.913875
0.350,1000,0.1700,7,cold,0.918790
0.350,1000,0.1700,8,cold,0.917213
0.350,1000,0.1900,1,cold,0.912107
0.350,1000,0.1900,2,cold,0.908036
0.350,1000,0.1900,3,cold,0.910938
0.350,1000,0.1900,4,cold,0.911684
0.350,1000,0.1900,5,cold,0.913273
0.350,1000,0.1900,6,cold,0.913272
0.350,1000,0.1900,7,cold,0.910550
0.350,1000,0.1900,8,cold,0.910356
0.350,1000,0.2100,1,cold,0.897549
0.350,1000,0.2100,2,cold,0.902104
0.350,1000,0.2100,3,cold,0.909286
0.350,1000,0.2100,4,cold,0.903465
0.350,1000,0.2100,5,cold,0.902433
0.350,1000,0.2100,6,cold,0.898225
0.350,1000,0.2100,7,cold,0.900586
0.350,1000,0.2100,8,cold,0.895938
0.350,1000,0.2300,1,cold,0.895391
0.350,1000,0.2300,2,cold,0.890632
0.350,1000,0.2300,3,cold,0.897759
0.350,1000,0.2300,4,cold,0.891437
0.350,1000,0.2300,5,cold,0.889595
0.350,1000,0.2300,6,cold,0.897405
0.350,1000,0.2300,7,cold,0.886844
0.350,1000,0.2300,8,cold,0.897456
0.350,1000,0.2500,1,cold,0.879178
0.350,1000,0.2500,2,cold,0.882415
0.350,1000,0.2500,3,cold,0.878455
0.350,1000,0.2500,4,cold,0.882398
0.350,1000,0.2500,5,cold,0.885844
0.350,1000,0.2500,6,cold,0.884726
0.350,1000,0.2500,7,cold,0.890293
0.350,1000,0.2500,8,cold,0.880247
0.350,1000,0.2700,1,cold,0.887525
0.350,1000,0.2700,2,cold,0.879217
0.350,1000,0.2700,3,cold,0.869063
0.350,1000,0.2700,4,cold,0.868918
0.350,1000,0.2700,5,cold,0.862501
0.350,1000,0.2700,6,cold,0.871732
0.350,1000,0.2700,7,cold,0.882618
0.350,1000,0.2700,8,cold,0.875935
0.350,1000,0.2900,1,cold,0.865912
0.350,1000,0.2900,2,cold,0.870020
0.350,1000,0.2900,3,cold,0.864209
0.350,1000,0.2900,4,cold,0.865263
0.350,1000,0.2900,5,cold,0.863738
0.350,1000,0.2900,6,cold,0.866171
0.350,1000,0.2900,7,cold,0.868060
0.350,1000,0.2900,8,cold,0.857586
0.350,1000,0.3100,1,cold,0.856410
0.350,1000,0.3100,2,cold,0.858567
0.350,1000,0.3100,3,cold,0.857640
0.350,1000,0.3100,4,cold,0.863809
0.350,1000,0.3100,5,cold,0.842884
0.350,1000,0.3100,6,cold,0.854179
0.350,1000,0.3100,7,cold,0.858071
0.350,1000,0.3100,8,cold,0.851013
0.350,1000,0.3300,1,cold,0.844917
0.350,1000,0.3300,2,cold,0.855941
0.350,1000,0.3300,3,cold,0.853283
0.350,1000,0.3300,4,cold,0.842616
0.350,1000,0.3300,5,cold,0.854041
0.350,1000,0.3300,6,cold,0.846104
0.350,1000,0.3300,7,cold,0.855982
0.350,1000,0.3300,8,cold,0.849362
0.350,1000,0.3500,1,cold,0.842417
0.350,1000,0.3500,2,cold,0.839190
0.350,1000,0.3500,3,cold,0.840889
0.350,1000,0.3500,4,cold,0.834193
0.350,1000,0.3500,5,cold,0.831401
0.350,1000,0.3500,6,cold,0.839639
0.350,1000,0.3500,7,cold,0.832525
0.350,1000,0.3500,8,cold,0.855005
0.350,1000,0.3700,1,cold,0.830730
0.350,1000,0.3700,2,cold,0.835416
0.350,1000,0.3700,3,cold,0.829526
0.350,1000,0.3700,4,cold,0.824943
0.350,1000,0.3700,5,cold,0.828434
0.350,1000,0.3700,6,cold,0.827834
0.350,1000,0.3700,7,cold,0.831218
0.350,1000,0.3700,8,cold,0.837339
0.350,1000,0.3900,1,cold,0.826948
0.350,1000,0.3900,2,cold,0.820486
0.350,1000,0.3900,3,cold,0.824174
0.350,1000,0.3900,4,cold,0.819697
0.350,1000,0.3900,5,cold,0.825244
0.350,1000,0.3900,6,cold,0.807704
0.350,1000,0.3900,7,cold,0.834757
0.350,1000,0.3900,8,cold,0.830906
0.350,1000,0.4100,1,cold,0.829193
0.350,1000,0.4100,2,cold,0.809016
0.350,1000,0.4100,3,cold,0.818359
0.350,1000,0.4100,4,cold,0.814111
0.350,1000,0.4100,5,cold,0.823604
0.350,1000,0.4100,6,cold,0.804634
0.350,1000,0.4100,7,cold,0.814234
0.350,1000,0.4100,8,cold,0.815783
0.350,1000,0.4300,1,cold,0.808898
0.350,1000,0.4300,2,cold,0.809126
0.350,1000,0.4300,3,cold,0.808512
0.350,1000,0.4300,4,cold,0.809967
0.350,1000,0.4300,5,cold,0.799134
0.350,1000,0.4300,6,cold,0.811256
0.350,1000,0.4300,7,cold,0.800644
0.350,1000,0.4300,8,cold,0.802454
0.350,1000,0.4500,1,cold,0.801680
0.350,1000,0.4500,2,cold,0.794064
0.350,1000,0.4500,3,cold,0.806488
0.350,1000,0.4500,4,cold,0.800928
0.350,1000,0.4500,5,cold,0.800568
0.350,1000,0.4500,6,cold,0.801874
0.350,1000,0.4500,7,cold,0.805717
0.350,1000,0.4500,8,cold,0.801896
0.350,1000,0.4700,1,cold,0.785444
0.350,1000,0.4700,2,cold,0.780687
0.350,1000,0.4700,3,cold,0.779099
0.350,1000,0.4700,4,cold,0.791586
0.350,1000,0.4700,5,cold,0.798522
0.350,1000,0.4700,6,cold,0.797610
0.350,1000,0.4700,7,cold,0.803393
0.350,1000,0.4700,8,cold,0.788613
0.350,1000,0.4900,1,cold,0.797281
0.350,1000,0.4900,2,cold,0.782313
0.350,1000,0.4900,3,cold,0.791485
0.350,1000,0.4900,4,cold,0.777136
0.350,1000,0.4900,5,cold,0.783672
0.350,1000,0.4900,6,cold,0.781499
0.350,1000,0.4900,7,cold,0.787418
0.350,1000,0.4900,8,cold,0.773940
0.400,50,0.0500,1,cold,0.979183
0.400,50,0.0500,2,cold,0.973459
0.400,50,0.0500,3,cold,0.977581
0.400,50,0.0500,4,cold,0.975944
0.400,50,0.0500,5,cold,0.973874
0.400,50,0.0500,6,cold,0.974534
0.400,50,0.0500,7,cold,0.976077
0.400,50,0.0500,8,cold,0.971516
0.400,50,0.0600,1,cold,0.970484
0.400,50,0.0600,2,cold,0.971169
0.400,50,0.0600,3,cold,0.975135
0.400,50,0.0600,4,cold,0.971462
0.400,50,0.0600,5,cold,0.971350
0.400,50,0.0600,6,cold,0.969961
0.400,50,0.0600,7,cold,0.972031
0.400,50,0.0600,8,cold,0.969012
0.400,50,0.0700,1,cold,0.962195
0.400,50,0.0700,2,cold,0.963271
0.400,50,0.0700,3,cold,0.958913
0.400,50,0.0700,4,cold,0.968100
0.400,50,0.0700,5,cold,0.964808
0.400,50,0.0700,6,cold,0.967690
0.400,50,0.0700,7,cold,0.963819
0.400,50,0.0700,8,cold,0.970137
0.400,50,0.0800,1,cold,0.966339
0.400,50,0.0800,2,cold,0.961324
0.400,50,0.0800,3,cold,0.969381
0.400,50,0.0800,4,cold,0.961270
0.400,50,0.0800,5,cold,0.963466
0.400,50,0.0800,6,cold,0.963778
0.400,50,0.0800,7,cold,0.956965
0.400,50,0.0800,8,cold,0.959657
0.400,50,0.0900,1,cold,0.960930
0.400,50,0.0900,2,cold,0.959646
0.400,50,0.0900,3,cold,0.949683
0.400,50,0.0900,4,cold,0.957540
0.400,50,0.0900,5,cold,0.954662
0.400,50,0.0900,6,cold,0.953451
0.400,50,0.0900,7,cold,0.959187
0.400,50,0.0900,8,cold,0.952884
0.400,50,0.1000,1,cold,0.953703
0.400,50,0.1000,2,cold,0.953057
0.400,50,0.1000,3,cold,0.947754
0.400,50,0.1000,4,cold,0.943664
0.400,50,0.1000,5,cold,0.954046
0.400,50,0.1000,6,cold,0.958420
0.400,50,0.1000,7,cold,0.957946
0.400,50,0.1000,8,cold,0.947093
0.400,50,0.1100,1,cold,0.950328
0.400,50,0.1100,2,cold,0.952298
0.400,50,0.1100,3,cold,0.947743
0.400,50,0.1100,4,cold,0.947866
0.400,50,0.1100,5,cold,0.942239
0.400,50,0.1100,6,cold,0.954417
0.400,50,0.1100,7,cold,0.947218
0.400,50,0.1100,8,cold,0.950809
0.400,50,0.1200,1,cold,0.949331
0.400,50,0.1200,2,cold,0.942303
0.400,50,0.1200,3,cold,0.934599
0.400,50,0.1200,4,cold,0.940946
0.400,50,0.1200,5,cold,0.947858
0.400,50,0.1200,6,cold,0.946113
0.400,50,0.1200,7,cold,0.941915
0.400,50,0.1200,8,cold,0.945658
0.400,50,0.1300,1,cold,0.941234
0.400,50,0.1300,2,cold,0.945631
0.400,50,0.1300,3,cold,0.936647
0.400,50,0.1300,4,cold,0.935138
0.400,50,0.1300,5,cold,0.928612
0.400,50,0.1300,6,cold,0.941583
0.400,50,0.1300,7,cold,0.933459
0.400,50,0.1300,8,cold,0.937905
0.400,50,0.1400,1,cold,0.931082
0.400,50,0.1400,2,cold,0.932249
0.400,50,0.1400,3,cold,0.929509
0.400,50,0.1400,4,cold,0.935973
0.400,50,0.1400,5,cold,0.934125
0.400,50,0.1400,6,cold,0.943172
0.400,50,0.1400,7,cold,0.943095
0.400,50,0.1400,8,cold,0.938154
0.400,50,0.1500,1,cold,0.929921
0.400,50,0.1500,2,cold,0.935304
0.400,50,0.1500,3,cold,0.926744
0.400,50,0.1500,4,cold,0.928867
0.400,50,0.1500,5,cold,0.932682
0.400,50,0.1500,6,cold,0.929679
0.400,50,0.1500,7,cold,0.929420
0.400,50,0.1500,8,cold,0.927088
0.400,50,0.1600,1,cold,0.920523
0.400,50,0.1600,2,cold,0.925041
0.400,50,0.1600,3,cold,0.926764
0.400,50,0.1600,4,cold,0.924660
0.400,50,0.1600,5,cold,0.915868
0.400,50,0.1600,6,cold,0.927278
0.400,50,0.1600,7,cold,0.922683
0.400,50,0.1600,8,cold,0.929593
0.400,50,0.1700,1,cold,0.912919
0.400,50,0.1700,2,cold,0.914044
0.400,50,0.1700,3,cold,0.929809
0.400,50,0.1700,4,cold,0.911844
0.400,50,0.1700,5,cold,0.922696
0.400,50,0.1700,6,cold,0.917928
0.400,50,0.1700,7,cold,0.920584
0.400,50,0.1700,8,cold,0.918442
0.400,50,0.1800,1,cold,0.919588
0.400,50,0.1800,2,cold,0.921869
0.400,50,0.1800,3,cold,0.910658
0.400,50,0.1800,4,cold,0.916551
0.400,50,0.1800,5,cold,0.924757
0.400,50,0.1800,6,cold,0.909654
0.400,50,0.1800,7,cold,0.912676
0.400,50,0.1800,8,cold,0.915737
0.400,50,0.1900,1,cold,0.921711
0.400,50,0.1900,2,cold,0.902792
0.400,50,0.1900,3,cold,0.907651
0.400,50,0.1900,4,cold,0.908483
0.400,50,0.1900,5,cold,0.908423
0.400,50,0.1900,6,cold,0.913646
0.400,50,0.1900,7,cold,0.900629
0.400,50,0.1900,8,cold,0.904362
0.400,50,0.2000,1,cold,0.909484
0.400,50,0.2000,2,cold,0.898473
0.400,50,0.2000,3,cold,0.896813
0.400,50,0.2000,4,cold,0.902028
0.400,50,0.2000,5,cold,0.904365
0.400,50,0.2000,6,cold,0.918214
0.400,50,0.2000,7,cold,0.911502
0.400,50,0.2000,8,cold,0.910465
0.400,50,0.2100,1,cold,0.905357
0.400,50,0.2100,2,cold,0.897325
0.400,50,0.2100,3,cold,0.908184
0.400,50,0.2100,4,cold,0.890386
0.400,50,0.2100,5,cold,0.911988
0.400,50,0.2100,6,cold,0.904940
0.400,50,0.2100,7,cold,0.896928
0.400,50,0.2100,8,cold,0.891196
0.400,50,0.2200,1,cold,0.896567
0.400,50,0.2200,2,cold,0.890263
0.400,50,0.2200,3,cold,0.897669
0.400,50,0.2200,4,cold,0.898222
0.400,50,0.2200,5,cold,0.894681
0.400,50,0.2200,6,cold,0.901153
0.400,50,0.2200,7,cold,0.904458
0.400,50,0.2200,8,cold,0.890215
0.400,50,0.2300,1,cold,0.898518
0.400,50,0.2300,2,cold,0.892307
0.400,50,0.2300,3,cold,0.884841
0.400,50,0.2300,4,cold,0.889819
0.400,50,0.2300,5,cold,0.901296
0.400,50,0.2300,6,cold,0.886601
0.400,50,0.2300,7,cold,0.894184
0.400,50,0.2300,8,cold,0.890278
0.400,50,0.2400,1,cold,0.888913
0.400,50,0.2400,2,cold,0.895575
0.400,50,0.2400,3,cold,0.883980
0.400,50,0.2400,4,cold,0.875953
0.400,50,0.2400,5,cold,0.905253
0.400,50,0.2400,6,cold,0.902988
0.400,50,0.2400,7,cold,0.903682
0.400,50,0.2400,8,cold,0.885203
0.400,50,0.2500,1,cold,0.881405
0.400,50,0.2500,2,cold,0.872899
0.400,50,0.2500,3,cold,0.884211
0.400,50,0.2500,4,cold,0.883186
0.400,50,0.2500,5,cold,0.885604
0.400,50,0.2500,6,cold,0.878391
0.400,50,0.2500,7,cold,0.869333
0.400,50,0.2500,8,cold,0.592230
0.400,50,0.2600,1,cold,0.888581
0.400,50,0.2600,2,cold,0.884586
0.400,50,0.2600,3,cold,0.885043
0.400,50,0.2600,4,cold,0.869522
0.400,50,0.2600,5,cold,0.892106
0.400,50,0.2600,6,cold,0.879245
0.400,50,0.2600,7,cold,0.884656
0.400,50,0.2600,8,cold,0.884044
0.400,50,0.2700,1,cold,0.480372
0.400,50,0.2700,2,cold,0.878145
0.400,50,0.2700,3,cold,0.863521
0.400,50,0.2700,4,cold,0.871609
0.400,50,0.2700,5,cold,0.867525
0.400,50,0.2700,6,cold,0.872607
0.400,50,0.2700,7,cold,0.882340
0.400,50,0.2700,8,cold,0.888847
0.400,50,0.2800,1,cold,0.605343
0.400,50,0.2800,2,cold,0.860768
0.400,50,0.2800,3,cold,0.518609
0.400,50,0.2800,4,cold,0.877126
0.400,50,0.2800,5,cold,0.869226
0.400,50,0.2800,6,cold,-0.011663
0.400,50,0.2800,7,cold,0.874984
0.400,50,0.2800,8,cold,0.005717
0.400,50,0.2900,1,cold,-0.036401
0.400,50,0.2900,2,cold,0.096800
0.400,50,0.2900,3,cold,0.568191
0.400,50,0.2900,4,cold,0.862735
0.400,50,0.2900,5,cold,0.805011
0.400,50,0.2900,6,cold,0.491399
0.400,50,0.2900,7,cold,0.074930
0.400,50,0.2900,8,cold,0.060008
0.400,50,0.3000,1,cold,-0.012590
0.400,50,0.3000,2,cold,0.081783
0.400,50,0.3000,3,cold,0.849300
0.400,50,0.3000,4,cold,0.076382
0.400,50,0.3000,5,cold,-0.060699
0.400,50,0.3000,6,cold,0.480379
0.400,50,0.3000,7,cold,0.470250
0.400,50,0.3000,8,cold,0.862720
0.400,50,0.3100,1,cold,-0.048049
0.400,50,0.3100,2,cold,0.046951
0.400,50,0.3100,3,cold,0.532456
0.400,50,0.3100,4,cold,-0.006550
0.400,50,0.3100,5,cold,-0.066638
0.400,50,0.3100,6,cold,-0.019288
0.400,50,0.3100,7,cold,0.127540
0.400,50,0.3100,8,cold,0.006694
0.400,50,0.3200,1,cold,0.031973
0.400,50,0.3200,2,cold,-0.004993
0.400,50,0.3200,3,cold,0.074062
0.400,50,0.3200,4,cold,0.007606
0.400,50,0.3200,5,cold,0.407625
0.400,50,0.3200,6,cold,0.019269
0.400,50,0.3200,7,cold,-0.023629
0.400,50,0.3200,8,cold,0.020998
0.400,50,0.3300,1,cold,-0.026817
0.400,50,0.3300,2,cold,0.012349
0.400,50,0.3300,3,cold,0.049653
0.400,50,0.3300,4,cold,-0.072138
0.400,50,0.3300,5,cold,-0.102379
0.400,50,0.3300,6,cold,0.034845
0.400,50,0.3300,7,cold,0.008289
0.400,50,0.3300,8,cold,-0.013536
0.400,50,0.3400,1,cold,0.037189
0.400,50,0.3400,2,cold,-0.023904
0.400,50,0.3400,3,cold,-0.057433
0.400,50,0.3400,4,cold,0.036114
0.400,50,0.3400,5,cold,0.023622
0.400,50,0.3400,6,cold,0.113889
