# generator=validate_spinodal_cpu.jl  threads=6  K_TARGET=10000  N_EQ=8000  N_SAMP=2000  generated=2026-06-08T22:39:28.004
alpha,N,T,disorder,init,phi
0.400,50,0.3700,1,cold,-0.018358
0.400,50,0.3700,2,cold,0.014403
0.400,50,0.3700,3,cold,-0.072840
0.400,50,0.3700,4,cold,0.021054
0.400,50,0.3900,1,cold,0.056250
0.400,50,0.3900,2,cold,0.015702
0.400,50,0.3900,3,cold,-0.028872
0.400,50,0.3900,4,cold,-0.073777
0.400,50,0.4100,1,cold,-0.010675
0.400,50,0.4100,2,cold,0.001725
0.400,50,0.4100,3,cold,0.011188
0.400,50,0.4100,4,cold,0.000088
0.400,50,0.4300,1,cold,0.087531
0.400,50,0.4300,2,cold,0.056438
0.400,50,0.4300,3,cold,0.091661
0.400,50,0.4300,4,cold,-0.027608
0.400,50,0.4500,1,cold,-0.044848
0.400,50,0.4500,2,cold,-0.034736
0.400,50,0.4500,3,cold,-0.002497
0.400,50,0.4500,4,cold,0.026545
0.400,50,0.4700,1,cold,-0.004179
0.400,50,0.4700,2,cold,-0.027009
0.400,50,0.4700,3,cold,-0.033839
0.400,50,0.4700,4,cold,-0.021468
0.400,50,0.4900,1,cold,-0.053946
0.400,50,0.4900,2,cold,-0.036790
0.400,50,0.4900,3,cold,-0.047289
0.400,50,0.4900,4,cold,-0.071547
0.500,50,0.0500,1,cold,0.978158
0.500,50,0.0500,2,cold,0.976775
0.500,50,0.0500,3,cold,0.976571
0.500,50,0.0500,4,cold,0.972897
0.500,50,0.0600,1,cold,0.968580
0.500,50,0.0600,2,cold,0.969254
0.500,50,0.0600,3,cold,0.969250
0.500,50,0.0600,4,cold,0.967136
0.500,50,0.0700,1,cold,0.968040
0.500,50,0.0700,2,cold,0.972171
0.500,50,0.0700,3,cold,0.968631
0.500,50,0.0700,4,cold,0.964534
0.500,50,0.0800,1,cold,0.960181
0.500,50,0.0800,2,cold,0.961103
0.500,50,0.0800,3,cold,0.960664
0.500,50,0.0800,4,cold,0.960367
0.500,50,0.0900,1,cold,0.960710
0.500,50,0.0900,2,cold,0.959987
0.500,50,0.0900,3,cold,0.960821
0.500,50,0.0900,4,cold,0.954705
0.500,50,0.1000,1,cold,0.949092
0.500,50,0.1000,2,cold,0.952496
0.500,50,0.1000,3,cold,0.944003
0.500,50,0.1000,4,cold,0.943239
0.500,50,0.1100,1,cold,0.945605
0.500,50,0.1100,2,cold,0.941451
0.500,50,0.1100,3,cold,0.947753
0.500,50,0.1100,4,cold,0.951063
0.500,50,0.1200,1,cold,0.942208
0.500,50,0.1200,2,cold,0.942278
0.500,50,0.1200,3,cold,0.944544
0.500,50,0.1200,4,cold,0.941503
0.500,50,0.1300,1,cold,0.929840
0.500,50,0.1300,2,cold,0.040818
0.500,50,0.1300,3,cold,0.938136
0.500,50,0.1300,4,cold,0.946384
0.500,50,0.1400,1,cold,0.090024
0.500,50,0.1400,2,cold,0.020082
0.500,50,0.1400,3,cold,0.934823
0.500,50,0.1400,4,cold,-0.004718
0.500,50,0.1500,1,cold,0.157709
0.500,50,0.1500,2,cold,0.628585
0.500,50,0.1500,3,cold,-0.020349
0.500,50,0.1500,4,cold,-0.024550
0.500,50,0.1600,1,cold,-0.049922
0.500,50,0.1600,2,cold,-0.013171
0.500,50,0.1600,3,cold,0.049998
0.500,50,0.1600,4,cold,-0.035674
0.500,50,0.1700,1,cold,0.050929
0.500,50,0.1700,2,cold,-0.041749
0.500,50,0.1700,3,cold,0.166872
0.500,50,0.1700,4,cold,0.031436
0.500,50,0.1800,1,cold,0.012481
0.500,50,0.1800,2,cold,-0.111603
0.500,50,0.1800,3,cold,-0.090161
0.500,50,0.1800,4,cold,-0.055991
0.500,50,0.1900,1,cold,0.046784
0.500,50,0.1900,2,cold,-0.017440
0.500,50,0.1900,3,cold,0.029434
0.500,50,0.1900,4,cold,-0.076498
0.500,50,0.2000,1,cold,-0.059745
0.500,50,0.2000,2,cold,0.038086
0.500,50,0.2000,3,cold,-0.099802
0.500,50,0.2000,4,cold,0.095663
0.500,50,0.2100,1,cold,-0.221465
0.500,50,0.2100,2,cold,0.030863
0.500,50,0.2100,3,cold,-0.050965
0.500,50,0.2100,4,cold,-0.037268
0.500,50,0.2200,1,cold,-0.076602
