# generator=basin_stab_LSE_semismart_AAAI_Nramp.jl  M_TARGET=4.4e+06  K_TARGET=30000  N_FLOOR=12  betanet=1.0
# N_EQ=32768  N_SAMP=8192  N_DIS_TARGET=64  MEM_BUDGET_GB=40.0  generated=2026-06-07T21:59:16.649
alpha,T,N_used,K_retained,disorder,phi_a,phi_b,q12,phi_max_retained
0.200,0.01500,76,30326,9,0.993046,0.993061,0.985497,0.574311
0.200,0.01500,76,29838,10,0.990888,0.992189,0.984334,0.526932
0.200,0.01500,76,30099,11,0.992940,0.992991,0.985709,0.526189
0.200,0.01500,76,30201,12,0.993561,0.993329,0.987572,0.571079
0.200,0.01500,76,29992,13,0.992571,0.992388,0.985460,0.550525
0.200,0.01500,76,30067,14,0.993735,0.991751,0.985844,0.540052
0.200,0.01500,76,29939,15,0.993246,0.993529,0.985812,0.521183
0.200,0.01500,76,30085,16,0.991497,0.993414,0.984575,0.536474
0.200,0.01500,76,29748,17,0.992515,0.992456,0.984690,0.543585
0.200,0.01500,76,30028,18,0.991349,0.991228,0.984292,0.539851
0.200,0.01500,76,30124,19,0.992106,0.992612,0.985031,0.545540
0.200,0.01500,76,30376,20,0.992586,0.993232,0.986476,0.523112
0.200,0.01500,76,29896,21,0.992110,0.993112,0.984249,0.537328
0.200,0.01500,76,30242,22,0.991295,0.993286,0.982772,0.546935
0.200,0.01500,76,30163,23,0.993048,0.991754,0.985629,0.567268
0.200,0.01500,76,30113,24,0.993297,0.993094,0.986596,0.547340
0.200,0.01500,76,30096,25,0.992171,0.993164,0.985299,0.541074
0.200,0.01500,76,29949,26,0.993038,0.992368,0.986610,0.519816
0.200,0.01500,76,30300,27,0.992790,0.992252,0.984200,0.542934
0.200,0.01500,76,29935,28,0.991993,0.992884,0.985605,0.532755
0.200,0.01500,76,29790,29,0.992891,0.992575,0.984532,0.537871
0.200,0.01500,76,30303,30,0.992129,0.993107,0.985712,0.559146
0.200,0.01500,76,30009,31,0.992544,0.992601,0.985351,0.578254
0.200,0.01500,76,29919,32,0.993125,0.993160,0.987383,0.571585
0.200,0.01500,76,30029,33,0.992914,0.992480,0.984811,0.558829
0.200,0.01500,76,29958,34,0.992524,0.992147,0.985589,0.552647
0.200,0.01500,76,30055,35,0.993260,0.992634,0.985301,0.531764
0.200,0.01500,76,30257,36,0.992173,0.992251,0.984230,0.562773
0.200,0.01500,76,30180,37,0.992165,0.992699,0.984621,0.521551
0.200,0.01500,76,30044,38,0.992575,0.992457,0.985110,0.569592
0.200,0.01500,76,30141,39,0.993241,0.992854,0.985281,0.524494
0.200,0.01500,76,29922,40,0.992902,0.992508,0.986446,0.550285
0.200,0.01500,76,30277,41,0.992407,0.992148,0.984358,0.542789
0.200,0.01500,76,30253,42,0.993106,0.993043,0.987351,0.572929
0.200,0.01500,76,30137,43,0.992839,0.992624,0.984708,0.527319
0.200,0.01500,76,30107,44,0.993029,0.992201,0.984784,0.538318
0.200,0.01500,76,29828,45,0.992089,0.993145,0.985960,0.581837
0.200,0.01500,76,30162,46,0.992770,0.993031,0.985786,0.527222
0.200,0.01500,76,29769,47,0.993232,0.992081,0.986855,0.528179
0.200,0.01500,76,29734,48,0.992010,0.993106,0.985115,0.557900
0.200,0.01500,76,30091,49,0.992616,0.992135,0.984924,0.527026
0.200,0.01500,76,30084,50,0.992883,0.992905,0.985694,0.514990
0.200,0.01500,76,30050,51,0.991674,0.992111,0.982198,0.585289
0.200,0.01500,76,30113,52,0.993502,0.992863,0.986067,0.515948
0.200,0.01500,76,29800,53,0.993043,0.992337,0.985025,0.548392
0.200,0.01500,76,30126,54,0.992669,0.992861,0.984929,0.533017
0.200,0.01500,76,29754,55,0.992354,0.991871,0.984065,0.529589
0.200,0.01500,76,30112,56,0.993731,0.992376,0.985911,0.519507
0.200,0.01500,76,29978,57,0.992567,0.991826,0.984089,0.546963
0.200,0.01500,76,30187,58,0.993190,0.991838,0.985199,0.529226
0.200,0.01500,76,29846,59,0.992311,0.993464,0.986618,0.546020
0.200,0.01500,76,30240,60,0.993413,0.992308,0.986624,0.532593
0.200,0.01500,76,30253,61,0.992227,0.992271,0.984458,0.548889
0.200,0.01500,76,29877,62,0.992407,0.992611,0.986270,0.538803
0.200,0.01500,76,30188,63,0.991739,0.992238,0.985485,0.520651
0.200,0.01500,76,30097,64,0.992502,0.993021,0.986855,0.538932
0.200,0.02500,76,29677,1,0.988305,0.987749,0.977066,0.556702
0.200,0.02500,76,30086,2,0.988841,0.986968,0.977926,0.559228
0.200,0.02500,76,30078,3,0.987701,0.988025,0.976287,0.540733
0.200,0.02500,76,30299,4,0.987270,0.987818,0.975180,0.524367
0.200,0.02500,76,29933,5,0.987066,0.987906,0.976959,0.547612
0.200,0.02500,76,30052,6,0.988065,0.987489,0.976056,0.524310
0.200,0.02500,76,29909,7,0.986434,0.988393,0.974939,0.529675
0.200,0.02500,76,29831,8,0.988380,0.987766,0.977180,0.535885
0.200,0.02500,76,30326,9,0.987586,0.987497,0.975112,0.571689
0.200,0.02500,76,29838,10,0.987014,0.988573,0.976794,0.521067
0.200,0.02500,76,30099,11,0.987270,0.986090,0.972742,0.532314
0.200,0.02500,76,30201,12,0.986901,0.988105,0.974596,0.575052
0.200,0.02500,76,29992,13,0.988836,0.986908,0.975416,0.558689
0.200,0.02500,76,30067,14,0.987383,0.988091,0.976306,0.535408
0.200,0.02500,76,29939,15,0.987650,0.987738,0.974271,0.521259
0.200,0.02500,76,30085,16,0.988003,0.986398,0.974721,0.539292
0.200,0.02500,76,29748,17,0.987318,0.988150,0.974523,0.545869
0.200,0.02500,76,30028,18,0.987077,0.987375,0.973540,0.543704
