# generator=basin_stab_LSE_semismart_AAAI_Nramp_phikeep.jl  M_TARGET=3.0e+08  PHI_KEEP=0.400  generated=2026-06-14T00:12:45.251
alpha,N,M,K_expected,K_over_M,K_alloc,status,phi_keep
0.200,98,325216051,6.659666e+03,2.047767e-05,10006,smart,0.4000
0.210,93,303229163,9.835500e+03,3.243586e-05,14770,smart,0.4000
0.220,89,318776215,1.495167e+04,4.690334e-05,22444,smart,0.4000
0.230,85,309355096,2.099959e+04,6.788183e-05,31516,smart,0.4000
0.240,81,277130637,2.725164e+04,9.833500e-05,40894,smart,0.4000
0.250,78,294267566,3.823446e+04,1.299309e-04,57368,smart,0.4000
0.260,75,294267356,5.055059e+04,1.717846e-04,75842,smart,0.4000
0.270,72,277130971,6.298373e+04,2.272706e-04,94492,smart,0.4000
0.280,70,325215983,8.910979e+04,2.740019e-04,133681,smart,0.4000
0.290,67,274373107,9.958299e+04,3.629473e-04,149391,smart,0.4000
0.300,65,294267794,1.288768e+05,4.379576e-04,193332,smart,0.4000
0.310,63,303229393,1.603092e+05,5.286730e-04,240480,smart,0.4000
0.320,61,300212034,1.916667e+05,6.384379e-04,287517,smart,0.4000
0.330,59,285570866,2.202680e+05,7.713252e-04,330419,smart,0.4000
0.340,57,260991971,2.433228e+05,9.322998e-04,365001,smart,0.4000
0.350,56,325215848,3.333996e+05,1.025164e-03,500116,smart,0.4000
0.360,54,277130971,3.436531e+05,1.240038e-03,515496,smart,0.4000
0.370,53,328484514,4.480824e+05,1.364090e-03,672140,smart,0.4000
0.380,51,260991855,4.309924e+05,1.651364e-03,646505,smart,0.4000
0.390,50,294267356,5.347873e+05,1.817352e-03,802198,smart,0.4000
0.400,49,325216051,6.505412e+05,2.000336e-03,975828,smart,0.4000
0.410,48,352302179,7.758040e+05,2.202098e-03,1163723,smart,0.4000
0.420,46,245792784,6.562881e+05,2.670087e-03,984449,smart,0.4000
0.430,45,253278523,7.448768e+05,2.940940e-03,1117332,smart,0.4000
0.440,44,255823905,8.288382e+05,3.239878e-03,1243274,smart,0.4000
0.450,43,253278311,9.041791e+05,3.569903e-03,1356285,smart,0.4000
0.460,42,245793018,9.670361e+05,3.934351e-03,1450571,smart,0.4000
0.470,42,374087375,1.471791e+06,3.934351e-03,2207703,smart,0.4000
0.480,41,352302084,1.527910e+06,4.336932e-03,2291882,smart,0.4000
0.490,40,325216080,1.555110e+06,4.781774e-03,2332681,smart,0.4000
0.500,39,294267566,1.551813e+06,5.273475e-03,2327736,smart,0.4000
0.510,38,260991824,1.518231e+06,5.817159e-03,2277363,smart,0.4000
0.520,38,381644183,2.220085e+06,5.817159e-03,3330144,smart,0.4000
0.530,37,328484083,2.108389e+06,6.418541e-03,3162599,smart,0.4000
0.540,36,277130971,1.963196e+06,7.084000e-03,2944810,smart,0.4000
0.550,35,229175906,1.792307e+06,7.820662e-03,2688478,smart,0.4000
0.560,35,325215983,2.543404e+06,7.820662e-03,3815123,smart,0.4000
0.570,34,260991855,2.254056e+06,8.636500e-03,3381101,smart,0.4000
0.580,34,366679759,3.166830e+06,8.636500e-03,4750261,smart,0.4000
0.590,33,285570398,2.724466e+06,9.540436e-03,4086716,smart,0.4000
0.600,33,397219978,3.789652e+06,9.540436e-03,5684494,smart,0.4000
0.610,32,300212303,3.164980e+06,1.054247e-02,4747486,smart,0.4000
0.620,31,222402675,2.591843e+06,1.165383e-02,3887781,smart,0.4000
0.630,31,303229303,3.533782e+06,1.165383e-02,5300690,smart,0.4000
0.640,30,217998681,2.809375e+06,1.288712e-02,4214079,smart,0.4000
0.650,30,294267356,3.792258e+06,1.288712e-02,5688404,smart,0.4000
