# generator=hybrid_1d_LSE.jl  N=150  N_DIS=32  N_EQ=4000  N_SAMP=16000  σ_floor=0.01  generated=2026-06-10T23:43:22.978
alpha,T,disorder,K,phi_mean,phi_var,acc_rate
0.500,0.00250,1,1152014,0.998697,0.000000,0.0193
0.520,0.00250,7,1579418,0.998661,0.000000,0.0200
0.540,0.00250,13,2040253,0.998668,0.000000,0.0197
0.500,0.00750,1,1152014,0.996137,0.000000,0.0414
0.560,0.00250,18,2483195,0.998703,0.000000,0.0191
0.580,0.00250,23,2847535,0.998678,0.000000,0.0193
0.600,0.00250,28,3076462,0.998692,0.000000,0.0180
0.520,0.00750,7,1579418,0.996047,0.000000,0.0403
0.500,0.01250,1,1152014,0.993517,0.000001,0.0512
0.540,0.00750,13,2040253,0.996014,0.000000,0.0404
0.520,0.01250,7,1579418,0.993355,0.000001,0.0539
0.500,0.01750,1,1152014,0.990975,0.000001,0.0580
0.560,0.00750,18,2483195,0.996157,0.000000,0.0401
0.580,0.00750,23,2847535,0.996053,0.000000,0.0422
0.600,0.00750,28,3076462,0.996127,0.000000,0.0385
0.500,0.02250,1,1152014,0.988383,0.000002,0.0716
0.540,0.01250,13,2040253,0.993352,0.000001,0.0527
0.520,0.01750,7,1579418,0.990805,0.000001,0.0675
0.560,0.01250,18,2483195,0.993588,0.000001,0.0477
0.500,0.02750,1,1152014,0.985850,0.000003,0.0757
0.520,0.02250,7,1579418,0.988091,0.000002,0.0708
0.540,0.01750,13,2040253,0.990641,0.000001,0.0622
0.580,0.01250,23,2847535,0.993507,0.000000,0.0498
0.500,0.03250,1,1152014,0.983261,0.000004,0.0824
0.600,0.01250,28,3076462,0.993596,0.000001,0.0496
0.560,0.01750,18,2483195,0.990957,0.000001,0.0626
0.520,0.02750,7,1579418,0.985295,0.000003,0.0772
0.500,0.03750,1,1152014,0.980606,0.000005,0.0876
0.540,0.02250,13,2040253,0.988025,0.000002,0.0708
0.500,0.04250,1,1152014,0.978001,0.000007,0.0954
0.580,0.01750,23,2847535,0.990813,0.000001,0.0591
0.520,0.03250,7,1579418,0.982751,0.000004,0.0869
0.600,0.01750,28,3076462,0.990923,0.000001,0.0619
0.560,0.02250,18,2483195,0.988387,0.000002,0.0685
0.540,0.02750,13,2040253,0.985247,0.000003,0.0800
0.500,0.04750,1,1152014,0.975404,0.000008,0.0988
0.520,0.03750,7,1579418,0.980212,0.000005,0.0881
0.500,0.05250,1,1152014,0.972901,0.000010,0.1071
0.580,0.02250,23,2847535,0.988171,0.000002,0.0689
0.540,0.03250,13,2040253,0.982623,0.000004,0.0893
0.560,0.02750,18,2483195,0.985808,0.000003,0.0764
0.600,0.02250,28,3076462,0.988330,0.000002,0.0705
0.520,0.04250,7,1579418,0.977476,0.000006,0.0954
