# generator=validate_spinodal_cpu.jl  threads=6  K_TARGET=10000  N_EQ=8000  N_SAMP=2000  generated=2026-06-08T22:48:13.795
alpha,N,T,disorder,init,phi
0.600,100,0.0650,1,cold,0.427855
0.600,100,0.0650,2,cold,0.315289
0.600,100,0.0650,3,cold,0.387244
0.600,100,0.0650,4,cold,0.313042
0.600,100,0.0700,1,cold,0.336592
0.600,100,0.0700,2,cold,0.350268
0.600,100,0.0700,3,cold,0.199674
0.600,100,0.0700,4,cold,0.170069
0.600,100,0.0750,1,cold,0.277917
0.600,100,0.0750,2,cold,0.340231
0.600,100,0.0750,3,cold,0.272571
0.600,100,0.0750,4,cold,0.116860
0.600,100,0.0800,1,cold,0.240613
0.600,100,0.0800,2,cold,0.300441
0.600,100,0.0800,3,cold,0.233243
0.600,100,0.0800,4,cold,0.058118
0.600,100,0.0850,1,cold,0.207690
0.600,100,0.0850,2,cold,0.265561
0.600,100,0.0850,3,cold,0.199068
0.600,100,0.0850,4,cold,0.002060
0.600,100,0.0900,1,cold,0.224629
0.600,100,0.0900,2,cold,0.095022
0.600,100,0.0900,3,cold,0.220250
0.600,100,0.0900,4,cold,0.150699
0.600,100,0.0950,1,cold,0.036991
0.600,100,0.0950,2,cold,0.036022
0.600,100,0.0950,3,cold,0.176193
0.600,100,0.0950,4,cold,-0.077351
0.600,100,0.1000,1,cold,0.007818
0.600,100,0.1000,2,cold,0.013876
0.600,100,0.1000,3,cold,0.152792
0.600,100,0.1000,4,cold,-0.102897
0.600,1000,0.0050,1,cold,0.999437
0.600,1000,0.0050,2,cold,0.999446
0.600,1000,0.0050,3,cold,0.999448
0.600,1000,0.0050,4,cold,0.999471
0.600,1000,0.0100,1,cold,0.998027
0.600,1000,0.0100,2,cold,0.998172
0.600,1000,0.0100,3,cold,0.998106
0.600,1000,0.0100,4,cold,0.998024
0.600,1000,0.0150,1,cold,0.996275
0.600,1000,0.0150,2,cold,0.996272
0.600,1000,0.0150,3,cold,0.996238
0.600,1000,0.0150,4,cold,0.996311
0.600,1000,0.0200,1,cold,0.994010
0.600,1000,0.0200,2,cold,0.994099
0.600,1000,0.0200,3,cold,0.994126
0.600,1000,0.0200,4,cold,0.994401
0.600,1000,0.0250,1,cold,0.991724
0.600,1000,0.0250,2,cold,0.991629
0.600,1000,0.0250,3,cold,0.991766
0.600,1000,0.0250,4,cold,0.992061
0.600,1000,0.0300,1,cold,0.989801
0.600,1000,0.0300,2,cold,0.989799
0.600,1000,0.0300,3,cold,0.989917
0.600,1000,0.0300,4,cold,0.989519
0.600,1000,0.0350,1,cold,0.986213
0.600,1000,0.0350,2,cold,0.987724
0.600,1000,0.0350,3,cold,0.986972
0.600,1000,0.0350,4,cold,0.985170
0.600,1000,0.0400,1,cold,0.983700
0.600,1000,0.0400,2,cold,0.985486
0.600,1000,0.0400,3,cold,0.984411
0.600,1000,0.0400,4,cold,0.982486
0.600,1000,0.0450,1,cold,0.981005
0.600,1000,0.0450,2,cold,0.983119
0.600,1000,0.0450,3,cold,0.981530
0.600,1000,0.0450,4,cold,0.979141
0.600,1000,0.0500,1,cold,0.977403
0.600,1000,0.0500,2,cold,0.979767
0.600,1000,0.0500,3,cold,0.974842
0.600,1000,0.0500,4,cold,0.974705
0.600,1000,0.0550,1,cold,0.971355
0.600,1000,0.0550,2,cold,0.961251
0.600,1000,0.0550,3,cold,0.955874
0.600,1000,0.0550,4,cold,0.959522
0.600,1000,0.0600,1,cold,0.953282
0.600,1000,0.0600,2,cold,0.943916
0.600,1000,0.0600,3,cold,0.936352
0.600,1000,0.0600,4,cold,0.942483
0.600,1000,0.0650,1,cold,0.931086
0.600,1000,0.0650,2,cold,0.926997
0.600,1000,0.0650,3,cold,0.920092
0.600,1000,0.0650,4,cold,0.925713
0.600,1000,0.0700,1,cold,0.906215
0.600,1000,0.0700,2,cold,0.917589
0.600,1000,0.0700,3,cold,0.903922
0.600,1000,0.0700,4,cold,0.907698
0.600,1000,0.0750,1,cold,0.891982
0.600,1000,0.0750,2,cold,0.884293
0.600,1000,0.0750,3,cold,0.884656
0.600,1000,0.0750,4,cold,0.896007
0.600,1000,0.0800,1,cold,0.873576
0.600,1000,0.0800,2,cold,0.866622
0.600,1000,0.0800,3,cold,0.865087
0.600,1000,0.0800,4,cold,0.876243
0.600,1000,0.0850,1,cold,0.855728
0.600,1000,0.0850,2,cold,0.846245
0.600,1000,0.0850,3,cold,0.847910
0.600,1000,0.0850,4,cold,0.857625
0.600,1000,0.0900,1,cold,0.820483
0.600,1000,0.0900,2,cold,0.838934
0.600,1000,0.0900,3,cold,0.831363
0.600,1000,0.0900,4,cold,0.835671
0.600,1000,0.0950,1,cold,0.812712
0.600,1000,0.0950,2,cold,0.803745
0.600,1000,0.0950,3,cold,0.819623
0.600,1000,0.0950,4,cold,0.809938
0.600,1000,0.1000,1,cold,0.792699
0.600,1000,0.1000,2,cold,0.781732
0.600,1000,0.1000,3,cold,0.800820
0.600,1000,0.1000,4,cold,0.789503
